,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,0.09762342870235444,0.9640462189912796,4.182840002613375e-05,0.00013079688578727653,0.0003227651817724109,6.855016727058683e-06,1.991942012310028,0.054197232797741884,0.001640754466643557,0.00013025292573729528,5.769575111003179e-08,0.32209860533475876,1.616379535107626e-07,0.04990996066480875,0.014899687608703971,0.010505562368780374
priorregion1_spot_2,2.3195522135210923e-05,1.7006165623664857,0.00020773139694938437,0.10318555906414986,0.03132639657706022,1.0968618153128774e-05,0.4824970528483391,1.430739015340805,0.0002799777779728174,2.097764388508949e-06,1.151446563198988e-05,0.002804324112366885,1.0502947134227725e-06,0.0001743187131069135,3.293325312370144e-06,4.5225781519775415e-07
priorregion1_spot_3,5.6408651516903776e-06,1.5524775803089144,3.0703892844030636e-05,0.14609880968928338,0.03364741634577513,9.981125117519698e-07,0.2789225921034813,0.533896803855896,2.7118588968733095e-05,8.817486985890355e-07,2.679157617535567e-07,0.07535729184746742,1.087780198361088e-07,2.2463518416770966e-05,8.019834041306241e-07,5.6160398820281896e-08
priorregion1_spot_4,1.0403710859918646e-06,0.00016184868363779972,0.006046966859139503,1.5942092446152856e-07,0.04098658449947834,1.7066933833120856e-05,1.1605005852288743e-06,1.1622724831104279,0.0001982331043109298,9.75729142282944e-07,4.9251814404627235e-09,0.00018503591345506723,4.0589968897108984e-08,0.0003969443059759215,2.486990524630528e-06,5.168386785214807e-08
priorregion1_spot_5,0.0001013331795547856,1.7320551812648772,7.668264152016492e-05,0.0006737965508364142,0.1641384184360504,5.5829514167271554e-06,0.8649088203907013,1.1527499854564667,7.2113105716198335e-06,5.500515271705808e-06,5.928853113346123e-07,0.12460624314844608,5.966577049321132e-07,0.0007291729387361557,0.049027199111878875,1.6486931872350397e-05
priorregion1_spot_6,8.814764242970341e-07,7.699408051848878e-05,1.880594645626843e-05,3.258968170882781e-08,0.08413766883313656,9.793585107331638e-08,5.52523920305248e-07,1.0234184563159943,5.702563103113789e-05,6.008685744518516e-07,7.136211044311837e-09,0.019537238590419292,2.1423942087039906e-08,2.4804977419989883e-05,0.0002566694543929771,1.9523097183338223e-08
priorregion1_spot_7,7.53584499761928e-05,0.8905790925025939,3.119117573078256e-05,0.00012946077695232815,0.5768409669399261,4.761820014209662e-06,1.082217139005661,0.5064037710428239,1.2034303927066504e-05,0.00011448798177298159,1.4205062598193764e-06,0.6316670447587966,4.184050521871541e-06,0.2229206807911396,0.003369379881769419,1.1733640349120833e-05
priorregion1_spot_8,3.215483741314529e-06,1.144613152742386,0.11649488322436809,0.009751757979393006,0.004908993165008724,9.55547389480671e-07,0.7800171196460723,0.47471562772989273,1.5961494796101761e-06,2.0509341879915158e-06,7.516086846237614e-08,0.027524175960570576,4.069864701250481e-07,8.297937383758835e-05,1.0961444161239342e-06,7.255699543406991e-08
priorregion1_spot_9,5.0825130074372286e-06,1.558159238100052,0.015800186712294818,0.16287532672286034,0.0009530720941256732,2.4571515314164576e-05,0.8760183870792388,0.3804018139839172,7.84009675953712e-06,1.767869258628707e-06,1.7246991106389943e-07,0.7554828107357024,1.3967979100470986e-06,1.12376586002938e-05,1.55381540594135e-06,1.2465966179320275e-07
priorregion1_spot_10,2.5761408051039324e-05,1.8771003723144533,4.9139874363390855e-06,1.7086632669816027e-05,0.8161648631095886,5.587546894503249e-07,0.0005078461370430887,1.1635629832744598,3.739069242669757e-07,7.350538773209793e-08,1.819016125637063e-06,6.108934167059488e-06,3.010714294759965e-07,1.9130250166199403e-06,2.500092307400337e-07,2.6531344055058526e-08
