	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	1.8580491e-07	0.008319067	2.6948537e-06	1.6428604e-06	0.08766722	2.1457979e-07	5.496885e-08	0.8827611	5.468958e-08	4.7338336e-08	6.9498913e-09	4.7441904e-06	1.7313728e-06	1.319638e-06	0.021239715	1.0112767e-07
priorregion1_spot_2	3.1452956e-07	8.2471826e-07	7.7198484e-07	7.4941886e-07	1.4778062e-06	0.037782	6.044298e-08	0.9194263	0.0036890577	6.8155934e-08	5.2097695e-09	1.8631272e-07	0.035944924	0.0031528582	1.9423011e-07	1.447853e-07
priorregion1_spot_3	2.1081048e-06	2.5676923e-07	2.5293707e-07	2.7743707e-07	4.900495e-06	1.7772462e-06	5.6671936e-08	0.1267281	0.008994236	5.2054148e-08	4.0707926e-09	0.3344187	1.1112171e-06	0.021388495	0.50595635	0.002503286
priorregion1_spot_4	4.1247603e-07	0.006700492	0.0025183228	0.00015136215	0.19898678	5.27847e-07	4.2586322e-07	0.42983034	2.1054039e-07	6.975552e-08	6.5048864e-09	2.0177977e-05	2.9133148e-06	1.2211281e-07	0.36178768	1.4125877e-07
priorregion1_spot_5	0.035902	3.4312823e-06	4.61553e-06	7.3668843e-07	0.26518622	0.0012727547	0.14579177	0.54472613	2.4258281e-06	1.4200339e-07	1.6713026e-08	2.1144426e-07	0.0071083955	2.9385507e-07	2.9897961e-07	3.7902745e-07
priorregion1_spot_6	0.0061554136	1.855716e-07	0.00011433952	1.3437048e-05	0.11945486	0.023006277	3.6421564e-08	0.48389086	3.0724726e-07	3.4466446e-08	2.994789e-09	0.08229907	0.0099059725	6.393877e-07	0.27515838	6.394947e-08
priorregion1_spot_7	8.921226e-07	3.4544277e-07	3.9536093e-07	2.3331528e-07	1.0692526e-06	2.4386344e-07	5.735674e-08	0.99438405	7.337539e-08	8.6423924e-08	8.3977705e-09	1.93251e-06	0.00047130336	5.9808065e-07	0.005138667	1.3993984e-07
priorregion1_spot_8	1.2012954e-07	1.7149786e-07	8.576727e-07	3.2757538e-07	0.011130903	0.0013580952	0.0013663834	0.66104525	0.005794904	6.126633e-08	5.078643e-09	0.3192722	4.4513763e-07	4.4347502e-07	2.9837622e-05	6.288517e-08
priorregion1_spot_9	5.359224e-08	6.4515216e-06	4.7775853e-07	0.0054669944	0.10483001	1.5735952e-07	0.0013640581	0.888328	1.13234e-07	5.5444403e-08	1.035559e-08	1.4232385e-06	1.2026272e-06	5.1299274e-08	8.873769e-07	5.973782e-08
priorregion1_spot_10	3.661774e-07	3.0111483e-05	3.5586347e-06	0.0381195	4.238549e-07	7.846029e-07	1.778888e-07	0.38019904	2.5101158e-07	0.33431536	1.4994383e-08	2.3810748e-07	1.3617724e-06	0.24732652	8.259948e-07	1.567347e-06
