,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,1.8841849032469328e-05,0.013567151362076403,0.01107469955459237,5.474543231684948e-05,0.17309728860855103,3.927717057194968e-06,1.4729432791682486e-06,4.3921550750732425,1.9840031313833608e-06,2.4114426469168397e-05,1.6855821343142453e-07,0.08198231644928455,6.3830245153440044e-06,0.009180518984794618,9.250659168174025e-05,1.0833867463588833e-06
priorregion1_spot_2,3.690654139063554e-05,9.244318644050509e-05,0.0012337554304394872,1.723327332001645e-05,0.06558967381715775,1.3326644329936246e-05,8.195193913707044e-06,4.381101274490357,0.000502871218486689,2.963812858070014e-05,3.294412721288609e-07,0.0008458174270344899,8.993491928777078e-06,0.04127610232681036,4.549463192233816e-05,1.8269749091359701e-06
priorregion1_spot_3,0.15444188341498377,4.8636878636898474e-05,0.00020739547180710361,7.75066262576729e-05,0.00431797201745212,5.735337322221312e-06,1.4669975769265873e-06,1.7470582902431488,0.0006161283876281233,3.1510016924585216e-06,4.6071030510574936e-07,2.336679685115814,0.0002032403943303507,0.005522978142835201,2.577452766895294,8.549603734309131e-07
priorregion1_spot_4,0.0021919957362115383,0.0058823853963986044,0.0007891092827776447,0.00014822911034571007,1.0643603086471558,2.1324629324226406e-05,8.148092865667422e-06,4.359972190856934,9.368945666210496e-06,4.073959394190752e-06,7.4384209256095344e-06,0.13154100328683854,8.683493979333434e-06,3.5784549436357334e-05,1.178867506980896,1.1220293913538626e-06
priorregion1_spot_5,0.15404371544718742,4.2066071182489394e-05,0.0005970915721263736,2.864905809474294e-05,1.5649015367031098,0.0005126693693455308,0.7037151992321015,4.679020524024963,0.029350230097770692,1.631794866625569e-05,5.0754608491843097e-05,0.00012906609917990864,2.6215271373075665e-05,9.027263113239315e-05,5.183839421079029e-05,3.542927129274176e-06
priorregion1_spot_6,0.00016559303621761502,3.401421527087223e-05,0.008262331318110227,0.022580476664006713,0.2080623559653759,0.00046205513790482656,1.1036211503778762e-06,1.7635694444179535,8.141735725075706e-06,1.342467533049785e-06,9.516930994379891e-08,0.4165225327014923,2.971443166188692e-06,0.00013592198229162022,0.36032271683216094,3.8870621068554104e-07
priorregion1_spot_7,4.135614071856253e-05,1.1822797705463018e-05,0.00014999943596194498,2.2861128627482688e-06,0.028459329996258022,4.0738702438147807e-07,7.311514622188043e-07,4.520585989952088,1.1914815445379645e-06,3.1274875595954654e-06,4.3344664248934354e-07,0.007472653267905116,4.157696002948797e-05,0.00012473787282942794,0.007285870262421668,6.618908287236991e-07
priorregion1_spot_8,1.9284584141132658e-05,3.030208545169444e-05,0.0022325077559798958,0.0015497892280109226,0.36955838799476626,9.857867689788691e-06,0.00028502554632723335,4.259156346321106,0.004015333694405853,8.40977063489845e-06,1.910153605422238e-06,1.5772553741931914,3.300319112895523e-05,9.448651180719026e-05,0.00016046324381022715,4.5281735907565243e-07
priorregion1_spot_9,8.913694227885572e-06,0.0003254456314607524,5.103644507471472e-05,0.00016342301314580256,1.0168541073799133,7.94190086708113e-06,0.00041915460460586476,4.8056607961654665,3.3986352150350285e-06,5.004870808988926e-06,2.2611446979681206e-06,0.07047327868640423,9.324587790615623e-06,7.893431711636368e-06,5.1691440057766164e-05,5.430369526493451e-07
priorregion1_spot_10,4.096724023838761e-06,0.00020422283705556765,0.00033525915787322445,0.013442533882334828,0.0004474965957342648,0.00015708944702055305,6.388179372152081e-07,0.6152132064104081,1.3862695951161187e-07,0.4274294719099998,7.445532652639031e-08,1.4433292108151363e-05,2.516958076625997e-07,0.49151757210493086,1.3678000357231214e-06,1.5229965697471926e-06
priorregion1_spot_11,6.713791620427401e-08,8.257152985606808e-05,0.03530445657670498,0.021148012671619653,2.145952153205872,0.00012543876800918952,2.1450102938302964e-08,0.1051053173840046,5.4764647039462495e-08,1.2284169201848274e-07,2.1989103071717865e-08,1.9296388131806452e-06,2.215985966813605e-06,1.9034278636809177e-06,0.3335494875907898,0.0011009183595888316
priorregion1_spot_12,0.00011737437780539038,0.0009931362175848335,0.06753231212496758,8.974919073807541e-05,0.024087258987128737,3.205234006600222e-05,3.2608000083200753e-06,5.705700755119324,5.77175192120194e-06,3.796106520894682e-05,8.257301260528039e-07,0.0047233230900019406,1.8327746784052578e-05,0.22591360956430437,0.09388075061142445,2.8607754416043465e-06
priorregion1_spot_13,4.872653846632602e-07,2.559739539265138e-06,3.090349055128172e-05,2.776066992282722e-06,0.138791511207819,2.5423674543390007e-07,1.582217741713521e-07,0.7292153835296631,9.802851709537209e-05,1.83152723565172e-07,5.482787770461073e-08,0.5037070930004119,7.884922126777382e-07,1.7011872785133165e-06,3.882860073645133e-06,1.5673198472399007e-08
priorregion1_spot_14,2.2839429902887787e-06,8.440396783271353e-07,4.235371397953714e-06,2.5815230202397294e-07,0.009210191108286381,2.176385430630035e-06,0.05450061485171318,0.11601434834301472,5.113385583399577e-07,3.733288849616656e-06,0.564467042684555,0.027809111122041943,1.3029305350187316e-07,0.0001050158894940978,2.1090341348894983e-07,1.186594957403031e-07
priorregion1_spot_15,5.286719874675328e-06,7.821658000466414e-05,6.325419280983625e-06,5.893082487773428e-07,0.017056774068623784,2.1575536902673778e-05,6.19918589563895e-06,2.0214727878570558,5.831707539982745e-07,0.644456622004509,9.739895062921279e-07,0.00020330706611275672,7.258407208610151e-07,0.26393053233623504,4.704217235484975e-06,0.0021920885890722272
priorregion1_spot_16,4.660862214223016e-05,0.00010622487934597302,0.00018793230774463157,1.896975063573336e-05,0.3010429203510284,4.952686526848993e-06,0.004250621912069619,3.126037395000458,5.7044000459427484e-05,3.680716381495586e-05,0.36269768327474594,1.1244569599628447,7.697866408307164e-06,0.008174495352432132,0.2129222311079502,8.064130497587031e-07
priorregion1_spot_17,5.748764488089364e-06,6.948003056095331e-06,0.000728408296708949,0.01339749526232481,0.004008257505483926,2.489198959665373e-06,0.6017249494791032,1.5226572334766388,0.11210101470351219,1.8786780344726144e-06,1.901030458384412e-06,1.3687391221523284,4.412699558997701e-06,0.00016871198604349047,3.236366665078094e-05,4.843851456826087e-07
priorregion1_spot_18,2.7085068950327697e-06,5.523443869606126e-05,0.0010119152546394616,0.0002952948460006155,0.4158990398049355,1.33833702307129e-06,3.0882574293400465e-07,3.62264404296875,6.727208386791972e-07,5.875076482197985e-07,2.254229464426772e-07,0.00029934116028016436,1.3252886787995521e-06,6.423267905120156e-06,3.105262367171236e-05,1.1464590059517833e-07
priorregion1_spot_19,0.09063621386885644,2.1253392219477973e-06,8.577556855016155e-06,5.090663222517832e-07,0.0005495542922290043,1.230557923008746e-05,0.10301515199244023,0.835527914762497,0.0006437782722059637,3.1679780477134045e-05,0.2905211716890335,0.854354751110077,1.1227728691665108e-06,0.21680228412151337,0.47031319290399554,1.212702527482179e-05
priorregion1_spot_20,1.974401593208313,0.0002810200181556866,0.0003122319219983183,4.82943250972312e-05,0.08629278875887393,0.0007425655057886616,0.08338552676141263,4.041451573371887,0.00013037165044806897,0.1559421442449093,0.5052584201097489,0.0017546743736602368,5.5541985057061544e-05,1.0762634456157683,0.3177560418844223,0.0013874582655262202
priorregion1_spot_21,7.183812772382225e-06,3.7514736504817854e-05,0.0005808203306514769,0.009949188772588968,0.8675299555063247,9.773215333552799e-06,9.428702611558038e-07,4.726212906837463,0.002070057578384876,1.6130546441672779e-06,3.0308193430528265e-07,5.374446318455739e-05,1.1270548247921398e-05,1.147298798969132e-05,2.8488805310189494e-05,3.172612906610084e-07
priorregion1_spot_22,1.7757855061972807e-06,0.0001719235980999656,5.5888496535771996e-05,1.5845658163016195e-05,0.2248283915221691,2.3303701141230705e-06,1.5137497015871305e-07,2.668065142631531,3.918998771723636e-07,3.487352984166137e-07,8.507320643502681e-08,0.0016907161858398466,8.474928961277329e-07,6.109288574407402e-06,1.2752041311614448e-05,3.385854423498813e-08
priorregion1_spot_23,3.7378208253358026e-05,3.3043925759557164e-05,0.0088523562066257,8.181951234291774e-05,0.07019937559962272,1.2947671575602727e-05,9.51357410485798e-06,4.509353470802307,2.2636025278188754e-05,1.8331699629925426e-05,1.1712803143382188e-06,1.1025148153305055,0.006136138131842017,0.020631348807364704,2.1603974342346195,3.0598051012020734e-06
priorregion1_spot_24,2.1040204405784606,1.9909723050659524e-06,9.139089888776654e-06,5.307844588742229e-07,0.0036244488786906,0.0003069236016017385,1.3400573849678041,0.9810636401176454,4.696015344052285e-06,6.161672281450592e-05,3.797422991169697e-07,0.00047605294676031926,3.779329674102883e-07,0.0951322466135025,0.6005150824785233,0.5723241478204727
priorregion1_spot_25,0.0001738042788929306,0.0034542722045443953,0.01102038542740047,0.0005098635971080512,0.7073904693126678,0.009384473320096731,0.00032825587695697325,6.413367080688477,0.0001411963407008443,0.0002543133479775861,0.42200720906257627,3.5084530115127563,9.93644141999539e-05,0.19885242804884912,0.22990969866514208,9.039311880769674e-05
priorregion1_spot_26,4.759004923471367e-06,2.261884958443261e-06,4.966987125953893e-06,7.015662760068154e-07,0.0007701989234192297,1.599168781467597e-05,2.1206611275672915,0.3491242855787277,0.11991952285170555,0.8273435205221177,0.27662520855665207,0.4490087687969208,2.7393678152520807e-07,0.12192318364977837,2.310498211954837e-06,2.4198416781473497e-06
priorregion1_spot_27,8.872044099916819e-06,2.9912321497249647e-05,0.00026419156638439744,0.00018999851890839637,2.8232094764709474,0.000793687705299817,6.02083759076777e-05,4.295084619522094,1.4977087539591596e-05,1.806650088838069e-05,0.9430314213037491,6.473991415987257e-05,1.3169094745535404e-05,4.529012367129326e-05,2.131779729097616e-05,2.2229815954233348e-06
priorregion1_spot_28,1.4866445326333632e-06,0.00036235937586752697,0.0014841355674434455,0.001375071395887062,0.022265984583646058,6.169255868826439e-07,1.738535658546425e-07,2.2011758685112,2.64650564929525e-07,5.949666638116469e-06,1.4171933955253734e-07,0.0003334370732773095,1.7843199771050422e-06,1.4495812638415374e-05,0.24335304722189904,4.526280562799912e-07
