,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,1.1755122568501974e-05,0.5580306738615036,3.3976661325141325e-05,0.0006770950742065907,0.4483811631798744,0.7929579734802247,7.770132197038039e-06,1.3085379838943483,1.5845192308461265e-06,0.7769636780023574,4.364749113250355e-08,0.2857335388660431,0.13396416902542113,0.03709948379546404,6.591910205315799e-05,6.7762781782221285e-06
priorregion1_spot_2,1.473289898967778e-05,0.4175122082233429,4.235341089042777e-06,3.0558743674191646e-05,0.20343288853764535,0.8769038200378418,3.323062151139311e-06,0.2296347714960575,2.3768861638018284e-06,0.31775374561548236,1.346682050318293e-08,0.003383952076546848,0.3729051738977432,0.14838145673274994,3.843577378574992e-05,4.543088598438772e-05
priorregion1_spot_3,1.5316271557708204e-07,0.010687623266130685,0.0004367078930954449,0.0003056294532143511,0.01268884832970798,0.16746624410152436,1.4692079389533322e-06,0.16566734686493872,8.106688909492734e-07,2.9166751289722017e-07,1.1513737829815798e-08,1.0978103637695313,0.6111562132835389,1.947457309370293e-06,1.5782549689902228e-05,1.327528083017171e-08
priorregion1_spot_4,0.000222459583892487,0.38302245140075686,0.14852871224284173,0.006813038839027286,0.0010345004033297301,0.29870256185531613,6.1911313423479445e-06,1.1085898339748383,2.2865424580231777e-05,0.6260869681835175,1.0539473080939389e-07,0.5057457596063614,0.9812449365854263,1.5549870371818542,0.00033606218203203754,8.873766673787032e-05
priorregion1_spot_5,2.433974097826308e-08,0.00015035597389214674,0.0006199230236234144,0.0671164110302925,0.18067059963941573,0.056725968793034556,5.470242626870458e-07,0.00021687849803129212,1.0187872456768334e-08,7.120125431470117e-08,2.626836503871744e-09,0.42627593129873276,0.2730852037668228,7.867522015203577e-07,3.4103353073078326e-06,3.874522835900507e-09
priorregion1_spot_6,6.921244744262367e-06,0.00023412533919326962,4.652099360100692e-05,3.031987364465749e-06,3.798427260335302e-05,2.1893269968131795e-05,7.272354139331582e-07,0.15691934823989867,1.43208539071793e-07,0.164608121663332,5.757740217937624e-09,0.39471505731344225,0.15854416117072107,0.07081004828214646,1.2874442109023222e-05,0.0010448750224895775
priorregion1_spot_7,5.406171112554148e-06,0.0018329200800508262,0.0003025950005394407,3.387785291124601e-05,1.7300498723983766,0.722499892115593,0.0002073593292152509,0.8917749881744385,2.8923871241204323e-06,0.6563269585371018,6.951047004655209e-09,3.4616909942997154e-05,5.458141708913901e-06,0.000757865174091421,1.7014347804433782e-06,9.41132302045844e-07
priorregion1_spot_8,1.0377425451224554e-05,1.827191890697577e-05,1.6211663876219974e-06,7.944619078159576e-08,0.02042996631935239,2.418863505226909e-06,6.113452258205145e-07,0.391359880566597,2.7261654054200337e-07,0.2883792668581009,4.951628396199227e-09,1.0242164023566147e-06,3.901629579416977e-08,0.09966959655284881,2.9870405597876016e-07,7.927366350486409e-05
priorregion1_spot_9,2.108265260147846e-08,0.29712861478328706,5.951109756097139e-06,1.6875373057700925e-05,0.00010715555908973329,0.6121517717838287,2.8370179427916755e-09,0.0033022255753166977,1.4267116332788988e-08,1.2947181915023976e-06,1.157484164071576e-09,0.007650058460421861,3.090568534389604e-05,2.6778070264299458e-06,1.3715203635911165e-06,8.506142856745668e-09
priorregion1_spot_10,2.2723929942003454e-05,0.27847956120967865,0.03885165490210057,3.83836744731525e-05,0.0005433809245005251,0.2327584117650986,1.0610637161789783e-06,0.0366618599742651,1.0411992832359829e-06,0.12143550924956799,2.4017350330751707e-08,0.5119683682918549,0.46487676203250883,0.16795153096318244,9.941893367795274e-05,3.423378548177425e-05
priorregion1_spot_11,5.178660594538087e-05,2.1458516478538514,1.951486256075441e-05,0.0001484793370764237,0.04186572059988976,0.1725784122943878,2.230268626135512e-06,0.706570953130722,9.23872371458856e-06,0.6055034518241882,4.325898412815832e-08,0.3078569009900093,0.09443802610039712,0.45075924098491665,0.000210631840309361,0.0035070259822532535
priorregion1_spot_12,1.1837174724860233e-06,0.00045423638221109286,0.002008486445993185,1.1191279781996856e-05,0.10624753236770629,0.2337774522602558,7.128897010488799e-07,0.9040810286998748,7.238589212477109e-08,0.7859761267900467,2.127754206160404e-09,7.04567394222977e-06,6.682163871118973e-07,0.0017572334152646365,1.0053262712972355e-06,3.1753555276736735e-06
priorregion1_spot_13,6.203080047271215e-05,0.728154256939888,0.008662285562604666,0.00014395187681657263,0.0024077446782030166,0.0032834324054419996,1.8416240527585612e-05,0.1473243683576584,6.331955387395282e-06,0.4481952920556068,1.0107914256707319e-07,2.3813977241516113,0.5108887642621994,0.16551704630255698,0.0007449067430570722,1.8906566765508614e-05
priorregion1_spot_14,0.00014855263434583322,0.5375423163175583,0.11674999222159385,0.00041598710522521286,0.009395541483536362,0.8695292085409164,6.449307102229796e-06,0.28590743094682697,0.0009483407979132607,0.398756493628025,2.6159659949342998e-08,0.16538899391889572,0.0007396777451504022,0.16627479940652848,0.17984921112656593,0.051814486272633076
priorregion1_spot_15,1.0544016186031513e-05,1.2567416727542877,2.3746708734506685e-06,2.585188940429362e-06,2.984955681313295e-05,0.0021188068902119996,6.820505836913071e-06,0.0013549031456932426,1.4603115801037346e-07,0.46427736878395076,3.0044436272191886e-09,0.36843573153018955,0.21242998838424682,0.004633421055041253,9.721066862766748e-06,1.398609038005816e-06
priorregion1_spot_16,1.6647443942474639e-06,1.168772632809123e-05,4.88252874220052e-06,1.5716067821358594e-06,6.907731017236074e-06,4.0556295061833225e-05,2.5625988087085716e-07,3.4576303164612916e-06,2.0212192879398573e-07,0.12449547462165356,3.577473303706392e-10,0.3073166236281395,0.35019647479057314,0.0006209678307641297,0.04314922615885735,0.023024205584079027
priorregion1_spot_17,0.0013948791602160782,0.27940297275781634,2.629242535476806e-05,4.572394573187922e-05,0.09296738430857658,0.130544663220644,0.0011348321742843837,0.7320046246051788,0.00010809330342453904,1.5033236622810364,1.5663505266161336e-07,0.34145412445068357,0.5421374678611756,0.953205794095993,0.036958355084061624,0.0849580641835928
priorregion1_spot_18,2.6362947664893e-05,1.5112477540969849,5.325571310095257e-05,0.001955514296423644,0.0021607332979328934,0.7041564434766769,1.5959212760208177e-06,0.16872673332691193,6.6340915736873295e-06,0.4986454725265503,1.3816516464260075e-08,0.00011967722966801376,0.08054801933467388,0.07506753727793694,0.0001335078944975976,3.2174508669413625e-05
priorregion1_spot_19,1.0927791933568187e-07,0.0015053492155857385,8.48883532853506e-06,6.096429592616915e-06,0.001138850988354534,0.47009231597185136,9.921155381675818e-08,0.1193206835538149,4.014339420876923e-08,1.49528833048862e-06,6.07393455531735e-09,0.0702961515635252,0.4306246444582939,1.4986553696871852e-05,8.599147179211286e-07,6.157515652915892e-08
priorregion1_spot_20,0.0001284858059079852,0.4401441216468811,0.00013895737283746714,8.033356607484167e-05,9.272853130823932e-05,0.19106763899326323,8.45936870064179e-06,0.0006122166640125216,6.901622828081599e-06,1.2116336584091187,2.328203621004832e-08,0.8236956536769867,7.2555387532702295e-06,0.542182257771492,0.00014350607234518974,0.0014969220617786052
