	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	1.9888273e-06	8.435273e-08	5.889141e-08	7.260264e-08	0.5741734	6.0187155e-08	3.9226205e-08	9.322338e-07	4.5044438e-08	0.14697517	6.218097e-09	6.5419147e-07	8.6502425e-08	0.22320193	0.055641957	3.5898165e-06
priorregion1_spot_2	1.1754301e-07	1.5248312e-07	6.858605e-06	4.9705017e-07	0.7324782	1.909959e-07	4.1204157e-07	2.233642e-06	5.5122126e-08	0.19587705	8.989856e-09	2.0293055e-07	1.0030678e-07	0.045102946	1.3850182e-07	0.026530918
priorregion1_spot_3	2.390897e-06	1.4280215e-07	4.207666e-07	5.6741993e-07	0.28386602	3.5554274e-06	7.938552e-07	2.0711713e-07	2.1786427e-07	0.49309683	1.9770908e-08	6.8209204e-07	3.8998306e-07	0.15634146	1.310013e-06	0.06668498
priorregion1_spot_4	0.011454504	2.6792e-08	3.2685637e-08	4.0575173e-08	2.3517588e-08	1.008718e-06	5.1857694e-07	2.9791824e-08	9.4041496e-08	0.58626926	1.4979715e-08	3.9152535e-08	1.0111997e-07	0.40225285	4.5738854e-08	2.1380769e-05
priorregion1_spot_5	6.074308e-07	1.2829537e-07	2.2913925e-07	5.418406e-08	0.4875156	1.2707937e-07	1.2772453e-07	0.047470808	5.0043944e-08	0.23135535	6.609769e-09	0.11116897	1.413707e-06	0.10051331	9.543534e-07	0.021972224
priorregion1_spot_6	1.5040747e-07	5.28973e-07	0.05739513	9.3498675e-05	0.6615959	1.7913449e-07	0.09771933	0.00012095939	1.306883e-07	0.05166267	1.4998406e-08	0.08594194	5.7323354e-07	0.04527276	0.00019605925	2.1965873e-07
priorregion1_spot_7	3.1542677e-07	7.1104225e-08	2.7795951e-07	9.068562e-08	0.52150434	5.6550586e-08	7.4492405e-08	4.9555374e-06	3.996238e-08	0.2920457	8.320979e-09	0.05720238	1.1750602e-07	0.11743844	3.567858e-07	0.011802889
priorregion1_spot_8	2.4091807e-07	0.0018487701	5.318091e-07	9.769172e-07	0.5349854	3.9831e-07	4.546858e-07	3.048432e-06	9.880428e-08	0.28742817	1.3071094e-08	0.110844664	0.024780972	0.020427473	0.019678138	6.120838e-07
priorregion1_spot_9	3.1152302e-07	1.3528475e-07	4.9633167e-07	1.4269695e-07	0.61682075	8.561414e-08	7.2602774e-08	1.0762025e-06	6.1609576e-08	0.22871609	1.2842854e-08	0.055544734	5.070105e-07	0.07878971	7.2035086e-06	0.020118646
priorregion1_spot_10	0.0058589824	8.195325e-06	4.1034198e-07	0.0051185642	0.21497783	1.0147152e-05	1.6067623e-05	0.007759325	1.3880275e-06	0.39768052	2.5243388e-08	0.02804391	3.3636709e-06	0.29676068	2.2425672e-06	0.043758284
priorregion1_spot_11	1.1201462e-07	0.005114505	7.892712e-08	1.0669581e-06	0.5349555	8.1074994e-08	0.0023293812	0.03721779	4.8994938e-08	0.054183073	7.450606e-09	6.0698414e-07	1.3044196e-07	0.3661974	4.2030162e-08	2.1680049e-07
priorregion1_spot_12	2.706092e-06	9.414501e-08	1.4041593e-07	7.52574e-08	0.41376683	0.0117553845	6.6801044e-07	1.5158722e-05	1.094019e-07	0.12210171	1.1782518e-08	0.07563887	4.1670557e-07	0.37671536	1.2326301e-06	1.1645099e-06
priorregion1_spot_13	7.0038146e-07	1.1695023e-07	0.2120238	8.218878e-07	0.1154093	2.826846e-07	3.8802958e-07	2.2829323e-07	1.2503054e-07	0.55295014	2.5411637e-08	1.8673936e-07	0.000979728	0.11862941	1.14188815e-07	4.7498e-06
priorregion1_spot_14	8.980383e-06	9.92226e-08	2.8123878e-07	1.6397445e-07	0.38759825	3.6912877e-07	1.0848876e-06	1.1894268e-05	1.6787554e-07	0.22964582	1.3746544e-08	2.3407888e-06	4.2352843e-07	0.38272598	3.4815582e-07	3.815666e-06
priorregion1_spot_15	2.446439e-06	5.3369567e-06	2.3131955e-07	0.0021262944	0.16223086	2.4733833e-07	2.369259e-07	2.715209e-06	8.139922e-08	0.26239306	1.4790514e-08	0.16410054	9.53948e-07	0.40913263	5.222872e-07	3.8628236e-06
priorregion1_spot_16	1.2004658e-07	1.7159408e-07	4.665937e-07	1.6101541e-07	0.8190485	0.0008133886	3.1844927e-08	5.322385e-07	2.350081e-08	0.18013528	9.292687e-09	2.7388992e-07	4.6350291e-07	1.7885155e-07	1.4271446e-07	2.6030452e-07
priorregion1_spot_17	1.3617958e-07	1.0933946e-07	1.8929066e-07	1.9199796e-07	0.66350913	1.4485335e-07	1.9872647e-07	2.8566822e-07	6.7900906e-08	0.33648655	1.6953129e-08	1.174149e-07	1.009608e-06	5.128632e-07	8.502469e-08	1.2697809e-06
priorregion1_spot_18	2.87027e-07	2.7521122e-07	1.3549631e-07	1.1430112e-07	0.4414131	9.272466e-08	0.41191465	1.0444619e-06	1.7574892e-07	4.1053204e-06	2.2294618e-08	1.6930991e-07	0.0025879636	0.1440774	7.0995334e-08	2.1692958e-07
priorregion1_spot_19	1.5484072e-07	3.3254986e-07	0.069151424	9.674155e-07	0.8242088	6.34943e-08	0.0011596755	8.994385e-06	4.656447e-08	0.027991805	4.717841e-09	6.325213e-06	3.7481936e-07	0.07747084	1.1377481e-07	5.2823385e-08
priorregion1_spot_20	6.13165e-06	2.479705e-07	0.05685654	0.010384599	0.19871719	2.9618408e-07	0.015824033	1.4291159e-07	1.6564682e-07	0.0012791182	1.096892e-08	0.047236625	1.695397e-07	0.6696938	5.193495e-07	4.1990248e-07
