	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	2.3308893e-07	0.15916863	2.0711218e-07	4.204467e-06	0.12658629	0.14040978	6.8824484e-08	0.38217625	6.7052696e-08	0.1353399	6.9243e-09	0.025006426	0.026279384	9.899793e-07	1.9415192e-07	0.005027351
priorregion1_spot_2	1.6643575e-07	0.25256726	7.8597004e-08	1.3730437e-07	0.105925135	0.21208009	8.70573e-08	0.053986616	0.00043713124	0.11213155	7.732729e-09	0.03168446	0.16950198	0.053704515	1.7424314e-07	0.007980814
priorregion1_spot_3	7.636155e-08	0.0011759261	2.5956624e-06	0.009949061	0.1192917	0.061952595	2.3923919e-08	0.019966204	8.5982535e-08	3.179104e-08	6.127392e-09	0.52907157	0.25858957	5.6620745e-08	5.2154604e-07	5.5552725e-08
priorregion1_spot_4	9.104608e-07	0.079987586	0.009224126	0.03931292	3.137323e-06	0.013393358	1.34905e-07	0.20859535	1.207778e-07	0.102030404	6.215477e-09	0.12523699	0.1889925	0.23320915	1.2681387e-05	5.9449565e-07
priorregion1_spot_5	2.8065157e-08	1.7151176e-07	2.3529603e-06	0.09790727	0.23631662	0.041689653	1.2583645e-08	7.3526616e-07	2.2662002e-08	1.1069915e-08	3.7956545e-09	0.40496388	0.21911837	1.2815741e-08	9.010665e-07	2.3805518e-08
priorregion1_spot_6	9.244657e-08	4.630642e-07	1.2836078e-07	6.262475e-07	1.7470457e-07	1.6980981e-07	2.7378508e-08	0.17329918	3.5594905e-08	0.17432953	3.7802432e-09	0.44566196	0.14811087	1.3319951e-06	0.054649454	0.003945976
priorregion1_spot_7	5.9823327e-07	3.8087725e-07	0.00096979836	1.8613033e-05	0.38411656	0.14157787	1.1989177e-07	0.3616393	0.001361182	0.110311985	6.933876e-09	1.0546626e-07	1.8792459e-06	1.2779117e-06	1.1324764e-07	3.3015e-07
priorregion1_spot_8	1.454401e-07	7.657259e-08	5.6414677e-08	6.196287e-08	0.049943075	8.848179e-08	7.1912375e-08	0.55898017	7.062687e-08	0.26484102	7.21047e-09	5.0692584e-08	7.4820406e-08	0.117077574	5.5709e-08	0.009157468
priorregion1_spot_9	6.843441e-08	0.4452423	2.2658797e-07	1.2196055e-06	0.00010778348	0.51748115	6.987539e-08	0.021455873	5.351061e-08	1.11595014e-07	4.4682356e-09	1.4753562e-06	0.014868487	1.343365e-07	1.7481034e-07	0.0008408265
priorregion1_spot_10	3.154073e-07	0.17002934	0.023250952	3.8515475e-07	0.07369121	0.075514644	4.703454e-08	2.5732868e-06	6.7995536e-08	0.0644657	7.107966e-09	0.28977382	0.25745654	0.0410393	4.0068193e-07	0.004774744
