,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,2.499487504792342e-06,1.2519477377281875e-05,1.1388650682420122e-05,1.713170185269064e-07,0.023209106549620627,1.5854419928018616e-07,0.0006637875718297437,8.302155993078485e-06,5.139890049576935e-07,0.0009691699669929222,5.751280252042079e-08,0.15074023827910424,1.5982205070486089e-07,0.44385943859815596,0.8582265675067902,0.0783539742231369
priorregion1_spot_2,2.7572515227802798e-05,1.0129951059818267,6.292871285040747e-06,0.00013498402186087335,1.9266445360699435e-05,2.9321756414901755e-06,2.227173661140114e-06,1.7657008538662924e-05,1.6111440572785796e-06,0.4796380087733269,3.5091682946131183e-07,0.4146702095866203,1.8117841378284537e-07,0.4577020391821861,0.8896867960691451,0.5584823876619338
priorregion1_spot_3,3.0324128147185546e-06,0.5983580917119979,6.351644105961896e-06,2.9845110293535982e-05,0.00019260200497228652,2.284218567183416e-06,5.755518827754714e-07,4.6649948853882964e-05,3.227435044550475e-07,0.0030863919062539937,7.318972620851128e-07,0.6333840638399124,9.082348839228871e-07,0.576445347070694,0.7313595861196518,0.279914277791977
priorregion1_spot_4,1.8183744668931467e-05,0.9146547168493271,8.85134427335288e-06,4.424694252520567e-05,4.794420055986848e-05,3.3863284897961423e-06,2.439004799725808e-06,0.0003274581176810898,8.207607862686928e-07,0.249689731746912,1.4352292083685826e-07,0.07407461032271385,1.2437278769539263e-06,0.41316940933465957,0.9976643085479736,0.3679275870323181
priorregion1_spot_5,2.317769144610793e-06,1.5204411566257476,2.8429514804884094e-05,7.119199799490162e-05,0.002489819633774459,1.8236312882891074e-06,2.6056285662434675e-07,4.8789288484840654e-05,3.2498428765848074e-07,0.26714216619729997,1.7405575434281672e-07,0.6080294489860535,4.845074727199971e-07,0.5936903595924378,0.6904933243989944,0.07044529765844344
priorregion1_spot_6,1.6397615399910138e-05,1.6529217422008513,4.8432897756356395e-06,3.256015315855621e-05,1.4933888724044665e-05,2.181264676437422e-06,1.728829850833336e-07,2.6361855907452993e-05,2.9791216036301196e-07,9.294053506891942e-06,6.816469237946876e-08,0.17581043913960456,1.8360943442985445e-06,0.19096614718437196,1.4826940655708312,3.6618377998820505e-05
priorregion1_spot_7,3.127513980416552e-06,2.2954728592594623e-05,5.409930940913909e-06,1.67921402862703e-06,0.3561540111899376,3.1778553307049153e-06,0.00010225319456367288,0.002851355413440615,7.030833785393042e-07,0.05198623258620501,1.3764577673214264e-07,0.07222423441708088,1.5523268132255906e-06,0.741737899184227,2.022220277786255,0.22893976494669913
priorregion1_spot_8,4.204855508760375e-06,1.1136522114276886,3.307968272565631e-05,0.0015720935189165175,7.656307097931858e-05,3.6443440080802246e-06,0.0001716359991405625,0.0001901703071780503,5.440219069896557e-07,0.3194522738456726,7.270613707532904e-07,0.2890379160642624,9.935803916505393e-07,0.47226752787828447,1.2437519013881684,0.3629819080233574
priorregion1_spot_9,0.00029294581618160014,0.0001403924783517141,1.0247709178656807e-05,0.0002055824843409937,1.2898750037493301e-05,6.631080032093452e-05,9.390870218339843e-05,2.637247425809619e-05,2.395901412910462e-06,2.417718470096588,3.977193523496681e-06,7.668673642911017e-05,5.473842293213238e-06,2.6699243783950806,0.8396485716104507,1.5923624336719513
priorregion1_spot_10,5.60500545816467e-06,0.2393505960702896,0.0009066583064850421,0.07373061142861843,0.11139039881527424,2.1096813497933915e-06,3.372879518792616e-07,3.769900013139704e-05,1.4580705453681733e-06,0.5601584255695343,4.366665450561414e-07,0.8100256055593491,8.905042051310376e-07,0.36592442244291307,1.8399161279201508,0.05609582383185625
priorregion1_spot_11,1.613951309309414e-06,0.1654883861541748,2.3148200170908243e-06,7.08399172708596e-06,2.9628758625221966e-06,5.295200395494249e-07,2.471055999819783e-07,1.9193197567801692e-05,1.0792403308812483e-07,0.5404532939195633,1.2803543185668788e-07,0.4847410783171654,2.7301415599367824e-07,0.35715739578008654,0.7054055035114288,0.4085542231798172
priorregion1_spot_12,3.504054311633808e-05,0.4108285367488861,0.0002776661407551728,0.10401188917458058,6.653431664744857e-05,9.713131112221164e-05,5.439379197014205e-06,5.389147772802971e-05,2.141678487532772e-06,0.8079184889793396,2.351223918140022e-06,0.706148025393486,9.534422097203787e-05,1.6820886552333834,1.2235151052474977,0.6774382650852203
priorregion1_spot_13,5.544924242713023e-05,0.020423615537583827,1.8623483902047157e-05,6.514396955026314e-05,7.751485281914938e-05,1.1253984382619821e-06,3.545256859638357e-07,7.73667811699852e-06,6.634162843965897e-07,0.4106410279870033,2.0008729393339308e-07,0.3961687833070755,2.3307294654273395e-07,0.7571292638778687,1.0589672446250915,0.3514126732945442
priorregion1_spot_14,7.065115664772748e-06,4.291263030609116e-05,1.0792507919177298e-05,0.0001738500504870899,2.1208805628702978e-05,3.3297316235803015e-06,0.00015759536254336126,8.781288943282562e-06,3.7767215133044374e-07,0.47555338293313976,1.8575292912714763e-07,3.8548582597286444e-05,1.73590914300803e-06,1.4053930461406707,0.6764266401529313,0.19774034470319746
priorregion1_spot_15,4.187171143712476e-05,0.2279156930744648,2.1773375692646365e-06,9.068041345017264e-06,5.579293224400317e-06,0.0006113653216743842,5.182348741072929e-06,1.2061684265063378e-05,7.815162518909347e-07,0.3048075735569,3.5169901195786225e-07,0.026003950741142035,9.326693742650606e-07,1.3385555565357208,0.8698648631572723,0.5202179044485092
priorregion1_spot_16,1.3267494807678306e-06,1.1201810411876068e-05,4.364726078165404e-06,3.994156645603652e-06,4.774579474542407e-06,6.8712235588463965e-06,2.8997313989975736e-07,5.818668978463393e-06,4.6407273543991325e-07,0.5863229453563691,2.1795029780946606e-07,1.5845527231693268,8.72019609232666e-06,0.132492246478796,2.383300113677979,0.42153498977422715
