,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,0.07392435446381569,3.12845462246969e-07,3.903611105471328e-08,3.829515566877717e-08,9.450293077861716e-07,6.709033470997384e-07,0.00027891818608622994,4.908660940827758e-07,0.000422485449234955,0.8710434019565583,4.115349447886275e-08,4.777116191689856e-06,1.6762683259230472e-07,0.8556813538074494,0.00032678463176125664,0.8106957346200943
priorregion1_spot_2,0.520572555065155,5.375340151658748e-07,4.0689316733733e-07,7.503277466014424e-08,1.7269945203679528e-06,2.1341114802453378e-06,0.0010393145028501749,2.3637614731342183e-06,0.061104741878807545,0.48396000564098357,7.302293539623861e-07,9.283323779527564e-05,5.972792479269629e-07,1.075133812427521,0.11947301924228668,0.5848104417324066
priorregion1_spot_3,0.15094975531101226,1.015048815133923e-06,2.9502193228836406e-06,1.6316911910507772e-07,1.6038413286878497e-05,4.5562396735476804e-07,0.05761612672358751,4.96669845233555e-06,0.36382655352354054,0.0016017343092244118,2.712839055618588e-08,0.5582138299942017,8.59555385090971e-08,0.3575905442237854,3.991551261606219e-06,1.1504058147693287e-05
priorregion1_spot_4,0.6366435527801514,1.2014328262921483e-06,1.2050969701249415e-06,3.0594745652479106e-07,3.243476578518312e-06,3.412321129871998e-05,0.17824865505099297,3.0759510082134515e-06,0.6511888861656189,0.8895268529653549,5.548972978886013e-07,3.2987401937134564e-05,2.5192610905833133e-06,2.5792413473129274,0.12374856732785702,0.5212557464838028
priorregion1_spot_5,0.23459990546107293,1.925945082348335e-06,1.7797879763747916e-06,2.844972300408699e-07,0.00027249466220382603,3.3798298090914616e-06,0.013657996710389853,3.1418344951816836e-05,0.20922816395759583,0.5512906402349472,3.0511084645468147e-07,0.1998134434223175,7.179590227224254e-07,2.567814910411835,0.20472733974456786,0.6405345708131791
priorregion1_spot_6,0.18573093935847285,1.1897357516943431e-07,5.35406389445825e-08,4.804168041161461e-09,1.6097166479767112e-07,1.5570259890296256e-07,1.0186020836044917e-05,1.1650556608344687e-07,3.966122421843466e-05,0.005190553073771298,7.047590566688912e-10,9.191971116706555e-07,8.074120616541336e-09,1.341395878791809,6.2418898778560106e-06,0.4083712548017502
priorregion1_spot_7,0.15139839351177214,2.8763158610445316e-07,7.83545331728419e-08,3.1551900647741604e-08,9.902831720864925e-07,4.4362414968190945e-07,0.007050871429964901,2.1113278521056601e-07,0.12255654819309711,4.573752612486714e-05,2.3767875934055383e-08,0.037626389600336554,1.7008226027570573e-08,0.06814594082534313,4.51356387998203e-07,9.04984977978529e-07
priorregion1_spot_8,0.5648940920829773,3.6756498047907377e-06,2.4244582846222335e-06,1.2755079069393106e-06,1.3074768185106223e-05,2.4584608945588114e-05,0.007580024260096252,9.11354959498567e-06,0.17267761528491973,0.9263870537281037,4.6133448279306326e-07,7.137048960430548e-05,9.328964415544762e-06,3.7753182649612427,0.47580384314060215,0.9316841453313828
priorregion1_spot_9,0.18465003520250323,2.9440577804962233e-06,3.2755344705037717e-06,6.176072531616228e-07,0.0019741603755392134,1.2887723323729006e-05,0.06619544997811318,2.7666290316119563e-05,0.19272149801254274,0.6463709354400634,4.691981928317546e-07,0.008587326435372232,2.881429145418224e-06,2.4955299496650696,0.600575515627861,0.5895100951194763
priorregion1_spot_10,0.8188187152147294,1.5659608720852702e-06,1.2729091508845163e-06,6.936024647075101e-07,9.358250508739731e-06,6.028007919667289e-06,0.05068404600024223,6.276701697061071e-06,0.2784699976444245,0.6703877180814743,3.2140494568011494e-07,1.2084458112716674,2.0266241335775706e-06,0.9608421504497529,0.09876843839883805,0.5618339508771896
priorregion1_spot_11,1.417030781507492,1.0295591124531713e-06,7.87113393130312e-07,2.111795780024295e-07,1.5422507033235889e-06,1.7270246007683455e-05,0.1686973139643669,1.8682782467749348e-06,0.3120756164193153,1.6394608974456786,3.820424424816338e-07,3.6252960398996946e-06,1.813547811480021e-06,2.701037955284119,0.00067332653561607,1.0977343380451203
priorregion1_spot_12,1.1437166154384613,9.574700982284413e-07,4.557709260666343e-07,1.4885205175119153e-07,1.234071976341511e-06,3.1171071896096692e-06,0.1393180027604103,2.066424758595531e-06,0.3804356798529625,0.10646986812353133,0.0003647037723567337,6.856719710413017e-06,4.3928202302367937e-07,3.100423848628998,0.00040330351766897364,0.2741699889302254
