	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	3.4358627e-07	1.6580842e-06	0.4076075	7.929315e-06	0.029777775	0.22913173	6.696747e-08	5.158083e-06	6.611247e-08	4.046275e-08	8.386518e-09	0.16705468	0.01997936	1.4937321e-07	0.14643341	8.907021e-08
priorregion1_spot_2	3.2942697e-08	1.3072325e-07	0.11233239	1.0512848e-07	0.042342838	4.6239506e-08	1.7701373e-08	3.307601e-07	2.5338272e-08	2.5715991e-08	3.34554e-09	0.52761424	3.2595162e-07	1.073935e-07	0.31770936	1.2984074e-07
priorregion1_spot_3	1.0748602e-07	1.9669183e-07	0.19681877	3.17576e-07	1.4509816e-06	0.27392069	4.1709633e-08	2.5456538e-07	2.7294561e-08	2.698591e-08	4.036928e-09	0.15118676	1.5636933e-05	9.94051e-08	0.3780554	9.864178e-08
priorregion1_spot_4	1.674264e-07	3.3615208e-07	0.42571068	1.8488246e-06	3.1202592e-07	0.38800687	1.4355183e-07	4.1390783e-07	8.812785e-08	1.532115e-07	1.2754827e-08	1.9549059e-07	0.025213698	0.14099199	0.020072555	4.4053368e-07
priorregion1_spot_5	1.9136972e-07	1.3427795e-07	0.13412444	2.9614202e-07	3.2193732e-06	0.09233159	4.2319922e-08	0.0057094884	3.2772185e-08	4.287205e-08	5.1818527e-09	0.3568037	3.326727e-06	2.865087e-07	0.41049907	0.00052411814
priorregion1_spot_6	8.522367e-08	7.7313047e-07	0.55266523	0.003801549	0.039450817	1.7522747e-07	2.6370227e-08	3.2705066e-06	2.9173563e-08	3.013461e-08	4.535497e-09	0.16242194	0.009793027	9.1286694e-08	0.23186289	7.361315e-08
priorregion1_spot_7	1.1538746e-06	5.0670796e-08	0.1508522	8.152294e-08	8.025562e-08	0.02606404	9.85269e-08	7.646887e-08	1.7668507e-08	1.3378563e-08	2.2826943e-09	0.5353612	9.458386e-08	0.03820995	0.24951093	1.0510025e-07
priorregion1_spot_8	5.1657597e-08	1.9438815e-07	0.34379423	6.684184e-07	3.5675163e-07	0.04322026	2.6404981e-08	1.565526e-07	2.5647779e-08	2.751345e-08	4.601058e-09	0.19675575	8.4393884e-07	5.3049614e-08	0.41622722	7.3386694e-08
priorregion1_spot_9	8.611823e-07	4.507535e-06	0.6668135	0.01710414	0.17645039	0.04513145	1.7512197e-07	0.060635794	4.8274046e-08	4.6147765e-08	0.00016056192	6.841705e-07	0.013974437	0.01972283	5.086042e-07	1.332055e-07
priorregion1_spot_10	3.023794e-07	2.3949767e-07	0.065949745	2.6398808e-07	0.042778075	1.4515051e-06	4.562603e-08	6.7524784e-06	5.0870888e-08	3.1878432e-08	5.227009e-09	0.4143563	1.244063e-06	1.09432335e-07	0.47690517	2.4890508e-07
priorregion1_spot_11	6.337566e-07	3.66923e-07	0.12106681	7.9075977e-07	1.3093338e-06	0.56564844	9.148185e-08	7.9076585e-07	6.879122e-08	0.0003625719	6.9974e-09	0.17695358	4.230101e-05	6.4055826e-06	0.13591501	8.7035454e-07
priorregion1_spot_12	1.7367732e-06	1.0796933e-07	0.054909177	2.0993755e-07	1.4008168e-07	0.27823764	1.1839254e-07	4.6867757e-07	7.007572e-08	8.3498534e-08	8.284004e-09	0.19977884	3.7587126e-06	0.008861912	0.45727587	0.00092991476
priorregion1_spot_13	1.3764844e-07	2.5137282e-07	0.20982832	3.2547473e-07	2.0763447e-07	0.037974324	2.3707795e-08	0.010055514	2.4065663e-08	3.7703803e-08	4.007367e-09	0.4400762	0.009451719	0.15112138	0.14149147	5.8793233e-08
priorregion1_spot_14	2.2055887e-07	6.0193736e-07	0.2139192	1.5719048e-06	0.034757186	0.03118995	3.323239e-08	0.0073951203	4.3851536e-08	3.86815e-08	9.853149e-09	0.3223804	0.016546352	1.696573e-07	0.3738089	1.888245e-07
priorregion1_spot_15	1.2563405e-07	1.2770543e-06	0.52135706	0.0072879153	0.30690858	0.16378762	3.9375873e-08	5.40866e-06	6.474299e-08	0.0006461933	7.0991617e-09	3.9583375e-07	2.507359e-06	1.466967e-07	2.5647087e-06	7.524212e-08
priorregion1_spot_16	2.2987642e-07	1.8932519e-07	0.23624593	7.4723323e-07	1.7792332e-05	0.12325519	8.629924e-08	7.6527385e-06	2.9667275e-08	3.9175948e-08	3.8677954e-09	0.30706456	2.1019116e-06	0.009403414	0.3240004	1.5847611e-06
priorregion1_spot_17	0.009916872	1.9838026e-07	0.33858082	9.010851e-07	9.865432e-07	0.1283126	3.310732e-08	2.0941623e-06	3.8881485e-08	4.6234405e-08	5.257475e-09	0.06152991	0.017758327	0.17880182	0.26509485	4.7252863e-07
priorregion1_spot_18	8.869193e-08	2.6769632e-07	0.0018681363	0.0029490055	3.9821842e-07	0.03260271	5.3723383e-08	1.6758769e-07	4.129949e-08	4.086153e-08	7.609513e-09	0.3008958	1.0141598e-06	7.651781e-08	0.661133	0.00054921885
priorregion1_spot_19	1.2681944e-07	3.0629423e-07	0.12867276	1.7657343e-06	0.062350754	0.3736524	5.352184e-08	1.8778602e-06	3.3663607e-08	0.00023771002	4.2966475e-09	0.14987145	2.9951218e-06	1.3556026e-07	0.2852073	2.7513497e-07
