	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	2.3413762e-07	0.15913124	2.103578e-07	4.2346833e-06	0.1269271	0.14028616	6.9082866e-08	0.381962	6.727946e-08	0.13534647	6.90944e-09	0.02515365	0.026147839	9.933366e-07	1.9428828e-07	0.0050394596
priorregion1_spot_2	1.6629215e-07	0.25255907	7.8800085e-08	1.3728798e-07	0.10613342	0.2114395	8.7134204e-08	0.05404468	0.00043582395	0.1121024	7.656201e-09	0.03196462	0.1696795	0.05352758	1.7474319e-07	0.008112835
priorregion1_spot_3	7.6650934e-08	0.0011490617	2.601263e-06	0.009933403	0.11949513	0.062058475	2.4028095e-08	0.019739024	8.572759e-08	3.1827295e-08	6.126201e-09	0.5288975	0.25872394	5.6848762e-08	5.2192325e-07	5.58098e-08
priorregion1_spot_4	9.0841183e-07	0.07979336	0.00913542	0.039521575	3.1887523e-06	0.013085443	1.3454482e-07	0.20870134	1.20207e-07	0.10208062	6.1471934e-09	0.12544088	0.18929529	0.23292816	1.2978571e-05	5.971589e-07
priorregion1_spot_5	2.8013583e-08	1.725493e-07	2.3760535e-06	0.09775758	0.2357069	0.04259674	1.2492489e-08	7.369287e-07	2.2438977e-08	1.1026654e-08	3.779055e-09	0.4042637	0.21967083	1.2859943e-08	8.9250375e-07	2.3840032e-08
priorregion1_spot_6	9.294744e-08	4.6564546e-07	1.2931694e-07	6.297954e-07	1.76383e-07	1.6838182e-07	2.7395247e-08	0.17323181	3.5581156e-08	0.17422217	3.7718273e-09	0.44576982	0.14830233	1.317054e-06	0.05448934	0.003981531
priorregion1_spot_7	6.0468807e-07	3.855983e-07	0.0009752814	2.0731033e-05	0.38447338	0.14101535	1.200585e-07	0.3617703	0.0013558125	0.11038437	6.8321544e-09	1.05622384e-07	1.9116462e-06	1.2643527e-06	1.1367007e-07	3.3250268e-07
priorregion1_spot_8	1.473122e-07	7.734714e-08	5.6844954e-08	6.260176e-08	0.0500528	8.860814e-08	7.229093e-08	0.5590425	7.0569456e-08	0.2650094	7.167164e-09	5.100382e-08	7.515203e-08	0.1166656	5.599654e-08	0.009228985
priorregion1_spot_9	6.9011364e-08	0.44553226	2.2168203e-07	1.1995664e-06	0.00014630855	0.5166038	7.083864e-08	0.021601714	5.3764225e-08	1.1029943e-07	4.40879e-09	1.4586558e-06	0.015257244	1.3341638e-07	1.7341063e-07	0.0008550908
priorregion1_spot_10	3.1740151e-07	0.16994993	0.023234183	3.8713702e-07	0.07366211	0.075495064	4.7252225e-08	2.594355e-06	6.812633e-08	0.06448241	7.127094e-09	0.28996876	0.2576501	0.04073355	4.0425442e-07	0.0048200325
priorregion1_spot_11	4.0665088e-07	0.37840194	1.3784982e-06	0.047863945	0.09336287	0.008686373	7.908456e-08	0.20001216	1.4836831e-05	0.12900765	5.4626343e-09	0.09425688	0.015928047	0.016691275	1.4083463e-06	0.015770746
priorregion1_spot_12	1.0614422e-07	1.18212505e-07	0.0042981324	6.499643e-07	0.0323587	0.11342341	1.0494244e-07	0.5404127	8.843735e-08	0.3095039	1.012282e-08	8.3461444e-08	9.730603e-07	4.087917e-07	8.1343096e-08	4.9818095e-07
priorregion1_spot_13	1.6339506e-07	0.22406621	0.010395453	9.725441e-06	0.068668656	4.338976e-07	5.843761e-08	0.0028904194	0.00041388712	0.05534865	5.8122676e-09	0.43284783	0.110269964	0.04862081	0.046467587	1.534015e-07
priorregion1_spot_14	3.558943e-07	0.26735583	0.05506556	2.8901402e-06	0.03991706	0.20971894	8.614652e-08	0.06450095	1.07525246e-07	0.11341457	6.6614723e-09	0.0072050123	0.020107511	0.039837405	0.15637782	0.026495915
priorregion1_spot_15	7.8391065e-07	0.63208556	1.1387614e-07	8.228061e-06	2.837851e-07	0.0112533495	0.0007164214	1.8985661e-06	4.7052694e-08	0.09742501	4.763062e-09	0.15497547	0.092955686	0.010576128	5.435101e-07	4.8880247e-07
priorregion1_spot_16	1.3547256e-07	3.0963335e-07	2.9945465e-07	0.0053769886	6.124833e-07	0.028005913	1.0380282e-07	2.3947658e-07	1.7270294e-07	0.028228179	1.0703848e-08	0.44286567	0.34398907	6.245483e-07	0.07395137	0.07758024
priorregion1_spot_17	1.5897223e-06	0.074954376	2.034464e-07	2.1153855e-07	0.013548609	0.015593263	0.00042675578	0.21661657	2.1327956e-07	0.26507393	1.0354967e-08	0.051252466	0.113667056	0.15800928	0.059692293	0.031163236
priorregion1_spot_18	2.23486e-07	0.528765	4.2690968e-07	0.037535623	0.13808064	0.12665413	2.2092262e-07	0.01947129	0.0013145529	0.10579576	5.674114e-09	5.3640196e-07	0.012653907	0.02456519	8.1736647e-07	0.005161748
priorregion1_spot_19	3.3455095e-07	3.4827443e-07	3.5653238e-07	3.5376829e-07	0.09264384	0.3551142	9.684926e-08	0.08853272	8.8089486e-08	8.139004e-08	1.1218839e-08	0.072529905	0.3911768	1.765755e-07	2.892993e-07	4.6801685e-07
priorregion1_spot_20	4.5603778e-07	0.2016037	0.008965965	1.1532112e-06	8.7434705e-07	0.053177405	1.5687547e-07	2.0768906e-07	9.128364e-08	0.35112953	9.882292e-09	0.27842605	7.5416506e-07	0.095980056	8.280772e-07	0.010712775
priorregion1_spot_21	6.968796e-08	0.629575	4.4609396e-07	0.0056661447	1.3451746e-05	0.05928111	3.2717697e-08	0.29700202	6.588884e-08	2.0014003e-08	3.828974e-09	1.0231992e-07	0.008461251	5.058955e-08	1.1986893e-07	8.153686e-08
priorregion1_spot_22	2.9143877e-07	0.1510284	1.0345778e-07	1.6212286e-07	0.08820893	0.059492342	1.250277e-07	0.06483104	7.121294e-08	0.17539169	8.210644e-09	0.3242194	0.054701544	0.025322998	0.0036830695	0.053119794
priorregion1_spot_23	1.17750204e-07	0.26306134	3.038211e-06	0.007101003	0.32600912	0.3463553	8.746607e-08	0.0016904174	0.0018132874	4.0874856e-08	6.837682e-09	2.7852127e-07	0.053965427	1.6785465e-07	4.1790105e-07	7.007515e-08
priorregion1_spot_24	2.0296838e-07	2.761273e-07	5.3229553e-07	3.443072e-07	0.4811926	2.4875828e-07	7.945278e-07	0.3473919	7.892453e-08	0.094704516	4.8145377e-09	4.2463847e-07	0.008858468	0.048658006	1.2757292e-07	0.019191511
priorregion1_spot_25	9.003235e-07	1.9218105e-07	0.002184301	2.0335253e-07	2.989304e-05	5.885279e-07	1.3133365e-07	0.50951326	0.0036055278	0.1726887	1.0967575e-08	1.9493245e-07	0.23612337	0.07585191	1.6248019e-07	6.8905257e-07
priorregion1_spot_26	1.902136e-07	7.012982e-07	0.0034191518	2.2236183e-07	1.588083e-06	0.00560665	4.651098e-08	0.5864772	0.0056300526	1.6685751e-08	5.370756e-09	0.14831993	0.24256669	4.3910538e-07	3.6454267e-07	0.007976724
priorregion1_spot_27	1.2449059e-06	0.10734547	1.3239177e-06	1.8780712e-06	0.016698644	0.021711	5.994155e-08	0.3544639	5.3910203e-08	0.10574221	5.496291e-09	0.24030763	0.11131622	0.035191853	2.1105643e-06	0.0072164224
priorregion1_spot_28	1.6644162e-07	0.4475243	4.390649e-07	3.9192175e-05	0.044131324	0.002738825	2.759864e-08	0.2152604	4.979908e-08	2.3731136e-08	0.00013213734	0.23360117	0.056571297	1.2980381e-07	5.2578145e-07	4.030786e-08
priorregion1_spot_29	8.3998096e-08	0.14543746	2.6046807e-06	0.01458869	0.33908126	0.13472374	4.0094978e-08	8.3343224e-07	5.0885248e-08	2.1776405e-08	3.9660426e-09	0.23330939	0.13285542	9.651066e-08	2.8563144e-07	5.4601514e-08
priorregion1_spot_30	1.455258e-07	9.0507234e-07	0.008722769	3.0607958e-07	1.0102721e-06	0.2038646	4.2063284e-08	2.6265064e-07	4.711803e-08	5.5460113e-08	9.076589e-09	0.36974725	0.32454515	1.183519e-07	0.09311728	6.9294174e-08
priorregion1_spot_31	0.0023089685	7.3382e-07	0.0012423105	4.5968096e-07	0.04119723	0.21161509	1.1487903e-07	0.46979105	0.003729728	0.06797675	6.049661e-09	1.0882754e-06	0.119965546	0.08217	2.8248752e-07	6.3376973e-07
priorregion1_spot_32	0.006674091	9.522128e-08	0.0021557629	2.683228e-06	0.18153268	1.1684343e-07	1.07983446e-07	0.5799051	2.9653955e-07	0.072920896	8.21128e-09	8.606363e-08	1.697751e-07	0.15680742	7.028509e-08	3.8298646e-07
priorregion1_spot_33	1.9381484e-07	0.0061245575	1.7617818e-07	1.0666776e-06	1.3044682e-06	0.10029542	7.122803e-08	0.37762654	5.7974155e-08	0.11568181	7.534425e-09	0.2971869	0.08500908	8.2872936e-07	0.018071735	2.494711e-07
priorregion1_spot_34	1.1407077e-07	0.34682673	2.0086412e-07	4.314991e-06	3.6533295e-06	0.24157777	2.9054034e-08	0.41158465	3.8639406e-08	1.4415212e-08	4.3306914e-09	7.561096e-07	1.6428417e-07	4.6167298e-08	1.6673594e-06	2.2483732e-08
priorregion1_spot_35	6.643788e-08	0.36357313	1.3520109e-07	6.663364e-07	2.1484117e-05	6.896352e-08	2.12977e-08	0.6364037	1.688883e-08	1.753053e-08	2.8477187e-09	1.8017036e-07	2.1617872e-07	3.225603e-08	2.288048e-07	3.6739713e-08
priorregion1_spot_36	8.5732864e-07	0.53214824	2.1465124e-07	1.3814347e-06	4.6594954e-07	0.062436588	1.15183106e-07	0.063784935	8.331653e-08	0.2111058	9.839186e-09	1.2891543e-07	0.034699533	0.080709666	4.4285122e-07	0.015111561
priorregion1_spot_37	2.6431525e-07	0.18410857	1.6174909e-07	2.994029e-06	2.645084e-07	0.2706553	9.832744e-08	0.09102708	0.0006822046	0.038552582	4.559688e-09	0.2531883	0.07870047	0.08308107	2.9897987e-07	3.0037592e-07
priorregion1_spot_38	1.1394768e-07	0.0049169715	0.021203762	1.5831914e-06	0.1072199	0.12637563	4.6397187e-08	0.46872467	7.960526e-08	0.13537303	6.2491914e-09	7.6313924e-08	0.0037910526	0.13239273	6.906136e-08	2.8857426e-07
priorregion1_spot_39	6.9164614e-08	0.5032992	2.2055823e-07	6.174865e-07	0.2179531	6.222374e-08	3.5102474e-08	0.1611754	3.473765e-08	3.0215933e-08	6.1983423e-09	0.1175697	1.1058172e-07	2.011101e-07	9.476021e-07	5.884201e-08
priorregion1_spot_40	8.052981e-07	0.20718299	1.9733794e-07	1.1182259e-06	0.07619608	0.33799383	1.5280263e-07	0.06797831	8.421723e-08	0.12935856	7.088728e-09	0.0872698	3.1574182e-06	0.08782626	7.700636e-06	0.0061809504
priorregion1_spot_41	0.007644244	8.93732e-07	0.0562799	0.0025545883	2.6628936e-07	0.02321037	2.2581906e-08	0.39894757	2.7324038e-08	2.120676e-08	2.8279146e-09	0.18037409	0.0058917273	0.32509515	1.2158916e-06	4.4314454e-08
priorregion1_spot_42	7.151428e-07	2.3176152e-07	2.5712836e-07	2.2217411e-07	2.7860128e-07	0.5632726	1.0143117e-06	0.09221493	0.000381626	0.08862871	1.2789912e-08	2.0939581e-07	0.17335288	0.07482515	2.8569656e-07	0.007320975
priorregion1_spot_43	7.797529e-07	1.2239618e-06	2.5213103e-07	0.00018847603	5.460322e-06	0.21509711	8.78288e-08	0.46743745	0.004105327	0.08011043	4.6248037e-09	0.12573095	0.095877975	0.011443943	1.4504651e-07	2.889717e-07
