,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,1.4034796640771675e-05,0.6067950874567032,4.100625610590214e-05,0.0007263343955855817,0.4906658783555031,0.8555989861488342,1.3392625351116295e-05,1.4369506180286407,2.1615353148263242e-06,0.8528063058853149,2.496637163673654e-08,0.29251748621463775,0.1307571329176426,0.048327219486236576,9.476854138483759e-05,1.1379546276657492e-05
priorregion1_spot_2,1.4530225234921092e-05,0.47127789407968523,5.3415416232382995e-06,3.83929189410992e-05,0.21183685436844826,0.936543682217598,3.5414157082414026e-06,0.2552069053053856,1.3223384371485738e-06,0.31463693380355834,1.629681118942017e-08,0.005095960409380496,0.3524705141782761,0.1852254219353199,6.157394345791544e-05,5.745970793213928e-05
priorregion1_spot_3,2.348423556952639e-07,0.012578406278043984,0.0002899717350373976,0.00029922893299954016,0.06146515179425478,0.17693839520215987,2.7178234972780047e-06,0.13631591796875,3.625972951226686e-07,2.6791483520582915e-07,9.101802200817133e-09,1.1682925462722777,0.6025234758853912,2.613213587210339e-06,1.5385868209705222e-05,8.222178715655561e-09
priorregion1_spot_4,2.8952829416084574e-05,0.4077093467116356,0.14240075126290322,0.02205911949276924,0.00146921148407273,0.26534925252199176,1.8698647863857335e-06,1.214840441942215,1.8908973288489506e-06,0.6245151311159134,1.1635730992054507e-07,0.5554333567619324,1.007069218158722,1.7228529512882234,0.00027174982387805356,6.70045333208691e-06
priorregion1_spot_5,1.1125049992344316e-08,0.00016350656078429894,8.73269164003432e-05,0.07334619611501694,0.19787048250436784,0.061919742636382585,6.732617606530767e-07,0.00016602820323896594,3.730957196523833e-08,1.402687836105088e-07,9.540469747548741e-09,0.45437015146017073,0.26766482293605803,5.250347101082298e-07,3.7664812111870566e-06,5.782879242133277e-09
priorregion1_spot_6,6.8245369675423726e-06,0.00024242179933935405,2.3149004846345637e-05,6.306184991444753e-06,3.2204186754825063e-05,1.6546073129575235e-05,5.638375967009779e-07,0.1729679547250271,1.5356238520780606e-07,0.1685057520866394,1.6518073930882336e-08,0.42752424776554104,0.15684859082102776,0.06012477222830057,2.55270353591186e-05,0.00518804881721735
priorregion1_spot_7,1.520113810329349e-05,0.0022455132217146455,0.00027332756726536903,4.6318271415657364e-05,1.8612435102462768,0.7728641986846925,0.0003499462909530849,0.9762660294771195,6.633617590523501e-06,0.7213671892881393,1.507361298003218e-08,2.922846442743321e-05,8.628440855318332e-06,0.0009718150977278128,2.912280297096004e-06,4.053566931361275e-06
priorregion1_spot_8,1.7304389075434304e-05,1.6432183383585655e-05,3.155954595968069e-06,9.936945950528298e-08,0.020160840544849637,3.1900107956062133e-06,3.8888806699333153e-07,0.43357915729284285,3.1384988545823945e-07,0.3050954505801201,8.492702763263082e-09,5.371732640924165e-07,2.0008302481500094e-08,0.11215797141194343,4.1953448572940036e-07,0.000605493862531148
priorregion1_spot_9,3.762749436475588e-08,0.3123239502310753,4.873934449278751e-06,1.562232873766334e-05,0.00010536780682741665,0.6549226671457291,1.0424504548467439e-08,0.004260060936212539,3.850128820204191e-08,2.0665986994572448e-06,1.1500431273958615e-08,0.003107107931282371,2.00318148927181e-05,5.63392941330676e-06,4.534679715106904e-06,1.524339907632566e-08
priorregion1_spot_10,1.661742644500919e-05,0.3068854987621308,0.04198069050908089,4.157626117375912e-05,0.0006395654956577346,0.2366725981235504,1.3143614012278704e-06,0.047530637867748735,8.393514718818551e-07,0.12038653045892715,2.0206700668268242e-08,0.5514560997486114,0.46184937506914137,0.19951744526624682,7.775834783387836e-05,2.4604160716990013e-05
priorregion1_spot_11,4.531153444986558e-05,2.2485567331314087,1.916629762490629e-05,0.0002062803221633658,0.0449376305565238,0.18916255310177804,2.1793501105094034e-06,0.762725779414177,5.829586666550313e-06,0.6606099307537079,3.77060311862465e-08,0.30685597360134126,0.08690907917916774,0.4747179955244064,0.00027268459089100364,0.004289059992879629
priorregion1_spot_12,1.5797800188011024e-06,0.000680601634667255,0.0014907034812495113,1.7074482730095043e-05,0.11183678880333901,0.2424556814134121,4.44015239509099e-07,0.9778255760669708,1.1396918822015323e-07,0.8774320393800735,9.51764809187239e-09,7.22712293281802e-06,1.4859168686598425e-06,0.0020511678187176588,9.02804836755422e-07,2.5867733711493205e-06
priorregion1_spot_13,7.086865698511247e-05,0.7902733027935028,0.014549310132861138,0.00017250332166440785,0.002886622096411884,0.0026445906143635514,1.5197686343526585e-05,0.14344417825341227,6.670079983450705e-06,0.4755278795957565,1.1592383870606683e-07,2.495568192005157,0.5294801592826843,0.17757741063833238,0.0013430052436888217,2.6534598055150132e-05
priorregion1_spot_14,0.00025315554667031397,0.5775945901870727,0.12505075484514236,0.00039745066023897383,0.009974818956106902,0.8882834345102311,1.055646416716627e-05,0.3316342398524284,0.0010058853076770902,0.43611342310905454,9.351464171913904e-08,0.13284533321857453,0.0019485785451252013,0.22475376576185227,0.2183801829814911,0.04995118863880634
priorregion1_spot_15,1.2207748386572349e-05,1.3420828223228454,1.5863941939642246e-06,1.7621423410218994e-06,2.9155916490708477e-05,0.002453241206239909,1.4498612790703194e-05,0.0016610552731435746,2.895758711929375e-07,0.4893184512853622,3.2283926110210364e-08,0.3803662210702896,0.20394710376858713,0.015117277484387159,1.5371115205198296e-05,3.843941476588953e-06
priorregion1_spot_16,1.3520534537292407e-06,9.631548755351106e-06,3.515038144996652e-06,2.1914475922812929e-07,9.731196541906684e-06,2.621848307171604e-05,2.7781851201780234e-07,4.7663510940765265e-06,1.591613489893007e-07,0.12910395115613937,1.3699927547961011e-08,0.3290345251560211,0.35232957899570466,0.0004645782348234207,0.04695752300322056,0.026563638169318435
priorregion1_spot_17,0.0014803072321228684,0.31013296246528627,1.3150909808246071e-05,6.214502100192476e-05,0.0997478324919939,0.13502784371376036,0.001622645801398903,0.7839863181114196,0.00012095188321836758,1.5978468120098115,1.0582389684543615e-07,0.30939951390028,0.5456370413303375,1.0679099082946777,0.07325528860092163,0.07168847396969795
priorregion1_spot_18,3.540011675795541e-05,1.6392202854156495,6.562776943610516e-05,0.0013805408612824976,0.001913317694561556,0.7645848780870438,1.2985189528080812e-06,0.211889436095953,1.6866336500243052e-05,0.5291541814804077,1.826759268297451e-08,0.00013637505253427662,0.07828192971646786,0.10212049074470997,0.00015545914866379464,3.213773434254108e-05
priorregion1_spot_19,1.5302101061820394e-07,0.002252966875676066,1.0757857717180741e-05,3.262892300881504e-06,0.002240103390067816,0.5040237337350846,7.181681276335894e-08,0.1400743842124939,1.9699799480576984e-08,1.4643543863712694e-06,2.325584018691984e-08,0.08269357830286027,0.4413650169968605,2.3869991400715664e-05,1.9131750093492885e-06,9.056768561777062e-08
priorregion1_spot_20,0.00013395937203313223,0.4724432066082954,0.0001900264760479331,5.5340548897220294e-05,8.698099227331114e-05,0.2068580910563469,6.135822741271113e-06,0.0007421967631671578,6.274752036006248e-06,1.3437959909439088,3.7331634672455045e-08,0.8639821976423264,7.075520306898397e-06,0.5839090436697006,0.0001837269890529569,0.0008409152855165303
priorregion1_spot_21,9.939013310145129e-08,1.5073986530303953,9.563825233271928e-06,0.00021761943280580455,0.00010932667573797517,0.202053003013134,4.02656865627904e-09,0.7783752411603928,2.472838303901881e-07,7.708368002568023e-07,1.5135542508204482e-08,2.593430335764424e-05,8.919407810026315e-05,5.337852314823976e-07,2.9276207260409138e-05,5.3165616087369474e-08
