	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	1.4004974e-07	0.4716308	0.106681705	0.116593495	0.096147284	2.162101e-06	4.6365248e-08	0.15383163	1.2688454e-07	3.4752382e-08	3.824637e-09	0.055102255	6.9344264e-06	1.2681124e-07	3.1185257e-06	5.3019555e-08
priorregion1_spot_2	1.4650993e-07	0.25217363	0.034608193	0.042019237	0.0040965388	6.346574e-07	9.257897e-08	0.119538896	0.001044032	5.646863e-08	4.6053907e-09	0.5455584	1.3223325e-06	1.4209449e-07	0.0009587857	6.6868836e-08
priorregion1_spot_3	5.2744294e-08	7.539796e-07	2.0332403e-05	0.0033651192	0.5061363	1.410535e-07	1.4130836e-08	0.48712847	2.4985168e-08	2.0106482e-08	1.3324079e-09	1.00102575e-07	0.0033486187	4.064063e-08	7.741769e-08	1.685533e-08
priorregion1_spot_4	2.059562e-07	0.016380103	5.233004e-06	6.65672e-07	0.06371137	9.428518e-07	1.1222808e-07	0.39655617	0.0049300087	9.247902e-06	0.0004990086	0.512077	2.168891e-06	7.62609e-07	2.1156436e-06	0.0058249123
priorregion1_spot_5	0.012011986	0.68506116	0.104656	0.08137192	1.7287875e-06	5.3126826e-07	1.360798e-07	0.07935982	0.00088517467	6.0994836e-08	7.15326e-09	0.03664542	4.9753544e-06	2.559471e-07	5.720938e-07	1.7496446e-07
priorregion1_spot_6	0.00041601632	1.115326e-06	0.0027224228	1.9966305e-05	0.2630047	0.013965134	9.9545616e-08	0.5460516	0.0019526111	5.428293e-08	4.292238e-09	0.17051475	4.9968645e-07	0.0013501532	4.2399674e-07	4.2850786e-07
priorregion1_spot_7	8.074694e-08	3.286717e-06	0.0027377696	6.593999e-07	0.2967785	2.323118e-07	1.3744063e-08	0.68867356	4.175447e-08	2.1968072e-08	3.0352467e-09	0.011802436	3.2709697e-06	3.196684e-08	2.503366e-07	1.575775e-08
priorregion1_spot_8	7.151376e-08	0.015763594	0.1379411	0.25402343	0.15409905	0.006599854	2.609068e-08	0.16729535	9.0186745e-08	1.9674438e-08	2.9899576e-09	0.25992396	0.0043483777	3.8413738e-08	5.0582025e-06	2.7689516e-08
priorregion1_spot_9	5.827533e-07	2.6859643e-06	7.450038e-06	1.5278688e-06	0.3331662	0.018579265	2.713493e-06	0.30576113	3.321296e-07	2.858258e-08	5.267477e-09	0.33860767	0.0026204314	0.0012065438	4.3437554e-05	5.7393244e-08
priorregion1_spot_10	0.007177039	3.7426357e-06	0.0065738424	0.011242979	0.19572121	0.015261116	4.20811e-08	0.62360346	0.003785317	3.216351e-08	3.0636595e-09	0.136623	6.910632e-06	3.2748943e-07	9.697027e-07	5.1557507e-08
priorregion1_spot_11	5.8437496e-07	0.04667895	2.0666585e-06	7.5231255e-05	0.21550648	0.034317188	5.0572638e-08	0.65696514	6.5703176e-08	4.563851e-08	4.3385446e-09	2.6382816e-07	0.046453506	8.9146255e-08	2.3466245e-07	1.1543712e-07
priorregion1_spot_12	1.713363e-07	2.3290797e-06	0.010264601	0.0011170995	0.28500465	0.0016079592	7.227579e-08	0.6826472	0.002941716	0.0018513463	8.839773e-09	0.0039667357	0.010286474	0.00030866073	7.3540014e-07	1.3618812e-07
priorregion1_spot_13	5.0427417e-07	8.3124814e-07	1.0523354e-05	0.033445474	0.4571161	1.3241389e-06	1.689309e-07	0.08366603	1.5845106e-07	1.7311268e-07	1.6557648e-08	0.41276124	0.0056544174	4.583016e-07	3.6322118e-07	0.0073423884
priorregion1_spot_14	3.505405e-07	0.0013514662	7.3973815e-06	2.1229625e-06	1.3541361e-06	0.07510336	3.7961335e-08	0.42725587	1.335199e-07	3.5885623e-08	3.1461165e-09	0.3092382	0.060268328	0.011551109	0.11522009	6.139913e-08
priorregion1_spot_15	8.8563574e-08	0.009109526	2.78574e-07	2.9049663e-06	0.21544127	0.040499326	3.403919e-08	0.31971812	5.428691e-08	2.6347099e-08	3.5068832e-09	0.415227	6.9820624e-07	5.202983e-08	5.888421e-07	3.581361e-08
priorregion1_spot_16	8.821953e-08	0.01931248	0.00018995955	9.986761e-06	0.32635617	0.008859747	2.7244788e-08	0.6141248	4.760614e-08	3.3044458e-08	3.413777e-09	1.7062098e-07	0.023003733	8.058788e-08	0.007963249	0.00017937462
priorregion1_spot_17	5.596692e-07	5.1264124e-06	0.0063738674	5.5779738e-06	0.21953811	0.038323477	2.028555e-07	0.59391296	0.0013688701	1.8679005e-07	6.999357e-09	0.11814324	0.018738108	0.0035887037	7.6811324e-07	1.8671757e-07
priorregion1_spot_18	0.0037842062	2.9860962e-06	9.673e-07	0.010925236	0.0055618407	0.004231351	5.7862746e-08	0.52421594	6.944095e-08	3.351713e-08	3.325015e-09	0.43513188	0.016143955	1.7032015e-07	9.885185e-07	2.881228e-07
priorregion1_spot_19	1.2976513e-07	0.31597897	0.17893408	0.18551725	2.5736242e-06	5.912394e-07	3.3142978e-08	0.18289018	8.88264e-08	6.253477e-08	4.4706194e-09	0.1366755	2.7280868e-07	9.790589e-08	1.5595275e-07	5.2404328e-08
