	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.021449143	1.2650042e-07	7.121964e-08	2.0935272e-07	1.05019865e-07	0.03246953	1.3781122e-06	9.597449e-08	0.006437966	0.20941147	1.6329421e-08	1.2250409e-07	0.020084387	0.13176416	0.056137383	0.52224386
priorregion1_spot_2	0.22385855	7.717772e-08	7.751295e-08	5.8594445e-08	1.07310775e-07	2.807198e-06	0.0031422107	1.1051071e-07	0.009188912	0.075586125	1.2237351e-08	3.9004163e-07	4.790224e-07	0.17548865	0.14466244	0.368069
priorregion1_spot_3	0.094342776	7.9768576e-08	1.0810928e-07	9.772445e-08	1.2799433e-07	7.2719e-08	0.007705064	8.321208e-08	0.29895997	1.0286792e-07	1.3732991e-08	0.37912348	1.0517457e-07	0.21986738	3.3517867e-07	2.6233303e-07
priorregion1_spot_4	0.14464839	5.6600044e-08	6.370204e-08	5.309226e-08	6.308574e-08	0.002142086	0.00058853504	6.6412035e-08	0.16343069	0.057950944	1.3365e-08	8.8726483e-07	1.4639805e-06	0.3812018	0.04584401	0.2041908
priorregion1_spot_5	0.035615314	8.215753e-08	1.0082697e-07	7.54699e-08	5.9994113e-07	7.06198e-07	1.5507327e-05	2.0345917e-07	0.056180324	0.031053632	1.3650666e-08	0.06415974	1.0218022e-06	0.3832354	0.101563536	0.3281737
priorregion1_spot_6	0.12955154	5.091631e-08	3.5414537e-08	4.4254087e-08	4.8637027e-08	2.2450287e-07	1.2076954e-06	6.174451e-08	0.006474024	4.858714e-07	1.1933989e-08	9.195914e-08	1.7460094e-07	0.47448805	9.646545e-07	0.389483
priorregion1_spot_7	0.36955947	2.8068037e-08	4.3488836e-08	2.375971e-08	0.0041645593	5.9635845e-08	7.0465544e-06	4.01094e-08	0.32240725	1.1331573e-07	1.1317946e-08	0.18549074	5.1425206e-07	0.11837002	5.3670504e-08	8.014232e-08
priorregion1_spot_8	0.07437275	1.0501791e-07	1.1594823e-07	9.857444e-08	2.429452e-07	0.0027614366	4.262158e-05	2.7684624e-07	0.039133213	0.054830816	1.7604583e-08	4.5571733e-06	1.7832597e-05	0.36723953	0.16430287	0.2972935
priorregion1_spot_9	0.029845411	9.60791e-08	9.700391e-08	8.6150926e-08	8.706428e-07	3.8709077e-06	0.003223179	1.7341642e-07	0.11432513	0.07628934	1.2761755e-08	0.0019463965	0.0037073132	0.31605682	0.21749768	0.23710349
priorregion1_spot_10	0.2080675	5.0775032e-08	1.1306631e-07	6.628894e-08	5.6708295e-08	1.457503e-06	0.004162192	7.003567e-08	0.03691296	0.1300812	7.652296e-09	0.25862494	5.9627155e-06	0.033666115	0.067298606	0.2611787
priorregion1_spot_11	0.27676293	6.447662e-08	5.723036e-08	4.8843948e-08	4.541281e-08	1.9138957e-05	0.004609402	1.2630967e-07	0.045100413	0.09854319	1.6828697e-08	4.9617535e-07	1.3508766e-05	0.2365426	9.528418e-06	0.33839843
priorregion1_spot_12	0.2805556	2.6654511e-08	2.6534826e-08	2.3161007e-08	2.5448474e-08	7.1931986e-06	0.00050529465	2.5252286e-08	0.09876506	3.402804e-06	8.761493e-09	3.236051e-07	3.6994126e-07	0.51371676	9.403001e-07	0.10644487
priorregion1_spot_13	0.19394559	6.80578e-08	5.9534393e-08	4.27976e-08	1.9180942e-07	1.9087516e-07	0.0011767603	1.373866e-07	0.095661275	0.05054599	8.933144e-09	0.59462225	2.990353e-07	0.01658791	2.6495401e-05	0.047432706
priorregion1_spot_14	0.019140108	3.8324277e-08	4.3510994e-08	6.8134035e-08	0.010569992	2.0548869e-07	6.0385614e-06	4.9432253e-07	0.05273385	0.07619849	1.09619e-08	1.3288205e-06	3.865823e-07	0.55293715	0.0802615	0.20815037
priorregion1_spot_15	0.07124534	4.5941867e-08	0.0028718119	6.085127e-08	8.3720295e-08	0.012039487	0.00080941146	7.455772e-08	0.14953417	3.488007e-06	1.326239e-08	0.0298242	3.9435406e-07	0.28933376	0.079189	0.3651486
priorregion1_spot_16	0.008418034	6.529408e-08	6.9088536e-08	7.800435e-08	9.253128e-08	0.017934872	0.04778295	1.0714476e-07	0.13720427	0.15368977	1.4233708e-08	0.13995697	0.009307316	0.035489634	0.10659399	0.34362173
priorregion1_spot_17	0.06730366	2.807676e-08	2.541171e-08	2.7724367e-08	4.014175e-08	7.349784e-07	7.700265e-06	3.957478e-08	0.0789584	8.7979366e-05	1.01201065e-08	5.2327067e-07	3.1746137e-07	0.5286677	0.00598793	0.31898493
priorregion1_spot_18	0.20653446	2.1046045e-08	0.00012893313	4.018519e-08	5.46417e-08	0.0144107025	8.0700187e-07	3.6779787e-07	0.058348566	2.698628e-07	7.534336e-09	7.363033e-08	9.3079603e-07	0.72057366	4.516267e-08	9.85235e-07
priorregion1_spot_19	0.0036683916	5.1909815e-08	0.0074506155	8.287478e-08	0.013385839	0.011575864	0.01661586	1.3146278e-07	0.2141134	0.04421952	1.1727611e-08	0.38891166	0.004455443	0.20209108	0.017717894	0.07579408
