	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	1.6510627e-07	0.0019563846	0.010141234	8.537999e-06	1.2637594e-07	0.0048387456	9.7793944e-08	2.1743799e-07	1.2455996e-07	0.10626739	7.183452e-09	0.12884855	0.2727045	0.47523314	4.8157517e-07	3.2950285e-07
priorregion1_spot_2	4.762911e-06	1.863728e-07	0.2795436	5.0609265e-07	1.7598136e-06	5.298248e-07	0.05348651	5.429814e-07	0.41357222	1.07821165e-07	1.0762214e-08	0.020663984	0.10786722	0.082792476	0.026967065	0.015098504
priorregion1_spot_3	1.8160499e-07	4.700931e-07	0.57069796	0.0014194868	1.4703993e-07	0.007339275	3.8372907e-08	2.9857546e-07	3.3363662e-08	3.9843787e-08	4.2850576e-09	0.19137976	0.2209839	0.008174989	1.7797448e-06	1.5594463e-06
priorregion1_spot_4	8.10108e-07	1.4191355e-07	0.24599268	5.767832e-07	1.3490013e-07	1.1617336e-06	0.0040741237	1.5935154e-07	0.11143085	2.3528406e-07	1.3860301e-08	0.30226478	0.10280591	0.23342733	7.923158e-07	2.2428003e-07
priorregion1_spot_5	4.0275027e-06	1.6266172e-07	0.28959483	9.796613e-07	3.6058424e-07	3.1512198e-05	0.2954314	5.3867177e-07	7.669463e-06	8.850849e-07	2.2236325e-08	1.3362901e-06	8.409345e-07	0.4105469	8.6019855e-07	0.004377753
priorregion1_spot_6	2.8350377e-07	0.00123039	0.47533676	1.1031007e-06	0.1938389	2.2170721e-07	4.235638e-08	4.4522199e-07	3.2232638e-08	6.4024206e-08	4.94621e-09	1.5211786e-07	0.07807037	0.25152102	1.0683628e-07	8.1318085e-08
priorregion1_spot_7	4.2387558e-07	2.3743449e-07	1.6634058e-07	1.8281142e-07	1.11328795e-07	0.0027066823	0.62269926	0.0013416873	0.16213629	1.7680851e-07	4.8961024e-08	0.10035152	0.11076141	4.4061127e-07	2.759573e-07	1.0066575e-06
priorregion1_spot_8	6.775311e-06	1.0000118e-07	1.4156872e-07	9.8820585e-08	9.910023e-08	0.01109992	0.24970531	7.959203e-08	0.32016692	5.451941e-07	2.2736153e-08	0.057690278	0.13433646	0.22698748	4.1411795e-06	1.604094e-06
priorregion1_spot_9	4.663662e-06	1.2103615e-07	0.010865966	4.0172432e-07	0.00011012829	1.7994254e-06	0.15065897	4.7496027e-07	0.07731045	2.3785371e-07	2.0256861e-08	1.2235798e-05	0.27201408	0.4856167	0.003402387	1.4446051e-06
priorregion1_spot_10	1.0810292e-06	2.3533109e-07	0.23305893	1.0978529e-06	4.0140063e-07	1.0091048e-06	0.00748808	1.878497e-07	0.2871721	2.0317692e-07	1.3469636e-08	2.3224525e-06	0.16903086	0.30324253	5.6527284e-07	4.5723215e-07
priorregion1_spot_11	4.4886886e-07	8.9711835e-07	0.42214474	8.207681e-06	3.538569e-07	0.008506157	1.8395784e-07	2.608862e-07	1.4936897e-07	4.111326e-05	9.17876e-09	2.2146543e-07	0.07751924	0.48359686	2.2256386e-07	0.008180999
