,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,0.0006683934363536537,0.014936559647321702,0.31363641768693923,0.00011353519439580851,2.075983536243439,5.778569720860106e-05,0.06913644969463349,0.06077506244182587,4.7071010840227245e-06,0.8684689551591873,1.0050552308559417,0.25342904925346377,0.00011721777154889423,0.3514766827225685,0.43986234813928604,0.6952907264232636
priorregion1_spot_2,1.472841750000953e-05,9.068264771485702e-05,0.0003720341483131051,3.787636906054104e-05,4.6099207401275635,1.3156336217434726e-05,0.0006953728414373473,0.6203576743602753,3.024987086064357e-06,0.018577313143759964,1.3814500834996578e-05,0.34867765456438066,1.3784551902062958e-05,0.38558320552110675,0.0014106803806498648,0.005080607999116182
priorregion1_spot_3,0.00011726587035809644,5.943780320194492e-06,8.42794335767394e-05,2.6921469839180646e-06,3.022791349887848,1.613262433863838e-07,2.1687313278562218e-08,0.004742231825366616,2.885621128712046e-07,1.1437115574608473e-07,3.376513308950279e-08,9.095123732549838e-06,7.30646039670546e-08,2.1527314061131623e-06,8.935830692280433e-07,1.1737409577605719e-08
priorregion1_spot_4,0.00030580793973058464,0.029613118432462216,2.296739232540131,0.00515027092769742,1.619054985046387,0.16495686769485474,1.1027750224457122e-05,0.032089152559638026,0.00010211152366537136,1.0022967580880504e-05,4.437931991674305e-07,0.0019570202857721597,7.05717948221718e-06,2.133376201527426e-05,1.2350743600109127e-05,6.927946316181988e-07
priorregion1_spot_5,0.00021421426863525993,0.016487742681056263,0.6326222956180573,0.00031898052693577487,4.222339200973511,4.0756423004495446e-05,5.7906499932869344e-05,0.6385694116353989,6.218943553903955e-06,0.6494403928518295,0.0006661519350018353,0.23627368584275246,6.952830735826865e-05,0.7718138307332992,0.001035749923903495,7.819028433004861e-05
priorregion1_spot_6,1.590935153217288e-06,0.00012749265515594744,0.0002709246531594545,0.003426941717043519,4.076762223243713,2.298666834121832e-06,1.1374070822967044e-06,0.013272967049852015,1.3626360328089505e-06,2.0310179252192026e-06,1.356753040226977e-06,0.5102393686771393,3.110585475951666e-06,2.7600737485045102e-05,2.9319402437977262e-05,0.001004595635458827
priorregion1_spot_7,0.057810569554567336,0.042218394763767715,0.14264092668890954,0.00017949770190170967,1.8887563049793243,0.9993916124105453,0.0005292531306622549,0.26492478847503664,0.00010271751707477961,0.09920685365796089,2.2169900876178873e-05,0.0004026027338113636,0.00037208275170996785,2.7564464807510376,0.08612596355378628,0.05264312289655208
priorregion1_spot_8,0.06409769766032695,0.002212115109432489,0.07112779729068279,0.0008125960768666119,2.1099192738533024,0.006811967678368091,0.14209978356957437,1.794497376680374,0.00014587909681722523,0.3954250022768974,0.7192738592624665,0.001839000906329602,0.005896871443837881,2.7668437123298646,0.2428684748709202,0.6332586705684662
priorregion1_spot_9,0.0014473696413915605,0.002004379464779049,0.20338852256536483,0.21733966171741487,7.566568779945373,2.4059501993178855e-05,3.5642109537548096e-06,0.08268879354000092,2.6097799832314195e-06,0.00012840769413742238,1.920204351790745e-06,3.204403255949728e-05,1.0085882240673528e-05,0.43649749606847765,2.1965989981254096e-05,2.919410071626772e-05
priorregion1_spot_10,8.690319991728758e-05,0.0006436068302718922,0.4906123876571655,0.0002869767005904578,5.172844815254211,9.5269442681456e-06,7.63673988330993e-06,0.04949397481977939,3.4385364415356888e-06,0.7027349650859832,5.10431900124786e-07,0.034551827050745484,1.7156528429040918e-05,0.02030700761824846,0.013171202223747968,1.6225377294176724e-05
priorregion1_spot_11,4.98636578413425e-05,0.016106822900474074,0.06320477351546287,0.00012419440536177718,6.758628582954407,0.0037758979364298285,1.0994973126798869e-05,1.5634363055229186,6.364383307300159e-06,0.00012238855633768254,5.196394499762391e-06,1.1487808883190156,1.4355087459087372,0.05113639310002327,0.021198525745421647,2.1541144451475703e-05
