,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,3.50640641499922e-07,1.9653661906719206,0.585055837035179,0.6058886915445327,0.00013636248768307267,6.515614131785697e-07,2.5349079777470254e-07,5.828243665746413e-05,3.4031741193985e-07,1.705984985278519e-07,1.706924113165087e-08,2.7704834565156488e-06,2.4472839541545e-07,4.763337315694116e-07,4.3110265011137024e-07,2.7402964608569392e-08
priorregion1_spot_2,9.6088846390785e-08,2.0325612902641295,0.4576022014021873,0.788545686006546,0.00017595165409147742,6.616345871179874e-07,1.2178631170201018e-08,4.593040903273504e-05,5.1361910635705504e-08,1.4753167647540978e-07,4.091628991176322e-09,2.737085731041589e-06,2.3422055477340113e-07,4.593713413214573e-07,2.3121313574847593e-07,1.9771939996360293e-08
priorregion1_spot_3,1.456600337235159e-07,0.20418372228741646,1.1800655841827394,0.7920922070741653,0.2637345284223557,1.5052456365083345e-05,1.6654453460773769e-07,0.046180210635066034,5.1516930454909025e-08,1.3906982943012738e-07,1.5701362912068362e-07,2.0839202534261858e-05,4.6770629325010304e-07,1.2044971413160968e-06,1.1834698625534656e-06,1.0701064887541634e-07
priorregion1_spot_4,3.654309281841961e-08,1.093949556350708,0.4832533702254295,0.5463334351778031,0.000896340238978155,3.956350809630749e-07,3.544510605024698e-08,2.1366446981119227e-05,2.2952875688986297e-08,4.3200831534306874e-08,1.0213668044656288e-08,2.3550269702354854e-06,9.758295433925923e-08,3.085731435703565e-07,2.0402595239943373e-07,4.845179457646509e-09
priorregion1_spot_5,1.7307730928450838e-07,1.1163115322589874,0.7951606959104538,0.5655739665031433,6.806182063883172e-05,4.4804043142221417e-07,4.051295832141477e-08,1.4423291986531694e-05,8.282469856624176e-08,2.935791529878884e-08,4.331550207403722e-09,3.3399921562704548e-06,2.9918782047388963e-07,2.7031355216422525e-07,4.0102627281157775e-07,1.7523536666175233e-08
priorregion1_spot_6,6.504482339408926e-08,0.9653802573680877,0.8828636914491653,0.8346236705780029,0.0005715767154470087,3.4611942254514373e-07,9.947377233032742e-09,3.413438826100901e-05,2.012671425077883e-08,4.1713761333994626e-08,5.563019023213656e-09,1.3405850268100039e-06,1.9790179308643022e-07,2.6725153929874067e-07,1.7584593763331214e-07,7.53925903929087e-09
priorregion1_spot_7,4.2902122459054227e-07,0.8421466171741485,0.9363924890756607,0.44061886221170427,0.000541265998617746,2.4522116177649877e-06,1.3830536644832135e-07,0.017659895773977044,3.391526078644347e-07,5.352268829028617e-07,1.944890435368052e-08,0.14800551310181617,4.7306183290629635e-07,1.3496959866188264e-06,2.005482645017764e-06,1.1085499584950756e-08
priorregion1_spot_8,1.4576090379136986e-07,0.5485907584428787,0.952344998717308,0.6518529415130615,0.09413239434361458,3.887354159815005e-06,2.4702600995851756e-07,0.009282857552170754,8.910917124183016e-08,1.0125571208163819e-07,4.9750560293659876e-08,0.037061648443341255,2.276306895510061e-06,7.681454604835381e-07,6.49409732886852e-06,1.1164572644162263e-08
priorregion1_spot_9,4.9893814946244676e-08,1.124434918165207,0.749192652106285,0.7333284437656403,0.00023293468766496516,9.198783516239929e-07,3.0894435987249837e-08,5.4284865655063186e-05,3.727091648642045e-08,6.545866497731367e-08,6.904742089197669e-09,5.512681241270911e-06,2.1188203476185667e-07,4.5767425262965847e-07,4.6085141036655846e-07,1.1322241810773905e-08
priorregion1_spot_10,5.794223312705072e-07,0.9056526243686677,0.820300143957138,0.5892587244510651,0.015416428400203585,3.550016344888718e-06,5.329124164177303e-08,0.03127503227442503,4.359951706334187e-08,7.061973903432773e-08,1.3567570711359168e-08,1.897559122880921e-05,3.189899587141554e-07,6.427922272678188e-07,2.770508615412837e-07,6.901227145306166e-09
