	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.037382662	0.10989919	0.014170963	0.168606	0.0753008	0.012721765	0.0022463626	3.6773147e-06	0.00025749262	4.9177817e-07	7.044775e-09	0.034094732	0.116271205	0.12052094	0.1362477	0.17227595
priorregion1_spot_2	0.036593787	0.06446049	0.018995503	0.19276974	4.6449165e-07	0.011182476	5.429673e-08	3.5530428e-07	9.358387e-08	5.7449977e-08	4.4231303e-09	0.15066037	0.34291327	0.045491695	0.1369315	1.838347e-07
priorregion1_spot_3	3.200409e-07	0.34472907	0.22623774	0.07595792	0.043589666	0.004697778	2.6371424e-08	3.6002366e-06	4.863221e-08	3.5587394e-08	2.47516e-09	0.1323493	0.15105091	0.02138292	5.928077e-07	7.566735e-08
priorregion1_spot_4	1.7741783e-07	0.46594787	0.073968574	0.31174666	0.14724278	9.531119e-08	0.00045879246	1.0397968e-06	1.14318425e-07	7.9591125e-08	3.6087129e-09	1.4960423e-07	2.885892e-06	1.13407076e-07	3.5003188e-07	0.00063020777
priorregion1_spot_5	0.010744363	0.19106348	0.08946006	0.118799664	0.097523	1.0316942e-05	3.987444e-07	2.0902803e-06	2.3157324e-07	1.2330279e-06	4.759187e-09	8.3006705e-07	0.010017456	0.093009174	0.11340211	0.2759656
priorregion1_spot_6	1.0218065e-07	0.26238772	0.1543299	0.15159434	2.1428696e-06	3.0544558e-07	8.619502e-08	1.3202881e-05	8.602601e-08	4.830606e-08	6.0981264e-09	0.3945358	0.01753403	1.5661293e-07	0.019602004	1.5701207e-07
priorregion1_spot_7	0.005646234	0.26088402	0.16398564	0.27842325	0.022080015	1.7375243e-07	3.73109e-08	3.4659487e-07	8.470122e-08	4.405441e-08	3.169462e-09	1.8876996e-07	3.0446597e-06	0.23836544	0.030611424	1.7033656e-07
priorregion1_spot_8	0.008654619	0.33846572	0.21037248	0.17922682	0.07233389	1.2011835e-06	5.198812e-08	2.9259187e-05	8.719768e-08	7.511581e-08	4.1338475e-09	2.0526018e-06	6.493313e-07	0.1909125	4.3402454e-07	1.4749197e-07
priorregion1_spot_9	2.8016174e-07	0.12530239	0.23578398	0.25499022	1.2098157e-05	0.0017232276	0.0028213945	0.1376904	1.2299704e-07	8.0533e-08	5.0688835e-09	5.417676e-07	0.041419093	0.07500963	0.08898215	0.036264367
priorregion1_spot_10	6.34396e-07	1.4337639e-06	0.02326547	0.09243932	3.639645e-07	4.0358728e-07	1.2460565e-07	0.05602514	1.06971804e-07	0.09635706	8.290318e-09	0.3979411	0.04634819	0.07165555	0.07554226	0.14042278
priorregion1_spot_11	4.0404097e-06	0.027660497	0.017343495	0.15985517	8.837029e-07	1.2885438e-06	5.6095934e-07	1.6834332e-06	2.036965e-07	5.54172e-07	7.36068e-09	0.3698327	2.0392994e-05	0.07042068	0.19338459	0.16147329
priorregion1_spot_12	2.327997e-06	0.22817689	0.10517685	0.2214397	0.016449636	0.0033799636	2.8762815e-07	3.164082e-07	1.2059317e-07	1.9570528e-07	9.300466e-09	1.5143883e-07	0.030161006	1.5083248e-06	0.10861207	0.28659892
priorregion1_spot_13	9.8676104e-08	6.120654e-07	0.16605945	0.16902123	0.13600501	0.006489752	5.3880544e-08	0.0903358	5.46459e-08	3.4924426e-08	3.1830771e-09	0.4320813	1.1149336e-06	1.5586619e-07	5.2562364e-06	5.8076886e-08
priorregion1_spot_14	4.5761126e-08	0.3754093	3.6829547e-06	0.26712915	0.3488141	9.931597e-08	2.3234966e-08	5.5096416e-07	5.2468238e-08	2.421327e-08	5.7768124e-09	0.008631659	1.6930167e-07	5.3402495e-08	1.1079305e-05	4.667601e-08
priorregion1_spot_15	1.0424361e-05	6.0658126e-06	0.12006003	0.16074179	0.03820567	4.218223e-06	5.296088e-07	1.3586276e-06	3.9622338e-07	8.006498e-06	3.766203e-09	0.21364689	0.056914456	0.14384317	0.11342736	0.15312953
priorregion1_spot_16	0.0031571533	0.24737588	0.05488364	0.18251382	0.18581699	9.157093e-06	0.0007666548	0.043275032	1.8706295e-07	2.5351707e-07	3.0899245e-09	0.23711646	0.0041606086	1.6533174e-07	0.04092403	1.1766024e-07
priorregion1_spot_17	1.1271809e-07	0.2419216	0.2387541	0.22428922	0.1530249	1.7065246e-07	3.816582e-08	0.00041795787	5.7583296e-08	0.01309053	3.4328997e-09	0.053732637	0.012502697	4.627658e-07	0.028756173	0.033509385
priorregion1_spot_18	7.610931e-07	0.11955208	0.13780904	0.18411553	0.10279766	2.288817e-07	1.0754835e-07	0.096191205	1.6037349e-07	0.071819976	6.7412023e-09	4.6242806e-07	0.0093284715	0.07322641	0.15752955	0.04762822
priorregion1_spot_19	1.158961e-07	1.9331e-06	0.31866854	0.3684839	0.1413231	0.0114025725	4.3671847e-08	0.15125594	5.2766605e-08	5.1213977e-08	5.382131e-09	1.04546245e-07	0.008863154	7.171205e-08	2.3666787e-07	5.3728108e-08
priorregion1_spot_20	3.49481e-07	0.29693192	0.30837378	0.16780253	4.4937196e-06	0.0007980144	6.499857e-08	0.14119248	9.105127e-08	6.033617e-08	5.554121e-09	0.01925468	0.065628946	6.019194e-06	6.4041815e-06	9.85876e-08
priorregion1_spot_21	3.1947332e-07	0.52042496	1.1340948e-06	0.061567944	0.08297672	7.746596e-08	0.0017623598	8.3151036e-07	1.5510034e-07	6.191407e-08	3.828946e-09	0.31210342	0.015893925	0.0052667772	5.099113e-07	7.3938884e-07
priorregion1_spot_22	1.4235221e-06	0.12779163	0.18215299	0.14225046	5.673804e-07	0.0043299533	4.2366767e-07	0.038902394	1.1866774e-07	1.401181e-07	4.4953086e-09	0.19125332	7.5218154e-06	0.13148764	0.08169335	0.10012801
priorregion1_spot_23	1.2270618e-07	0.35122433	0.2189957	0.2587321	0.1381483	4.4364467e-07	4.059299e-08	0.022106985	4.5560867e-08	3.4150478e-08	2.8893923e-09	1.4591126e-07	0.010791165	1.3607287e-07	3.6765783e-07	1.3247296e-07
priorregion1_spot_24	2.4436298e-07	7.874566e-08	4.3810465e-07	9.501526e-08	6.621806e-07	0.09521753	2.3772364e-07	0.0027065792	0.014045014	1.11893925e-07	5.2803943e-09	0.077578984	0.6752619	0.13518772	2.1808891e-07	2.3694867e-07
priorregion1_spot_25	1.6838845e-06	0.040414747	0.24010795	0.36970705	2.2742636e-06	0.012483305	3.079673e-07	0.038382612	8.773255e-07	1.8998854e-07	1.0855288e-08	3.8847668e-07	0.12332757	1.785481e-06	1.8969937e-05	0.17555042
priorregion1_spot_26	0.0025146327	0.19262496	0.2743329	0.27744386	9.3714014e-05	5.504448e-07	4.0175777e-08	0.0037374678	1.07125004e-07	0.00021114571	3.7724766e-09	0.24901822	1.673698e-05	9.0380865e-08	5.5636447e-06	1.136841e-07
priorregion1_spot_27	3.150165e-07	0.34546572	0.23313253	0.22303414	0.01488001	4.696711e-06	5.031577e-08	0.043165773	6.25999e-08	4.165682e-08	3.997388e-09	2.8092825e-07	0.1403132	3.5796316e-07	2.356849e-06	2.210997e-07
priorregion1_spot_28	0.0036088547	0.14195563	0.253483	0.25863782	0.083555825	2.9131945e-07	2.697346e-08	7.4895593e-06	3.823002e-08	1.8018778e-08	3.534463e-09	0.25875032	4.0540186e-07	4.1881997e-08	2.825433e-07	1.906532e-08
priorregion1_spot_29	8.615288e-08	0.35583952	0.14938127	0.21304026	0.14769351	1.7601664e-07	6.477573e-08	0.10952224	6.6398776e-08	3.493193e-08	4.0608823e-09	0.023599824	2.0572613e-06	8.8879204e-07	1.693635e-06	0.0009183208
priorregion1_spot_30	1.11318705e-07	0.19985466	0.16507576	0.2702156	0.3112893	2.4599578e-07	4.5116952e-08	1.0673355e-06	5.8375093e-08	3.728721e-08	5.2892246e-09	6.8205663e-06	4.5468687e-07	1.0808757e-07	0.053555574	7.7096274e-08
priorregion1_spot_31	7.806597e-07	0.12837258	0.1100807	0.15870455	0.16071491	2.5718628e-06	1.7750826e-07	1.1111293e-06	1.0743449e-07	0.010977388	5.5688436e-09	0.19104002	0.021077594	0.015098602	0.028147612	0.17578134
priorregion1_spot_32	2.955806e-07	0.37257534	0.08624203	0.5346407	1.126477e-05	1.7679724e-07	5.303069e-08	0.006527775	1.1459419e-07	5.6809732e-08	6.7296546e-09	1.7258392e-07	1.4159141e-06	1.1628205e-07	2.5384108e-07	7.783981e-08
priorregion1_spot_33	9.627721e-05	3.951401e-05	2.2681147e-06	0.102631845	1.4316907e-07	1.7076917e-07	6.1938795e-07	6.829706e-07	3.3038148e-07	1.0015214e-06	1.343213e-08	8.318737e-08	1.9809355e-07	0.88636494	1.1770358e-07	0.010861803
priorregion1_spot_34	1.0258573e-07	0.5262971	0.120314576	0.2111759	0.11782504	1.2437495e-07	0.0014603076	0.0017337378	1.4993648e-07	6.287947e-08	2.5430855e-09	2.5992068e-07	0.020337993	1.6739774e-07	4.402795e-07	0.00085396756
priorregion1_spot_35	0.002680088	0.41692528	0.22593118	0.1803485	0.04934529	1.0632134e-06	5.5455367e-08	1.2218387e-06	5.8472562e-08	4.1158604e-08	5.870264e-09	0.04990151	0.032839052	0.007500269	0.034526315	1.6385596e-07
priorregion1_spot_36	1.3958443e-07	0.16460352	0.24917275	0.35378605	0.07883041	0.0069936737	2.4378732e-08	0.14661126	3.7076347e-08	3.502804e-08	2.0744853e-09	2.237869e-07	1.0685792e-06	1.09609445e-07	5.79956e-07	8.920941e-08
priorregion1_spot_37	1.3277855e-05	0.19012055	0.16406253	0.26748183	5.9621916e-06	7.083632e-07	0.00074845686	0.095075525	2.660307e-07	2.864995e-07	1.1436127e-08	1.3840759e-06	9.279923e-07	0.14383093	0.031811897	0.10684549
priorregion1_spot_38	0.040432673	0.07991979	0.05057546	0.31407607	1.1696355e-06	1.0652868e-06	2.4638717e-07	0.084570974	2.7617872e-07	2.7037905e-07	1.1235383e-08	2.6000191e-06	0.012863627	0.20553409	0.09845437	0.11356733
priorregion1_spot_39	8.990577e-08	0.20903909	0.27228615	0.3065813	0.15285537	3.088165e-07	3.5315566e-08	3.43249e-06	5.9578344e-08	2.8645966e-08	5.484646e-09	1.6299191e-05	1.2589285e-06	9.195382e-08	0.05921649	5.53968e-08
priorregion1_spot_40	1.1572545e-05	0.16520225	0.024626015	0.21421163	0.033092372	1.5060018e-05	1.0536879e-07	7.202956e-06	1.3323373e-07	1.0264848e-07	5.4427964e-09	0.15308559	0.09784087	0.14778069	0.04426076	0.11986564
priorregion1_spot_41	2.586985e-05	0.11432148	0.1878871	0.16752225	6.793713e-07	6.373961e-06	0.0007269187	5.389137e-07	3.9598632e-07	1.826204e-06	1.193904e-08	5.719849e-07	1.951132e-06	0.3587881	0.041646387	0.12906949
priorregion1_spot_42	0.01476652	0.10057634	0.26877832	0.3727527	1.782388e-05	1.0570369e-06	0.0041145855	0.11970878	3.4727353e-07	1.0778038e-07	7.3812902e-09	3.287501e-07	8.370957e-06	0.045000374	0.0037351772	0.07053915
priorregion1_spot_43	0.00097538787	0.1502278	0.1560946	0.12328383	0.014022643	0.00735433	7.2451435e-08	0.12333234	0.005237962	6.419182e-08	3.4657348e-09	0.24996193	0.1587352	0.0107437875	2.9773912e-05	1.5657785e-07
priorregion1_spot_44	0.013634539	0.25553903	3.041465e-07	0.053001054	0.025964022	1.3369625e-07	0.00452316	5.5066624e-07	3.003339e-07	6.4922354e-08	4.3324664e-09	0.55640304	1.1951918e-06	0.030338163	0.0031605605	0.057434026
priorregion1_spot_45	6.6624686e-08	0.22720684	0.23331761	0.28335902	0.16427764	1.1614914e-07	2.884543e-08	1.4857878e-06	4.0235946e-08	2.7241327e-08	3.0492089e-09	0.07769187	6.834584e-07	6.486187e-08	0.014144599	5.756588e-08
priorregion1_spot_46	7.271573e-07	0.2661289	0.21729009	0.28846774	0.020842817	0.0027432074	1.05095374e-07	0.06905173	1.1117731e-06	6.678304e-08	7.3308866e-09	0.091910824	0.03864232	3.8557673e-07	0.0049197655	1.6834852e-07
priorregion1_spot_47	0.010565515	0.1340133	0.2845305	0.21313845	9.348058e-05	0.0032958551	3.8393576e-08	0.025433874	5.482256e-08	4.352756e-08	3.9688564e-09	0.17136393	0.15274806	0.004816391	2.0547994e-07	1.9501938e-07
priorregion1_spot_48	1.1186943e-06	0.42397726	0.15545467	0.355989	4.392159e-06	2.8091338e-07	4.8214815e-08	7.7755084e-07	7.445864e-08	5.273447e-08	4.0866706e-09	2.1852021e-07	0.06457107	1.2492396e-07	6.1415926e-07	1.4338461e-07
priorregion1_spot_49	1.0891161e-07	0.0017809256	0.34573293	0.2909994	0.21382451	3.042376e-07	3.8192596e-08	1.3320297e-05	5.6635457e-08	5.6542795e-08	4.7599418e-09	0.0030844244	0.09348532	2.7114575e-07	0.04770656	0.0033717484
priorregion1_spot_50	8.69412e-07	0.10815233	0.20299861	0.3486323	2.2545917e-06	6.395994e-07	1.5278556e-07	0.06873435	1.1214118e-07	0.07202532	6.396532e-09	4.2154605e-07	6.893772e-07	0.027444363	4.00623e-06	0.17200363
priorregion1_spot_51	1.575295e-07	0.075712845	0.11521878	0.3555013	0.13260636	1.837652e-07	3.0383408e-08	5.6818385e-07	5.8071553e-08	4.5706535e-08	4.4569775e-09	0.32095787	6.46241e-07	8.6132225e-08	9.931748e-07	4.87411e-08
priorregion1_spot_52	7.027449e-07	0.15174766	0.042399544	0.2330115	0.15465492	0.020930873	1.9599837e-07	0.0011592299	1.1147716e-07	1.7019057e-07	8.684221e-09	1.757661e-07	0.07640912	4.291278e-06	0.073747054	0.2459344
priorregion1_spot_53	0.002211771	0.18175769	0.36065874	0.3148277	0.14052674	1.485284e-07	3.366733e-08	1.6190706e-05	7.266048e-08	2.8478382e-08	6.1475998e-09	2.2560212e-07	4.2199866e-07	7.329616e-08	2.3668025e-07	6.684027e-08
priorregion1_spot_54	0.026518673	0.23882204	0.24891059	0.1766048	0.026954215	1.9895162e-07	0.0043020104	1.5218957e-06	9.370622e-08	5.953706e-08	4.7922435e-09	2.482973e-07	3.6189326e-07	0.16324225	0.05036336	0.06427958
priorregion1_spot_55	5.0959947e-08	0.44651306	0.07915009	0.28101104	0.19332135	7.241857e-08	1.6260332e-08	3.8340727e-06	3.124578e-08	1.6777577e-08	2.300273e-09	1.0392008e-07	1.6959667e-07	5.2371e-08	1.2947056e-07	3.4466485e-08
priorregion1_spot_56	0.003427054	0.2618986	0.2796115	0.32299265	0.049410067	1.9200307e-07	0.0014895487	1.7965701e-06	1.1772564e-07	4.994725e-08	5.313798e-09	0.081165574	1.1748243e-06	1.5598334e-07	1.3364255e-06	1.0528132e-07
