	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	2.366406e-08	5.6432825e-08	6.450154e-08	5.309722e-08	0.35259378	3.8761076e-08	1.6869695e-08	0.18147396	2.191147e-08	1.6062286e-08	4.18141e-09	0.3346846	4.254599e-08	3.418801e-08	0.13124739	2.1015122e-08
priorregion1_spot_2	0.014998749	3.0771835e-07	0.016281998	4.6983845e-07	0.42518565	2.2451287e-07	0.026817154	4.0478003e-06	2.713432e-07	5.91682e-08	7.1451445e-09	0.42590964	0.01733606	0.014478997	0.058986228	2.0542097e-07
priorregion1_spot_3	2.2098487e-08	6.609052e-07	1.7642868e-07	3.7412929e-07	0.43804044	4.833844e-08	7.3712974e-09	0.56195796	1.5117074e-08	9.23189e-09	2.2381526e-09	4.792486e-08	6.465009e-08	1.7707762e-08	4.1736286e-08	4.0241147e-08
priorregion1_spot_4	1.4759976e-06	2.2740271e-07	2.2686898e-07	9.817525e-08	0.052583568	0.008925633	3.5704712e-08	0.2142882	2.5898403e-08	3.2553707e-08	3.9152006e-09	0.38875455	0.15003185	0.019357523	0.16605647	7.0086784e-08
priorregion1_spot_5	3.7622942e-06	2.401682e-07	1.7434263e-07	1.4142147e-07	0.21657042	1.967599e-07	0.21482378	2.6210225e-06	0.08895374	1.2531729e-07	1.680865e-08	0.16042398	4.2332124e-07	9.178442e-06	0.29852626	0.02068499
priorregion1_spot_6	0.008734276	1.3245753e-07	1.0019645e-06	2.7298464e-07	0.21669577	0.002294063	0.1370603	0.15211354	0.0035956453	7.343378e-08	1.2257876e-08	0.1201224	0.063745216	0.009894852	0.2857422	3.0222023e-07
priorregion1_spot_7	2.4097807e-07	2.3105152e-07	5.714371e-07	2.220425e-07	0.5182722	0.043533523	0.14926864	0.1551997	0.008326089	9.332537e-08	1.2995663e-08	6.666372e-08	0.12539779	2.6910604e-07	1.0892543e-07	1.9781424e-07
priorregion1_spot_8	4.7085387e-06	7.564212e-08	1.9095273e-07	2.3560521e-07	1.5244304e-07	0.032231398	0.058878705	1.04509354e-07	0.2610903	8.969559e-08	9.188574e-09	0.40767637	0.090480514	0.010393537	0.13924323	3.5622924e-07
priorregion1_spot_9	2.3471732e-06	9.3049856e-08	1.8946166e-07	1.04917994e-07	0.062025446	0.016343802	0.011635271	3.8303295e-07	0.40693545	1.2557138e-07	1.0912252e-08	0.29996064	2.1191417e-07	0.09704789	0.106047995	1.3174804e-07
priorregion1_spot_10	1.08151006e-07	1.2431745e-07	1.1931716e-07	8.510763e-08	0.37239745	2.5666137e-07	1.8206169e-08	5.487942e-06	2.215281e-08	2.5931103e-08	5.1470805e-09	0.2059438	0.1605072	6.509364e-08	0.2611452	7.871009e-08
priorregion1_spot_11	3.301264e-07	1.3990798e-06	0.09599683	0.011449289	0.24383484	0.0026170039	0.02647265	0.26680827	0.12550128	9.489583e-08	8.5026635e-09	4.1700105e-07	0.013520259	0.024186742	0.18961024	2.79437e-07
priorregion1_spot_12	2.5952366e-07	7.845713e-08	1.144986e-07	7.415298e-08	0.1447286	2.4995887e-07	0.39656618	2.7474227e-05	7.1368214e-07	1.2126544e-07	0.0011607835	0.28795666	0.07004541	5.439273e-07	0.08845752	0.011055206
priorregion1_spot_13	8.699739e-08	1.7827804e-07	1.1182104e-07	1.5341888e-07	0.17247204	4.1842296e-07	0.022902023	3.122398e-06	7.768937e-08	6.330889e-08	5.551889e-09	0.41394404	0.035456326	2.7877033e-07	0.34690043	0.008320698
priorregion1_spot_14	0.04298825	4.140736e-08	6.6700316e-08	4.0803133e-08	4.338485e-08	0.0022462504	0.005370815	5.718064e-08	0.026867883	7.644297e-08	5.775037e-09	0.20326434	0.06652868	0.08018879	0.57254344	1.2148729e-06
priorregion1_spot_15	2.2999918e-06	1.2059296e-07	0.0027237434	1.9848142e-07	5.624513e-07	0.0008415495	0.35179347	0.0678701	0.051734835	2.97013e-07	0.0012955746	0.07488001	0.023065768	0.033006836	0.39278308	1.6305657e-06
priorregion1_spot_16	4.7624374e-07	1.3018145e-07	8.053631e-08	6.870192e-08	0.28350484	5.8352555e-07	0.06399606	0.20707962	0.21713476	8.1004025e-08	9.55843e-09	0.20178325	2.2383728e-07	0.025735218	2.0174224e-07	0.0007644093
priorregion1_spot_17	0.0047122696	2.046572e-07	2.0055477e-06	2.0371048e-07	0.028656477	0.0012221729	0.0026341667	0.34376237	0.017419286	1.0955612e-06	0.00011863087	0.12465175	0.031974155	0.044800997	0.39623794	0.0038062842
priorregion1_spot_18	4.9303467e-06	9.862764e-08	1.560216e-07	6.120791e-08	1.6842155e-07	7.4960263e-07	0.31059134	0.19292663	5.552963e-07	1.3286461e-07	1.712393e-08	0.16930678	0.040265337	0.06728933	0.21961316	5.609865e-07
priorregion1_spot_19	0.008163718	9.4385534e-08	9.000008e-08	6.5198435e-08	0.3769911	0.00830607	0.0009978889	0.04175568	0.031092584	2.0909692e-08	0.00017885311	0.29087263	0.06934567	0.043871082	0.1284243	4.2064812e-08
priorregion1_spot_20	5.3201245e-07	1.450741e-07	4.4749353e-07	1.2568184e-07	0.24334404	3.3880087e-07	0.036923483	0.23213556	0.10215383	5.804051e-08	7.0952555e-09	0.060370468	1.2337982e-06	4.00928e-06	0.30371723	0.021348525
priorregion1_spot_21	3.1164947e-07	1.7379509e-07	1.7806853e-07	1.964232e-07	0.040371243	3.0964182e-07	0.13750203	0.16834155	1.3362292e-07	8.574278e-08	1.6079788e-08	0.31040403	0.058011957	9.757085e-06	0.28535795	1.4053585e-07
priorregion1_spot_22	1.5796626e-07	1.4635506e-07	1.9962448e-07	1.0241805e-07	6.6439776e-07	1.4180878e-07	0.011963725	0.37603778	0.016775057	4.7618897e-08	6.2591914e-09	0.42114297	0.1740787	8.543436e-08	1.4863853e-07	1.1985414e-07
priorregion1_spot_23	0.046182975	1.1395744e-06	1.0449962e-07	1.6802547e-07	0.18023075	3.5376079e-06	0.14732933	0.12687302	0.40071145	1.2886859e-07	1.2754686e-08	1.8247145e-07	1.9940013e-07	0.07745198	1.9803397e-07	0.021214807
