	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	4.3722e-07	2.5173406e-07	0.026979124	8.8754985e-07	0.6066865	9.245167e-07	1.3776906e-07	1.8987823e-05	9.828393e-08	0.054549057	8.737596e-09	7.931829e-06	4.4370012e-07	0.2570299	0.02918826	0.025537072
priorregion1_spot_2	1.2035392e-07	1.5825941e-07	1.178665e-07	1.2436949e-07	0.5924864	3.9530167e-07	0.0058112186	1.9499526e-05	5.4892084e-08	0.18624716	0.21543224	5.044216e-08	1.2172982e-06	1.5495519e-07	8.093209e-08	1.0083928e-06
priorregion1_spot_3	0.110388674	2.7088412e-08	1.9500229e-08	2.0571257e-08	2.9230474e-08	5.608843e-07	1.1273973e-05	2.6246981e-08	6.9378336e-07	0.306785	0.22788598	0.02282056	5.5069273e-07	0.33195052	1.2319461e-05	0.00014378394
priorregion1_spot_4	6.506365e-07	5.1084626e-08	5.7828732e-08	3.3558045e-08	0.16763662	6.7036225e-08	1.6535374e-07	0.003713299	5.3701342e-08	0.341063	0.09786428	0.21722491	2.0676876e-07	0.122696556	0.013648373	0.036151636
priorregion1_spot_5	0.062489428	2.7235105e-08	2.3394886e-08	2.1698852e-08	1.7172894e-08	7.919701e-07	0.016775407	2.0849305e-08	5.408463e-07	0.22329566	0.30695644	8.2062925e-08	3.2939172e-07	0.3313899	1.3573016e-07	0.05909111
priorregion1_spot_6	1.7195749e-06	9.521136e-08	1.9771426e-07	6.844115e-08	5.6075077e-08	0.00046208396	3.838338e-07	4.604763e-08	1.3974598e-07	0.1554789	8.023271e-09	9.784585e-08	5.163055e-07	0.84404606	1.2060941e-07	9.454799e-06
priorregion1_spot_7	0.07814895	1.0459314e-07	0.0019775582	2.0622194e-07	0.19725326	0.0013115208	9.1275047e-07	5.1679757e-07	3.1536442e-07	0.10750033	0.16877003	0.07882168	4.9440627e-07	0.36621034	1.6477705e-06	2.160313e-06
priorregion1_spot_8	6.683307e-07	0.0052321865	4.805025e-08	1.4695627e-07	5.7802716e-08	2.2876219e-07	0.021636328	5.18607e-08	5.968931e-07	0.336257	0.074004054	1.04294564e-07	1.2691154e-07	0.5524712	1.6138306e-07	0.010396937
priorregion1_spot_9	2.067106e-08	1.2232157e-07	1.8623632e-07	2.1676223e-07	0.79111826	1.0574251e-07	4.4044086e-08	3.0324725e-07	4.9678167e-08	2.9128623e-08	0.15066473	0.04978096	1.3644312e-07	2.3916247e-08	0.008434856	2.8675606e-08
priorregion1_spot_10	2.472858e-07	1.15453005e-07	2.46018e-07	1.2126652e-07	0.5601563	1.1058298e-06	5.8065524e-08	2.2028773e-07	4.9851504e-08	1.3823868e-07	5.337866e-09	5.229521e-08	3.7451136e-07	0.43971953	6.550988e-08	0.00012143642
