	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	1.799854e-07	0.32663208	0.09738861	0.21366914	2.5830802e-06	0.22924937	1.4946623e-07	0.10217515	6.435588e-08	4.096785e-08	6.5110406e-09	1.377699e-07	0.023681993	0.007199813	3.6435327e-07	2.46376e-07
priorregion1_spot_2	6.869027e-08	0.35283512	0.21388693	0.21564211	2.700005e-06	0.12642562	0.007801402	4.571902e-07	8.025268e-08	4.955294e-08	0.07931224	4.866208e-07	2.3855478e-07	1.8556763e-07	0.004092202	1.10839984e-07
priorregion1_spot_3	8.44233e-08	0.29654577	0.07549197	0.18768401	0.0050968532	0.048095707	0.0063263606	4.655361e-07	5.8877347e-08	3.603842e-08	0.27314103	0.07989351	0.02464566	1.00054436e-07	0.0030782134	6.495857e-08
priorregion1_spot_4	1.736398e-07	0.10965168	0.016664557	0.11635532	0.11373765	0.24733678	0.043456167	1.7971205e-07	4.0456604e-07	1.2528372e-07	0.041946057	0.26158258	3.1174994e-07	0.048245445	0.001022142	4.3597365e-07
priorregion1_spot_5	0.06826672	0.39201072	0.028618934	0.03776954	0.05287453	0.22689548	1.2216746e-07	1.5090909e-06	1.0323579e-07	5.032963e-08	0.15563643	0.037922706	2.274515e-06	9.649338e-08	6.5860405e-07	9.5376755e-08
priorregion1_spot_6	0.08670532	0.109190285	0.10248873	0.2010315	0.1368137	0.12803146	5.204779e-07	9.35768e-07	2.798915e-07	9.893109e-08	0.1674733	0.030299691	1.4182788e-06	3.6219276e-07	0.03796213	2.3710398e-07
priorregion1_spot_7	7.3856853e-07	0.08957903	0.12678608	0.07686196	0.013209906	0.35273483	0.009725711	6.722523e-07	1.18639896e-07	7.420189e-08	0.06146918	0.0069892462	1.2606968e-06	0.26263934	1.7987566e-06	7.462236e-08
priorregion1_spot_8	0.020224731	0.38754648	0.10098209	0.10850091	5.257195e-07	0.120762005	6.8857666e-08	3.2297282e-07	4.862931e-08	3.7491585e-08	5.5562364e-09	0.20362857	0.05166225	2.84093e-07	5.670235e-07	0.0066910554
priorregion1_spot_9	1.4821e-07	0.34773815	3.5433025e-06	0.23300356	9.49248e-07	0.27379987	0.022434536	0.042629916	2.5750575e-07	9.05306e-07	0.07546836	7.7079775e-08	0.00491773	3.4244454e-07	1.03934596e-07	1.6192945e-06
priorregion1_spot_10	0.2050651	0.08643861	0.06411475	0.1310184	1.7917715e-07	0.14388914	0.008195869	2.8439882e-07	2.8878537e-07	1.7768483e-07	0.33440554	2.264697e-07	0.0153174335	0.011553062	4.2321201e-07	5.1435273e-07
priorregion1_spot_11	0.056097127	0.47882542	0.02116077	0.28719476	0.0021964635	4.9451927e-07	1.2434937e-07	0.0051028375	1.4556505e-07	4.8476746e-08	0.1430689	4.483502e-07	0.006351258	1.1883664e-07	8.3816934e-07	1.4155925e-07
priorregion1_spot_12	1.9961175e-07	0.18102342	0.090956315	0.15475936	1.8469082e-06	0.30223888	0.014796457	0.15793797	1.1877953e-07	8.1304215e-08	0.053484943	0.0394202	0.0032862474	0.0020919428	1.9224142e-06	2.378271e-07
