,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,8.222825226766872e-06,0.0010368487623054533,3.762593674659729,0.001651730964658782,0.874116399884224,1.1096305888713686e-05,2.6983298084815033e-06,0.25502827763557434,3.8207153124858456e-06,6.1502021253545536e-06,4.3097063269215145e-07,0.4445578470826149,2.4724508193685326e-06,6.641120853601024e-05,0.00044818606693297625,6.421480122753565e-07
priorregion1_spot_2,0.0002460291754687205,0.0005224045278737322,2.3860682010650636,0.0006899688101839275,0.022174757532775403,5.1456925029924604e-05,3.3136563502011995e-06,0.0034634448820725088,2.406148109912465e-06,0.5518880724906922,4.590976416807281e-07,0.22603839412331583,0.00016472339193569495,1.1553597927093504,0.6807721972465516,0.11163156554102897
priorregion1_spot_3,0.004666586057282984,0.0027218556846491993,1.9949086606502533,0.0008572978083975614,0.3215870216488838,0.05145600326359272,1.3887908107790282e-05,0.022508512530475856,6.631626774833421e-06,0.6995953261852265,2.257349215994964e-07,0.0001277762719837483,1.7093302687953838e-06,1.5728201091289522,0.33425476402044296,0.9145566016435623
priorregion1_spot_4,3.1707799826108386e-05,0.00018773661649902352,1.3487240254878998,0.00028171812446089464,0.3962811753153801,0.22879303842782975,1.4538691630150425e-06,0.007868458982557058,3.832319691809971e-07,0.44965648055076596,2.785344335620721e-07,0.00010917693580267951,1.5964234933107949e-06,0.049001353606581685,0.13697976246476173,0.4583995908498764
priorregion1_spot_5,6.115991709521041e-06,3.656179760582746e-05,2.243773627281189,7.906580503913574e-05,1.5418323814868928,3.3028441521310017e-06,4.053954612004418e-07,0.046571354568004604,2.9449322198615856e-07,0.0010192573245149106,1.2588946134428626e-07,0.00015382665806100705,7.376680713377936e-07,0.40736251324415207,3.2280309596899316e-06,1.9702712137359415e-07
priorregion1_spot_6,4.1686700387799644e-05,7.571552450826857e-05,3.4720952033996584,6.022236666467507e-05,0.7464227080345154,4.912841859550099e-06,1.4187867463988368e-06,0.4717570349574089,9.819865567806118e-07,2.755530772446946e-06,3.914566548246512e-07,0.1771671399474144,2.188101836964052e-06,8.965525012172294e-05,3.5651742109621416e-05,1.524205379155319e-06
priorregion1_spot_7,5.097752564324765e-05,0.00038109973829705265,2.0580811142921447,0.0016974000958725809,3.852739655971527,2.756174972091685e-05,1.568775599025685e-06,0.37410661578178406,1.5926116645914591e-06,0.4179563716053963,0.00019782159797614442,0.030130967777222396,4.436634412741114e-06,0.4245563924312592,1.5390700809803093e-05,1.3462342508319126e-06
priorregion1_spot_8,0.11601252593100071,0.00017704855927149765,2.5910933017730713,0.0011503186658956112,0.9678945124149322,7.04358758412127e-06,2.930496759745438e-06,0.038458265364170074,4.256859619999886e-06,0.494347657263279,2.0424749678227277e-07,0.02582271751016378,1.4058719443710288e-06,0.354506453871727,2.460818741383264e-05,3.6212923532730204e-06
priorregion1_spot_9,2.6409980250718946e-06,6.315619793895166e-05,0.5641674637794495,0.0001538376382086426,0.24929063543677332,1.0325888410989137e-06,1.9768142607290428e-07,0.0012806843733415008,6.84618306934226e-08,0.052680611982941626,7.768177212597038e-09,2.9846353663742777e-05,5.393676957510253e-07,0.7412430077791213,0.12004541233181953,0.09161667004227639
priorregion1_spot_10,0.31514733582735066,0.0010942579945549368,2.6757700204849244,0.0005575774674070999,0.1441026732325554,0.0002262952250021044,0.00018689429634832777,0.04867262858897448,1.8862308388634118e-05,0.5803295105695724,1.4061230444895047e-06,0.3123728007078171,1.368499652016908e-05,1.6332568168640136,0.3784450009465218,0.09136739112436772
