,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,0.00010943468259938527,1.083108872990124e-06,5.106601724946814e-06,5.300558882481709e-07,5.143257681083924e-06,1.2597250406543026e-05,0.0022851250367239115,2.9558092364823096e-06,4.5082800716045314e-05,0.9606513410806656,7.749281856206379e-08,2.896006310493249e-06,2.04057162591198e-05,2.542479586601257,0.024144720379263164,1.04358628988266
priorregion1_spot_2,1.0840977438419943e-05,3.5068776560365224e-05,0.02881919713690877,6.595618469873443e-05,0.0003098982997471467,0.2878383442759514,1.1551063380466076e-06,2.2113610884844093e-05,1.376600459934707e-06,0.5283953070640565,3.9173297672334686e-08,0.0002775003944407217,5.891951582270849e-06,2.307253122329712,0.9637159615755081,0.35496454834938046
priorregion1_spot_3,2.0510471756551852e-07,4.2207454680465165e-05,1.846017664774991e-06,4.978374789743612e-07,1.6728327409509802e-05,1.5598455250263215,3.0630960310418234e-07,3.710773432885617e-06,1.7973907233681534e-06,0.12266975343227388,6.008078941022177e-08,0.002340501907747239,1.5715306673769193e-07,0.08219439350068569,0.27627189457416534,0.053974665515124795
priorregion1_spot_4,8.577472290198785e-05,2.257882465528383e-06,2.5143744892375255e-06,5.307255975139925e-07,2.4171133463823936e-05,0.0001244500825123396,0.001268866425380111,4.085107411810896e-06,3.4338784416831913e-06,0.8604905992746352,1.6083817158119019e-07,0.00041121296380879356,1.350706781977351e-06,1.8879682302474976,1.611213904619217,0.7131665229797364
priorregion1_spot_5,3.2733599510947906e-07,2.7765730834516946e-07,1.3028178727836347e-06,3.890163213782217e-08,4.6284788908224077e-07,1.2053003615619673e-06,1.232489802305281e-06,3.0894448741491944e-07,8.122126018861309e-06,0.6051435351371766,1.8296841819420706e-08,9.284001407650068e-07,2.3686647296017328e-06,0.5925472378730774,4.343888595030876e-05,0.5482528030872346
priorregion1_spot_6,1.3831299384037267e-05,1.2750344922096703e-05,0.00011570004608074669,5.9413515009509867e-05,0.00023497258516727018,1.0811044812202453,0.0002447032013151329,2.5820567861956077e-05,1.350663222865478e-06,0.6196953147649765,7.836567988306342e-07,0.00014600960275856778,1.1206687076992239e-05,1.4330446481704713,0.9373170733451843,0.44752147495746614
priorregion1_spot_7,3.206061464879895e-05,3.942939486023534e-07,1.0445109694501298e-06,2.1966617254065567e-07,3.15393017444876e-06,0.33480002582073215,0.0004112883223569952,2.4013109282350343e-06,8.398601920589499e-08,0.000847071927273646,2.1624481405524423e-07,0.29754909723997114,5.550488495487116e-08,1.2952135801315308,0.07075319737195968,0.05230896025896072
priorregion1_spot_8,3.801847029194505e-07,7.380277884294628e-06,0.2991254210472107,0.0007900916680227965,0.10526093058288098,1.0317286491394042,5.43308101441653e-07,2.2473749049822802e-05,2.3031979139886973e-06,0.02706350767984986,4.906095458778736e-08,0.4329921513795853,2.732569578256516e-06,0.7906913757324219,0.0010982675361447035,0.00011145616044814232
priorregion1_spot_9,0.0035953377489931883,6.711961987093673e-07,5.362709003975396e-07,4.3711517072608785e-08,3.2708538014958322e-06,1.210654886563134e-06,0.0003051482461160049,1.7736240238264145e-06,1.0460125032807356e-07,0.03705715909600258,1.249124972346749e-08,5.592522506958631e-06,8.698900472836613e-07,2.7271165370941164,0.048431267775595185,0.6097225457429886
priorregion1_spot_10,2.951480373667437e-05,1.7057912100426623e-05,0.17816332951188085,3.596218921302352e-05,0.06632611751556397,0.0021005324670113623,0.0004134069793508388,0.00038699237775290384,3.875150321164256e-06,0.6774346172809601,3.279388820942586e-07,0.19542762860655785,6.0983548564763625e-06,2.1648765683174136,0.8252558439970016,0.7702750712633133
priorregion1_spot_11,8.453322209334147e-07,3.1632771788281394e-05,2.027214413828915e-05,7.342382778006142e-05,0.0008321075059939176,0.23568849191069602,7.794453580345363e-07,0.0016751540417317301,1.6712343438030074e-07,0.29918087869882587,8.476386113898116e-07,1.462583214044571,2.056539569821325e-05,0.38137447685003284,1.1890691637992858,0.1356275387108326
priorregion1_spot_12,6.144623256432169e-07,1.1233369377805503e-06,3.144545166833268e-06,9.724639937758184e-08,3.5717592254513875e-05,1.706961347736069e-05,7.769487844200285e-08,1.1551270790732816e-05,8.913162936607934e-08,0.00016499692283105107,1.711615276178691e-07,2.9673786759376526,1.5933495589592897e-07,0.9731444656848907,0.9555038422346116,6.882897359901109e-05
priorregion1_spot_13,2.121675720445637e-06,4.704693174062414e-06,4.62164070995641e-06,3.8044711004658897e-06,1.694871707513812e-05,1.6125134110450745,3.673469095133442e-07,5.087394515612686e-06,9.044457343065914e-08,0.702695494890213,1.213394091870157e-08,0.000220554737461498,6.634598236132663e-07,0.37370664030313494,1.86812744140625,0.13702619969844818
priorregion1_spot_14,1.109224954234378e-05,9.332852528132207e-07,1.581152713470147e-06,5.068249180339991e-07,6.281159312493401e-06,1.6966723620891573,5.768167994801844e-07,3.861479660827172e-06,5.6086357247409074e-08,0.025560821034014226,5.949907890823172e-08,0.18207060247659684,9.025686352970298e-07,1.1681407272815705,0.7335350394248962,0.40958182215690614
priorregion1_spot_15,4.0925581288320245e-06,1.0332955113767639e-07,2.819307809431848e-07,1.8951598868000028e-08,1.4454580991696276e-06,5.134411567269126e-05,3.022640484573458e-07,3.2201734683212636e-07,1.6731658547541884e-08,0.0004568272634060122,1.3210368043914402e-08,0.7813355445861817,2.07262572757827e-06,1.3582067787647247,0.4986508429050445,0.0005377301422413439
priorregion1_spot_16,3.0456493823294296e-05,9.589747787686066e-06,0.034282746538519863,4.2044197471113876e-05,3.939756770705571e-05,0.1752994142472744,0.0001818807577365078,1.0967524349325686e-05,2.4958067683655827e-06,0.4072054669260979,6.07734941482363e-08,2.6576867458061316e-05,4.629495197150391e-06,2.164289951324463,0.6252813965082169,0.17533652558922766
priorregion1_spot_17,4.545757201412926e-06,0.00010812723994604311,5.879661762264732e-06,1.3570972441812045e-06,2.5917319999280156e-05,3.4293224096298216,0.00015438804621226154,1.287378704546427e-05,8.063878522079905e-06,0.12190019674599172,7.727494271136947e-08,0.0008262508461484686,4.01762756609969e-06,0.7566789656877518,0.8377115756273269,0.22827892601490019
priorregion1_spot_18,0.0009515188896330073,2.3714474536973285e-05,2.2037794133211718e-05,4.158106958129792e-06,0.3440392896533012,0.2414893351495266,9.34895770114963e-06,0.00019966706968261861,2.221452643880184e-06,1.0213629603385925,6.832919552834938e-07,0.00045004479761701077,4.043358194394386e-06,3.7743754386901855,1.1557916343212127,0.9877114593982697
priorregion1_spot_19,1.5333696524066908e-06,4.2694343562743595e-07,1.4197068935573045e-06,2.8869244488305413e-07,5.763831109106832e-06,1.8402592420578003,4.784298440085877e-07,1.8615393003074134e-06,6.289581975238435e-08,0.11513898596167566,4.525443539904473e-08,2.8857825236627834e-05,0.0042661871062591675,1.6170307397842407,0.37253648042678833,0.40656665116548535
priorregion1_spot_20,1.789137677405961e-05,1.6666785484176215e-06,4.678895720644505e-07,1.5281265959288253e-07,2.1205316556915935e-06,0.385092842578888,6.330036171675602e-07,1.7047592336894016e-06,2.0443587658292018e-07,0.14127717018127442,3.931986523042497e-08,8.264731241069967e-06,3.457549638596902e-07,2.046574306488037,0.0941731695085764,0.8437011122703553
priorregion1_spot_21,0.000205549098609481,0.00023858995991759004,0.16755772233009336,0.0006126238615252077,0.04754331335425377,0.9256041139364242,1.2093767509213649e-05,0.0019202432478778063,2.5126254854512813e-06,0.2763122349977493,2.623291521786087e-07,0.001981214911211282,0.0004146735140238889,3.3652556061744687,0.6258741855621338,0.5159819811582566
priorregion1_spot_22,0.00016802381505840459,4.381756843940821e-05,0.04280814826488495,1.4985836014602684e-05,9.902400088321884e-05,1.5468015015125274,1.2570865828820388e-05,0.00026644625031622125,2.3997021912691706e-06,0.13218585923314094,2.651221606697618e-07,0.0949335541576147,1.1902794631168946e-05,1.729743641614914,0.6922129273414611,0.409795469045639
