	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	6.6084266e-07	0.04616061	0.4094163	0.10540279	0.14486006	5.082545e-06	9.553563e-08	0.11268108	0.0005899658	5.6127178e-08	3.85914e-09	0.08566349	0.025500717	0.004116995	0.06560187	3.291626e-07
priorregion1_spot_2	0.018195827	0.040395267	0.2611365	0.04086998	0.021698372	0.011857282	2.2030252e-07	3.821818e-06	2.1254355e-07	0.1155536	4.7912567e-09	0.07191848	0.019983241	0.13878307	0.21614823	0.04345591
priorregion1_spot_3	0.009300956	1.6669019e-06	0.13255402	0.06381593	1.4952371e-06	0.009614378	6.4648693e-06	1.2915173e-06	9.610725e-07	0.08392647	1.1433254e-08	6.7926527e-07	0.008024635	0.17018947	0.10864803	0.41391352
priorregion1_spot_4	6.522589e-06	0.018547306	0.13332915	0.07462465	0.14621912	0.16055512	7.5699336e-07	1.930912e-06	2.6592954e-07	0.0858097	1.1213069e-08	5.7343976e-07	0.018216824	2.0434407e-05	0.07046294	0.2922047
priorregion1_spot_5	1.6704937e-05	7.62884e-06	0.26926678	0.10214439	0.4576893	1.45136e-06	4.5342087e-08	0.04842964	5.473702e-08	1.4675403e-07	3.952917e-09	4.5349375e-07	0.010920777	0.11152229	2.0014262e-07	1.536726e-07
priorregion1_spot_6	7.354928e-07	3.0927397e-06	0.6959427	0.1122819	0.16887596	4.987473e-06	8.077225e-08	5.4355646e-06	1.1680228e-07	6.087606e-08	9.126337e-09	0.0074227997	0.015460253	3.565651e-07	1.2547627e-06	1.4568862e-07
priorregion1_spot_7	1.2225336e-06	0.017790752	0.097785816	0.08675403	0.38093206	2.8366776e-06	7.687319e-08	0.257854	1.0010772e-07	0.05752537	0.00010448029	0.037539642	2.4061006e-05	0.063682474	2.3854484e-06	7.578374e-07
priorregion1_spot_8	0.021308787	3.798475e-06	0.33293876	0.086716436	0.30109215	1.7388275e-06	1.3535266e-07	3.7425953e-06	0.007112901	0.13186693	5.5144107e-09	0.006610763	2.9944551e-06	0.112339094	1.2211322e-06	5.590607e-07
priorregion1_spot_9	9.4454344e-07	0.040736046	0.110409975	0.03007296	0.2476391	1.8122576e-07	1.7469502e-07	6.3928593e-07	1.4032567e-07	0.026005892	5.9641194e-09	5.3011735e-07	0.0124953985	0.31455827	0.09285865	0.12522107
priorregion1_spot_10	0.043435797	0.04954181	0.2732053	0.009744064	2.0858279e-06	0.017213397	8.319335e-07	0.026891313	0.0046077427	0.037407245	5.8419016e-09	0.08211514	0.021467473	0.28986365	0.09331438	0.051189795
