	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.011128771	4.2513545e-07	0.0038191383	1.2799738e-06	0.24505864	3.5924975e-06	5.9148313e-08	2.0776351e-05	1.783219e-07	1.1708801e-07	8.52564e-09	0.12884244	0.007964833	0.12901337	0.4741459	5.1295973e-07
priorregion1_spot_2	3.9693776e-05	4.1330146e-08	7.09335e-08	5.1774418e-08	8.681471e-08	0.011441464	7.098467e-08	1.385815e-07	7.4906055e-08	3.7655607e-07	1.4150861e-08	0.44174555	0.007634379	0.4230493	0.11608816	4.820418e-07
priorregion1_spot_3	2.997258e-07	1.0722284e-07	2.2218443e-07	1.2011839e-07	1.8249312e-07	1.4169665e-06	3.7961556e-08	1.8880746e-07	6.181077e-08	5.6998132e-08	1.1877153e-08	0.014767714	2.279716e-06	1.813346e-07	0.98522705	1.0991984e-07
priorregion1_spot_4	1.5983447e-07	0.011524107	3.1661377e-06	6.9101316e-06	2.6670493e-06	3.1455145e-06	1.1391984e-07	0.012926682	1.6642151e-07	8.9332886e-08	2.0361192e-08	1.8693798e-06	6.880227e-07	1.7582053e-07	0.97552985	2.5270248e-07
priorregion1_spot_5	4.0195573e-07	0.0068203453	0.088627085	7.709162e-07	0.34872085	3.194133e-07	0.00011764355	2.262942e-06	1.8372498e-07	4.1224226e-08	1.8502488e-08	0.5557081	6.781488e-07	1.07417996e-07	9.979202e-07	1.18864115e-07
priorregion1_spot_6	2.9456314e-07	9.5549176e-08	2.958959e-06	1.6525594e-07	4.5130625e-07	2.279872e-07	1.0801211e-07	7.201472e-07	7.052821e-08	4.856593e-08	8.427309e-09	0.63567233	3.0347798e-07	0.086693995	0.27762806	9.8488144e-08
priorregion1_spot_7	2.7478265e-07	1.0379217e-07	0.04349211	2.9904996e-07	0.1618704	0.011216612	3.6593864e-08	1.1690776e-05	4.2944794e-08	2.4404033e-08	4.3284225e-09	8.193152e-07	3.984819e-07	1.3187824e-07	0.7834066	4.5131137e-07
priorregion1_spot_8	2.711726e-07	1.0349946e-07	2.6730436e-07	1.14495165e-07	0.09076794	5.77369e-07	6.709414e-08	0.0307148	7.2278425e-08	3.325682e-08	6.5796066e-09	0.188336	0.004117196	2.7615403e-07	0.68547726	0.0005849608
priorregion1_spot_9	0.00074094377	6.22269e-08	0.017130999	1.2333258e-07	0.36957768	1.9030638e-06	6.025183e-07	0.00013259839	3.980044e-07	5.558695e-08	4.5095625e-09	8.021583e-06	0.0036424221	9.299305e-05	0.6086704	7.57044e-07
priorregion1_spot_10	3.426232e-07	2.4545602e-07	6.3231073e-06	6.6982983e-07	0.25332427	0.013920513	7.2184825e-08	0.11418915	6.648071e-08	4.930679e-08	1.0038555e-08	3.7967374e-07	5.46641e-06	2.180673e-07	0.6185517	6.2812364e-07
priorregion1_spot_11	8.808596e-08	5.2934396e-08	4.8349488e-08	4.5744304e-08	1.0235403e-07	1.7017194e-07	0.00065578445	1.396808e-07	5.0238263e-08	2.4204853e-08	4.334361e-09	0.3293602	3.8692656e-07	7.492353e-08	0.66089255	0.009090311
priorregion1_spot_12	0.0054032817	9.572403e-08	0.01325553	1.7105289e-07	0.52883255	2.6777434e-07	2.9954943e-08	1.2623374e-06	5.1382703e-08	2.3574039e-08	4.2270463e-09	0.2054873	1.9831717e-07	0.004270042	0.242749	1.5459807e-07
priorregion1_spot_13	4.1298856e-07	1.4996377e-07	2.8553129e-07	1.3814848e-07	0.07878917	2.5317505e-07	4.148997e-08	0.03462316	7.17357e-08	0.007634756	1.0094013e-08	0.36103776	2.5409669e-05	1.7913942e-06	0.4967076	0.021178946
priorregion1_spot_14	1.6584185e-07	7.294883e-07	1.8083534e-06	2.3666057e-06	2.5689656e-06	4.1746762e-07	9.770394e-08	7.5106215e-07	1.9441472e-07	1.306403e-07	2.4540956e-08	0.9934063	0.0065829516	1.7738913e-07	1.1222221e-06	1.456414e-07
priorregion1_spot_15	4.160165e-07	0.009114514	2.0904828e-07	2.2812278e-06	2.4090235e-07	2.7338888e-07	3.084054e-08	2.5302907e-07	1.2524727e-07	4.5469925e-08	6.0736256e-09	0.58986425	5.700182e-07	2.0904248e-07	0.40101653	1.2129753e-07
priorregion1_spot_16	0.0052498817	4.003842e-07	2.3229745e-07	2.1952636e-07	3.0480766e-07	1.5057632e-06	7.221387e-08	8.1669424e-07	9.6221655e-08	5.957624e-08	1.0948716e-08	0.42126712	1.0240342e-05	0.021851657	0.54860014	0.0030173291
