	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.034414943	1.0689902e-07	0.28843278	5.772968e-07	8.580684e-07	2.5910438e-07	0.31988463	2.7742803e-07	0.16337089	9.397211e-08	1.2718347e-08	5.079936e-07	2.3530752e-06	0.12630071	0.05038106	0.01720999
priorregion1_spot_2	0.005870764	6.3494745e-08	4.6735583e-08	3.47764e-08	3.0509593e-08	3.6251502e-06	0.3517914	8.39288e-08	0.023541879	5.358624e-05	4.077975e-08	4.8540387e-06	8.214099e-06	0.21207917	2.1607244e-05	0.4066246
priorregion1_spot_3	7.2331245e-06	1.3960776e-07	2.205931e-07	0.00752814	0.010259936	0.021389205	0.037994258	1.3426965e-07	2.8227848e-07	0.08399915	1.1665279e-08	3.085636e-05	0.010510478	0.2483982	0.34341294	0.2364688
priorregion1_spot_4	0.022857504	3.5187125e-07	8.376213e-08	0.0010761558	1.8864071e-07	8.249587e-07	0.04969585	2.022339e-07	0.00060590904	0.08231373	1.4727571e-08	9.803851e-06	4.5694114e-06	0.22108407	0.2342459	0.3881048
priorregion1_spot_5	0.029197486	4.210406e-08	4.818713e-08	3.441704e-08	3.849102e-08	2.064601e-06	0.5547054	6.1877095e-08	0.06750502	0.033010583	1.0035996e-07	2.9806715e-06	1.5050234e-06	0.26237813	1.3342675e-06	0.053195257
priorregion1_spot_6	0.35512763	1.199549e-08	1.4514719e-08	1.0612052e-08	1.2373057e-08	0.0010299627	0.015366607	1.7099744e-08	0.17358978	6.6654655e-07	5.5516325e-09	6.829604e-07	4.1769695e-07	0.45488343	1.5658424e-07	6.085534e-07
priorregion1_spot_7	0.19213533	1.3429782e-07	8.888225e-08	8.447114e-08	1.17095276e-07	1.0088919e-05	0.06979216	5.0525034e-07	4.8971597e-06	0.09557885	1.8905665e-08	0.00016075256	0.0010640661	0.20209606	0.1097932	0.3293636
priorregion1_spot_8	0.2905296	6.416779e-08	0.00031619798	6.607997e-08	5.6145794e-08	3.1383456e-06	0.030450245	1.3167215e-07	1.7110893e-06	0.028042817	1.2462054e-08	5.5386085e-06	2.1161e-06	0.32642442	0.008603513	0.3156204
priorregion1_spot_9	0.053981416	4.377813e-08	5.4237155e-08	3.836599e-08	5.078017e-08	6.575141e-06	0.3355904	7.007469e-08	0.044593602	1.0044057e-05	2.9202575e-08	8.207278e-05	7.2387165e-06	0.31870997	0.02191404	0.22510426
priorregion1_spot_10	0.00920808	6.0921245e-08	4.230835e-08	5.1413256e-08	4.1975547e-08	5.196673e-06	0.082220525	9.873815e-08	3.6263266e-06	0.0715714	1.3932792e-08	0.017392125	5.331541e-06	0.33933356	0.1512348	0.32902512
priorregion1_spot_11	0.041499507	1.219934e-07	6.5652534e-07	6.173453e-07	0.15591304	0.018011352	0.15640806	4.9941957e-07	4.2785015e-07	0.03298594	2.0994952e-08	0.06339631	3.8330304e-06	0.1022985	0.2834334	0.14604773
priorregion1_spot_12	0.34369162	3.781215e-08	4.8388724e-08	5.2300162e-08	4.045601e-08	7.814541e-07	0.41796067	5.876472e-08	3.2049802e-06	7.501496e-07	3.9515683e-08	0.05280542	4.1172885e-07	0.1855319	7.4302153e-07	4.121807e-06
priorregion1_spot_13	0.017030267	2.709654e-07	4.7467498e-07	0.0013194906	0.19721897	6.6077023e-06	0.19131517	1.0580928e-06	4.038131e-06	0.06343279	2.2288527e-08	5.11662e-05	0.0054242844	0.25219578	0.20393762	0.06806199
priorregion1_spot_14	0.2795221	1.9227916e-07	1.5887068e-07	1.2018668e-07	4.3246297e-07	3.5993073e-06	0.1671108	1.0998773e-06	0.053245436	0.0672628	2.9605134e-08	1.6383785e-05	0.012734955	0.37995997	1.04853225e-05	0.04013152
priorregion1_spot_15	0.59301	3.0917906e-08	3.7889887e-08	2.6090824e-08	2.7737617e-08	2.6680016e-07	0.002868414	2.9417059e-08	2.6035033e-07	4.053562e-07	8.586651e-09	6.9480916e-07	2.540266e-07	0.37173176	8.6440133e-07	0.032386918
priorregion1_spot_16	0.03318956	6.356061e-08	4.9829612e-08	5.9679245e-08	5.970452e-08	7.304166e-07	0.18625431	7.111001e-08	9.687878e-07	7.643637e-07	1.39001655e-08	0.34331125	3.7129885e-07	0.25918832	8.202533e-05	0.1779714
priorregion1_spot_17	0.00013175438	1.5436205e-08	1.8595374e-08	2.1657707e-08	1.6602582e-08	1.6254796e-07	0.38579926	1.3350582e-08	0.19520241	3.4884582e-07	2.7338265e-08	1.02592175e-07	5.354541e-08	0.37900865	3.9222564e-07	0.03985673
priorregion1_spot_18	0.122308865	2.9509264e-08	2.4812145e-08	2.3352689e-08	3.582339e-08	3.3488894e-07	0.37966767	2.8881463e-08	0.05953081	4.4401486e-07	1.9630408e-08	0.039463297	5.100675e-07	0.3990268	3.288637e-07	7.534258e-07
priorregion1_spot_19	0.3428963	2.1307191e-07	1.0450834e-07	5.6005894e-07	1.8510646e-07	1.1311878e-06	0.092393264	1.2018143e-07	4.714246e-07	0.061272334	1.2323632e-08	7.2683433e-06	0.009589926	0.20626664	0.18215728	0.10541416
