,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,0.016210299264639617,1.995228994928766e-05,0.6814288616180421,1.1106339843536262e-05,0.13184746131300926,0.0003360496470122598,3.3490998475826933e-06,0.004439099947921932,6.370014205003827e-07,0.799088928103447,3.0166021147692844e-08,5.760221802120214e-06,4.770333674741778e-07,0.9401568114757537,0.0128822582308203,0.7271660298109055
priorregion1_spot_2,0.00012652226105274169,0.00011153472842124758,0.9975455850362778,0.00043397191766416656,0.0019489858124870807,4.01822486310266e-05,3.654679943565497e-07,0.0005321352567989379,2.482362447153719e-07,0.425866961479187,7.882858952257266e-08,0.00017311232659267262,1.1650494172954496e-06,0.8656580835580826,0.5025131344795227,0.07593738436698913
priorregion1_spot_3,7.884666456448032e-06,8.619474328952492e-06,1.8177321791648864,0.002156670752447099,0.3173384428024292,1.9552828348423645e-06,3.4368550103636155e-07,7.524714419560041e-05,6.25095449180435e-08,0.11117961928248406,1.7174562501054426e-07,0.23413521572947502,2.5713846866892707e-06,0.013206810550764204,1.4280558343671147e-05,0.10256964787840844
priorregion1_spot_4,5.588318199443166e-05,2.0665804640884744e-06,0.36923872381448747,1.5014419432191062e-06,0.00012296960849198513,5.290929243528808e-06,3.076753216646466e-07,0.00024147531730704942,2.951465072342785e-08,0.08391095660626889,2.718533611556495e-08,2.3062817217578412e-05,7.005813920102356e-08,0.5390000402927398,0.11508468575775624,0.1804942987859249
priorregion1_spot_5,1.8371679630035945e-06,1.3598146210824778e-06,1.4789837539196016,8.880309724190738e-05,1.2351504847174511e-05,2.6178038297075545e-05,0.00014493537528323941,6.823876128692064e-06,2.7438623995124092e-08,0.0004825349999009632,2.1035271089431262e-07,4.665947972171125e-06,1.6447947999154166e-07,0.2949867457151413,0.015304185170680284,0.08184353969991208
priorregion1_spot_6,0.000728236124268733,5.627416726383673e-06,0.940376427769661,2.873050480047823e-05,0.0006280030880589038,1.2742550143229892e-05,2.496582638400469e-07,0.0008127934968797491,6.496025797275707e-08,0.2636890664696694,9.061658055031784e-08,2.1400027708295963e-05,1.622284308666622e-07,0.6907406091690064,0.004665867518633604,0.43563541769981384
priorregion1_spot_7,7.515854958910495e-05,1.467033162043663e-05,1.3792509138584137,0.0003235689859138802,0.00067687755508814,5.132541136845248e-05,1.191377236864355e-06,0.0012450220878235997,1.2837358411843525e-07,0.4281001776456833,2.2229594591749447e-07,0.07183621525764465,1.2381980354803092e-06,0.6290247470140456,0.4273836717009544,0.2784397304058075
priorregion1_spot_8,5.1965768034278884e-05,0.00036206556833349166,2.2307217955589294,0.0003003440680913627,0.00016439690443803556,2.4215469466071226e-06,0.00032141814590431745,0.0008097649493720383,1.7402527916487997e-07,0.0011600629601161926,2.2834955544226433e-07,1.2777568917954342e-05,1.250161271855177e-05,0.4589055955410004,0.03723565209656954,0.0969343651086092
priorregion1_spot_9,0.0016465203720144928,2.5325603292003507e-05,2.162254762649536,0.00015154183492995798,0.39433053880929947,1.300262756558368e-05,1.1043723816328565e-06,0.2947627305984497,2.149489311875641e-07,0.004912584112025797,3.419220604428119e-07,0.00013590232920250854,0.00031335701642092316,0.5952372163534164,0.00019001067703356967,0.19510785639286043
priorregion1_spot_10,8.870988182252405e-07,5.741150635003578e-05,0.882869976758957,0.0005307542305672541,0.16688250824809073,5.326973200681096e-06,2.7588071649375934e-08,3.475224202702521e-05,2.3377657853984605e-08,4.5654605401068695e-06,7.1870947193630744e-09,2.8607413787540283e-05,1.514265295554651e-06,1.8219428784505e-05,7.794200173520949e-05,8.063629934440543e-07
priorregion1_spot_11,0.00011802819244621787,5.590960381596234e-06,0.30998170375823975,0.0003004027865245007,0.0016675066610332579,5.6885975209297615e-05,1.5531452177697252e-07,0.0005314504378475249,8.721166757652555e-08,0.46847097426652906,5.31661267899608e-08,0.00022696389714838008,5.553741800667922e-07,0.6969606429338455,0.484334023296833,0.07905485853552818
priorregion1_spot_12,0.0001799469377147034,5.434811955637997e-05,1.0724993348121643,0.0006519015034427867,0.518518814444542,2.8125013068347473e-05,5.826772564887506e-07,0.002007190592121333,4.1264015209208084e-07,0.4219605594873428,6.147283926338787e-08,0.00045821206440450625,6.795662358172194e-07,0.46296824216842647,0.27922668457031247,0.2244489349424839
