,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,1.3192921221256255,7.907781036919914e-06,0.0006851310696220026,2.065638736894471e-05,0.0005544444604311139,1.334233009815216,6.474830261140597e-05,0.6254110842943192,3.6279958658269605e-05,0.0012057649262715133,8.006975974694797e-07,0.9987723231315613,0.34653151184320446,1.6115328669548035,0.013594643864780664,2.7399477130529706e-05
priorregion1_spot_2,0.9951835662126541,5.047517674938718e-06,0.003525458183139563,3.921078518942523e-06,0.3113877162337303,1.337899774312973,1.0024658990914762e-06,0.00920079303905368,6.426808295145747e-06,7.312383240787313e-06,9.024125517953508e-08,0.0036784719792194664,0.24803813621401788,0.014164187898859383,0.35022387057542803,0.14610785916447638
priorregion1_spot_3,0.09162726067006588,5.662077205670357e-06,0.281925068795681,1.3547932042001777e-06,1.3655072143592406e-05,0.480085115134716,5.292573714541505e-05,0.2499113477766514,0.016406066436320543,1.5925330444588326e-05,1.2484852973670968e-07,0.00327746516559273,0.055078789591789246,0.43908532857894894,0.0006816538661951199,3.380557998866607e-07
priorregion1_spot_4,0.00010260550516250078,1.225686301040696e-05,2.3127063923311652e-05,1.2459122046948324e-06,1.7974719321500745e-05,1.2181759417057036,3.735029672213842e-08,0.0001920433351187967,2.9644566801323435e-08,4.714454817644764e-07,2.4053282920988298e-08,0.6563779085874558,0.010962350014597179,1.3431302386379685e-05,5.230418391874991e-05,2.0566616711903405e-07
priorregion1_spot_5,1.6246181666851043,1.17993506592029e-05,0.00011631059896899387,5.353273104446998e-06,0.0028750567347742614,0.730422955751419,1.4529592817780212e-06,0.010773013392463327,3.7641986637027005e-06,3.2582680250925475e-05,2.3721469730730862e-07,9.350409491162284e-05,0.2628362685441971,0.2919680759310722,0.11708419807255269,0.33311496078968045
priorregion1_spot_6,0.4288950443267822,1.604111321285018e-06,3.041389627469471e-05,1.2903159415600388e-06,0.45683743655681613,0.009154576295986771,1.8265039841480758e-06,0.4184217661619186,7.047561183526342e-07,1.9096209507551974e-05,2.415080651019253e-07,0.2055499643087387,2.394583407294704e-06,0.5562102317810059,0.9309855848550797,1.494162125936782e-06
priorregion1_spot_7,1.0889736115932465,3.4147165251852133e-06,2.3720445028629912e-06,5.009090784824367e-07,2.5074357199628143e-05,0.7046947181224823,2.0568910258589312e-05,0.0036126173799857497,3.932037475351535e-06,0.00025691328628454354,1.0422710033708428e-06,0.00041548724548192697,3.274480313848471e-05,0.7275551825761795,0.7836631536483765,0.05194170866161585
priorregion1_spot_8,0.8696378469467163,5.739024732065445e-06,6.902986484647045e-07,6.310733757786125e-09,7.94925625768883e-07,0.00029037054191576316,3.7400313459556853e-07,1.8186866441283203e-06,2.6327854119045927e-08,5.266299885988701e-05,5.559596729654005e-07,0.00015771692196722142,9.537942347037642e-08,0.0007847919769119471,0.38756073713302613,0.06599422134459018
priorregion1_spot_9,0.6798669546842575,1.4862781836200156e-05,0.1082584697753191,2.877636652556248e-05,3.768138703890145e-05,1.1417175948619842,0.0297110534273088,0.0019738394999876618,2.747445405475446e-05,5.987276745145209e-05,2.7755104810012203e-07,0.5756983071565628,4.155802835157374e-05,2.538034951686859,0.0004034976460388862,1.4172625412811615e-06
priorregion1_spot_10,0.456367039680481,1.6652507474645974e-05,3.569947548385244e-05,1.1499635002110155e-05,0.04282021392136812,0.6074615955352783,0.05846660416573286,1.1803907036781311,0.0012390920135658236,2.819324026859249e-05,0.0004943691805237904,2.1503010884771356e-05,0.0002648910885909572,0.7517427206039429,0.0002578212108346634,9.82263227342628e-06
