,q05_spot_factorsB,q05_spot_factorsCD.IC,q05_spot_factorsCD.PC,q05_spot_factorsCD.Trans,q05_spot_factorsDCT,q05_spot_factorsEndo,q05_spot_factorsFib,q05_spot_factorsLOH,q05_spot_factorsMacro,q05_spot_factorsNK,q05_spot_factorsNeutro,q05_spot_factorsPT,q05_spot_factorsPodo,q05_spot_factorsT,q05_spot_factorsnovel1,q05_spot_factorsnovel2
priorregion1_spot_1,1.2886665035694025e-05,1.8763037360258749e-06,4.6358431262660813e-07,7.809044490159067e-07,2.911881792897475e-05,8.643113824291504e-06,2.0001067202457537e-08,0.0010504536854568868,1.0848073124236635e-07,7.3516903142945e-08,8.438167009572342e-09,1.4386089742183685,4.0216920353941533e-07,1.2867958139395343e-05,3.172983849708544e-06,1.9383653704352357e-08
priorregion1_spot_2,0.13994264975190163,0.00484960472676903,0.12439027316868305,1.617446478121565e-05,0.5295893549919128,2.50127774477005,6.426141851534339e-07,0.00031177210476016624,6.136473189144454e-07,2.122013274856727e-05,9.44052367231052e-06,2.236729951619054e-05,1.6714551293262048e-05,0.006387082161381841,6.938239530427382e-05,0.06509610451757908
priorregion1_spot_3,6.836141233179661e-06,2.4379835167565035e-06,0.2254517525434494,1.0158818440686447e-06,1.0382301252320757e-05,0.3088413327932358,1.8828375303314715e-07,0.060392072051763536,3.380192310942221e-07,3.3004547617565555e-06,5.725071683393424e-09,0.8815890312194825,0.06066253352910281,0.004369639395736158,8.529762726539048e-06,3.5285167712117985e-07
priorregion1_spot_4,0.6555997639894485,1.0455354595251266e-05,8.489968058711385e-06,1.2534586801393744e-06,2.011102906180895e-05,0.297706238925457,3.1583866189066617e-07,2.078872412312194e-05,2.5680889024215505e-07,4.340870259511576e-06,4.735338898775865e-09,6.356088597385679e-05,1.3482189933711197e-05,0.93851038813591,4.73470408905996e-06,3.1052257583041864e-07
priorregion1_spot_5,0.07828543148934841,2.291595887982112e-06,7.314286563087081e-06,1.3278747189815477e-06,4.323509328969522e-05,1.603691989183426,1.4795446475091014e-06,0.8404706984758377,0.0001938783585501369,7.985909019225802e-06,4.818039789356022e-09,0.4599613666534424,8.11672275631281e-06,0.00828538928180933,0.00050028073892463,0.005236361385323108
priorregion1_spot_6,0.08804362677037715,2.4976243651053665e-07,1.1031802205252462e-05,2.2973534257175744e-07,4.5199271880846936e-05,5.57522997041815e-05,5.008559014640923e-07,7.304837636183948e-05,0.00808720695786178,4.662339893002355e-06,1.3182539415623753e-08,0.44162512570619583,1.252292335607308e-07,0.1606185346841812,4.1292855485153265e-06,1.8747645995631502e-07
priorregion1_spot_7,0.6161431968212128,1.780542112328476e-06,7.374782603619679e-06,1.2155557612913984e-06,8.3094266756234e-06,1.6157368838787078,3.901358436309011e-08,4.162639447713446e-06,2.1987665604683574e-06,7.538793397543486e-07,4.979137369076626e-09,0.6225196599960328,7.731632933882793e-07,0.0013554777833633125,0.026658413093537094,2.4288772522140793e-07
priorregion1_spot_8,0.08360311351716518,2.1724808107137506e-06,2.407070815024781e-06,4.296979250284493e-06,0.3135498136281967,1.2056066513061523,4.5065598897053865e-07,0.00010474737355252728,4.59788304851827e-06,2.899383304111325e-07,1.5792927115398926e-06,3.7858747363090517,3.696473072523077e-06,6.613809127884452e-05,1.1124396496597914e-05,1.1408195383921795e-07
priorregion1_spot_9,0.9883596986532212,5.9618909108394295e-05,6.232534960872727e-05,7.963077405293007e-06,0.16113237217068674,1.9988676190376282,5.465271578941611e-06,0.00043717045919038354,4.573166443151422e-05,7.534998294431718e-05,4.944370857629111e-07,0.46266961395740513,4.3202617962379006e-05,1.0232147574424744,0.00010536862100707368,2.811954464050359e-05
priorregion1_spot_10,0.721968474984169,1.5376076225948056e-05,0.028343692142516374,3.0487969797832197e-05,7.969477301230655e-05,0.6619585990905762,1.3872702538719753e-06,0.2606480732560158,8.891892139217817e-06,2.5864379222184655e-05,2.0224262176071763e-08,0.8208654403686524,0.009465695079416038,0.07729397043585777,0.16987835392355918,0.05814670119434595
priorregion1_spot_11,2.1421205701699365e-06,1.5584897664666644e-05,0.001178982446435839,2.989787401475042e-06,0.28726719617843627,0.9157861799001694,3.5754484173367024e-08,2.855236527921079e-06,2.3590179907273525e-07,3.4519706701985344e-07,4.110682721147896e-06,0.01037602797150612,1.8831933559226858e-07,2.618042562971823e-05,1.5752914350741776e-05,3.0924783978036884e-08
priorregion1_spot_12,0.3289987623691559,0.0003599615214625373,3.600160334826797e-06,2.0266626052034554e-06,1.2975716054439543,0.6344342201948165,2.4556717335144644e-06,0.00016755893666413614,0.0001226448363013333,3.129798744794244e-06,3.049942833968089e-05,1.1278001308441163,9.183666725220973e-06,0.2726839929819107,8.722015172679675e-06,5.821224561941563e-07
priorregion1_spot_13,0.8706416100263596,1.1666355840134202e-05,1.0215002885161083e-05,1.642439224269765e-06,2.8718451994791393e-05,0.9646687000989913,1.4425389736061336e-06,0.00010754292852652725,0.0012698461476247757,1.3036460904913838e-05,2.1840923558613668e-08,1.0094496309757233,0.011389384977519512,0.11235414780676364,0.20334083661437036,0.07428292222321034
priorregion1_spot_14,0.648290941119194,0.0002111919973685872,1.7028062757162843e-05,3.3373780183865165e-06,1.6574908113398123e-05,5.501803861989174e-05,3.419656891878731e-07,9.025822419062023e-06,4.345421052676102e-06,2.9981359784869713e-05,5.5209601779182555e-09,0.5772057771682739,2.0268544886903328e-07,0.015431947726756335,0.11359712518751622,0.04470637775957584
priorregion1_spot_15,0.6621396034955979,0.00035726616624742746,0.021798437088727952,4.1056940244743596e-05,0.0001926723387441598,1.7108066856861115,3.5943141710959027e-06,0.000380514502467122,0.00010384536799392664,2.894087665481493e-05,1.7302674635288894e-07,3.239782500267029,0.010641963919624686,0.5132375150918961,5.6305081852769954e-05,5.534590559364006e-06
priorregion1_spot_16,0.8635992079973221,1.2118521112824965e-06,8.364599034393905e-06,8.467313108440067e-08,3.6252105815037794e-06,0.00016381486711907202,2.810212066606255e-07,0.00335739990696311,2.87871731075029e-07,4.350152285041986e-05,5.795380242368255e-09,7.245675618605673e-07,4.2653770719880414e-07,0.6288596212863922,4.1330271187689506e-07,1.1817396398328127e-06
priorregion1_spot_17,0.06744747497141362,4.310064653623159e-07,2.550425722347427e-06,1.4516829480726303e-07,1.6348094504792243e-06,1.2962752521038057,5.943623477833171e-07,9.692084586276908e-06,0.00434704883955419,1.154516473889089e-06,4.932246500111148e-09,0.42367692738771434,1.2940882811562915e-06,0.10463915579020977,3.793653013417498e-06,4.629629906105492e-08
priorregion1_spot_18,0.27803593426942824,7.249667737596611e-06,4.503373065745109e-06,1.1465329237125843e-06,2.5787183767533863e-05,1.901612037420273,2.237982039332565e-06,0.00010671007912606002,0.009122942853718997,5.775644012828708e-06,1.9658678240830344e-08,1.253387689590454,1.6399389187427006e-05,0.4816454827785492,0.00018148982926504686,7.671526731201084e-07
priorregion1_spot_19,1.4005438566207886,9.946666250471025e-06,3.0568151942134137e-06,7.08605355725922e-07,2.2322926724882564e-05,0.0007359178824117408,5.36875796797176e-07,0.00015686333281337284,1.6825586499180645e-06,4.154386497248197e-05,1.208890156867426e-08,1.7768654823303223,0.0034255820326507093,0.7337548285722733,7.759903155601933e-06,4.021629433736962e-06
priorregion1_spot_20,0.06513631120324134,1.4330038084153785e-06,1.6866947532889755e-06,5.282723947175328e-08,2.390079125689226e-05,5.846813246535021e-06,2.517439156690671e-07,0.0014233745750971138,0.004224727931432426,1.21569419206935e-06,6.825681864164324e-09,0.19536514580249786,8.080932989429358e-09,0.06702948696911334,4.313084218665608e-06,3.251675870785675e-08
priorregion1_spot_21,0.1939849801361561,3.2343657039746176e-05,0.3889587312936783,1.1458645576567506e-05,0.3649461463093758,1.4276594102382658,6.814112066422241e-06,0.14972636774182319,0.00402691604103893,2.0345109896879875e-05,3.3504978773635234e-06,2.30236474275589,0.000597827963065356,0.08247382678091525,5.848189848620678e-05,2.2039761802261637e-06
priorregion1_spot_22,0.175981754809618,1.9695905211847276e-05,1.7111409761128016e-05,1.376499966454503e-06,1.9129406332969665,3.1540106773376464,3.1855558290772026e-06,0.0014270693762227895,7.510972159252561e-06,2.8636754905164707e-06,0.0003779725870117545,0.18947035148739816,0.010649966122582556,0.18184912577271461,0.0002946196313132532,1.3699498879304884e-06
priorregion1_spot_23,0.8301518052816391,3.5391255778449705e-06,6.186382984196826e-06,1.5452054924480763e-06,1.9873991459462565e-05,1.0984593331813812,1.0311290168374398e-06,4.7757568972883745e-05,5.6489676808269e-06,1.4284354938354226e-05,1.7377302174992336e-08,0.8839799076318741,6.008003811075468e-06,0.2919915080070496,0.07701981589198112,0.008539782091975211
