	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	0.0013877738	4.3632525e-08	6.506255e-08	7.891687e-08	1.1762389e-07	4.5091426e-08	2.0213433e-08	0.0059883767	1.297786e-08	7.1599993e-09	2.9101188e-09	0.9926133	1.4131791e-07	7.808134e-08	9.699433e-06	1.7026103e-07
priorregion1_spot_2	0.056471765	6.2527494e-07	0.019829087	0.0034346504	0.1540417	0.6401342	1.277927e-07	2.5240247e-06	9.431423e-08	1.2488456e-07	6.6772348e-09	1.04488755e-07	0.051978104	0.020973999	4.1099725e-07	0.053132456
priorregion1_spot_3	3.2204366e-07	1.3529245e-07	0.14141242	2.2594823e-07	2.605365e-07	0.13611759	4.4999812e-08	0.004487581	6.190721e-08	7.0674936e-08	1.17346115e-08	0.56487936	0.11289141	0.029662203	0.010548199	7.716574e-08
priorregion1_spot_4	0.45999357	4.150608e-08	9.531133e-08	6.055366e-08	1.00211885e-07	0.08817496	3.4958444e-07	5.4410894e-08	6.105626e-07	3.5773962e-07	6.784684e-09	7.397409e-08	9.1973624e-07	0.4518285	9.934133e-08	2.2079402e-07
priorregion1_spot_5	0.0050672446	1.2017692e-07	1.8481346e-07	1.4086598e-07	2.711525e-07	0.47523233	2.0459288e-07	0.30173066	0.019252077	9.795591e-08	8.332004e-09	0.14441222	0.009109512	0.03260035	5.4148626e-07	0.012594028
priorregion1_spot_6	0.046760052	5.032338e-08	0.0009323484	6.994351e-08	2.5408795e-07	1.8037947e-07	7.770288e-08	0.0042892527	0.07804124	4.9674945e-08	8.267696e-09	0.63919914	1.0311657e-07	0.23077595	1.0199161e-06	1.3405527e-07
priorregion1_spot_7	0.29951075	4.1746954e-08	0.00039335806	4.503528e-08	6.942016e-08	0.50024194	7.476407e-08	7.577308e-08	4.1661803e-08	6.295551e-08	5.89132e-09	0.19984725	3.2374085e-06	2.2632432e-06	6.338981e-07	1.12929484e-07
priorregion1_spot_8	0.023527822	8.680634e-08	4.883569e-07	1.1070426e-07	0.085712425	0.22434647	2.8820116e-08	7.62841e-06	9.5940656e-08	3.088377e-08	5.3048854e-09	0.4877432	5.2608266e-06	1.3367243e-06	0.178655	3.5590222e-08
priorregion1_spot_9	0.25813997	6.424052e-08	1.4000526e-07	7.775904e-08	0.019352464	0.36905047	6.501554e-07	2.1233318e-07	0.04203948	3.309048e-07	6.38717e-09	0.09501367	1.406676e-05	0.21638705	6.8894485e-07	5.5972464e-07
priorregion1_spot_10	0.26919845	6.798922e-08	0.032547303	1.3665395e-07	1.0688322e-07	0.1598746	9.704765e-08	0.017092684	1.2184064e-07	6.9210344e-08	5.3854334e-09	0.22860806	0.048704263	0.08126947	0.12492856	0.037775993
priorregion1_spot_11	2.2132616e-07	1.9565972e-07	0.008864292	1.7544725e-07	0.28548163	0.6880916	3.6095052e-08	2.364521e-07	3.7391686e-08	3.869078e-08	5.0307984e-09	0.01108113	0.00080673676	1.1616995e-07	0.005673586	6.765755e-08
priorregion1_spot_12	0.034146946	9.844648e-08	1.0476728e-07	8.557213e-08	0.34821588	0.12381914	7.944912e-08	5.712529e-06	0.035985157	4.567513e-08	4.486786e-09	0.31665936	5.543923e-07	0.14116605	6.5062375e-07	5.7357102e-08
