	B	CD.IC	CD.PC	CD.Trans	DCT	Endo	Fib	LOH	Macro	NK	Neutro	PT	Podo	T	novel1	novel2
priorregion1_spot_1	9.907427e-07	1.8144405e-07	0.029131787	2.0325615e-07	0.06663204	0.008753228	2.7786362e-07	1.9741529e-07	1.4020776e-07	0.57457495	1.2586995e-08	1.9124629e-07	0.1549583	0.13718304	3.218697e-07	0.028764188
priorregion1_spot_2	1.2840047e-07	8.419677e-08	0.001118244	9.934672e-08	0.7953955	1.4421408e-07	2.8383667e-08	7.4043405e-06	0.00425535	1.1502096e-08	2.389444e-09	2.2729752e-07	0.19922265	3.5295372e-08	1.0327654e-07	2.7497018e-08
priorregion1_spot_3	3.5892613e-06	1.7590995e-07	1.6242845e-07	1.4929346e-07	0.38225055	9.1141305e-07	3.8289766e-08	0.14873324	4.190527e-08	4.3525997e-08	2.554546e-09	0.12592131	0.2951571	0.047478598	2.3580085e-07	0.00045389446
priorregion1_spot_4	0.0688867	9.02331e-08	0.0006832095	7.977641e-08	0.046799302	0.01345074	2.7105563e-07	0.11333405	0.0001462656	0.18592587	9.127568e-09	0.22436488	0.26052934	0.08587589	1.1735696e-06	2.2068023e-06
priorregion1_spot_5	7.197376e-07	4.389568e-06	0.023363095	0.0046895137	0.23155013	0.0008879144	2.9033214e-07	1.8609975e-06	1.176432e-07	0.20489284	1.2323312e-08	0.30292678	0.0760873	0.10879389	1.4277755e-05	0.046786875
priorregion1_spot_6	0.0014949255	1.3998282e-07	3.5486383e-07	1.07078364e-07	0.32016867	1.7892343e-06	1.4576794e-07	1.7357908e-06	7.9895635e-08	0.21640484	7.369765e-09	0.09379699	0.17566101	0.15762097	0.017256176	0.017592086
priorregion1_spot_7	6.6460916e-07	4.551077e-07	3.7653587e-07	7.5056596e-07	0.38110393	1.7748295e-07	1.1745638e-07	1.8665071e-06	1.7377862e-07	0.071136355	0.0004717341	0.29596698	3.6190065e-07	0.08945144	0.09688989	0.064974666
priorregion1_spot_8	2.904886e-06	1.8722893e-07	3.0298054e-07	1.521366e-07	0.5018528	0.017434712	1.8377602e-07	0.07450842	0.00062555744	0.14497516	9.553235e-09	0.013272265	0.21167767	0.035648152	4.52395e-07	1.1260477e-06
priorregion1_spot_9	3.083831e-07	0.00031417233	3.8584773e-07	9.064713e-06	0.045838434	0.012989128	3.897858e-07	2.4567495e-07	0.007532535	0.24223751	1.7807642e-08	0.3666758	0.08944839	0.11007107	0.027901785	0.09698083
priorregion1_spot_10	1.2566177e-05	2.2891273e-07	0.039114896	2.1605702e-07	0.16864191	1.405371e-07	1.0560242e-07	3.980557e-07	9.344912e-08	0.16708346	9.783339e-09	0.4145916	7.2059873e-07	0.17792065	0.00024021548	0.032392837
priorregion1_spot_11	2.2337271e-07	1.4074894e-07	2.1522753e-07	2.3633416e-07	0.1656903	0.0518703	2.2964599e-07	2.645999e-07	0.0023747412	0.08157658	8.122387e-09	0.24117345	0.30321592	0.1495827	1.976576e-06	0.004512701
priorregion1_spot_12	3.502014e-06	1.2820645e-07	7.775525e-08	7.24779e-08	0.55673355	4.059458e-07	6.769809e-08	1.7356887e-06	5.0252336e-08	0.13480468	5.9124288e-09	0.1293277	0.10610366	0.049754128	0.008802391	0.014467908
priorregion1_spot_13	1.6685746e-06	2.2933949e-07	3.204622e-07	2.1294643e-07	0.40628913	1.0334985e-05	1.8672203e-07	0.0002479661	1.2552066e-07	0.19370219	9.610128e-09	0.17414802	0.09042043	0.12089052	0.0010911298	0.0131975645
priorregion1_spot_14	1.3663902e-06	1.0352682e-07	1.2043651e-07	1.2355504e-07	1.05181805e-07	4.2738893e-06	9.089483e-07	2.5701792e-07	0.0013341785	0.51031566	1.602423e-08	6.82194e-07	0.17903882	0.23189479	5.524201e-07	0.07740804
priorregion1_spot_15	4.5836492e-07	1.4985342e-07	0.0019702655	1.16016444e-07	0.13049303	0.008467293	1.322171e-07	4.5029847e-07	9.423606e-08	0.26356155	7.2843402e-09	0.2949039	0.23106322	0.046630755	3.3922324e-06	0.022905143
priorregion1_spot_16	1.9651561e-07	1.0698381e-07	1.286629e-07	1.4587341e-07	0.7560044	5.978348e-07	7.9541685e-08	1.7655819e-05	5.8466988e-08	0.24085385	8.653502e-09	7.367513e-08	7.877785e-07	5.735782e-07	1.11307706e-07	0.0031212992
priorregion1_spot_17	4.4265244e-07	2.7437713e-07	0.020652695	0.007698656	0.31076702	0.010215536	1.3592195e-07	1.2539918e-05	8.969326e-08	0.19512597	7.949068e-09	0.3725143	0.063093804	7.1170557e-06	0.004491822	0.015419637
priorregion1_spot_18	1.6374879e-06	1.024168e-07	8.699629e-07	1.387449e-07	0.2124166	0.028481752	4.9945123e-07	1.1052077e-05	0.0048946114	0.1259919	9.16355e-09	0.46209267	0.08787602	0.07785031	0.00037840407	3.4136217e-06
priorregion1_spot_19	7.963888e-07	0.011000709	0.018657675	0.00472492	0.18408217	1.9522096e-07	3.0665595e-07	0.005658751	1.7118117e-07	0.40959507	1.0882469e-08	1.9420118e-07	1.6518591e-07	0.36191526	0.0043622013	1.3276651e-06
priorregion1_spot_20	0.0045063626	2.741823e-07	8.919438e-07	4.291926e-07	0.35277718	3.54079e-06	1.5025996e-06	6.928293e-06	1.0439667e-06	0.33424523	2.655205e-08	4.516213e-06	0.03265032	0.19877526	2.0724704e-06	0.077024415
priorregion1_spot_21	4.6598275e-06	1.1578575e-07	2.2508767e-07	1.2330023e-07	0.50448984	1.9838685e-06	1.8209435e-07	2.8103976e-05	1.06639575e-07	0.15284005	1.323572e-08	1.5485763e-07	0.06289384	0.25962538	2.0301266e-07	0.020115016
