	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.0051611485	0.11957541	6.468654e-05	0.32694477	5.6409546e-05	8.111429e-06	0.1972938	0.3373491	0.013546582
priorregion1_spot_2	0.05291591	0.013601425	1.0075952e-07	0.67421556	5.524193e-07	0.08565879	0.060765658	2.9964687e-07	0.112841636
priorregion1_spot_3	6.067363e-07	0.16271587	0.0005966573	0.1848397	0.00023700995	5.657319e-07	0.065689944	0.5377282	0.04819138
priorregion1_spot_4	1.0712321e-06	9.6561635e-08	0.06913424	0.8177028	0.06760066	0.045531213	2.9864163e-05	6.200975e-08	2.670514e-08
priorregion1_spot_5	2.5752837e-07	0.093773104	3.2156615e-06	0.5380649	0.00038137526	0.009033683	0.065897636	0.29138604	0.0014597826
priorregion1_spot_6	1.1690299e-07	0.16479437	0.040486597	0.25875542	0.105240606	3.077677e-06	0.010188901	0.4205309	3.9550045e-08
priorregion1_spot_7	0.014011117	2.4946443e-05	0.00072981627	0.5564376	0.1466131	0.027836883	0.15999773	0.09425961	8.920954e-05
priorregion1_spot_8	1.0641508e-06	0.07199598	0.0064346134	0.57945687	0.03024316	0.08066376	0.13627732	0.0949272	4.335968e-08
priorregion1_spot_9	1.5745795e-06	0.0016667157	0.03039704	0.55356973	8.2777646e-05	0.051542222	0.21813448	0.14460452	9.162217e-07
priorregion1_spot_10	8.801582e-08	0.09815304	1.5391557e-06	0.1997095	6.600913e-06	1.4262729e-07	0.012552627	0.60908806	0.08048844
priorregion1_spot_11	1.287552e-07	0.019614613	0.08930999	0.78290576	1.164249e-06	1.6335778e-05	0.015099791	0.09214606	0.0009063152
priorregion1_spot_12	5.0218368e-08	0.21218847	0.014301531	0.156202	0.13480924	7.020083e-08	5.046201e-07	0.38988638	0.09261167
priorregion1_spot_13	2.3192915e-07	0.08485685	0.052288502	0.5896804	1.7991796e-06	0.01082827	4.788654e-05	0.26229608	4.143151e-08
priorregion1_spot_14	1.0459638e-06	1.421709e-06	2.0311857e-06	0.75129753	7.8929574e-05	0.032913074	0.11013127	0.10557446	2.0639455e-07
priorregion1_spot_15	2.1354445e-07	0.042233877	9.135826e-07	0.6992681	1.2086158e-06	0.010557343	0.08316154	0.1623161	0.0024606842
priorregion1_spot_16	0.005289101	1.9591359e-07	0.03241767	0.6451947	7.224398e-07	0.051344268	0.26575306	1.1431347e-07	6.2566976e-08
priorregion1_spot_17	4.0722614e-07	0.020293778	0.027121417	0.65366507	0.00010328875	0.030799087	0.09357797	0.1118367	0.0626022
priorregion1_spot_18	4.4460245e-07	2.0117365e-07	0.031638075	0.4286698	5.4889656e-06	0.012769566	0.24771982	1.2822491e-06	0.27919522
priorregion1_spot_19	1.4384847e-07	0.103108905	5.954899e-07	0.39500624	7.859319e-05	4.4211532e-07	1.8630604e-06	0.36269408	0.13910913
priorregion1_spot_20	0.06432254	0.08810188	0.035747632	0.48129937	3.9575502e-06	3.2394028e-06	2.0815794e-05	0.32924306	0.0012575915
priorregion1_spot_21	1.2640935e-07	0.13691437	3.3999433e-05	0.5753979	0.00013254398	1.830257e-05	0.015792122	0.27171054	6.402932e-08
priorregion1_spot_22	8.6756796e-07	0.21033992	0.009529231	0.47115904	9.281275e-05	0.018344872	0.047454465	0.24307472	4.0251216e-06
priorregion1_spot_23	1.7171607e-07	0.014012992	0.019354777	0.6934838	0.0062463144	2.5510512e-06	5.659379e-05	0.26684242	2.9648237e-07
priorregion1_spot_24	1.9022895e-06	0.30639198	0.0005035504	0.015464189	0.0849428	1.6626397e-07	5.7796033e-06	0.55011976	0.04256984
priorregion1_spot_25	4.2599163e-07	1.5292167e-06	0.051292058	0.29047957	2.9134215e-05	0.047001038	0.14114124	0.17346907	0.29658592
priorregion1_spot_26	0.017368052	1.219858e-07	5.4494103e-07	0.9826259	3.4566446e-07	4.8851444e-07	4.4291746e-06	5.452999e-08	2.078975e-08
priorregion1_spot_27	9.1839745e-08	0.23825604	5.545986e-07	1.0721257e-07	0.014647723	2.4529382e-07	9.823924e-08	0.5514026	0.19569248
priorregion1_spot_28	1.0174883e-07	0.1424099	9.626224e-07	0.23190868	1.5144218e-06	1.9211095e-07	3.0515312e-06	0.6031564	0.022519266
priorregion1_spot_29	2.8224676e-07	0.13493618	1.3635031e-06	0.57094264	1.5626243e-05	6.5398385e-06	0.00017711823	0.29392016	7.231436e-08
priorregion1_spot_30	9.36886e-08	0.08053021	2.0732566e-07	0.2061659	2.8665108e-06	4.539251e-06	0.11527686	0.51174456	0.08627481
priorregion1_spot_31	2.2076952e-06	0.11990133	0.02802305	0.5280313	0.008227775	7.1893087e-06	0.03813789	0.26381168	0.013857541
priorregion1_spot_32	1.6439868e-07	5.019417e-06	0.12784137	0.45640025	2.1793303e-06	0.019594988	0.055372305	0.3407837	2.7117908e-08
priorregion1_spot_33	1.1366136e-07	1.4314803e-06	2.1176291e-07	0.7244077	1.6874684e-06	0.040556412	7.1835143e-06	0.23502523	5.6502444e-08
priorregion1_spot_34	6.815314e-08	6.2447576e-08	7.0233824e-07	0.9218243	5.976893e-07	7.877961e-07	0.07817353	3.726661e-08	2.7168158e-08
priorregion1_spot_35	2.1779873e-07	0.05537763	1.4497793e-06	0.46911314	0.028520541	2.029034e-06	0.16385858	0.28312632	8.23665e-08
priorregion1_spot_36	2.9604993e-07	0.08001296	1.3713875e-05	0.3805719	0.049014036	0.021739058	0.03329828	0.2315835	0.20376623
priorregion1_spot_37	2.591821e-07	8.808019e-06	5.130509e-06	0.57818604	1.6593445e-05	0.055664957	0.070471965	0.29564613	8.665324e-08
priorregion1_spot_38	1.9555732e-07	4.293157e-06	0.00043991118	0.7419539	0.07029999	6.212169e-05	1.1187075e-05	0.13109635	0.056132074
priorregion1_spot_39	6.278853e-07	0.06463611	3.7366472e-06	0.3218843	4.7212275e-06	0.0045342767	0.12055792	0.4362572	0.052121032
priorregion1_spot_40	2.7134154e-05	0.17082316	3.1484436e-05	0.4233316	4.59055e-05	0.05238575	0.13708994	0.18630254	0.029962493
priorregion1_spot_41	1.4299998e-07	1.743261e-06	0.010154351	0.8048855	2.3844746e-06	7.562543e-06	0.00014173912	0.18480653	1.0277471e-07
priorregion1_spot_42	1.4904872e-07	5.2062318e-05	0.00011894348	0.6478636	0.00014155048	2.248604e-06	6.7579986e-06	0.3518146	8.77318e-08
priorregion1_spot_43	9.181703e-08	0.08269002	0.14422807	0.4908286	3.994242e-06	1.5624472e-06	2.1348123e-06	0.28211284	0.00013272854
priorregion1_spot_44	1.852037e-07	0.1495687	0.023439346	0.56753474	0.0004949901	0.03729216	6.4351065e-05	0.22138065	0.00022489892
priorregion1_spot_45	3.386451e-07	0.0098161455	7.0697647e-06	0.7693999	0.02223362	0.027192019	0.09889948	0.06776518	0.004686297
priorregion1_spot_46	3.4444645e-07	0.104692824	4.6661713e-05	0.3021473	0.00037223133	7.861414e-07	0.102969415	0.48977038	8.011068e-08
priorregion1_spot_47	0.08600181	0.0932452	1.0392847e-06	0.6531561	0.015678177	0.023215724	0.031192513	0.09649296	0.0010165051
