,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,3.0694888891957818e-06,0.08901411928236484,0.0006062854343326763,9.61733940130216e-06,0.001345529837999493,4.6492662875152746e-07,2.140797403171746e-06,0.9999475032091141,3.1876351691551013e-08
priorregion1_spot_2,0.4442193821072578,2.4729747838136974e-05,0.3129737377166748,2.454646585192677e-06,0.5796054512262344,1.1551421472688617e-07,3.918565653293626e-07,3.7492474984901494e-05,1.0428055663425085e-08
priorregion1_spot_3,0.45196797847747805,8.099543401840492e-06,0.43070955872535704,7.551278685014042e-07,0.330265012383461,1.9117937313239964e-07,8.411188439083616e-08,6.572687937023147e-07,5.088322438950854e-08
priorregion1_spot_4,1.1961670517921448,0.001262636634055525,1.0419216334819794,0.001600908802356571,1.6074299216270447,9.330237162430421e-06,3.085088155785343e-05,7.176195103966166e-05,1.3433866214995762e-07
priorregion1_spot_5,1.1625298321247102,0.5185795843601226,1.2338246285915375,0.004245308367535472,1.5037153363227844,2.5928764898708323e-05,0.005921999271959066,0.5996130377054214,2.766138436527399e-07
priorregion1_spot_6,0.0001274528945941711,0.46501092016696927,0.4470849871635437,0.0028456646599806846,0.6817382752895355,3.1802129342395347e-05,1.635631642784574e-05,0.49714194536209105,2.3379679845447753e-07
priorregion1_spot_7,3.657786726951599,1.0615678906440735,0.37094614654779434,0.0012081891763955355,1.0979851603507995,0.08775847367942333,0.010188283352181315,1.8097802221775054,5.822306377467613e-07
priorregion1_spot_8,4.121940445899964,0.6309123545885086,0.2552973389625549,0.000737267712247558,0.5764090955257416,0.16652440577745437,0.006161781260743737,2.542465054988861,6.012763208218531e-07
priorregion1_spot_9,1.4664827406406402,4.574313770717708e-05,0.02049033073708415,3.897836313626613e-06,0.140681129693985,1.1534348800523733e-06,3.0678564826303046e-07,1.2381033047859092e-05,1.1636658427960356e-05
priorregion1_spot_10,2.790294146537781,1.641383707523346,0.5343615055084228,0.0007114652020391078,1.276810622215271,0.07044568546116352,0.002079426113050431,3.6236552357673646,1.3725506164519175e-06
priorregion1_spot_11,1.194984930753708,0.6661184519529343,0.27761061340570453,0.006983548309653998,0.4115500092506409,0.0004990659275790677,0.003139394661411643,2.06975439786911,9.708067771896368e-08
priorregion1_spot_12,0.8097785234451294,0.7154564678668975,0.0035944527364335952,0.00022618859584326857,0.010078926337882876,0.00013176134743844158,0.042484914883971214,1.8692442893981933,5.281206210128176e-08
priorregion1_spot_13,1.8006375103141182e-05,3.38656772100876e-06,0.7980087935924529,1.5410964124384919e-06,0.8440514385700226,6.373017313876518e-08,1.1273151336865796e-07,2.1510459191631526e-06,6.105790333776897e-07
priorregion1_spot_14,1.5954058349132538,0.38632428646087646,1.1750651955604552,0.0029714131262153385,1.3747183561325074,0.0002976430172566324,0.0002017000959313009,0.5661823600530624,4.3827570692656084e-07
priorregion1_spot_15,0.1543669171631336,0.16020408570766448,1.1706769168376923,3.7371343523773247e-06,1.0236232995986938,6.341545514487734e-07,3.393866541046009e-06,0.3294318556785583,1.7536397578510332e-07
priorregion1_spot_16,0.20484361648559568,0.005728961154818535,1.4801114618778228,4.856149553233991e-06,1.936735814809799,7.518746997448035e-07,2.507452393274434e-06,0.2537418112158775,3.80296376079059e-07
priorregion1_spot_17,0.36737354248762133,0.18673312589526175,0.018345595616847277,0.00010378095721534919,0.19932374134659767,2.5574594587851608e-06,0.01250914498232305,0.5224976718425751,3.865027373706198e-08
priorregion1_spot_18,2.604346585273743,0.35413664281368257,1.7013916790485382,0.048357850499451155,1.7616481542587281,0.0001454640085285064,0.0008548923302441836,0.8367470562458038,7.312822987159961e-07
priorregion1_spot_19,0.5281478345394135,0.4453558534383774,0.8864460498094558,0.0007242530176881702,0.9744910597801208,8.884168255463009e-06,0.0006510461535071954,0.723673090338707,5.966639502474892e-08
priorregion1_spot_20,0.805219402909279,0.10658246241509914,0.4480475321412087,0.0028177654836326837,1.2562814712524413,1.0912604284385451e-05,0.00015636773605365306,0.5299201786518097,1.3049255116470705e-07
priorregion1_spot_21,2.135122764110565,1.0376580834388733,0.8408115237951278,0.004416072298772633,1.4942406654357911,6.500735908048228e-05,0.004680969100445509,1.4676898121833801,1.2448740392301262e-06
priorregion1_spot_22,0.551956069469452,0.35869403928518295,0.043630055338144305,0.0002602184336865321,0.029648338072001935,7.589676097268239e-05,1.035933864841354e-05,1.5762839198112486,1.6142691805498546e-07
priorregion1_spot_23,1.357672256231308,0.7675315886735916,0.2001861408352852,7.98549208411714e-05,1.2899001657962799,1.380756493745139e-05,0.004167586332187057,1.8793412923812867,4.4084474666306055e-07
priorregion1_spot_24,0.8565351068973541,0.41970182061195377,0.4369308367371559,0.01802711533382535,1.594445812702179,0.00010297175213054289,0.00023219070208142513,0.8668889284133912,3.458515209331381e-07
