	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.26783466	0.064253	0.049979422	4.2339425e-07	0.10553865	1.5069038e-06	3.8503782e-07	0.1358621	0.3765299
priorregion1_spot_2	0.3477582	0.11873237	0.37533253	7.0885096e-07	1.7566468e-06	0.017348185	6.161497e-07	0.049539503	0.09128619
priorregion1_spot_3	0.4042837	0.09266135	0.12692258	2.766166e-06	0.3222324	6.300869e-07	0.02253736	0.03135924	2.0938185e-08
priorregion1_spot_4	0.4530244	0.22746012	0.24903086	4.379079e-07	0.05796134	2.3287037e-06	0.012499077	2.1360527e-05	3.045149e-08
priorregion1_spot_5	0.12335191	0.28502148	0.039687935	1.7671003e-07	0.085649066	0.012396154	2.821731e-07	0.453891	2.0440561e-06
priorregion1_spot_6	0.22795035	0.14109287	0.1526933	0.14625788	0.03601862	1.4061269e-05	0.019625975	0.18890847	0.087438464
priorregion1_spot_7	0.31752133	0.2103926	1.8109382e-07	0.020952828	0.4124872	7.360623e-08	1.3928652e-06	0.03864443	2.4986669e-08
priorregion1_spot_8	0.349308	0.08577785	0.06511745	0.024097072	0.43924335	0.029040342	0.0074154707	3.9914946e-07	1.8089686e-08
priorregion1_spot_9	0.19417553	0.15027742	0.06053377	0.0033042303	3.1072246e-05	0.04364265	1.946815e-06	0.30507967	0.2429537
priorregion1_spot_10	0.06334295	0.023929901	0.052803256	0.04072684	2.8145627e-07	2.495717e-07	0.110059686	0.70913684	3.431295e-08
priorregion1_spot_11	0.22561423	0.036584474	1.4721264e-06	0.033891637	0.06601777	0.108057536	2.7054477e-06	0.41499943	0.114830784
priorregion1_spot_12	0.20715012	0.2301659	0.101568475	9.435489e-06	0.2254092	0.048115067	3.7598506e-06	0.13763195	0.04994614
priorregion1_spot_13	0.29098746	0.1293136	0.047033817	2.94208e-07	0.03737967	0.000110732166	3.439571e-07	0.14791664	0.3472575
priorregion1_spot_14	0.41957784	0.14818923	0.18883848	0.03440926	0.14474972	0.017401548	2.3132198e-07	0.046833623	1.4060843e-08
priorregion1_spot_15	0.08908143	0.042431768	0.10081134	0.117931716	0.41226006	0.06803375	2.3248717e-07	0.16577767	0.0036719898
priorregion1_spot_16	0.29216564	0.3226835	0.16008782	3.7740415e-06	5.0402423e-06	0.018655064	8.6915065e-07	0.16946414	0.03693407
priorregion1_spot_17	0.493896	0.09997427	0.044471126	0.010087882	0.280357	4.5682117e-07	0.011491436	0.05880735	0.0009144531
priorregion1_spot_18	0.5024127	0.2187464	0.20280746	0.014471379	7.4846776e-06	2.8172184e-07	0.024715152	0.03327172	0.0035673587
priorregion1_spot_19	0.36165372	0.23731312	4.9005357e-05	1.5134274e-06	0.33739212	8.772785e-07	0.032649744	0.030939862	1.1536423e-08
priorregion1_spot_20	0.41303304	0.20782691	0.16754463	0.008338669	0.043660954	0.0063653835	0.023384044	0.12984633	3.896781e-08
priorregion1_spot_21	0.44409576	0.16513558	0.06747961	0.010314079	0.13282296	5.216063e-05	3.3612519e-06	0.1258992	0.05419737
priorregion1_spot_22	0.32785094	0.22968194	0.109423265	4.8810784e-06	0.15234625	1.066957e-06	0.018948214	0.032839432	0.12890399
priorregion1_spot_23	0.34576076	0.023191497	0.23964405	2.3312475e-06	0.21429785	0.00013405085	0.013270294	0.16369906	4.6015224e-08
priorregion1_spot_24	0.07363718	0.19844997	0.14007102	6.9683193e-07	5.8471237e-06	5.2263647e-07	2.8952624e-07	0.413914	0.17392047
priorregion1_spot_25	0.34522668	0.03309222	0.20023882	2.2676979e-07	0.3151598	0.03612919	0.022835238	0.047317922	1.1404166e-08
priorregion1_spot_26	0.36936352	0.004428184	0.040666834	0.010047886	0.53557825	0.008464994	3.370552e-06	0.031446896	7.926392e-09
