,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,2.431898415977685e-08,6.875351066248925e-09,1.6092486543328734e-08,1.4265367953569808e-08,6.558674563450496e-08,2.9465931139505135e-09,4.018540733508048e-09,9.815178980687733e-09,0.02828751942142844
priorregion1_spot_2,7.374096604451098e-08,5.12875734770546e-08,3.4871124654500825e-08,1.1171428893064217e-08,2.0797913222736497e-07,1.2625378187358652e-09,2.1016444406996016e-08,3.411447568879567e-08,0.0926868960261345
priorregion1_spot_3,1.3917539689600745e-07,3.8165580029669854e-08,7.740982361781335e-08,1.2625398282395396e-08,2.239178847673884e-07,1.6240156508473546e-08,1.2043756170143639e-08,2.171385906635237e-08,0.08002835847437381
priorregion1_spot_4,5.10316670698785e-08,2.1169053709968467e-08,1.642951348301836e-08,1.4889920985083905e-08,7.677608806488933e-08,4.390109942242759e-09,1.123902793054299e-08,7.611278451946647e-09,0.08621704168617726
priorregion1_spot_5,9.806035841108952e-08,5.6389727554062574e-08,1.0031830441903367e-07,3.464140743147937e-08,1.3632463193857803e-07,6.331413038296319e-09,1.7389715711857435e-08,2.530585465621016e-08,0.07978278212249279
priorregion1_spot_6,2.6453573696016976e-07,7.62576878088339e-08,1.3169131491963528e-07,5.277789494329e-08,3.701764072161496e-07,1.0872675915152286e-08,2.6756804238914354e-08,8.010055232432479e-08,0.1402545556426048
priorregion1_spot_7,9.063307011558664e-08,3.656462617129819e-08,2.5921026391984014e-08,1.5235040162764336e-08,9.070190820636982e-08,2.760960271519508e-09,1.134179004047553e-08,7.518063016576094e-09,0.051093672215938565
priorregion1_spot_8,5.492649002292183e-08,4.795598940177115e-08,2.6949011466825823e-08,8.227309544750482e-09,2.656007637824587e-07,3.153859362559075e-09,9.432149239430033e-09,2.2750959693951247e-08,0.0932725876569748
priorregion1_spot_9,0.0005878936004592106,0.3881083160638809,0.006185909640043974,2.202361501986161e-05,0.23729474171996118,0.0017690602107904851,3.6770013502973596e-05,0.04105791691690683,0.15519909784197808
priorregion1_spot_10,6.338506537417743e-08,2.5974272066520147e-08,3.475507330819028e-08,2.30543565571395e-08,1.2407538321212997e-07,2.4129721887256044e-09,9.315452631497578e-09,3.328347588649195e-08,0.08499187082052231
