	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.07961945	0.025611423	0.08422479	0.09558848	0.005946921	0.4777577	0.04346353	0.18778765	3.1269128e-08
priorregion1_spot_2	0.05812508	1.0541827e-06	0.00014625092	0.2671585	0.22466882	0.44548097	0.003679076	2.082801e-06	0.00073823286
priorregion1_spot_3	0.078608915	0.09249678	4.7037005e-07	1.4652431e-07	1.6587276e-06	0.29826215	0.032440256	0.49818957	2.3476732e-08
priorregion1_spot_4	0.09089123	0.035333592	0.0042840517	0.19968161	0.024530767	0.41242132	0.03901716	0.19198108	0.0018591431
priorregion1_spot_5	0.08316079	8.7735276e-07	0.05841037	0.25087562	0.10435982	0.49202543	0.011166596	1.3217397e-07	4.6359457e-07
priorregion1_spot_6	6.4781796e-07	0.13921754	2.1144572e-06	1.950139e-07	0.20225932	1.1278254e-07	3.123952e-07	0.6585196	5.6295125e-08
priorregion1_spot_7	0.057024926	0.024943326	0.14314929	0.10564424	0.04563271	0.41473728	0.030428678	0.17754103	0.0008984665
priorregion1_spot_8	0.052468374	1.1442995e-07	0.08141504	0.3376277	0.12000505	0.40744808	2.8758905e-06	4.3281073e-08	0.0010327705
priorregion1_spot_9	2.3237328e-07	0.23049855	2.2292243e-05	0.0055911113	0.0038155455	2.961175e-07	3.7644506e-07	0.76007164	1.7938303e-08
priorregion1_spot_10	0.13420458	0.010672276	6.024706e-07	1.3546406e-06	0.12442156	0.45606577	0.019167699	0.2550839	0.00038229243
priorregion1_spot_11	0.09115445	0.14029099	0.007379745	0.011243775	0.073967084	0.45367923	0.047563285	0.17321864	0.0015028563
priorregion1_spot_12	0.103163585	0.037969477	2.0581316e-05	0.11451165	0.03718056	0.47220337	0.06665754	0.16829318	1.3237398e-07
priorregion1_spot_13	9.617783e-07	0.08499301	4.4469644e-07	5.4384167e-08	0.23226544	2.0329256e-07	0.005657647	0.6767346	0.00034763585
priorregion1_spot_14	0.21927616	2.778806e-05	0.00016679094	0.1136854	0.10834803	0.48831436	0.06377493	0.0064064055	2.21313e-07
