	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.0030140122	0.4763776	2.3667828e-05	9.293889e-08	0.43613356	3.5327082e-07	7.383984e-08	0.084450595	3.553148e-08
priorregion1_spot_2	0.0043127676	0.64865804	0.007009789	7.631654e-08	0.21464287	1.2442977e-07	8.8817245e-08	0.12537627	2.6304075e-08
priorregion1_spot_3	2.708823e-07	0.6568465	0.048217736	8.8097494e-08	0.19894451	6.081447e-08	8.968295e-08	0.09532213	0.00066857773
priorregion1_spot_4	9.717307e-07	0.61796856	0.023031505	1.1718426e-07	0.22769596	1.4871744e-06	8.222549e-08	0.13130137	2.0105153e-08
priorregion1_spot_5	8.593031e-08	0.87339497	0.0171759	8.521957e-08	0.0523559	7.118318e-08	5.315505e-08	0.05678818	0.0002848667
priorregion1_spot_6	3.0252525e-07	0.67485327	9.9955454e-05	5.9030008e-08	0.3008103	5.9419445e-08	6.047951e-08	0.024235955	1.2228945e-08
priorregion1_spot_7	4.616148e-07	0.49561894	0.0074731866	2.7479457e-06	0.36741382	1.2835724e-06	1.0060542e-06	0.12948817	3.5549976e-07
priorregion1_spot_8	0.01643746	0.6287411	0.005303033	6.918829e-08	0.22508937	9.5950774e-08	4.4111598e-08	0.12442881	7.2269644e-09
priorregion1_spot_9	0.048721746	0.7164752	0.009977026	8.365297e-08	0.19166793	1.5206699e-07	5.3692574e-08	0.03315768	5.1671513e-08
priorregion1_spot_10	9.241389e-08	0.772749	0.0913638	2.226481e-07	1.9882193e-05	6.080256e-08	9.548154e-08	0.13499537	0.00087145524
priorregion1_spot_11	2.1859827e-07	0.592847	5.3149783e-05	1.2694551e-07	0.34858057	1.9831448e-07	7.188092e-08	0.05848429	3.4370478e-05
priorregion1_spot_12	0.010164716	0.9416818	4.018149e-06	8.7599517e-07	2.8404982e-06	0.0062195347	2.1345308e-07	0.041778848	0.00014704252
priorregion1_spot_13	0.00518722	0.4163441	7.1800123e-06	8.366098e-08	0.39938402	9.725688e-08	6.677426e-08	0.17907716	2.0207557e-08
priorregion1_spot_14	0.031501118	0.6272523	0.114362106	4.5642526e-08	0.1131126	1.9587179e-07	4.0897287e-08	0.11377162	1.0546755e-08
priorregion1_spot_15	2.4080944e-07	0.6525488	0.009639866	1.8170655e-07	0.25360814	1.1984655e-07	1.5929781e-07	0.08420247	6.014232e-08
