	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	2.0916558e-07	0.39518586	0.044708088	0.20405413	0.23829386	3.8745767e-07	0.011411386	0.105747566	0.0005986078
priorregion1_spot_2	4.740026e-07	0.5759694	0.13849352	3.1921257e-07	0.21149041	2.6370105e-07	5.3767458e-08	0.0687637	0.0052819108
priorregion1_spot_3	0.007869133	0.6529252	0.12674254	0.009804843	0.13255797	2.8114258e-07	3.717082e-07	0.070099615	3.0094302e-08
priorregion1_spot_4	4.0294317e-06	0.62941784	0.01643658	0.13051197	0.092768416	1.6476733e-06	3.1302457e-07	0.1308592	1.2303295e-08
priorregion1_spot_5	0.07354289	0.6667717	0.21337654	3.6541767e-08	0.038679227	6.203678e-08	5.315696e-08	0.007629393	5.4699445e-09
priorregion1_spot_6	1.986556e-07	0.53136164	4.689864e-06	0.2054369	0.23299204	0.0038617202	2.1432504e-06	0.026340574	5.9892876e-08
priorregion1_spot_7	0.06276338	0.40706652	2.3314212e-06	0.3854898	0.0932696	0.05140678	3.813038e-07	1.2448696e-06	1.48100625e-08
priorregion1_spot_8	1.0455896e-07	0.10251913	9.6365774e-08	0.47559285	1.3021112e-07	0.04958414	0.36620855	0.006095007	1.9631894e-08
priorregion1_spot_9	1.2997996e-06	0.49835175	0.10136464	1.8432199e-07	0.28914037	2.0850902e-07	1.12860945e-07	0.11114129	6.124506e-08
priorregion1_spot_10	1.0692158e-07	0.61033905	0.051554207	0.28437796	8.061497e-05	1.4615595e-07	6.058956e-07	0.052633155	0.0010140634
priorregion1_spot_11	0.047448166	0.37003434	0.2310566	1.0329272e-07	0.35146013	2.324802e-07	4.956421e-08	1.8578906e-07	3.1655045e-08
priorregion1_spot_12	1.6735848e-07	0.5069892	0.104138345	0.14294408	0.19004762	1.546501e-07	2.7572665e-07	0.055880293	4.6721933e-08
priorregion1_spot_13	0.009219854	0.37973875	0.101534866	0.0015934197	0.50791126	4.158761e-07	5.4009355e-08	1.34781e-06	3.4727044e-08
priorregion1_spot_14	3.809683e-07	0.43088418	0.109104596	0.11001435	0.2700217	1.8466342e-07	1.1375949e-07	0.07997452	2.442324e-08
priorregion1_spot_15	4.6265023e-07	0.47049862	0.1766429	0.10100512	0.18202825	0.008583206	9.22806e-07	0.06124055	4.188923e-08
priorregion1_spot_16	7.916154e-07	0.5313389	0.14048156	0.0032192986	0.21290657	0.013423566	0.0104643935	0.08816503	2.3539407e-08
priorregion1_spot_17	2.1172923e-07	0.74245715	0.044818077	2.0696093e-07	0.10080078	1.12569126e-07	1.583624e-07	0.11192317	8.4033466e-08
priorregion1_spot_18	1.5095698e-07	0.53472453	0.0020468358	0.16975178	0.16621546	1.6094071e-07	8.763251e-07	0.12726028	1.1294613e-08
priorregion1_spot_19	8.716805e-06	0.7116717	0.055488605	4.844299e-08	0.1603382	1.4801122e-07	6.8271014e-08	0.07249248	9.224632e-09
priorregion1_spot_20	0.0056428155	0.43589264	0.22949392	1.2169171e-07	0.28764784	0.012359411	7.160532e-08	0.028926574	3.6656504e-05
priorregion1_spot_21	2.2364948e-07	0.74413586	0.09214768	0.006641693	0.15192342	0.005149192	1.3018901e-07	1.8170168e-06	2.1702435e-08
priorregion1_spot_22	2.3483703e-07	0.40514576	0.10786785	0.16120237	0.31843305	9.296067e-08	4.8387466e-07	0.0071430565	0.00020707771
priorregion1_spot_23	0.09077121	0.5650425	9.934806e-07	4.2027156e-07	0.1907737	4.587528e-07	9.69285e-08	0.15341061	1.06670335e-08
priorregion1_spot_24	2.693791e-07	0.300165	0.075639665	0.36171925	0.20702599	0.013552137	5.573739e-07	0.041897006	4.3450783e-08
priorregion1_spot_25	8.1442785e-08	0.7785725	0.004832394	5.68631e-08	0.055390704	9.6993574e-08	6.624034e-08	0.16120411	3.348814e-08
priorregion1_spot_26	5.5630204e-07	0.2590848	0.029268712	2.492863e-07	0.46740898	0.0033782572	0.01086312	0.22999537	1.2471266e-08
priorregion1_spot_27	1.398698e-06	0.7919499	0.09518332	1.2017875e-07	8.933102e-07	8.040653e-08	6.631729e-08	0.11286427	1.1343513e-08
priorregion1_spot_28	1.8628094e-07	0.42168245	0.030386003	0.49420074	0.02254968	0.031180345	3.191512e-07	3.3825188e-07	1.35719525e-08
priorregion1_spot_29	7.4866766e-06	0.7548315	0.040458355	1.4702022e-07	0.108590156	1.6202928e-06	6.7021006e-06	0.09610352	4.6934457e-07
priorregion1_spot_30	2.1112285e-07	0.15124044	0.2757511	0.023101907	0.54990476	1.4079606e-06	7.359221e-08	6.983271e-08	2.369578e-08
priorregion1_spot_31	0.015169873	0.6103453	0.16179861	5.881004e-08	0.20122384	1.3258952e-07	5.177198e-08	0.011462149	1.8313873e-08
priorregion1_spot_32	4.817219e-07	0.47527605	0.10893914	0.061541725	0.27509287	1.17761545e-07	2.5119232e-07	0.07914935	4.5445418e-08
priorregion1_spot_33	2.243215e-06	0.52761984	0.0042871116	2.1909146e-07	0.31817135	8.2843246e-07	3.1040963e-07	0.14991802	2.6995105e-08
priorregion1_spot_34	8.060677e-07	0.4679859	0.16141346	1.8328979e-07	0.30316254	1.4683572e-07	0.0034454342	0.061659276	0.0023322406
priorregion1_spot_35	1.6409038e-07	0.37963998	0.25937906	5.9065865e-08	0.32560635	5.5491327e-08	6.0903574e-08	0.03537418	8.720325e-08
priorregion1_spot_36	3.2503408e-06	0.2842429	0.118133135	0.55818987	1.1607439e-06	0.023607519	1.4643798e-06	0.0158207	7.671107e-09
priorregion1_spot_37	1.2505606e-07	0.51476216	0.04320122	0.13295531	0.2704937	3.4777145e-07	9.0094716e-08	0.03858703	1.8408112e-08
priorregion1_spot_38	2.1607114e-07	0.63084847	0.04054481	0.07130164	0.083308555	1.6833491e-06	5.2574035e-07	0.17395143	4.2605654e-05
priorregion1_spot_39	0.0040327203	0.4952974	0.10713255	0.08061895	0.2622819	2.340273e-07	1.8989829e-07	0.048134256	0.0025016835
priorregion1_spot_40	1.4937451e-07	0.6785952	1.8803329e-06	0.010627817	8.1972445e-07	1.0343308e-07	1.7974837e-07	0.31077382	6.3382934e-08
priorregion1_spot_41	0.084632605	0.59537035	0.006409846	0.002008047	0.1903713	3.16299e-07	2.2866172e-07	0.12120735	1.714398e-08
priorregion1_spot_42	0.018362777	0.5730914	0.04315577	8.684897e-08	0.2711286	6.6070385e-07	1.0283737e-07	0.09426059	1.5057251e-08
priorregion1_spot_43	0.027811587	0.65845877	0.017459912	0.12557368	0.00012426393	5.2415663e-07	0.020719822	0.14985144	1.1322293e-08
priorregion1_spot_44	4.086689e-07	0.5133034	0.09845643	0.11562427	0.22347614	6.0223056e-07	0.019420754	0.029718095	9.153461e-09
priorregion1_spot_45	1.6079065e-07	0.37233204	0.059480242	0.30694455	0.17906341	0.006932845	1.6543006e-06	0.07524499	2.9841427e-08
priorregion1_spot_46	1.9548168e-07	0.6172481	0.11586369	0.0077353646	0.12352093	2.6655692e-07	8.502092e-08	0.13563144	2.245888e-08
priorregion1_spot_47	0.008400894	0.3856664	0.08450275	0.39159277	0.07305416	0.0036969539	1.6892114e-06	0.053084478	2.0551795e-08
priorregion1_spot_48	3.3330562e-07	0.6428789	0.037458617	0.06318585	0.2097135	0.01260571	1.4452165e-07	0.034157034	1.2868447e-08
priorregion1_spot_49	9.091736e-07	0.2612012	0.13034815	0.21294257	0.090497866	5.260327e-06	0.24418992	0.060813956	5.46308e-08
priorregion1_spot_50	1.5772004e-07	0.08502897	7.2752975e-08	0.21827598	2.8349626e-07	0.026668007	0.49652454	0.173502	3.5565883e-08
priorregion1_spot_51	3.6414852e-07	0.5144271	0.029494336	0.15113313	0.15348195	0.019256474	0.077784196	0.05442241	1.2276194e-08
priorregion1_spot_52	9.446482e-08	0.70282644	0.22303596	1.3338364e-07	0.044817433	3.083113e-07	1.7424885e-06	0.029317882	2.0383256e-08
priorregion1_spot_53	8.3039464e-07	0.47857144	0.13970178	1.2185302e-07	0.29299918	1.9416889e-07	0.005174333	0.082221285	0.0013307051
priorregion1_spot_54	0.016975684	0.66926026	0.08855795	0.01255909	0.16631286	8.797088e-08	4.1491063e-07	0.046333693	1.3264559e-08
priorregion1_spot_55	9.814386e-07	0.73826337	0.04082647	1.2985274e-06	0.0418138	1.3528339e-07	1.1780519e-07	0.17909381	4.722352e-08
priorregion1_spot_56	0.008526018	0.49035558	0.112351544	1.2247442e-07	0.3568498	0.03191612	1.8250806e-07	6.459146e-07	3.134132e-08
priorregion1_spot_57	0.019738127	0.6394372	0.12819585	4.0893703e-08	0.17999606	5.399007e-08	6.157878e-08	0.032632563	1.13844e-08
priorregion1_spot_58	2.99913e-07	0.7364213	0.04584884	1.2096793e-07	5.3319774e-05	2.7225e-07	1.6929886e-07	0.21767575	2.059007e-08
priorregion1_spot_59	3.5066307e-06	0.5334886	0.106013	9.15512e-08	0.29797363	3.2507475e-07	1.12297265e-07	0.06242176	9.899436e-05
priorregion1_spot_60	3.637919e-07	0.4436832	0.060377724	0.16198078	0.25912791	0.015594616	1.8994434e-07	0.05923513	9.990719e-09
priorregion1_spot_61	0.005649601	0.5193342	0.1255238	6.7855785e-07	0.3205295	2.2641395e-06	2.971941e-07	0.028292915	0.00066686724
priorregion1_spot_62	0.0031386893	0.5920123	0.06202641	0.041668855	0.16435947	0.0017664647	2.7952785e-07	0.13502748	4.349285e-08
priorregion1_spot_63	1.0183471e-07	0.41482067	0.0437105	0.19402833	0.22767477	0.008074217	2.599665e-07	0.11169114	1.1791918e-08
priorregion1_spot_64	1.229674e-06	0.61584246	3.14426e-06	2.607574e-07	0.18524157	4.7336968e-07	5.14072e-08	0.19837478	0.00053607655
priorregion1_spot_65	3.5784026e-07	0.53504264	5.9883838e-05	0.2828758	0.045648467	2.2288075e-06	4.5130423e-07	0.13637026	1.642864e-08
priorregion1_spot_66	1.9866133e-07	0.47552532	0.02846899	4.5728407e-07	0.46980044	5.194599e-08	1.2705762e-07	0.026204363	3.1684532e-08
priorregion1_spot_67	5.584675e-07	0.5261838	1.1797056e-05	0.14742301	0.23450767	0.029414643	0.02535091	0.037107643	1.4205914e-08
priorregion1_spot_68	1.7964472e-05	0.44920674	0.13810402	2.7962918e-07	0.3423457	3.0911264e-07	1.1996802e-07	0.07032483	2.1932511e-08
priorregion1_spot_69	6.7697295e-07	0.26427323	0.2508243	5.2681794e-06	0.48489565	6.1386544e-07	6.065653e-08	1.3148436e-07	6.272837e-08
priorregion1_spot_70	0.019844126	0.69481564	0.055185553	7.875631e-08	0.14798732	1.778949e-07	4.398997e-08	0.08216709	1.0818712e-08
priorregion1_spot_71	2.036643e-07	0.5432176	0.02479442	0.005447062	0.41284794	1.2295962e-07	1.3155456e-07	0.013658306	3.4097837e-05
priorregion1_spot_72	2.5293932e-06	0.47909674	0.0820706	0.17597194	0.12505099	3.001605e-07	3.4370711e-07	0.13780653	9.090154e-09
priorregion1_spot_73	2.500396e-06	0.4075762	0.114730254	8.092647e-08	0.39707363	1.2812818e-07	8.861523e-08	0.08061708	1.9768462e-08
priorregion1_spot_74	2.2463692e-07	0.5532889	0.00010225363	5.9020294e-07	0.30779287	0.02312016	1.04665325e-07	0.115695	2.0523037e-08
priorregion1_spot_75	2.3444102e-07	0.8165728	0.08878919	6.2084496e-07	7.864819e-06	0.0079337945	9.0851984e-08	0.08669535	3.511538e-08
priorregion1_spot_76	8.3941575e-07	0.39492404	0.05754413	0.24802555	0.18407176	6.0586547e-07	3.876998e-06	0.11542916	1.6970791e-08
priorregion1_spot_77	0.02750754	0.5760605	0.11213052	7.190483e-07	0.25293145	0.015891377	1.8090088e-07	0.015477721	1.6333587e-08
priorregion1_spot_78	3.0416888e-07	0.44744202	0.08355392	0.26517636	0.19580959	0.0026749743	2.7606737e-07	0.0053425822	1.6768105e-08
priorregion1_spot_79	1.751541e-07	0.671844	0.10974563	5.4916603e-07	0.12122704	0.00015729593	0.0060262363	0.090999	4.418591e-08
priorregion1_spot_80	1.3342586e-07	0.61816484	0.09791602	6.434396e-08	0.17262056	1.5995295e-07	4.6761738e-08	0.11129814	1.3606983e-08
priorregion1_spot_81	0.035444375	0.44420424	0.058601465	0.21081667	0.20012118	9.153952e-07	1.748263e-07	0.050811008	1.173903e-08
priorregion1_spot_82	1.8208567e-07	0.5521149	0.0754162	0.014367605	0.34174436	1.538515e-07	2.2258887e-07	0.016356219	1.8427398e-08
