	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.08879551	0.04196291	1.4533401e-05	1.4118453e-07	0.4599156	5.8548255e-07	1.9779972e-07	0.4093106	2.6715105e-08
priorregion1_spot_2	0.5222559	3.448625e-07	1.6367238e-06	7.5978335e-07	0.17197499	5.2917005e-07	9.2225287e-07	0.30576494	1.9616165e-08
priorregion1_spot_3	0.074183315	4.109316e-07	1.5751176e-06	7.34327e-06	0.2691366	0.07496323	0.56036335	0.02134406	5.646892e-08
priorregion1_spot_4	0.3085743	5.3171127e-05	1.4869572e-06	2.3998196e-06	2.7343203e-06	9.230956e-07	0.33687532	0.35448965	9.495794e-08
priorregion1_spot_5	0.0017808711	2.549037e-06	0.12516192	0.017203255	0.26584998	0.0179465	0.2992408	0.26455978	0.008254399
priorregion1_spot_6	1.15245484e-07	0.0025745253	0.16229208	8.9003606e-08	0.6039486	6.838736e-08	4.2823714e-08	0.23028849	0.0008959703
priorregion1_spot_7	0.00079664425	1.9958787e-05	0.014789773	1.8062136e-06	0.399203	1.2270227e-06	0.40646246	0.1787251	3.1676656e-08
priorregion1_spot_8	0.032889996	0.12155367	2.3313842e-05	3.696444e-05	0.27426133	6.643831e-06	0.46427417	0.106953815	6.431819e-08
priorregion1_spot_9	0.1061214	0.14935037	4.66877e-06	0.1262155	0.000110292065	5.462356e-05	0.46038696	0.15775612	5.0051806e-08
priorregion1_spot_10	0.11087804	2.1025935e-05	0.034820553	7.4733737e-07	0.39304483	1.9755228e-06	0.26760074	0.19363208	2.0630054e-08
priorregion1_spot_11	0.08605865	1.0733964e-06	1.1969462e-06	8.415203e-06	0.03914788	2.6831035e-06	0.6465395	0.22824053	2.2085297e-08
priorregion1_spot_12	0.16866913	0.005230171	0.046003517	1.9414207e-07	0.52701783	1.7292317e-06	0.0025403027	0.25053704	3.5575816e-08
priorregion1_spot_13	0.49026394	1.8746282e-06	0.012897161	3.7759523e-07	0.30989143	5.395459e-07	0.18694453	1.4354919e-07	4.853586e-08
priorregion1_spot_14	0.08698128	0.024757495	0.020833272	0.050049	0.010020642	3.6334086e-06	0.39637387	0.41049886	0.00048197943
priorregion1_spot_15	0.3001132	1.0135055e-06	0.022149513	1.5871038e-06	0.2295556	1.0893926e-06	0.43958518	1.2642847e-07	0.008592675
priorregion1_spot_16	0.13882057	9.888855e-06	5.8031466e-05	1.8944822e-05	0.21290945	1.6116911e-06	0.64818126	2.9521948e-07	2.5903498e-08
priorregion1_spot_17	0.0041631726	0.07602383	2.258272e-05	8.7092674e-05	0.24285343	8.711775e-06	0.40794927	0.2688919	3.3859166e-08
priorregion1_spot_18	0.091306	0.07278259	1.2429232e-06	3.610359e-06	0.05210004	0.016290383	0.35919622	0.40831992	2.6991334e-08
priorregion1_spot_19	0.40387058	0.0027996625	4.3528362e-07	7.1359443e-07	2.0822074e-07	2.855619e-07	0.59332776	2.452142e-07	9.5789304e-08
priorregion1_spot_20	0.39454123	0.15044568	1.649895e-06	4.0708878e-07	0.031107863	2.8912453e-07	0.20171942	0.22218348	3.4849847e-08
priorregion1_spot_21	0.16727975	2.1847832e-06	2.8171053e-06	0.16877857	0.076468326	0.00012065264	0.52008545	0.06726216	1.11181684e-07
priorregion1_spot_22	1.0615996e-07	5.52444e-07	2.2342665e-05	7.5903884e-08	0.87240696	3.885826e-08	9.308643e-08	0.12756978	1.1623967e-08
priorregion1_spot_23	0.055207774	0.05220777	0.02457177	0.15764496	1.887849e-05	2.1101305e-05	0.6529295	0.051279414	0.0061187707
priorregion1_spot_24	0.1638745	0.018917324	0.054820694	0.04224008	0.18413867	0.00015400701	0.27770072	0.25815398	2.0652068e-08
priorregion1_spot_25	0.30774972	0.0007271097	6.0996854e-07	4.5970225e-07	0.18203014	1.6849434e-06	3.2560342e-07	0.50728166	0.002208352
priorregion1_spot_26	0.28967175	2.098995e-06	0.038040236	0.027163327	0.023366475	0.028380742	0.5766528	0.01672244	1.6381404e-07
priorregion1_spot_27	9.214286e-08	3.3926844e-06	5.737076e-07	7.1357995e-08	0.61348855	5.1992515e-08	0.003399924	0.3831071	1.8622687e-07
priorregion1_spot_28	0.2512266	8.090892e-06	5.6915826e-05	2.2219115e-07	0.35205835	1.393028e-06	0.29133987	0.10530845	4.6050182e-08
priorregion1_spot_29	0.16702548	0.048202362	0.01051055	2.9183536e-07	0.5577089	1.9865075e-07	0.115341015	0.101176	3.513614e-05
priorregion1_spot_30	0.22459291	3.6039698e-06	0.11745575	3.986453e-07	0.45776084	0.010549661	0.07730255	0.11233433	1.2120765e-08
priorregion1_spot_31	0.13283579	0.0002287423	2.6941569e-05	1.0109621e-06	0.23341568	1.2820506e-06	0.22399859	0.40949196	3.1928256e-08
priorregion1_spot_32	1.2721716e-07	0.044278715	0.032343306	6.3291374e-08	0.9219251	6.024717e-08	7.4455215e-08	1.1811661e-07	0.0014523095
