,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,0.17358816936612131,0.0173986473120749,0.00013863411149941384,1.3997445285320282,0.0035281514981761576,1.27000612616539,0.2430382937192917,1.91781405210495,4.0852612102071364e-07
priorregion1_spot_2,0.25537385046482086,0.0018602559051942081,0.0068799352273344995,2.900000071525574,0.40296898782253265,1.3398024201393128,0.04583469852805138,0.07235118448734283,0.00015563628330710346
priorregion1_spot_3,0.08945798501372337,0.059260216727852824,2.1533879407797944e-05,0.030504676047712564,0.0009296521224314347,0.45031357556581497,0.17670177295804024,2.3483337521553036,2.582429402764319e-07
priorregion1_spot_4,0.006549465050920845,0.0004774561079102568,8.489930905852816e-06,0.8440248817205429,5.7595424368628305e-05,0.4356570988893509,0.07061184085905553,0.719204893708229,1.1084103277880787e-06
priorregion1_spot_5,0.4057264119386673,0.0006109803944127634,0.030368084274232387,3.603647291660309,0.20484873950481416,1.521021693944931,0.20561891198158264,0.03691727574914694,2.794664351313259e-05
priorregion1_spot_6,0.0002516374428523704,0.13528346940875052,0.000304585334379226,0.000945151987252757,0.33664367794990535,0.00018755185810732654,0.0016533946385607124,1.130621898174286,1.0069817371061163e-07
priorregion1_spot_7,0.33312180936336516,0.0750504445284605,0.05094768796116114,2.0695146322250366,0.1534311570227146,1.6328049778938294,0.15729624181985857,2.6563154101371764,0.00026314559218008074
priorregion1_spot_8,0.00016935648091020997,2.4441738241876015e-05,0.00253086572047323,1.7161780178546906,0.19452582001686095,0.5908436328172684,0.005457726167514921,5.4995678328850776e-05,9.491873515798944e-06
priorregion1_spot_9,0.0001549457374494523,0.8009970545768738,0.0002709238076931797,0.0019328331865835935,0.2533412903547287,0.0016640193585772066,0.0019834792707115415,3.8250956654548642,1.3962552580792931e-08
priorregion1_spot_10,0.528745049238205,0.06107595283538103,0.0005895833397516981,0.2890509024262428,0.10634110309183598,1.3688723683357238,0.14916990473866462,2.4307605028152466,2.040475624198734e-06
priorregion1_spot_11,0.1963432289659977,0.7296137720346452,0.0004052108313771896,0.8292723417282104,0.07061914093792439,1.3396534383296965,0.18844060525298117,2.0323383927345278,2.7379064022170494e-06
priorregion1_spot_12,0.08724015541374683,0.018001615442335604,9.887121050269342e-05,2.4722829937934874,0.002145444881170988,1.8400930821895598,0.45308752804994584,2.513111650943756,1.0096811138282646e-06
priorregion1_spot_13,9.190323798975441e-05,0.018392091430723668,0.07810534909367561,7.257906581799035e-05,0.24067095667123795,0.0005932322586886585,0.0009202963556163013,1.2975568175315857,4.9338231988826923e-08
priorregion1_spot_14,0.8105884432792664,0.055867479741573335,0.00034313189680688086,2.203061103820801,0.03836728744208813,2.4061094880104066,0.4001278802752495,0.07101926803588868,5.696507196262247e-05
priorregion1_spot_15,0.17760416865348816,0.07087203152477742,0.00047021722275530925,1.3432592511177062,0.06572668179869652,0.9187714695930481,0.0976947657763958,1.7480291426181793,5.444859510816969e-07
priorregion1_spot_16,0.13937424048781394,0.07173655964434147,0.000332728486682754,1.4687730908393861,0.006873901304788888,1.0021785140037536,0.2687840536236763,3.582865285873413,3.441062938236428e-06
priorregion1_spot_17,0.01975612109526992,0.5331015765666961,0.0004637621677829884,0.3020811006426811,0.5325183302164077,0.5142898976802827,0.09779692366719246,2.138587987422943,1.250639957106614e-06
priorregion1_spot_18,0.24141313433647157,0.04130713026970625,0.08793039806187153,1.6606013536453248,0.59867724776268,1.0681399703025818,0.05873062312602997,2.14643748998642,3.77681497411686e-05
priorregion1_spot_19,0.300434036552906,0.07149650678038597,0.014877141220495105,2.1124516129493713,0.3963592171669006,1.4126844882965086,0.16981842443346976,3.477656865119934,7.970724027472897e-06
priorregion1_spot_20,0.12987081557512284,0.13634238094091414,0.00012422327963577118,0.021047623455524446,0.003546698787249625,0.4597026720643044,0.1619356617331505,0.4996462449431419,1.3167243025691279e-06
priorregion1_spot_21,0.4626157060265541,0.036226408742368224,0.0019960734294727444,2.6719390392303466,0.060750548541545865,1.8085454106330872,0.30080147981643673,2.0856054306030276,4.42866801222408e-06
priorregion1_spot_22,0.12126688808202743,0.01082669640891254,2.8029168788634706e-05,0.02333724033087492,0.0009355995221994817,0.9302064120769501,0.1222574170678854,1.754028594493866,2.6265618203069605e-06
priorregion1_spot_23,0.3766282364726067,0.06256991326808929,0.0005036077200202271,2.1823197841644286,0.007299670926295221,1.74131441116333,0.31056367903947835,2.9938152790069577,1.8695843573368622e-05
priorregion1_spot_24,0.09489472024142742,0.47776057273149486,0.004539756639860571,0.8244424104690552,0.07060027457773685,1.0510676801204681,0.24751445204019545,2.39685081243515,7.673642045347152e-07
priorregion1_spot_25,0.011567710107192396,0.0033791403518989684,0.0008286934869829566,0.49287665635347366,0.048332810215651986,0.4335595369338989,0.048037271946668625,0.9010759770870209,1.8529330304772885e-06
priorregion1_spot_26,0.23497459813952445,0.11285281404852868,9.496648817730602e-05,0.5195433348417282,0.008178332215175032,1.162713646888733,0.10837597846984863,2.675560235977173,3.888241337790533e-07
