,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,7.44894554372877e-05,0.564977365732193,0.0009056428127223626,1.443110450054519e-05,0.004169063176959753,5.902550611835977e-07,1.3193993027016406e-05,3.3195408105850217,1.1752660178387941e-07
priorregion1_spot_2,0.0003221308448701166,1.753609538078308,0.024113485123962164,0.011854562442749739,0.0633494321256876,4.544395346783858e-06,0.0003555639166734182,6.249291396141052,2.2732999809704777e-06
priorregion1_spot_3,5.284401304379571e-05,0.10436497405171395,0.00022037915696273557,2.271820198984642e-06,0.0002025926543865353,2.877383053601079e-07,6.957292583820164e-07,1.5750442683696748,3.321044150794706e-08
priorregion1_spot_4,0.00021060939543531278,1.5078792989253997,0.00857214373536408,0.00016112504526972772,0.4830645605921745,5.422764411378011e-06,0.0003004166792379693,6.793299603462219,2.057826770851534e-06
priorregion1_spot_5,1.921226594276959e-05,0.26696531027555465,0.3473667293787003,5.4124656162457545e-05,0.6248499512672424,2.0141081549240883e-07,3.4435534985277625e-06,2.0102084755897525,8.717537234304021e-08
priorregion1_spot_6,4.086362951056799e-05,0.49073076397180554,0.00039091183425625785,1.0479093998583268e-05,0.0011910956993233413,1.2070230894778434e-07,1.1982165688095848e-06,1.9859577894210816,3.2930076976356305e-08
priorregion1_spot_7,0.00013683305005542936,0.9341251581907273,0.0011937464645598085,0.001833541929954663,0.005005998280830681,3.680915153836395e-06,0.00012799466276192106,4.720720148086548,4.4676275336996694e-07
priorregion1_spot_8,2.0944435163983144e-05,0.47807316333055494,0.004282987583428622,8.167593205143931e-06,0.19613020420074462,4.528198459752275e-07,2.6802956836036176e-05,2.8307821989059447,6.863987742633527e-08
priorregion1_spot_9,4.7548310703859896e-06,0.2639767453074455,0.00031889462989056485,4.489424259190855e-06,0.0007102171453880146,5.582606554810355e-08,5.868871937764198e-07,2.235923206806183,2.7034659400015926e-08
priorregion1_spot_10,8.205223821278196e-06,0.6389117807149888,0.0005976869491860271,3.9054859007592314e-05,0.0019606435846071693,8.011991155854049e-07,3.324677345517557e-05,4.249185800552368,5.665416068723062e-07
