,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,0.8742903620004654,0.0017507510958239437,0.00034437359572621063,1.0424393177032472,0.05496539976447821,0.9172144830226898,0.1392519824206829,0.0012518863193690779,0.8907757014036178
priorregion1_spot_2,1.3486454725265502,0.009090141812339426,0.0010450242552906275,0.7646361500024795,0.2795123070478439,0.547523096203804,0.017565734498202798,0.000208006871980615,2.290677046775818
priorregion1_spot_3,2.8263760566711427,0.0004664007661631331,0.001369656017050147,0.637950274348259,0.13733932673931123,1.3378649592399596,0.37271830439567566,0.00017596930483705365,0.2012935161590576
priorregion1_spot_4,0.6874710112810135,0.0010561562143266202,0.0012906460731755944,1.1192278444766999,0.20580587461590766,1.4746548891067504,0.09335594736039639,0.0002227818513347302,2.0220739603042603
priorregion1_spot_5,0.19248138517141342,0.0004588908268488013,0.00016156937781488522,1.3513752818107605,0.009358822274953127,1.0733589053153991,0.15990949049592018,0.004891643137671053,0.8297614604234695
priorregion1_spot_6,0.3059151589870453,0.00028217830113135277,0.00028316563257249074,1.533001720905304,0.12671250328421593,1.0770712912082672,0.23947285488247871,0.001902101293671876,0.7507867276668548
priorregion1_spot_7,0.6780070334672927,0.00031580982031300666,5.153537313162815e-05,0.7607363820075989,0.003912853333167732,0.7468699932098388,0.003727788431569934,0.0017910796159412712,1.334876662492752
priorregion1_spot_8,0.2895761623978615,9.373001958010719e-05,2.6676115521695468e-05,0.14700857102870943,0.0019030207651667297,0.8133120775222779,0.0015650559158530088,2.7621945991995745e-05,1.2869593799114227
priorregion1_spot_9,0.154568425565958,0.0009848056768532844,0.00017390506764058955,0.879654997587204,0.010698250820860266,1.1868630647659302,0.018362679239362478,0.00013997764035593717,2.0911747932434084
priorregion1_spot_10,0.4201595425605774,2.7713784947991372e-05,0.00035084701084997505,0.3898063525557518,0.09527911730110647,1.0519054889678954,0.0707965612411499,2.2385754618881037e-05,0.0018009921128395944
priorregion1_spot_11,0.8595232754945755,0.0009457547188503667,0.00025292419450124727,1.7351354956626892,0.02967115743085742,1.054022592306137,0.13006268590688705,0.0010720022313762457,0.26950584203004835
priorregion1_spot_12,0.012544593261554838,1.2685209003393539e-05,0.05251393839716911,0.3628047987818718,0.001170060277217999,0.23734861090779305,4.849095384997782e-05,7.925935096864124e-06,0.2349642410874367
priorregion1_spot_13,0.09259503073990345,0.00040294964564964176,0.00019836410065181555,0.9235001236200332,0.025390351470559836,0.7597484946250915,0.026588395144790413,0.019532753620296717,0.795052120089531
priorregion1_spot_14,1.0654697775840758,0.00041318427538499235,0.001684062456479296,1.5454213678836823,0.022526294458657503,1.3400035738945006,0.03928729817271233,0.00015547837610938587,1.9458958983421326
priorregion1_spot_15,1.090074610710144,0.00022795458426116966,0.0009005288738990203,0.8639314591884613,0.10910275280475618,0.6273086309432984,0.011091464292258026,5.821408249175875e-05,1.0156629383563995
priorregion1_spot_16,0.12278758063912391,0.0005519154772628099,0.013083567284047602,1.6424155533313751,0.24950354173779488,1.1851940035820008,0.00268312314292416,0.00030604917265009135,0.7730243116617203
priorregion1_spot_17,0.052859576605260375,1.2744082778226585e-05,0.002767490758560598,1.3854249477386475,0.10044359825551509,0.8372571557760239,0.16148139387369156,0.0009865261847153306,7.596819923492149e-05
priorregion1_spot_18,0.4631320253014565,0.0007451019278960303,0.008519532484933734,1.9997872710227966,0.09040323607623578,1.4715851187705993,0.07374626137316227,0.01099288510158658,1.8734210550785066
priorregion1_spot_19,0.31253458410501483,0.00012101394931960386,0.00295707262121141,0.8793586462736129,0.014091671956703068,0.6439036786556244,0.013773650070652366,0.00015177059831330555,0.8623748689889907
priorregion1_spot_20,0.00657547265291214,1.2218326264701319e-05,7.2061469836626205e-06,0.7909860491752625,0.0005437121959403157,0.25491256862878797,0.01302900817245245,5.108993664180162e-05,0.24043290987610816
priorregion1_spot_21,0.1257710635662079,2.4624545039841907e-05,0.0009636043367208914,2.036497509479523,0.16381234154105187,0.7355243235826493,0.015883804019540548,0.0015498510096222163,0.0012660304957535118
priorregion1_spot_22,6.83990286631797e-08,1.0442109328323568e-07,4.03809820026524e-09,9.13034631366827e-07,4.2167419707084263e-07,8.757201044318209e-08,1.502848876455687e-08,4.0010225532682855e-08,0.6790603220462799
priorregion1_spot_23,0.5228224873542785,0.0016630381403956562,0.0007329280604608358,2.2864706158638,0.13288494423031808,1.6545879542827606,0.2937779977917671,0.01066367686726153,0.5252642691135406
priorregion1_spot_24,1.2675028920173645,0.04169924762099981,0.0011760048393625766,2.164693760871887,0.33383885920047757,1.2453774809837341,0.035665944777429105,0.007537201815284789,1.2916743338108063
priorregion1_spot_25,0.4200545027852059,0.0006429430446587503,0.0007002479280345141,0.4202248468995094,0.09184908606112004,1.302119082212448,0.05452062897384167,2.580194159236271e-05,2.5138878583908078
priorregion1_spot_26,1.0131906509399415,0.001795951824169606,0.001066361623816192,1.9673700511455534,0.04050561301410198,1.5153137743473053,0.18977481871843338,0.031091315019875766,0.34663969874382017
priorregion1_spot_27,0.3758654415607452,0.00037028594670118764,0.0004215285895043053,1.7691397070884705,0.03032602947205305,1.3515861809253693,0.2301742061972618,5.1004415581701323e-05,1.8351440668106078
priorregion1_spot_28,0.459553599357605,4.020284468424507e-05,0.00011520820189616642,0.319803686439991,0.04472074192017317,0.9578644365072251,0.12243981324136256,0.00014678045117761944,0.000900652538985014
priorregion1_spot_29,0.5963148802518845,0.0007141040870919824,0.0016288402432110159,1.5461207330226898,0.15082380175590515,1.6690500140190123,0.2955150336027146,9.151498525170611e-05,1.1498738527297974
priorregion1_spot_30,1.373190712928772,9.636780741857366e-05,0.0005824226187542081,0.7468551039695739,0.010311291879042984,0.4763984769582748,0.004281789856031537,1.5851300213398647e-05,1.3144741892814635
priorregion1_spot_31,0.37488941550254823,0.005922942096367479,0.00034271290351171044,1.8182895600795748,0.09913713894784451,0.9998753547668456,0.014607278071343899,0.01342558735050261,0.2887230679392815
priorregion1_spot_32,0.4390094056725502,0.00021364825588534586,0.0009113417327171193,1.9583373486995697,0.05307988598942757,1.1282007336616517,0.025392412021756173,0.0013204333721660078,1.2872395455837249
priorregion1_spot_33,0.22073842287063597,0.0002129221538780257,5.750899126724107e-05,0.9263822197914124,0.0031184352352283894,0.80546635389328,0.0031828609993681312,0.00037670894962502647,0.5323310256004333
priorregion1_spot_34,0.04969595111906528,4.748010578623508e-05,3.5234883944212926e-05,1.747943115234375,0.0015725170378573239,0.6781145840883255,0.1308698259294033,0.001040761370677501,0.2970663487911225
priorregion1_spot_35,0.9725019931793213,0.0002288047879119404,0.0005667324090609327,1.051396095752716,0.3543081790208817,1.3209282815456391,0.14747570380568506,8.134208910632878e-05,0.17988377064466476
priorregion1_spot_36,8.187761011413387e-08,8.525873589348977e-08,1.1745597605639091e-08,1.949651777977124e-06,1.0868646654671467e-06,1.709438471664271e-07,1.475219209012835e-08,6.955749376480469e-09,1.3980369329452516
priorregion1_spot_37,1.4672870099544526,0.002505590510554612,0.001762981538195163,2.143153393268585,0.40653293877840047,1.9679573059082032,0.27741067260503766,0.0012245962221641095,0.852388322353363
priorregion1_spot_38,0.5278661131858825,0.001606828282820061,0.0015880432911217213,3.1399507164955143,0.06165763568133116,1.864292860031128,0.2742634668946266,0.010132110677659512,1.0297329664230346
priorregion1_spot_39,0.15369669198989866,0.00014538533505401575,0.0003968714925576933,1.9272598624229431,0.018378443177789448,0.8323414087295532,0.013390758121386171,0.0012063181959092617,2.278799271583557
priorregion1_spot_40,2.6180230694450306e-08,5.972464531822653e-08,1.1324735105233688e-08,5.20612741183868e-07,3.4483958302189435e-07,4.978194905191913e-08,3.725997910208889e-09,2.129641896164714e-09,0.38041235655546185
priorregion1_spot_41,0.06340359076857567,1.4893038724039798e-05,0.18691209852695465,0.5845626592636108,0.017353142052888872,0.8593941241502763,0.000540088812704198,1.3247986407805001e-05,0.0012172587565146388
priorregion1_spot_42,0.387852492928505,0.0005969465157249943,0.0011375037720426917,2.1495823860168457,0.3038037940859795,1.3529104471206665,0.09515995532274246,0.013917817873880267,0.6954791933298111
priorregion1_spot_43,0.41866772919893264,0.0022060093586333098,0.0010389081726316363,2.3887422442436215,0.1625876747071743,1.7932540297508242,0.06694384552538395,0.019725465122610333,1.4584448635578156
priorregion1_spot_44,0.5720136851072312,0.0005044110526796431,0.002433392987586558,1.4884018778800965,0.18582703694701194,1.5521495282649995,0.08272781558334827,0.0007330371445277706,0.2733919709920883
priorregion1_spot_45,0.5039977043867111,0.003213107923511416,0.0009209005656884984,1.9564292132854462,0.09594376012682915,1.5238682687282563,0.1844408631324768,0.0020136639359407127,1.1237446069717407
priorregion1_spot_46,0.008374309819191694,3.690104349516333e-05,8.00205201812787e-05,0.19940299913287163,0.01855476349592209,0.13188430666923523,2.114283106493531e-05,3.6707220942844287e-06,1.0896023094654081
priorregion1_spot_47,0.43285183459520343,3.42778863341664e-05,0.0020269251544959843,1.0235952854156494,0.20194045156240464,0.8296905279159547,0.13788608610630038,0.0007357124966802077,0.0017071842157747597
priorregion1_spot_48,0.15376266837120056,0.0012730449787341058,0.00044912289304193114,1.0712334752082824,0.21875355243682862,0.7085188925266266,0.004731306689791381,0.003229313238989562,0.0013509519980289043
priorregion1_spot_49,0.0028315186384133997,4.155877195444191e-05,0.0364044226706028,1.2134446680545807,0.22753139734268188,0.5213918328285218,0.00014982879511080683,0.001099306548712775,2.5888302297971676e-05
priorregion1_spot_50,1.003497266769409,0.004259214550256729,0.0013929830281995236,1.5967361152172088,0.062378470227122305,1.567678737640381,0.01747298762202263,0.019557694531977175,1.9235491514205934
priorregion1_spot_51,0.2825936868786812,0.002354299568105489,0.0011382067517843098,2.409693205356598,0.12164732106029988,1.6856877863407136,0.2959656223654747,0.002696585573721677,0.8487654209136963
priorregion1_spot_52,1.449539464712143,0.0002666202883119695,0.014131607441231608,1.4517857909202574,0.6862242162227631,1.5032141387462614,0.07306599169969559,6.551547012350057e-05,0.12372969165444375
priorregion1_spot_53,0.49714823663234714,0.000666837886092253,0.0011621573532465846,2.388006043434143,0.07978093028068542,1.8741359412670135,0.23645318374037744,0.0007648675178643316,1.7364006638526917
priorregion1_spot_54,0.7697115331888199,0.00029092949116602543,0.005885105719789863,1.0752600789070128,0.25067509189248083,1.6324060380458831,0.08824284449219705,2.3949028764036485e-05,0.4335501492023468
priorregion1_spot_55,0.005276120081543923,1.5070375457071352e-05,6.607517866541457e-06,0.7716457068920135,0.00039921012648846954,0.2464989386498928,0.006289116386324168,0.00011907227126357614,0.42602994740009303
priorregion1_spot_56,0.6733548969030381,6.493454966403079e-05,0.00034997451002709566,0.20419630482792855,0.04659034386277199,0.1276820480823517,4.667367084039142e-05,3.708534427460109e-06,0.7376334488391877
priorregion1_spot_57,4.353521685374062e-08,5.1929550437535006e-08,5.66220774711468e-09,1.3250378913198802e-06,7.252434244264805e-07,1.2592608555905827e-07,9.363547670560023e-09,1.716942872320715e-08,0.8411420524120331
priorregion1_spot_58,1.3185338616371154,0.0002394813214777969,0.032036212645471095,0.6421273440122605,0.41606004536151886,0.9626127123832703,0.03560634292662143,1.4541874452334014e-05,0.6942475110292434
priorregion1_spot_59,0.614305916428566,0.00010134768272109796,0.00032587846071692185,0.15575795769691467,0.029838319588452577,0.6323872655630112,0.0006877652340335771,3.3126279618045373e-06,2.432577979564667
priorregion1_spot_60,0.8670587807893754,0.00019504339652485215,3.286293049313827e-05,0.4788729339838028,0.005120701715350152,0.4912678778171539,0.0015274957462679596,0.014502642257139087,1.0431749820709229
priorregion1_spot_61,1.0785636186599732,0.0015183400071691721,0.0014074646460358053,1.7153721034526825,0.16527515277266502,1.2716026902198792,0.11000072360038757,0.027124436292797326,0.7693227827548981
priorregion1_spot_62,1.2223245143890382,0.0005221038270974531,0.0008904277579858899,1.6361909687519074,0.23532989919185637,1.2318447828292847,0.15573016032576562,8.19282195152482e-05,1.3236085712909698
priorregion1_spot_63,1.2013812959194183,0.00024117460707202555,0.0006256588676478714,1.2054112732410431,0.2236900515854359,0.9093163013458252,0.008475248608738183,3.358092781127198e-05,1.8806391835212706
priorregion1_spot_64,0.5359495609998703,0.0017310294613707812,0.0054129347903653985,2.031576657295227,0.2913363426923752,1.6428517937660219,0.042205406725406645,0.0007081019022734836,2.527221977710724
priorregion1_spot_65,0.07430364303290844,3.8034244607842996e-05,0.004881397541612386,0.632669249176979,0.04946703612804413,0.369801726937294,0.0003182765984092839,0.00019099200144410134,1.2934255003929138
priorregion1_spot_66,0.5019909322261811,0.0006169760599732399,0.008694973913952709,0.8546412229537963,0.09853317029774189,0.46822961419820786,0.0003783434920478613,6.177796312840655e-05,0.5608790189027786
