	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.63379127	0.21189587	7.3631563e-06	4.3031886e-07	1.075619e-06	0.036055412	4.011219e-07	0.11824826	1.251346e-08
priorregion1_spot_2	0.5291414	0.31188533	5.697772e-06	1.4555992e-07	3.1198877e-07	0.029034413	5.293278e-07	0.128341	0.0015911594
priorregion1_spot_3	0.29033655	0.30091077	0.06745892	6.9140137e-06	0.1760347	0.06620812	6.3663276e-05	0.09898043	2.324567e-08
priorregion1_spot_4	0.42079213	0.24085845	1.9972421e-07	4.5253967e-07	4.791605e-07	0.04619018	2.4070835e-06	0.29215574	1.4674034e-08
priorregion1_spot_5	0.57331157	0.25926307	3.9452124e-07	2.2494535e-07	3.552191e-07	6.2051356e-07	1.3507326e-07	0.1674236	1.750384e-08
priorregion1_spot_6	0.68998855	0.22218099	5.021219e-06	5.390226e-07	3.334029e-07	1.2964587e-05	0.016851021	0.07096064	2.3746331e-08
priorregion1_spot_7	0.9386182	7.237098e-08	9.511009e-08	0.023608929	1.15021685e-07	0.037771855	7.210141e-07	4.0862115e-08	1.3764578e-08
priorregion1_spot_8	0.14955556	0.042358864	6.731554e-07	0.1287981	0.29586864	0.29345605	5.8219115e-07	0.085969605	0.003991908
priorregion1_spot_9	0.6232471	0.21404566	1.7542012e-06	2.7373886e-07	6.6763737e-06	0.15253752	0.001322051	0.008838997	2.7572433e-08
priorregion1_spot_10	0.653112	0.1061845	8.9563633e-07	1.3191345e-06	4.971646e-06	0.19394358	0.017233938	0.029392598	0.00012626912
priorregion1_spot_11	0.976504	3.7315007e-07	1.8645893e-07	4.3146136e-07	9.099061e-07	0.023493022	4.3174822e-07	6.1673296e-07	2.2287214e-08
priorregion1_spot_12	1.2361043e-07	0.78116804	9.743463e-07	1.5424152e-07	8.9310083e-07	1.8595355e-07	0.001763587	0.21706611	1.6174164e-08
priorregion1_spot_13	0.9724222	7.172199e-08	1.7434363e-07	2.4154116e-07	1.1762686e-07	0.027576767	4.2845062e-07	5.295702e-08	2.080769e-08
priorregion1_spot_14	0.5142818	0.3912362	6.4558963e-06	6.9080656e-05	1.1473846e-06	6.2530285e-06	4.4119224e-07	0.09439866	2.2480988e-08
priorregion1_spot_15	0.97964555	2.8249053e-07	2.8885873e-07	0.012322055	4.3354936e-07	0.008030423	8.635904e-07	1.12086646e-07	9.2788696e-08
