,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,0.00014004956392454915,0.00019680270270328037,0.00028934352885698903,2.2760662913322447,0.05632009021937847,0.05033241249620915,0.14222070723772048,0.00019262186106061566,3.398838471184718e-05
priorregion1_spot_2,0.0017265008878894152,7.591095709358343e-05,0.23015024065971373,3.778748655319214,0.3638886988162994,0.03718209378421307,0.2278097450733185,6.983695020608138e-05,3.141125989714055e-05
priorregion1_spot_3,0.020252882316708565,0.0002586067072115839,0.0019968241336755454,3.9988793969154357,0.2632536649703979,0.11419485546648503,0.3553924039006233,0.0043566558510065075,0.0005648486287100241
priorregion1_spot_4,0.0012581791612319647,0.0013724159973207862,0.0020939665846526623,4.7561288356781,0.026790272351354363,0.1367197796702385,0.2033350624144077,0.003162401786539704,0.00010630184115143493
priorregion1_spot_5,0.0005954240943538025,0.0011830774310510606,0.013052429398521782,4.169482302665711,0.18859172612428665,0.15722156539559365,0.2928247109055519,0.0028329238761216403,0.7956083983182907
priorregion1_spot_6,0.006076075020246208,0.0003508043242618442,0.013810574775561692,4.990543913841248,0.22998588830232622,0.051526118814945225,0.2473909743130207,0.005913877557031811,7.558334655186628e-05
priorregion1_spot_7,0.008739646431058646,0.007670478755608201,0.008102251309901476,4.358939599990845,0.026324330642819405,0.03429444171488285,0.40020714104175564,0.002101261215284467,0.144468791782856
priorregion1_spot_8,0.00045865865686209876,0.00036022046697326005,0.013729271898046135,3.0949177026748655,0.3651923224329948,0.00376139763975516,0.040007968060672285,0.0001996621285798028,0.9016981244087219
priorregion1_spot_9,6.945401469238278e-06,4.544831463135779e-05,4.036548598378431e-05,0.4291395559906959,0.0006367587047861889,5.5853175808806554e-06,1.4828473513261998e-05,0.00013818781226291322,0.7176105856895447
priorregion1_spot_10,0.00024833700008457525,2.1924621978541837e-05,0.00024027306135394612,1.0385184705257415,0.0003704902599565685,0.10253384970128536,0.009606636548414826,8.142811748257372e-06,4.988255369653416e-07
priorregion1_spot_11,0.0017229232471436262,0.0011783018067944796,0.08244329690933228,4.2612149477005,0.005304557783529163,0.05205224622040987,0.25106825679540634,0.0003356507251737639,0.01537331035360694
priorregion1_spot_12,0.001586562319425866,6.521058130601887e-05,0.00010573953259154224,2.2634941220283507,0.0005800071958219633,0.0001173075597762363,0.02637181580066681,1.3953470715932782e-05,1.1090097041233094e-05
priorregion1_spot_13,0.0006673215568298474,5.206719251873438e-05,0.0005622609343845398,3.307356667518616,0.02414013342931867,0.022667713835835455,0.12674756720662117,0.00011675201749312692,0.40921300649642944
priorregion1_spot_14,0.012306875176727771,0.00010898341897700448,0.0006907266797497869,4.312087941169739,0.15929707363247872,0.08318225592374802,0.06543482095003128,0.0006552823964739218,0.00021811543847434224
priorregion1_spot_15,9.202399050991519e-05,6.686601295768924e-06,0.10012807920575142,1.7052851676940919,0.002581817319151014,6.651453004451469e-05,0.0004903903900412843,1.5155079779560765e-06,5.682360693981537e-07
priorregion1_spot_16,0.0007097538677044214,4.0257035107060804e-05,0.11635913327336311,2.0768083572387694,0.02303533498197794,0.00077214939519763,0.35113545656204226,9.551088805892504e-06,1.065157125594851e-05
priorregion1_spot_17,4.5016122930974235e-05,6.314280690276065e-05,0.006873913924209774,0.8457736670970917,0.0005028450657846406,0.00010400488827144727,0.12735322043299677,2.0263989881641464e-06,5.317469799592799e-07
priorregion1_spot_18,0.00026562077255221084,3.0910419718566116e-05,0.1915112242102623,2.186751914024353,0.0027498124632984403,0.0002887570299208164,0.029419369157403705,3.71875137261668e-06,5.436328842733929e-06
priorregion1_spot_19,0.00017647200074861759,0.0009437775443075225,0.1595094993710518,2.8648338437080385,0.004231390729546547,0.020304095186293124,0.12668806090950965,3.2750458194641405e-05,9.92311994195916e-05
priorregion1_spot_20,1.4602935789298498e-05,4.711618021246977e-06,0.07541019245982171,0.9840003371238708,0.0004154213122092188,6.004977763041098e-06,0.000665788899641484,3.635074051544507e-07,6.397710052397088e-07
priorregion1_spot_21,0.0003906386060407385,3.129192809865345e-05,0.00010621025976433885,2.1326119899749756,6.684175823465922e-05,0.039294935390353204,0.1607276201248169,0.003739029238931835,0.39633385390043263
