	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	6.5157237e-06	1.0233898e-05	0.99973613	3.0310277e-06	0.00023122091	1.7231822e-06	5.427357e-06	5.1702923e-06	5.7103483e-07
priorregion1_spot_2	0.0038642243	0.00033340105	0.015839571	0.00014652248	0.006636309	0.97290796	0.00015673232	9.375562e-05	2.1522837e-05
priorregion1_spot_3	1.2731947e-05	4.3664066e-05	0.99971235	5.994336e-06	0.00017765796	1.2058329e-05	5.714674e-06	2.8402534e-05	1.3760362e-06
priorregion1_spot_4	0.98160726	0.00010787133	0.006491265	3.2115044e-05	0.0116049005	6.516457e-05	3.1721378e-05	5.265404e-05	7.0560563e-06
priorregion1_spot_5	0.0063628573	0.0067301244	0.4660296	0.003773133	0.17354108	0.336696	0.0028227477	0.0026858118	0.001358641
priorregion1_spot_6	0.059328094	0.1498146	0.00032029374	0.04099778	0.7495198	7.8139565e-06	7.830561e-06	3.1810443e-06	5.7697684e-07
priorregion1_spot_7	0.00030960309	0.0001412856	0.0009438441	7.082791e-05	0.00017645968	0.56876874	0.42892402	0.0006522572	1.2928813e-05
priorregion1_spot_8	1.5957223e-06	4.4036256e-05	0.92123747	1.502891e-06	0.07871013	1.1319436e-06	1.0802976e-06	2.8687352e-06	1.9623901e-07
priorregion1_spot_9	0.0047831456	0.0036947324	0.00850614	0.0031512328	0.049582437	0.9263189	0.0025591596	0.0012341365	0.00017017774
priorregion1_spot_10	0.12707816	8.428346e-06	0.8129185	5.546666e-06	8.53428e-05	0.055028766	3.5853152e-06	0.0048715253	2.7511518e-07
priorregion1_spot_11	0.026418205	0.10062454	0.30566812	0.01524266	0.2046385	0.024290137	0.021948216	0.297431	0.003738579
priorregion1_spot_12	2.005377e-06	0.16519795	0.80634016	0.0284066	2.7869104e-05	2.0830992e-05	1.4214421e-06	2.9999517e-06	2.6335724e-07
priorregion1_spot_13	0.0034210742	0.004021304	0.9502206	0.00044649007	0.0043141167	0.00082926004	0.00047457634	0.0361066	0.00016599527
priorregion1_spot_14	4.1196017e-05	3.4411125e-05	8.5616164e-05	5.6660974e-05	5.092969e-05	0.00012370787	0.9995772	2.6864403e-05	3.4046275e-06
priorregion1_spot_15	2.1337303e-06	3.8820668e-05	0.9979413	2.091356e-06	0.0020067021	2.1585395e-06	1.8804071e-06	4.527215e-06	2.7528372e-07
priorregion1_spot_16	0.002870384	0.0035763357	0.16989061	0.003625884	0.7353779	0.079381056	0.0029929704	0.0019909032	0.0002939603
priorregion1_spot_17	0.09382815	0.08410322	0.34490687	0.029663933	0.31220302	0.071107864	0.024925932	0.028247498	0.011013501
priorregion1_spot_18	0.9953133	0.0004372212	0.0011258197	0.00014354187	0.00057734404	0.0021719148	8.6013744e-05	0.00012794918	1.6853646e-05
priorregion1_spot_19	3.8770635e-05	0.00024830343	0.99929774	1.8183437e-05	0.0003404412	1.5415944e-05	1.8749133e-05	1.47935125e-05	7.605823e-06
priorregion1_spot_20	1.1814136e-06	4.291075e-06	0.9999764	6.796875e-07	1.4547506e-05	6.947343e-07	4.1143912e-07	1.6121699e-06	1.18856e-07
priorregion1_spot_21	0.11997487	0.104156695	0.3965686	0.056146767	0.2059369	0.045640327	0.027885323	0.036433496	0.0072570927
priorregion1_spot_22	0.0018471732	0.0072360835	0.93109566	0.0017545611	0.032797366	0.00090835494	0.0027924795	0.021231303	0.00033704666
priorregion1_spot_23	0.99896157	4.981761e-05	0.0004816427	1.5666343e-05	0.00040166982	2.9597242e-05	1.5833366e-05	4.161997e-05	2.5912584e-06
priorregion1_spot_24	8.178459e-07	2.4894753e-05	0.9999499	2.4909737e-06	1.4786572e-05	8.8235925e-07	1.8290267e-06	4.0766304e-06	2.4541248e-07
priorregion1_spot_25	0.0033030042	0.004636718	0.8089591	0.0014430139	0.17550287	0.0022537755	0.0013588142	0.0023025805	0.0002401515
priorregion1_spot_26	0.25367162	0.17739898	0.13884804	0.08907855	0.18548903	0.0880166	0.03162094	0.022739409	0.013136856
priorregion1_spot_27	7.4856547e-07	2.2517252e-06	0.11099182	4.30764e-07	0.8889985	5.6369977e-06	2.9436114e-07	3.0033897e-07	8.210744e-08
priorregion1_spot_28	1.1844105e-06	6.29382e-06	0.00018863264	0.004283517	0.99550456	1.5078506e-06	1.2297675e-05	1.371108e-06	6.2104556e-07
priorregion1_spot_29	0.19236659	0.060263634	0.45900342	0.024831764	0.1440766	0.067527145	0.01971778	0.026929012	0.0052839527
priorregion1_spot_30	0.00362184	0.01475999	0.7006028	0.012473126	0.050195985	0.04185204	0.004199014	0.1719782	0.0003169367
priorregion1_spot_31	0.1454534	0.00014479397	8.6986394e-05	0.00014190128	0.0035046798	0.215112	0.63550854	4.5548844e-05	2.144127e-06
priorregion1_spot_32	0.055053562	4.2301313e-06	0.11605553	1.5668301e-06	0.82887846	1.7303204e-06	3.600027e-06	1.200845e-06	1.3826194e-07
priorregion1_spot_33	2.8116258e-06	3.3917675e-06	0.8166102	6.773555e-07	0.18338011	7.798668e-07	8.53964e-07	9.781517e-07	1.9326549e-07
priorregion1_spot_34	0.008038072	0.007663299	0.10248831	0.7460756	0.016011635	0.006284334	0.10672579	0.005802424	0.0009106946
priorregion1_spot_35	2.9911519e-06	0.08314594	0.0005234948	2.965111e-06	0.91631454	3.2011142e-06	1.9219e-06	4.532162e-06	5.196979e-07
priorregion1_spot_36	0.00031120214	0.00069415563	0.5092006	0.001187861	0.48556232	0.0022507193	0.0005142701	0.00024844083	3.0416822e-05
priorregion1_spot_37	0.00058394624	0.00064968225	0.009557601	0.001299543	0.0022316147	0.98516935	0.00017055588	0.00030235096	3.5383782e-05
priorregion1_spot_38	0.08623717	0.0007482506	0.0051930435	0.00042498574	0.0033595883	0.90343386	0.00025500782	0.00032092995	2.7272841e-05
priorregion1_spot_39	0.0005355685	0.0011141091	0.006779397	0.0011307937	0.010527417	0.9792365	0.00038153658	0.00023224222	6.248443e-05
priorregion1_spot_40	1.5566036e-05	0.5846978	9.555959e-05	0.26508728	0.00014863562	2.7805394e-05	1.6694548e-05	0.1499087	1.8984771e-06
priorregion1_spot_41	0.00025408049	0.00020469003	0.015300629	0.00016110376	0.7663711	0.21755865	8.754378e-05	5.5229542e-05	6.966483e-06
priorregion1_spot_42	0.03920763	0.08091871	0.4645717	0.03953998	0.23264818	0.034673776	0.05803447	0.041746203	0.0086592855
priorregion1_spot_43	0.0681868	0.10868735	0.31016457	0.05520527	0.23960409	0.06238351	0.062791586	0.07142928	0.02154753
priorregion1_spot_44	1.372865e-06	6.9304024e-06	0.0017793073	1.2377537e-05	0.98845357	0.009740928	2.6234454e-06	2.5138097e-06	3.8144242e-07
priorregion1_spot_45	0.7487414	0.018911326	0.055877328	0.008435311	0.1038653	0.04925927	0.0076506864	0.006127691	0.001131779
priorregion1_spot_46	0.00025204298	0.00015196599	0.00056191	7.6347016e-05	0.0042744647	0.9946426	2.2101738e-05	1.509944e-05	3.3706633e-06
priorregion1_spot_47	0.0013912506	0.0014113421	0.00035940448	0.2649739	0.00030893864	7.113977e-05	0.4266626	0.30481866	2.729513e-06
priorregion1_spot_48	0.08944304	0.120925054	0.1758393	0.06683802	0.35462135	0.071838714	0.059024427	0.057338223	0.0041319216
priorregion1_spot_49	0.0003616444	0.0023778395	0.0042808093	0.002029639	0.11739121	0.87205124	0.0009752874	0.00049798586	3.4323315e-05
priorregion1_spot_50	6.0855746e-06	2.6006372e-05	0.9998643	4.810994e-06	6.889526e-05	7.832213e-06	1.5154752e-05	6.1081637e-06	8.43143e-07
priorregion1_spot_51	0.085657775	5.7345214e-06	0.9142945	1.5499745e-06	3.0409408e-05	5.609088e-06	2.2286674e-06	1.6169819e-06	5.533855e-07
priorregion1_spot_52	0.0044254535	0.033830177	0.02530241	0.0023723128	0.0429698	0.8878164	0.0012037673	0.0016289232	0.0004507377
priorregion1_spot_53	1.1433234e-05	1.4913344e-05	0.99989575	3.5392627e-06	6.4154614e-05	3.783506e-06	3.2106948e-06	2.511412e-06	6.8409435e-07
priorregion1_spot_54	0.0018275634	0.003667599	0.9217754	0.0012970393	0.06863283	0.00082789286	0.0008559862	0.0009968841	0.000118717566
priorregion1_spot_55	0.00047644833	0.0016280336	0.9826398	0.00040219259	0.013549435	0.0003214932	0.00036439305	0.0005490975	6.910841e-05
priorregion1_spot_56	0.043075155	0.09794315	0.22950289	0.07222167	0.2593916	0.15460898	0.045688357	0.06586973	0.031698495
priorregion1_spot_57	5.749245e-06	6.337913e-05	0.963119	7.662176e-06	0.010120613	0.026663579	7.94093e-06	1.11387435e-05	9.923169e-07
priorregion1_spot_58	4.2908483e-05	5.354215e-05	0.00013041384	7.467191e-05	0.000102650294	0.0969152	0.9026325	4.1978965e-05	6.171081e-06
priorregion1_spot_59	2.091646e-06	2.5077684e-06	0.99973327	5.330483e-07	0.00025932325	5.963975e-07	5.6466763e-07	9.733616e-07	1.6030275e-07
priorregion1_spot_60	6.8153287e-07	0.0035619	0.61608154	7.12256e-07	0.38035247	2.3490065e-07	8.2592413e-07	1.5690554e-06	7.739707e-08
priorregion1_spot_61	6.1744385e-07	0.018340115	0.95030886	0.027494472	2.2120068e-05	3.5211133e-07	0.003533191	0.00030009885	1.9558425e-07
priorregion1_spot_62	0.07130135	0.014320448	0.6081224	0.026235096	0.23443907	0.02638624	0.011879813	0.0064746435	0.0008408884
priorregion1_spot_63	7.537907e-07	8.246251e-06	0.55331516	5.6102806e-07	0.44667387	3.7661513e-07	3.921939e-07	5.445956e-07	1.0278673e-07
priorregion1_spot_64	8.3023e-05	0.49205297	0.00022063826	0.00010296928	0.00047744796	0.5069342	5.387693e-05	7.348973e-05	1.4071203e-06
priorregion1_spot_65	6.9274797e-06	1.0683417e-05	0.70220953	8.435823e-06	0.26302388	3.7810437e-06	0.034731742	4.5393776e-06	5.641557e-07
priorregion1_spot_66	9.4913804e-07	0.00028353726	0.9996845	1.5713823e-06	2.5895613e-05	6.670761e-07	1.1527419e-06	1.5123403e-06	1.8721359e-07
priorregion1_spot_67	6.026267e-06	1.1006034e-05	0.9847467	2.9542764e-06	1.45172335e-05	0.015210999	2.0633902e-06	4.4210346e-06	1.3827773e-06
priorregion1_spot_68	0.00547312	0.0076932427	0.9064971	0.008241065	0.046231247	0.01584992	0.00444533	0.0050657834	0.0005031432
priorregion1_spot_69	2.3740515e-05	2.5790881e-05	0.00011203863	0.00023725576	0.0007553246	0.9987963	2.7989405e-05	2.0279556e-05	1.3213474e-06
priorregion1_spot_70	1.5087286e-06	9.671628e-06	0.99996316	1.982912e-06	1.259385e-05	1.2221697e-06	2.5680597e-06	7.023456e-06	2.969839e-07
priorregion1_spot_71	1.2270415e-06	1.4424207e-05	0.8074708	1.3165532e-06	0.19250847	1.3025189e-06	9.54189e-07	1.3628817e-06	2.693753e-07
priorregion1_spot_72	1.2323725e-06	6.57962e-06	0.99963987	2.7688345e-06	0.0003449959	1.3902551e-06	9.673632e-07	1.9233103e-06	2.2502057e-07
priorregion1_spot_73	8.582087e-05	0.00056671735	0.00971466	4.0230792e-05	0.0014911174	0.98796713	4.801147e-05	7.8261546e-05	8.0586515e-06
priorregion1_spot_74	0.031220423	0.040766068	0.63158417	0.02828146	0.20576388	0.019711664	0.016361635	0.022809707	0.0035010446
priorregion1_spot_75	1.149998e-05	9.405447e-06	0.9998784	3.6331771e-06	7.768033e-05	3.2255055e-06	7.524312e-06	8.119993e-06	4.3818255e-07
priorregion1_spot_76	2.438148e-06	3.271982e-05	0.9983857	2.0533673e-06	0.0015681377	1.6279679e-06	2.0598043e-06	4.65824e-06	6.4794625e-07
priorregion1_spot_77	0.006812188	0.013044519	0.31414315	0.005278963	0.64332354	0.008040833	0.005327455	0.003690521	0.00033894132
priorregion1_spot_78	1.11781255e-05	1.6090244e-05	0.94599557	7.3700808e-06	0.0012445087	0.052716356	3.934811e-06	3.012576e-06	2.0208658e-06
priorregion1_spot_79	1.2218654e-05	0.7595135	7.192378e-05	0.00023248617	0.023716616	3.342739e-06	0.2164442	4.209488e-06	1.5606107e-06
priorregion1_spot_80	0.005673056	0.0055291005	0.9568046	0.0018119209	0.023244772	0.0019321442	0.0020499083	0.0023719866	0.00058246136
priorregion1_spot_81	1.4000949e-05	1.47395085e-05	0.997762	2.4572018e-06	0.0021985252	3.4909383e-06	1.713568e-06	2.6387527e-06	4.4532032e-07
priorregion1_spot_82	1.4519499e-06	1.7376315e-05	0.7415395	1.1357233e-06	0.25842646	1.0071151e-05	1.1816151e-06	2.5771528e-06	2.6725502e-07
priorregion1_spot_83	5.4976695e-06	0.00017901155	0.9993501	1.1439524e-06	0.0004577706	1.9824397e-06	1.103909e-06	2.796907e-06	4.378095e-07
priorregion1_spot_84	0.0599716	0.10441708	0.45762596	0.03551706	0.1481783	0.089453466	0.045270875	0.05376117	0.0058045816
priorregion1_spot_85	0.0017715984	0.0039657797	0.9751375	0.0010724292	0.011292508	0.0014666123	0.0013409128	0.0036737912	0.000278847
priorregion1_spot_86	0.0031216487	0.00484528	0.8881917	0.0025593243	0.09376022	0.0038502559	0.0014206431	0.0020158158	0.0002351548
priorregion1_spot_87	0.016092742	0.06302238	0.054683916	0.43780088	0.14850727	0.26637512	0.00313538	0.009860869	0.0005215253
priorregion1_spot_88	1.1136092e-05	0.0007182162	0.0006915639	0.9944732	0.0039691143	1.7385944e-05	3.0741197e-05	8.6862536e-05	1.8470274e-06
priorregion1_spot_89	0.023213293	0.06913573	0.6353922	0.016873643	0.16600756	0.014746274	0.016826658	0.05254231	0.005262461
priorregion1_spot_90	0.0030274412	0.00034112183	0.002140013	0.99195486	0.0018119848	0.00051466475	8.4674844e-05	0.000121558754	3.5463572e-06
priorregion1_spot_91	0.0040280046	0.00034165746	0.0022653374	0.00019166536	0.0046742302	0.98802584	0.0001961596	0.0002481436	2.8931412e-05
priorregion1_spot_92	6.013188e-06	7.900472e-06	0.5221851	0.00021346033	0.31582087	0.0044636494	0.15730062	1.9363908e-06	4.178051e-07
priorregion1_spot_93	0.0048044347	0.007318958	0.024935914	0.0077631366	0.025245175	0.9194218	0.0033904263	0.0056304964	0.0014896585
priorregion1_spot_94	2.9358391e-06	8.840308e-06	0.99740076	1.7856001e-06	0.0025737837	3.1195127e-06	2.0850778e-06	6.4074334e-06	4.5048773e-07
priorregion1_spot_95	0.015529335	0.016357774	0.8782045	0.008922457	0.04021402	0.00783261	0.019602748	0.011591088	0.0017455029
priorregion1_spot_96	0.0005047514	0.0008114159	0.019213952	0.0023415089	0.0145334	0.9617205	0.00052127795	0.00030421212	4.8945967e-05
priorregion1_spot_97	0.042025324	0.08256195	0.38622835	0.040592786	0.28847525	0.039549023	0.054987557	0.05847694	0.0071028415
priorregion1_spot_98	0.0001278811	0.00017017595	0.001084482	0.9959314	0.0022707833	0.0002721034	8.898533e-05	4.6419194e-05	7.859246e-06
priorregion1_spot_99	9.3546205e-06	5.5415905e-05	0.9991076	0.00057381403	0.00018989971	2.8031249e-05	1.4231634e-05	2.0396501e-05	1.4675527e-06
priorregion1_spot_100	1.2812379e-05	6.0296432e-05	0.99982935	6.5907566e-06	6.759786e-05	6.8482623e-06	5.361353e-06	1.0141091e-05	9.158831e-07
priorregion1_spot_101	0.015236823	0.025405012	0.85738075	0.007743859	0.06837047	0.008381643	0.005768067	0.010780646	0.0009326804
priorregion1_spot_102	0.100581445	0.037006535	0.34684247	0.022392621	0.39036164	0.06066904	0.019487007	0.018530147	0.004129146
priorregion1_spot_103	2.037748e-06	1.3037578e-05	0.9999041	3.313126e-06	6.791643e-05	2.0628968e-06	2.5507113e-06	4.5782886e-06	4.4679672e-07
priorregion1_spot_104	2.3418197e-06	1.0183488e-05	0.99995315	1.3767798e-06	1.3343579e-05	1.5255085e-06	1.2897821e-06	1.6341733e-05	4.2497794e-07
priorregion1_spot_105	0.0092902295	0.033674672	0.63013804	0.006168368	0.2917874	0.0075560897	0.008580845	0.012079984	0.00072432734
priorregion1_spot_106	0.0006091208	0.0019937742	0.031572502	0.0009950969	0.9475876	0.00032205915	0.016044343	0.00078474253	9.0846916e-05
priorregion1_spot_107	0.054131463	0.017215954	0.30256093	0.017570486	0.21369511	0.382704	0.006199739	0.0053107115	0.0006116507
priorregion1_spot_108	0.9877376	0.00074010435	0.0019374009	0.0004196035	0.007602735	0.00089121703	0.00025224668	0.00038248824	3.6498946e-05
priorregion1_spot_109	0.026556233	0.15515552	0.13247901	0.021377431	0.58407754	0.020501485	0.020762404	0.036656585	0.0024338758
priorregion1_spot_110	0.14851359	0.1428535	0.34080496	0.06417655	0.18117726	0.043392163	0.033562474	0.04288119	0.0026383565
priorregion1_spot_111	1.0950724e-06	4.1904045e-06	1.1584164e-05	0.052958872	0.9136025	1.9033394e-06	0.03341825	1.4501774e-06	2.0611662e-07
priorregion1_spot_112	0.06726537	0.047381803	0.3201983	0.14354977	0.11190818	0.046619345	0.22387019	0.035575945	0.0036311778
priorregion1_spot_113	0.03712557	2.9722647e-05	0.0002083818	8.203e-06	0.96249515	5.6626664e-05	6.899652e-05	6.889195e-06	5.4421e-07
priorregion1_spot_114	4.1668072e-06	7.312646e-06	0.9565018	4.802709e-06	7.9623314e-05	3.3774295e-06	0.04338978	8.490604e-06	6.9153634e-07
priorregion1_spot_115	0.5512572	0.00012639636	0.00018137181	4.8610356e-05	0.0026381547	0.44567147	2.5116955e-05	4.7359583e-05	4.2519778e-06
priorregion1_spot_116	0.003002574	0.0038849798	0.78663737	0.001261007	0.20118181	0.0013302462	0.0011544509	0.0013197258	0.00022779086
priorregion1_spot_117	3.3834356e-06	1.2675183e-05	0.039938785	1.1431438e-05	0.9600228	3.755178e-06	3.6890929e-06	3.1507186e-06	3.4496142e-07
priorregion1_spot_118	0.0012561085	0.0010261027	0.9515019	0.0008226565	0.032746952	0.011191229	0.00069027866	0.000637082	0.00012775327
priorregion1_spot_119	1.0111982e-06	4.0634154e-06	0.56214905	7.7197757e-07	0.43784258	8.9846816e-07	5.6876723e-07	8.472987e-07	2.1125739e-07
priorregion1_spot_120	3.2054322e-05	0.00012095583	0.00026656693	0.96575946	0.033647846	3.8931434e-05	6.875189e-05	6.2864805e-05	2.5981778e-06
priorregion1_spot_121	0.0004516902	0.00017260393	0.00041295428	9.04687e-05	0.00035362775	0.99835265	8.712274e-05	6.161556e-05	1.7326583e-05
priorregion1_spot_122	3.3791337e-06	1.4534112e-05	0.79061764	1.8955103e-06	0.20935416	2.73002e-06	1.6194708e-06	3.822945e-06	2.9287412e-07
priorregion1_spot_123	0.00023514789	0.00061934657	0.0006281101	2.3567689e-05	0.00025903742	0.08442962	2.7711014e-05	0.9137702	7.2245457e-06
priorregion1_spot_124	0.07594784	0.039959837	0.6446493	0.010512178	0.17452492	0.011528609	0.0081047015	0.03163914	0.0031335556
priorregion1_spot_125	0.059299123	0.023078104	0.5791987	0.012715553	0.27965105	0.016451467	0.009715616	0.018121323	0.0017691387
priorregion1_spot_126	2.7888595e-06	2.3201346e-06	0.99995774	1.647642e-06	3.0088286e-05	1.7103442e-06	1.0795336e-06	2.563184e-06	1.1611192e-07
