	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	8.481322e-06	1.867171e-05	0.0083980225	0.55781084	0.092274494	0.07628072	0.10450867	1.3404282e-06	0.16069861
priorregion1_spot_2	9.756709e-08	6.265798e-08	1.8319157e-07	0.945633	3.8917727e-07	0.054175667	0.00019046849	5.745853e-08	7.05328e-08
priorregion1_spot_3	0.006729252	6.8640134e-06	2.91391e-06	0.37187123	0.04863258	8.19891e-06	0.037906945	0.010854141	0.52398795
priorregion1_spot_4	0.009060053	1.5490895e-06	0.016218735	0.51060176	0.09068401	3.5789444e-06	2.4234994e-06	0.0042691473	0.36915872
priorregion1_spot_5	8.8251445e-06	1.2130457e-06	8.14222e-06	0.6671954	0.046190478	1.2959991e-06	5.5447285e-06	2.1057773e-05	0.28656805
priorregion1_spot_6	0.0019507848	5.867243e-06	0.05700525	0.584053	0.04892345	2.2441002e-06	3.1423065e-06	1.616581e-06	0.30805472
priorregion1_spot_7	2.540335e-06	1.2328987e-06	0.03250695	0.55960417	0.09676717	0.007485271	1.8863115e-06	7.412441e-07	0.30363005
priorregion1_spot_8	0.012100639	1.5494116e-07	2.3420125e-07	0.6982533	0.11011156	1.7477588e-06	0.011489054	1.0760487e-07	0.16804326
priorregion1_spot_9	8.216009e-08	7.183688e-07	1.8946909e-07	0.71141386	0.05528544	4.1292816e-07	4.7852614e-06	4.419334e-07	0.23329404
priorregion1_spot_10	0.0044296524	1.21265e-07	0.030863514	0.806616	3.5540237e-05	6.6935274e-05	0.07425175	4.7692744e-08	0.08373646
priorregion1_spot_11	0.009879002	0.0181928	1.2318125e-06	0.34550413	1.6667437e-06	5.872206e-07	3.0485087e-06	0.053778015	0.5726395
priorregion1_spot_12	7.911644e-06	2.5756772e-06	0.05674727	0.60576963	0.018174795	0.018442146	0.094574675	0.0076283976	0.1986526
priorregion1_spot_13	0.005183211	3.9655708e-07	8.7426805e-08	0.006579719	3.000161e-07	0.019839553	0.0021717031	0.09349522	0.8727298
priorregion1_spot_14	6.699706e-08	5.43911e-08	1.5950823e-06	0.95988435	9.4143914e-08	1.1240153e-06	0.040112626	2.7330396e-08	5.693103e-08
priorregion1_spot_15	1.0971572e-07	2.075675e-07	0.02758163	0.81390345	5.9291557e-07	0.03775822	2.05705e-06	8.124183e-08	0.12075359
priorregion1_spot_16	0.03855257	3.626701e-06	4.277616e-06	0.36868528	0.035795253	0.03372096	0.10191903	5.940195e-06	0.42131302
priorregion1_spot_17	0.02124786	3.1012047e-07	9.989949e-07	0.69826657	0.061062187	0.08800983	0.13141216	1.0562742e-07	1.9718733e-08
priorregion1_spot_18	1.7306814e-06	3.9531274e-06	0.043785382	0.55084425	0.08273728	0.019626282	0.021033011	0.006195144	0.275773
priorregion1_spot_19	1.7045558e-06	2.6753728e-06	0.07686994	0.6880012	1.08751265e-05	3.570266e-05	0.09399413	9.3483123e-07	0.14108278
priorregion1_spot_20	7.9211226e-08	0.031012977	2.7159834e-07	0.3393717	7.457405e-07	2.722573e-07	0.04937994	0.029167484	0.5510666
priorregion1_spot_21	2.245624e-06	2.2175075e-06	9.248087e-07	0.70623624	0.05634956	9.735952e-06	0.10102996	9.897668e-07	0.13636811
priorregion1_spot_22	7.971629e-06	1.55238e-06	0.044061337	0.51401496	0.020080086	0.09069371	0.12601574	2.7449502e-07	0.20512433
priorregion1_spot_23	2.2233041e-06	0.0106533775	0.009841617	0.72520256	0.06590751	0.009426935	0.02302544	0.031016536	0.12492373
priorregion1_spot_24	6.763777e-07	1.5562406e-06	0.033700768	0.8437404	7.709474e-06	0.00019962914	8.24361e-05	3.2244608e-07	0.12226655
