	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.24156962	0.06725091	0.11758029	0.43623742	0.13735954	1.6513802e-07	1.7294253e-06	1.7319702e-07	1.9939357e-07
priorregion1_spot_2	0.4169179	0.1976809	0.15869495	5.819879e-07	0.22573413	0.00021726431	1.4885964e-07	0.0007540077	8.592924e-08
priorregion1_spot_3	0.4334157	0.22058575	0.28309843	6.192099e-07	0.06165317	3.8195576e-06	2.3597884e-05	0.0012190739	4.167035e-08
priorregion1_spot_4	0.32913557	0.13474864	0.04913534	0.029912904	0.24761884	0.085643165	6.0048006e-07	0.12327705	0.00052797794
priorregion1_spot_5	0.3257199	0.043689236	0.18535124	0.20072114	0.22203746	0.022038596	1.703375e-06	6.6295597e-06	0.00043405048
priorregion1_spot_6	0.30778965	0.23679756	0.15063027	1.6134449e-06	0.2254321	0.036511887	0.012018442	0.030818218	1.7195839e-07
priorregion1_spot_7	0.43708852	0.21741457	0.124653965	3.9137842e-07	0.08074154	0.08525859	0.0025337196	0.052308682	9.787056e-08
priorregion1_spot_8	0.42951968	0.39872319	0.10237264	9.2247143e-07	7.3668257e-06	1.9751387e-06	1.0551362e-06	0.06937307	1.02487576e-07
priorregion1_spot_9	0.3665629	0.33825117	0.21348907	0.02020822	1.0220609e-06	8.863146e-05	0.052315492	0.009083344	3.7989096e-08
priorregion1_spot_10	0.34562796	0.14878334	0.16977513	2.8629474e-05	0.30967703	0.02212552	0.003980997	1.3328184e-06	2.3143873e-08
priorregion1_spot_11	0.352496	0.021062385	0.24282055	2.7953515e-06	0.3383757	5.3297146e-07	0.024885068	0.02035698	3.296158e-08
priorregion1_spot_12	0.45321384	0.089289024	0.16422553	0.010805683	0.255171	4.316199e-05	5.446052e-07	0.026613543	0.00063772185
priorregion1_spot_13	0.31680843	0.07737377	0.17811649	0.20811684	0.21189179	0.0076349927	4.0901664e-06	5.3637435e-05	2.7087596e-08
priorregion1_spot_14	0.28794777	0.10572118	0.11795569	0.20058681	0.23046708	0.039170045	0.016426522	0.0012464346	0.00047843807
priorregion1_spot_15	0.44101688	0.10738922	0.11565109	0.0145121915	0.3107597	0.010669192	1.1582063e-06	4.5829077e-07	4.302848e-08
priorregion1_spot_16	0.39834365	0.12688138	0.37182567	0.0022885154	0.10065845	4.5655727e-07	9.778009e-07	9.407591e-07	1.236547e-08
priorregion1_spot_17	0.3335552	0.08523503	0.18794705	5.0217875e-07	0.37172982	0.02153137	1.349268e-07	9.224699e-07	2.41335e-08
priorregion1_spot_18	0.40173098	0.09980265	0.2563916	0.0065011717	0.22961669	8.041712e-06	5.263009e-07	0.005948382	1.9271953e-08
priorregion1_spot_19	0.41878852	0.044524103	0.2656616	0.0087936465	0.24270184	6.231659e-06	1.0071964e-06	0.019522922	3.3844568e-08
priorregion1_spot_20	0.36884743	0.08652022	0.17525713	4.2297057e-07	0.33960542	0.00069087406	0.004401169	0.023895707	0.0007816133
priorregion1_spot_21	0.49317762	0.22609723	0.16285512	1.0354332e-06	0.09784782	5.328611e-05	0.0066451603	0.013322733	2.5638819e-08
priorregion1_spot_22	0.30588654	0.12363182	0.19337316	0.09821374	0.2352624	0.020764733	0.0052577336	0.017609768	4.1062897e-08
priorregion1_spot_23	0.5111131	0.09941898	0.26166582	0.0019648692	0.07863909	7.443868e-07	0.010502393	0.03669483	1.457774e-07
