	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	4.18479e-07	0.8179959	9.887199e-07	5.271946e-08	9.691383e-07	2.351926e-07	9.387248e-08	0.18200137	2.0380769e-08
priorregion1_spot_2	9.023995e-08	0.8654396	0.03909729	3.2975496e-08	0.08160598	5.773303e-08	5.366194e-08	0.013856789	4.730803e-08
priorregion1_spot_3	1.7365117e-07	0.74667	0.053433627	4.9343438e-08	0.0872099	7.470494e-08	9.4083106e-08	0.112685986	1.4379565e-08
priorregion1_spot_4	1.6654728e-07	0.8783174	0.014244105	8.30708e-08	2.2547683e-05	6.767756e-08	9.329532e-08	0.10741537	3.734725e-08
priorregion1_spot_5	4.011534e-07	0.83693707	0.047335126	5.6797354e-08	0.08376715	1.5587725e-07	7.754323e-08	0.031959794	1.3668142e-07
priorregion1_spot_6	6.2084945e-07	0.6614968	0.14856647	8.0702726e-08	0.12930341	2.503131e-07	1.7472533e-07	0.060631897	3.049455e-07
priorregion1_spot_7	4.4068437e-07	0.90759444	3.1569914e-05	7.079019e-08	2.9771118e-05	9.27281e-08	8.116369e-08	0.0923436	4.3028415e-08
priorregion1_spot_8	4.2858196e-07	0.79290986	0.08436411	5.1573256e-08	0.06041313	7.7976914e-08	7.081488e-08	0.062312253	1.7353186e-08
priorregion1_spot_9	2.75824e-07	0.35057747	0.20308241	4.7908856e-08	0.4152201	7.907313e-08	1.2612101e-07	0.031119272	8.880463e-08
priorregion1_spot_10	2.951929e-07	0.5744595	0.06690042	2.7352813e-08	0.22224697	4.5755087e-08	4.9141093e-08	0.13639271	1.6766126e-08
priorregion1_spot_11	1.7912046e-07	0.8460947	0.04655251	4.2722636e-08	1.7660308e-06	1.4705682e-07	9.0291486e-08	0.1073504	4.9936247e-08
priorregion1_spot_12	0.017647125	0.7769211	0.07930469	8.102954e-08	0.08758659	1.3935761e-07	6.87784e-08	0.038540244	2.6965628e-08
priorregion1_spot_13	4.2414723e-07	0.767138	0.003103679	5.022255e-08	0.14943546	6.438875e-08	8.1545075e-08	0.08032218	1.113519e-08
