,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,0.11506650745868682,0.0002608074879390187,0.08791082799434662,4.288683652877808,0.5001672700047493,0.3650584310293198,1.9497117877006531,4.257151413185057e-05,2.8050984113292545e-08
priorregion1_spot_2,0.4759191885590553,0.0004005699389381335,0.006288979132659733,3.268406093120575,0.3798415809869766,1.0214766621589662,0.16545961275696755,5.903655328438618e-05,8.590839719602172e-08
priorregion1_spot_3,0.34815264344215396,0.0005522081133676693,0.00795057024806738,2.3300573229789734,0.12572420239448548,0.3720291256904602,3.320875799655914,0.0076855857158079745,1.1284150502888224e-07
priorregion1_spot_4,0.03947014641016722,8.264299067377579e-05,0.0057876306818798184,2.2035351753234864,0.1405690386891365,0.14930927753448486,1.6665663301944733,0.000629724285681732,5.44377547484487e-08
priorregion1_spot_5,0.008218488888815045,0.00018939693545689807,0.00022318295013974422,0.778973188996315,0.03616651315242052,0.24386779144406318,0.868568566441536,0.00173323939088732,6.095633793279376e-08
priorregion1_spot_6,0.004173344396986067,9.826710947891116e-06,0.013023297116160392,1.789428389072418,0.10712789483368396,0.0024478088482283054,0.8026866614818573,2.1019041469116928e-05,3.148644136530266e-08
priorregion1_spot_7,0.02896888302639127,0.00016943369628279472,0.00024479875137330966,1.54058837890625,0.00586092509329319,0.473635259270668,1.4863387286663057,0.0002782638854114339,4.0104871068535894e-08
priorregion1_spot_8,0.1332878254354,0.00024716727639315653,0.0037077942630276087,3.774088442325592,0.14137276560068132,0.9805078208446503,0.5833592116832733,0.000144860857835738,1.0817886924030519e-07
priorregion1_spot_9,5.229292237345363e-05,6.609728188777808e-06,0.020746298134326935,1.2984580636024476,0.06094643119722605,1.845285660238005e-05,0.003972083982080221,6.531660005748564e-06,6.685068747458446e-08
priorregion1_spot_10,0.7276025533676147,0.0003504286301904358,0.014838223299011587,2.4739186644554136,0.05180468652397394,1.1298458755016325,2.5300199508666994,0.00046148342371452603,0.00011389065002731513
priorregion1_spot_11,0.8575176894664764,3.3638103559496813e-06,6.637811384280214e-05,1.8811919569969178,0.0003415707076783292,0.07419438101351261,0.10770339667797088,2.674440156624769e-06,7.396724406305566e-08
priorregion1_spot_12,0.41466385424137114,0.00035323579795658593,0.015054726647213102,4.532111978530884,0.2243906818330288,0.40945027619600294,0.82731351852417,0.00015503693430218846,6.483176520077905e-08
priorregion1_spot_13,0.02534987907856703,0.00017688717707642354,0.022930700331926346,2.648529839515686,0.8211855202913285,0.5730307847261429,0.7067735642194748,0.00047172925842460246,9.76220821513607e-08
