	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	3.613347e-07	0.03996429	0.47091037	9.788481e-08	0.39189464	1.3207699e-07	9.493939e-08	0.0970884	0.0001416024
priorregion1_spot_2	4.782183e-07	0.13433523	2.471018e-07	0.002519756	5.1249003e-07	0.00067632593	5.9482784e-07	0.8624668	4.3011703e-08
priorregion1_spot_3	2.6375025e-07	0.15439193	0.31810236	3.7663884e-08	0.37620267	5.984358e-08	3.5617823e-08	0.15130267	1.1121747e-08
priorregion1_spot_4	1.5693638e-07	0.15483983	0.29619256	0.0004976424	0.28601515	1.6000615e-07	2.6978404e-07	0.2624541	5.30161e-08
priorregion1_spot_5	1.8272192e-07	0.23851769	0.2021478	3.3884778e-08	0.3455568	5.3060372e-08	3.2420218e-08	0.2129984	0.0007789778
priorregion1_spot_6	1.4634006e-07	0.10524171	0.14915107	5.3171608e-08	0.52660424	7.884657e-08	5.568484e-08	0.21900259	8.859897e-08
priorregion1_spot_7	1.2666264e-07	3.4595872e-05	0.4218336	4.801371e-08	0.5255568	4.8878164e-08	5.019542e-08	0.052435376	0.00013924156
priorregion1_spot_8	1.0757143e-07	0.03485654	0.26162365	6.64813e-08	0.42138752	5.8204503e-08	6.170014e-08	0.28213206	3.5470194e-08
priorregion1_spot_9	0.001992856	0.0253208	0.16868399	9.6135466e-08	0.52197015	2.5055118e-07	1.3870415e-07	0.2820318	2.0692935e-08
priorregion1_spot_10	1.9012703e-07	0.1440914	0.1518663	1.1035785e-07	0.26898125	1.0294869e-07	1.1931907e-07	0.4350606	2.886957e-08
priorregion1_spot_11	9.1872295e-08	0.055215873	0.42807475	3.6183835e-08	0.469384	4.5817057e-08	3.3986964e-08	0.047325116	1.5773646e-08
priorregion1_spot_12	1.0039936e-07	0.1309784	0.20611088	1.2352638e-07	0.19770883	9.026161e-08	2.333506e-07	0.46520135	2.9763552e-08
priorregion1_spot_13	0.0018095062	0.30067283	0.30785322	1.12607644e-07	0.10734286	1.5179248e-07	1.1945524e-07	0.28232113	4.7952064e-08
priorregion1_spot_14	1.2095592e-07	2.2752943e-06	0.17385256	1.3459531e-07	0.6048343	1.281242e-07	8.271746e-08	0.22131038	2.782829e-08
priorregion1_spot_15	3.4214384e-07	0.027559664	0.3301236	5.443541e-08	0.31080633	7.303031e-08	5.7124407e-08	0.3315098	6.005311e-08
priorregion1_spot_16	1.0278559e-07	0.07443303	0.31843334	6.931281e-08	0.30535942	7.851625e-08	8.4248704e-08	0.3017739	3.2816175e-08
priorregion1_spot_17	1.3076669e-06	7.9105346e-05	0.4319449	1.419746e-07	0.5679739	1.3937579e-07	2.9048857e-07	1.69535e-07	2.4429077e-08
priorregion1_spot_18	1.4688113e-07	0.07462211	0.3431411	6.563103e-08	0.22440708	5.4752586e-08	6.4684905e-08	0.3574646	0.00036476617
priorregion1_spot_19	1.7134933e-07	0.037662953	0.25883123	6.664911e-08	0.25389045	7.710046e-08	9.8013004e-08	0.4496147	2.9706962e-07
priorregion1_spot_20	1.7618646e-07	0.03667379	0.31258968	4.8641187e-08	0.5456989	7.3141194e-08	3.9580016e-08	0.10503733	1.1688488e-08
priorregion1_spot_21	1.6683768e-07	0.03637751	0.2635572	9.3512945e-08	0.3730736	1.1492128e-07	5.4789922e-08	0.32685846	0.00013273678
priorregion1_spot_22	2.3096328e-07	0.041903295	0.30884743	7.472468e-08	0.33270562	7.699543e-08	6.9568244e-08	0.316543	1.093807e-07
priorregion1_spot_23	1.332706e-07	0.16540496	0.2681192	5.121378e-08	0.32042092	5.9483586e-08	4.8716853e-08	0.24605452	4.407171e-08
priorregion1_spot_24	1.00109496e-07	0.14612474	0.14274818	9.0239205e-08	0.2940498	8.46585e-08	9.81694e-08	0.41707686	3.78583e-08
priorregion1_spot_25	1.0417289e-07	0.010592039	0.4370358	5.4975743e-08	0.40725616	4.8857927e-08	6.2947464e-08	0.14511567	9.2258766e-08
priorregion1_spot_26	1.5856104e-07	0.18391961	0.08910089	1.9007773e-07	0.23245087	9.211308e-08	1.1396265e-07	0.4945279	1.1730132e-07
priorregion1_spot_27	1.4733868e-07	0.20466453	0.3388095	3.3458454e-07	0.09064622	1.8186753e-07	2.0414534e-07	0.36587885	2.5536703e-08
priorregion1_spot_28	1.5146182e-07	0.12135342	0.39724794	6.670285e-08	0.17213492	8.182155e-08	1.3202042e-07	0.30926326	2.5850465e-08
priorregion1_spot_29	1.5244271e-07	0.08083048	0.3085806	6.7471255e-08	0.3189292	1.0883167e-07	1.504496e-07	0.29165915	6.171233e-08
priorregion1_spot_30	1.11491175e-07	0.048317414	0.36484987	4.5902667e-08	0.32580703	4.9927845e-08	4.652785e-08	0.2610254	2.0570079e-08
