	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	4.8115458e-06	8.001982e-07	0.22596923	0.222982	0.09142291	0.25738716	4.810666e-05	4.224815e-07	0.20218445
priorregion1_spot_2	0.034532946	8.125253e-07	9.535549e-06	0.07526291	0.24115008	0.31885323	2.6432044e-06	0.022004819	0.30818304
priorregion1_spot_3	0.0014015279	8.964298e-06	0.07095872	0.13195826	0.22307405	0.393171	0.0049252408	2.3744586e-05	0.17447853
priorregion1_spot_4	1.3697156e-06	4.4809076e-07	0.15423961	0.17331354	0.11317948	0.42912987	4.8578013e-06	1.1097263e-07	0.13013074
priorregion1_spot_5	2.1180114e-05	1.1738334e-06	0.14674889	0.12176046	0.20612507	0.3886927	8.072684e-06	2.3034582e-07	0.13664222
priorregion1_spot_6	0.010311511	6.712629e-07	5.0329533e-08	0.0019501662	1.0035727e-06	0.011787659	1.8895558e-06	0.107940994	0.86800605
priorregion1_spot_7	0.025683548	2.9197186e-06	0.09626008	0.16670017	0.26819077	0.38637644	0.0028766533	4.4087057e-05	0.05386526
priorregion1_spot_8	4.3855152e-07	5.857377e-06	0.09995884	0.34984222	0.06783385	0.27046695	4.4115873e-06	0.0026582498	0.20922928
priorregion1_spot_9	0.03545168	1.2443135e-07	0.10038161	0.24759057	0.31398535	0.08594999	4.7111504e-07	1.3431824e-07	0.21664003
priorregion1_spot_10	0.00012120235	4.769472e-06	0.081153795	0.10315372	0.19340229	0.42516237	1.1885658e-05	1.0573532e-05	0.19697943
priorregion1_spot_11	0.01101718	0.0020502456	9.6103895e-06	0.056770887	0.20074667	0.25019076	2.615943e-06	0.047073904	0.43213812
priorregion1_spot_12	5.9714603e-06	0.0006347806	5.513138e-05	0.08735977	0.3489203	0.30174902	2.020296e-06	0.003008856	0.25826418
priorregion1_spot_13	1.8508206e-05	6.154144e-07	0.22534494	0.25195187	0.08457343	0.31631503	0.0035910155	3.9128568e-07	0.11820416
priorregion1_spot_14	1.853672e-06	1.18786176e-07	0.10735504	0.286009	0.27850857	0.1913879	3.5142415e-07	4.5568058e-08	0.1367371
priorregion1_spot_15	0.006493042	3.2931287e-06	0.09245555	0.1468686	0.25645545	0.35051394	2.8256309e-05	4.0316318e-06	0.14717786
priorregion1_spot_16	0.004102065	4.6667276e-07	0.11448676	0.16992171	0.21974704	0.37613204	5.0070767e-06	1.5747531e-07	0.115604766
priorregion1_spot_17	0.01217341	1.5753271e-06	0.024724526	0.1377187	0.30906928	0.3904135	1.0536948e-05	2.2337686e-06	0.12588625
priorregion1_spot_18	1.5431579e-05	1.5609214e-06	0.24521104	0.21067451	0.07479119	0.34344044	1.5324402e-05	4.825159e-07	0.12585005
priorregion1_spot_19	0.0011698406	7.836048e-07	0.12016859	0.06274887	0.16926892	0.36738023	1.7707491e-06	9.175799e-07	0.2792601
priorregion1_spot_20	9.972393e-06	2.508232e-07	0.11781888	0.12615217	0.24754024	0.4077312	0.0051177437	8.3572e-08	0.09562944
priorregion1_spot_21	0.009735789	9.670533e-07	3.3681812e-05	0.029622778	0.41248307	0.04828	3.6794972e-07	4.0232834e-07	0.499843
priorregion1_spot_22	0.0016595209	1.3497652e-06	0.14074306	0.21897176	0.20112133	0.41367784	0.0045137424	1.1812126e-07	0.01931114
priorregion1_spot_23	0.031339258	5.1122686e-07	0.04163101	5.833535e-06	0.29937243	0.35493165	4.5241937e-05	1.1968947e-07	0.2726739
priorregion1_spot_24	0.004296212	1.1260128e-07	0.18889846	0.34160343	0.13156147	0.25608474	5.288309e-07	3.7088082e-08	0.07755494
priorregion1_spot_25	8.491479e-06	5.678147e-07	0.1134927	0.3121804	0.18972029	0.2709454	4.737337e-06	1.6967805e-07	0.11364724
priorregion1_spot_26	0.067449726	3.4071599e-07	0.06567489	1.8079832e-06	0.17887367	0.5274157	3.984184e-06	5.752008e-07	0.16057931
priorregion1_spot_27	5.5412793e-06	1.9087427e-07	0.17013387	0.16672431	0.16050068	0.44500256	0.0063414103	3.70766e-08	0.051291376
priorregion1_spot_28	5.973758e-06	4.2734305e-07	0.042669956	0.15021873	0.4060684	0.3041701	2.1314522e-06	1.1911044e-07	0.096864074
priorregion1_spot_29	1.0610288e-06	4.680258e-07	0.10333904	0.29614127	0.15204054	0.3130085	2.0143839e-06	2.8281593e-07	0.13546687
priorregion1_spot_30	0.04343687	5.8337964e-06	0.1570282	0.1763492	0.15700051	0.38394096	0.0031054174	9.008671e-07	0.07913213
priorregion1_spot_31	3.4404602e-06	9.144161e-08	0.37062198	0.18927658	0.0123950355	0.42071426	0.006553616	6.091497e-08	0.0004349138
priorregion1_spot_32	4.02358e-07	1.1170337e-06	0.02432217	0.121899195	0.19915828	0.14296429	7.0225747e-07	0.0030297404	0.50862414
priorregion1_spot_33	1.0539348e-05	2.1400263e-06	0.0072221393	0.17864586	0.24474767	0.28001836	0.0001130711	6.821986e-06	0.2892334
priorregion1_spot_34	0.032196194	3.0602794e-06	0.07680113	0.13564453	0.27351648	0.45818424	0.00020101135	6.5117365e-07	0.023452705
priorregion1_spot_35	0.007958966	3.9892115e-07	0.2815108	0.2940564	0.00014188919	0.31322107	3.0066833e-06	3.3982815e-07	0.103107214
priorregion1_spot_36	0.023142759	2.6843156e-07	0.30108485	0.20028587	0.024867376	0.13927865	1.3901505e-06	0.0011442974	0.31019455
priorregion1_spot_37	1.0482274e-06	1.4042687e-06	0.17454568	0.04712225	0.46076217	0.20451154	4.2803066e-07	1.295875e-07	0.11305534
priorregion1_spot_38	3.4309545e-07	2.1711733e-07	0.080370456	0.37286013	0.3136842	0.23308416	4.5315548e-07	6.7149934e-08	1.9282949e-08
priorregion1_spot_39	2.8390284e-07	5.799949e-08	0.09209846	0.2628058	0.28758174	0.30519035	3.6331194e-06	3.0944157e-08	0.052319743
priorregion1_spot_40	0.014513113	4.141761e-06	0.08138194	0.15190947	0.24762562	0.39201158	0.0001280604	7.11493e-07	0.11242539
priorregion1_spot_41	0.003011196	3.728992e-07	0.0009879654	0.18551579	0.49539176	0.20627853	1.3150308e-06	1.4803714e-05	0.10879828
priorregion1_spot_42	1.6241773e-07	9.322832e-08	0.022162607	0.20282672	0.33541644	0.3422009	0.011565294	7.354978e-08	0.08582768
priorregion1_spot_43	0.0046222834	9.690843e-07	0.10429637	0.041278116	0.3452264	0.21278478	1.4394356e-06	2.7928868e-07	0.29178938
priorregion1_spot_44	0.009748489	1.7970385e-06	0.066320315	0.24383901	0.16996777	0.51011807	3.571391e-06	4.674225e-07	4.7077853e-07
priorregion1_spot_45	1.6881642e-05	1.6499305e-07	0.05514121	0.081722185	0.35377938	0.5093346	5.339162e-06	7.209249e-08	2.4392294e-08
priorregion1_spot_46	0.033292107	2.2188874e-07	6.647586e-08	3.7086528e-07	5.0270205e-07	8.434343e-08	0.028877536	0.10055244	0.8372767
priorregion1_spot_47	0.0056067677	1.2757445e-06	0.1245705	0.102102265	0.31664386	0.26423162	2.8036477e-06	2.6932804e-07	0.18684064
priorregion1_spot_48	0.0045093517	2.7278085e-07	0.28128406	0.19217147	0.035325676	0.16783793	1.055438e-06	0.0033475356	0.3155227
priorregion1_spot_49	0.0073863715	3.6597754e-07	0.06268056	0.27356258	0.21508497	0.28117839	2.0949192e-06	2.500785e-07	0.16010442
priorregion1_spot_50	0.016284253	4.597342e-07	6.1595905e-08	7.7384476e-07	1.7991971e-06	0.013399723	9.849615e-07	0.09244725	0.8778647
priorregion1_spot_51	3.1866533e-05	8.664465e-06	0.064786665	0.20309412	0.25061044	0.3282478	3.582633e-05	0.00022406394	0.15296051
priorregion1_spot_52	0.0047791987	5.4982155e-07	0.057554763	0.095354915	0.32060832	0.19152313	1.1350826e-06	3.9572072e-07	0.33017766
priorregion1_spot_53	5.2375995e-06	7.1017155e-07	0.073506154	0.077064715	0.24708337	0.24919355	6.48922e-07	0.0011760904	0.3519695
priorregion1_spot_54	9.587483e-08	1.13799416e-07	0.2213721	0.20045365	0.20129462	0.11669075	1.9752983e-07	1.0442117e-07	0.26018846
priorregion1_spot_55	1.4884351e-05	9.2416286e-07	0.16313323	0.12236435	0.12867182	0.41800758	5.330103e-06	2.2663609e-07	0.16780174
priorregion1_spot_56	8.201702e-06	1.1231584e-06	0.1378901	0.17915922	0.18418263	0.33815247	6.0590164e-06	3.1497547e-07	0.16059984
priorregion1_spot_57	1.7814747e-06	5.8541633e-07	0.03192519	0.16684279	0.30362055	0.22831641	3.256942e-06	4.6577355e-07	0.269289
priorregion1_spot_58	1.1615754e-06	2.4845616e-07	0.20872027	0.053544667	0.11637599	0.54480773	1.6184224e-06	6.3774806e-08	0.0765482
priorregion1_spot_59	0.012963537	3.3012444e-07	0.1655165	0.11696214	0.15818082	0.44485193	4.4020867e-06	7.267969e-08	0.101520345
priorregion1_spot_60	3.8969165e-06	1.9127701e-06	0.07290357	0.1886127	0.28518716	0.2672135	4.861457e-06	5.0029183e-07	0.18607181
priorregion1_spot_61	3.754682e-07	0.004565053	0.07318346	6.0746814e-08	0.47830263	4.6494296e-08	6.20442e-08	0.021957312	0.42199102
priorregion1_spot_62	0.020746078	3.5761052e-06	4.420601e-06	0.016670926	0.19642283	0.22790548	1.9459483e-06	0.027706077	0.51053864
priorregion1_spot_63	0.03297449	4.5147644e-07	0.08952953	0.052212767	0.15741768	0.28989306	1.2801963e-06	3.6522368e-07	0.3779704
priorregion1_spot_64	0.01070527	3.1477366e-06	0.20871936	0.0780669	0.11767539	0.38548115	1.0127483e-05	1.31953975e-05	0.19932556
priorregion1_spot_65	0.023239568	4.2528612e-07	0.0008896473	0.104617804	0.4138111	0.17295443	7.0243294e-07	0.0119699	0.2725164
priorregion1_spot_66	0.023883106	4.7365093e-06	0.014826162	0.084105544	0.17724687	0.39893976	9.457459e-06	0.005473894	0.29551047
priorregion1_spot_67	0.015921855	3.1514728e-07	0.057719417	5.871692e-06	0.32854128	0.40745515	0.028824126	9.815962e-08	0.16153193
priorregion1_spot_68	0.036273208	0.059474804	0.09506426	0.012803861	0.15815121	0.5738688	0.06436339	4.0278601e-07	8.968738e-09
priorregion1_spot_69	0.020360956	3.7922362e-07	0.031199895	0.11656533	0.38482136	0.3500249	3.2192481e-06	2.0393149e-07	0.09702373
priorregion1_spot_70	0.027502835	4.8115853e-06	0.11582129	0.15964511	0.20009904	0.37797794	4.641218e-05	8.947341e-07	0.118901685
priorregion1_spot_71	0.0041735144	2.2854874e-07	0.15271899	0.2193969	0.14164948	0.37740555	2.1170106e-06	1.024221e-07	0.104653165
