,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,5.03255434523453e-05,0.06559173427522183,4.260951227479382e-05,6.327281107587624e-06,0.06222473662346602,2.3850018578741586e-06,1.1324645527110989e-06,1.1124967396259309,0.22759407609701157
priorregion1_spot_2,4.275119977137365e-07,0.0010493673849850894,3.3793317726349416e-07,6.003796329423495e-07,0.0006040903535904363,2.4477519886545453e-07,2.3274672571460543e-07,0.8839199542999268,1.147578889131546
priorregion1_spot_3,0.00032347637170460075,0.053231422230601316,0.7126440972089767,0.10926461517810822,1.5188840925693512,0.16023067906498908,0.00013424984936136753,0.7341118365526199,1.3033022105693817
priorregion1_spot_4,0.00015354822025983594,0.9331600308418274,0.18820828720927238,2.3567312837258214e-05,1.232410740852356,7.263125153258444e-05,1.1869958370880342e-05,1.3255037307739257,0.5472725182771683
priorregion1_spot_5,0.0010057339968625456,0.38859596252441403,0.005775558133609593,0.2733239784836769,0.9192645311355592,0.3587852358818054,0.012780809588730336,1.1425927460193634,0.5005314230918885
priorregion1_spot_6,9.370106045025749e-06,0.14818487241864206,0.00011721633891284001,2.6050559426948892e-06,0.3207932814955711,2.742900937846571e-06,1.5473243081487454e-06,0.623948958516121,1.3986886084079742
priorregion1_spot_7,0.00017229501027031803,0.01294900388456881,0.026259475480765106,1.0341439690364494e-06,0.8126118391752243,3.6610799867276e-07,3.4258057439728874e-07,0.3052552118897438,1.275518774986267
priorregion1_spot_8,0.00048388603172497827,0.36522679030895233,0.20909395813941956,0.05437945127487183,1.5006959259510042,0.04932366237044334,6.953795491426717e-05,1.2357125639915467,1.5012861430644988
priorregion1_spot_9,2.0848498216707866e-08,2.413173987747541e-07,1.4024129724177216e-08,8.270466231863339e-08,4.782480687026691e-07,1.4447175233911482e-09,3.7784948325736427e-08,6.265068486754899e-06,0.3948952242732048
priorregion1_spot_10,8.334870017279172e-06,0.13752634078264236,0.001498344645369798,2.3732999693493185e-06,0.782174089550972,1.9548294062587957e-06,3.124027512058092e-06,0.4044252529740333,0.5556638777256011
priorregion1_spot_11,2.8409866281720046e-08,1.1507507906571847e-07,3.290924388554828e-09,2.5335551434579884e-08,3.95697747990198e-07,4.579854065434042e-10,2.2471030702853054e-09,9.176910623409639e-07,0.4057497277855873
priorregion1_spot_12,0.038546923920512205,0.2905440881848335,0.04356638919562101,0.3541226387023926,2.467593717575073,0.7151906013488769,0.010016756458207965,1.047086489200592,0.19697810634970667
priorregion1_spot_13,0.00023738668533042074,0.3293564274907112,0.1160357717424631,4.660713475459488e-05,2.1476935386657714,0.00013788076685159468,1.945967424035189e-05,1.3474039494991303,1.8250166773796082
priorregion1_spot_14,4.02409561957029e-06,0.021973324380815028,0.00163390840170905,5.678254751728673e-07,0.3121608570218086,1.9637977999309444e-07,4.0664511828936157e-07,0.05376647766679525,1.2819929838180544
priorregion1_spot_15,0.0004124987885006704,0.527936264872551,0.3699005722999573,0.0017785100731998681,2.452157962322235,2.69915243734431e-05,0.0014480988320428878,0.7721750915050506,0.00018752347023109905
priorregion1_spot_16,0.00034467608347767966,0.13793243691325185,0.18516530692577363,0.000323668954661116,1.1490785717964171,2.4206135094573253e-06,2.275313900099718e-05,0.3475657194852829,0.1849432669579983
priorregion1_spot_17,0.0005523451021872462,0.007902681734412909,0.0037212573457509283,0.47294093370437623,0.6978479385375977,0.19109380915760993,0.0006704334955429658,0.45464497357606887,0.0007950895669637248
priorregion1_spot_18,2.1608260885841444e-05,0.8288391202688217,9.018676973937545e-05,7.864124700063258e-06,0.23141736239194868,4.143539863434853e-05,5.771258611275698e-06,1.7036229491233825,1.575032114982605
priorregion1_spot_19,0.22849509492516518,0.03341299556195736,5.9223455355095215e-05,0.00082903461297974,0.005190277518704533,0.605345568060875,0.07148960456252099,0.0005495330609846861,0.18443504199385644
