	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.8370931	1.0594375e-06	1.2756416e-05	0.11624314	0.012117093	3.5205398e-05	0.033864193	0.000633354	4.0525862e-08
priorregion1_spot_2	0.52399874	0.23771402	1.0994286e-05	5.549157e-08	0.09827538	0.018673126	0.009284874	0.10952895	0.002513894
priorregion1_spot_3	0.19697832	0.04590233	0.004332843	0.6030669	0.10337277	3.411428e-05	0.041263945	0.0050486894	4.122599e-08
priorregion1_spot_4	0.9615625	2.8897165e-07	0.02831695	0.0100660715	1.5784342e-05	2.4849942e-06	3.5747096e-05	6.237795e-08	1.5617974e-08
priorregion1_spot_5	0.236279	8.832006e-07	0.11063743	0.5551272	0.029091626	0.0008486945	0.068013184	1.8623891e-06	3.6825842e-08
priorregion1_spot_6	0.42382166	8.94599e-07	4.933363e-05	0.260804	0.13242888	0.052987825	0.12857954	0.0013279414	1.3896753e-08
priorregion1_spot_7	0.40388954	7.589855e-07	0.09018424	0.2983408	1.7769388e-06	0.06648106	0.13988183	0.0012200251	2.425761e-08
priorregion1_spot_8	0.49140203	3.0855608e-07	0.01514075	0.4364764	0.05696182	7.7557166e-07	1.7763581e-05	1.6558953e-07	3.2445936e-08
priorregion1_spot_9	0.39181933	1.5815877e-07	6.572621e-06	0.54357594	3.6460906e-06	0.031539332	0.03305473	9.935791e-08	9.451015e-08
priorregion1_spot_10	0.45600823	1.1879584e-06	3.6006113e-06	0.34539914	1.0404567e-05	0.060994796	0.1329948	0.0040407493	0.00054722186
priorregion1_spot_11	0.35288066	0.047287155	0.04647991	0.28749272	0.21016161	0.03603803	0.012624028	0.007035707	1.5601152e-07
priorregion1_spot_12	0.34760052	1.7231577e-07	2.782881e-06	0.446001	0.19596322	7.769614e-07	0.010431384	1.3135028e-07	2.3278357e-08
priorregion1_spot_13	0.5539992	3.281153e-06	0.104104094	0.18782055	0.15373547	2.4815517e-06	5.421444e-07	9.58039e-08	0.00033427117
priorregion1_spot_14	1.6392667e-06	7.22309e-06	2.3287555e-06	0.90315723	0.0120194815	0.074408844	0.00013554738	0.010267718	4.2190266e-08
priorregion1_spot_15	0.18279266	0.0043524797	0.00019593493	0.6037596	0.09738533	0.039671432	0.071152836	0.00068949664	8.555495e-08
priorregion1_spot_16	0.46751907	2.441001e-07	0.018061096	0.42242864	0.06944843	0.022539945	2.492448e-06	1.4223706e-07	1.5467668e-08
priorregion1_spot_17	0.3611187	2.1320676e-07	2.5003158e-06	0.4854371	0.060583256	0.00024642042	0.09261157	8.726287e-08	1.3304913e-07
priorregion1_spot_18	0.9048131	5.836254e-07	0.079511344	1.3606216e-07	2.0917466e-06	7.623353e-07	0.0065085753	0.0091635175	1.45593e-08
priorregion1_spot_19	0.59413713	2.7049582e-05	6.593024e-07	0.16458848	1.8344457e-06	0.1211112	0.05896298	0.059995715	0.0011749965
priorregion1_spot_20	0.2594723	2.4546398e-07	0.045095947	0.58868694	8.6080064e-07	0.03747068	0.06927286	9.973122e-08	4.3736627e-08
priorregion1_spot_21	0.49370766	2.4574674e-06	7.2152443e-07	0.31426066	4.3538266e-06	0.069446556	0.122568086	9.375555e-06	2.7564683e-08
priorregion1_spot_22	0.6412076	0.030159656	0.08223108	5.8480154e-08	0.24640009	2.6642064e-07	1.5912445e-07	1.1072202e-06	2.4364965e-08
priorregion1_spot_23	0.48915282	1.5091948e-07	0.04270914	0.3969412	0.011927572	0.030978013	0.026502213	1.04982966e-07	0.0017886998
priorregion1_spot_24	0.52238786	4.4477815e-07	5.694587e-05	0.3060229	0.17151842	3.0845142e-06	1.0196631e-05	9.248361e-08	1.781846e-08
priorregion1_spot_25	0.6235052	1.7729982e-06	2.013549e-05	0.18387511	0.09616425	0.07766427	0.018769091	1.6521956e-07	1.3483339e-07
priorregion1_spot_26	0.45585364	1.1066292e-07	5.0315677e-08	0.17344189	6.9706005e-08	0.108925164	0.2477208	0.014058278	2.4720714e-08
priorregion1_spot_27	0.46672127	2.8135472e-07	0.029991714	0.24792063	3.755436e-06	0.020544324	0.23481794	1.1867248e-07	1.7995914e-08
priorregion1_spot_28	0.50578016	4.9935574e-07	4.2785743e-07	0.28179258	0.022508789	0.0600588	0.129858	7.3267597e-07	6.447013e-08
priorregion1_spot_29	0.39376438	1.8764055e-06	2.7973426e-06	0.46167663	0.0007119081	0.049383514	0.08548129	0.00897755	4.4004796e-08
priorregion1_spot_30	0.5119421	1.14972906e-07	0.03361775	0.3096973	1.06319985e-05	0.013991044	0.1307408	1.1312472e-07	1.0926424e-08
priorregion1_spot_31	0.7972668	3.938327e-07	0.0053725773	0.10948452	1.6050683e-06	0.030782709	0.057091277	2.2752634e-07	1.356217e-08
priorregion1_spot_32	0.38447452	0.0068089236	2.9987482e-06	0.3584965	0.037707515	0.08705869	0.11715281	0.008298079	3.4893993e-08
priorregion1_spot_33	0.2214493	0.022291005	0.014974482	0.43742117	0.19367819	0.05405916	0.051612824	0.0045139086	1.8076536e-08
priorregion1_spot_34	0.5071859	1.3887313e-07	1.2145658e-05	0.093116686	0.1135406	0.016553028	0.26959133	1.1227918e-07	1.2018333e-07
priorregion1_spot_35	0.46666783	2.6046623e-06	1.960817e-05	0.25892222	0.036890805	0.10477747	0.13271877	7.508507e-07	3.4427014e-08
priorregion1_spot_36	0.6714028	0.019485354	0.058148477	0.04468861	0.19911402	0.0063775675	0.00078201975	9.261023e-07	1.5641633e-07
priorregion1_spot_37	0.42086738	3.3982017e-06	0.048644513	0.4817163	0.04187158	0.006819889	5.341653e-05	2.3539804e-05	5.376122e-08
priorregion1_spot_38	0.4900034	0.1954236	1.1101308e-05	0.08522077	0.00067791494	0.08726676	0.102093555	0.039302927	3.0879026e-08
priorregion1_spot_39	0.5159505	0.008948477	0.010476506	0.26284724	0.06532726	0.030826744	0.09620271	0.00942067	1.7317173e-08
priorregion1_spot_40	0.5746275	0.017798986	0.058898848	0.19076431	0.029504694	0.029645419	0.098759755	4.5080395e-07	2.556459e-08
priorregion1_spot_41	0.4273964	2.9321168e-07	5.3156464e-07	0.4678007	4.869938e-07	2.562852e-05	0.10477589	9.1356824e-08	7.740282e-08
priorregion1_spot_42	0.40552455	1.5369259e-06	0.020224089	0.32896355	0.17311454	0.072167605	3.2912449e-06	1.7657797e-07	6.2835124e-07
priorregion1_spot_43	0.19334404	1.381202e-07	6.4715996e-06	0.5519661	4.3967768e-07	0.09246539	0.15823953	0.0039777067	2.8855624e-07
priorregion1_spot_44	0.46450186	3.6045247e-07	2.322142e-06	0.49160683	0.002604609	0.0064321705	0.026370676	0.008481032	1.7284795e-07
priorregion1_spot_45	0.4097737	2.4091023e-07	0.0039482405	0.33875814	6.118084e-07	0.21868461	0.028533079	1.3299805e-07	0.0003012351
priorregion1_spot_46	0.37817675	4.5670373e-07	1.237158e-07	0.4395077	0.02088587	0.14457259	0.0052235047	0.011633144	2.2980043e-08
priorregion1_spot_47	0.9519313	2.0842748e-07	8.631277e-08	1.2987599e-07	1.4777656e-07	0.002181285	0.03157445	0.014312405	3.2151792e-08
priorregion1_spot_48	0.454544	1.2843258e-06	0.0029838844	0.17676216	0.23842834	0.05049505	0.05453916	0.021586822	0.0006592904
priorregion1_spot_49	0.42251387	1.3520054e-07	0.060190078	0.33261454	0.011384844	0.02265915	0.1506372	7.737273e-08	1.9496898e-08
priorregion1_spot_50	0.41837078	2.5203687e-07	7.7788776e-08	0.4696812	3.4254495e-07	0.074570514	0.03737649	3.068926e-07	2.5601274e-08
priorregion1_spot_51	0.30122173	3.236472e-06	0.005586054	0.39197502	0.15287033	0.01577766	0.13256562	3.0115368e-07	4.845251e-08
priorregion1_spot_52	0.5949022	3.6028218e-06	0.015643267	0.27955055	0.10770565	6.3865723e-06	2.0261423e-05	4.926854e-07	0.0021675471
priorregion1_spot_53	0.7503353	5.2061597e-07	0.089448586	0.07966595	0.08054519	2.780318e-06	1.4200024e-06	1.7387079e-07	1.074335e-07
priorregion1_spot_54	0.49885786	0.0011986574	0.06429158	0.36882085	5.654387e-06	0.06682435	5.9048244e-07	4.289703e-07	1.5220893e-08
priorregion1_spot_55	0.21151689	0.0008759063	3.0515415e-07	0.52524763	0.07878339	0.06764739	0.11592751	9.633764e-07	3.4689613e-08
priorregion1_spot_56	0.005787149	0.018963534	0.10398218	0.7663345	0.09908233	2.0498012e-06	5.760817e-07	0.0058478187	2.825997e-08
priorregion1_spot_57	0.40250173	0.00072677806	1.5995549e-06	0.51797897	0.043219212	0.035464436	0.00010698499	1.6433285e-07	5.98526e-08
priorregion1_spot_58	0.3421739	0.006038975	0.013142963	0.50345856	9.2018587e-07	0.031216903	0.10346421	2.2896593e-06	0.00050124264
priorregion1_spot_59	0.3227039	3.8135087e-07	2.556343e-06	0.5155783	0.12294037	0.03382822	0.002590902	0.0023373172	1.7952898e-05
priorregion1_spot_60	0.34993324	0.0043729586	0.006473476	0.27598274	0.014810377	0.12031927	0.2073714	0.020428792	0.00030769958
priorregion1_spot_61	0.40979874	2.1496922e-07	0.028221352	0.35134107	0.08461117	0.02724836	0.09877889	2.684614e-07	2.9006756e-08
priorregion1_spot_62	0.99174416	8.5893805e-07	1.612368e-06	9.97529e-08	1.185104e-06	0.0005382457	0.0077136257	2.440871e-07	1.3951245e-08
priorregion1_spot_63	0.33503214	1.5894243e-07	2.3813143e-05	0.5589517	0.101955555	0.0025014137	0.0015350817	1.5455447e-07	2.374572e-08
priorregion1_spot_64	0.94499826	3.5214504e-07	0.052645054	5.861475e-08	1.271877e-05	3.6140784e-07	0.0023429217	6.8349806e-08	6.349094e-09
priorregion1_spot_65	0.4426439	1.1516271e-06	0.009647571	0.38315445	0.060786556	0.0545784	0.04909551	1.6507195e-07	9.222452e-05
priorregion1_spot_66	0.8240317	1.5933257e-06	1.0397477e-05	0.14615309	0.014550532	0.015228241	4.777904e-07	2.384639e-05	3.3566707e-08
priorregion1_spot_67	0.9325541	0.003842718	0.06016545	7.407664e-08	1.493494e-06	5.1894415e-07	4.0933696e-07	0.0034353354	1.2913011e-08
priorregion1_spot_68	0.44895804	1.1356345e-06	1.5272693e-05	0.4078907	0.071992345	0.008965141	0.06217722	2.1538666e-07	3.2180022e-08
priorregion1_spot_69	0.99033934	9.475848e-07	3.7108146e-06	8.294282e-08	1.1047539e-06	2.9952076e-07	0.009654457	1.06293825e-07	2.9762393e-08
priorregion1_spot_70	0.5382851	1.1926988e-07	4.881561e-06	0.291247	0.016982613	0.0200339	0.13344607	1.9933277e-07	7.902852e-08
priorregion1_spot_71	0.40352494	1.3738843e-07	0.013499377	0.385255	2.1089454e-06	0.0012705011	0.19627355	1.6446188e-07	0.00017411889
priorregion1_spot_72	0.5022944	3.7937075e-06	1.6641054e-05	0.31886682	0.03863308	0.058610983	0.0766745	0.004899781	4.034055e-08
priorregion1_spot_73	0.42383614	2.1783839e-07	0.00813733	0.32003647	4.1241603e-07	0.09004238	0.15794675	2.3067281e-07	4.6617373e-08
priorregion1_spot_74	0.50612825	4.1509475e-07	0.06916373	0.16487502	0.022027567	0.07523794	0.16256694	7.993922e-08	2.467971e-08
priorregion1_spot_75	0.396739	0.006670655	0.07272913	0.33006623	0.037239924	0.04370189	0.107501954	0.0053352974	1.6037493e-05
priorregion1_spot_76	0.43228367	2.362212e-07	0.031678606	0.52425814	0.008527346	0.0005180456	0.002733783	2.2812837e-07	1.5305632e-08
priorregion1_spot_77	0.17140171	0.013064613	3.865753e-07	0.7084666	2.1801345e-06	0.01628355	0.07671048	0.0103360955	0.0037343444
priorregion1_spot_78	0.5135915	0.02665537	1.8592783e-06	0.39857048	6.6051075e-06	6.458098e-05	0.04443218	0.0044525936	0.012224678
priorregion1_spot_79	0.6066335	6.906085e-06	0.018580569	0.27266523	8.128151e-06	0.019032797	0.0636661	0.00740232	0.012004529
priorregion1_spot_80	0.36683264	1.6596427e-06	0.0065078167	0.514061	0.10882428	7.781105e-07	3.9214387e-07	0.0037711905	7.533554e-08
priorregion1_spot_81	0.8013793	0.010861014	0.037046198	0.057552695	2.4952928e-06	6.821085e-07	0.0931574	1.128739e-07	2.9854025e-08
priorregion1_spot_82	0.87835187	4.1855517e-07	0.11612524	3.8817692e-08	1.3720339e-06	4.6397025e-07	4.7540876e-08	0.003227434	0.002293135
priorregion1_spot_83	0.17200981	3.0298543e-07	6.48423e-07	0.75435245	5.5281913e-07	0.04442499	0.01721907	0.011992214	1.9181112e-08
