	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	7.364796e-07	6.820828e-07	0.0010951784	0.7051109	3.9979905e-06	6.1534024e-07	0.2608703	0.000964757	0.031952787
priorregion1_spot_2	3.061096e-07	0.0739175	0.13391979	0.52981985	0.26233473	2.7771378e-07	7.221647e-06	3.9452007e-07	3.9309928e-08
priorregion1_spot_3	1.1834097e-06	0.052948777	0.068890706	3.8112591e-07	0.878157	2.4549036e-07	5.680094e-07	1.0334039e-06	4.4634184e-08
priorregion1_spot_4	0.020378765	7.6366605e-06	0.10238017	0.6151502	0.08758697	0.02386886	0.15062715	1.8946758e-07	1.4486444e-07
priorregion1_spot_5	3.1783478e-07	0.06849731	0.19466217	0.0010251788	0.7358142	3.8680284e-07	3.869811e-07	2.628337e-07	2.1816708e-08
priorregion1_spot_6	1.1849205e-06	1.3469897e-06	8.850258e-05	0.2972219	0.7026826	3.202067e-06	9.614387e-07	1.989505e-07	5.139642e-08
priorregion1_spot_7	8.4158364e-07	0.002103259	0.13962707	4.6277904e-07	0.8541552	5.027103e-07	3.8223212e-07	0.0039654444	0.00014685864
priorregion1_spot_8	1.5051759e-06	2.2481265e-06	0.28318658	4.3977846e-07	0.644014	0.032092	3.3563643e-07	0.032852042	0.007850914
priorregion1_spot_9	0.026809204	1.5961886e-06	0.57335943	3.4958273e-07	0.38599205	3.1991792e-07	1.0687644e-06	0.0138359545	8.293276e-08
priorregion1_spot_10	0.010098876	0.006769373	0.18750557	6.216765e-07	0.7872714	4.539127e-07	0.008353511	1.889094e-07	3.6802103e-08
priorregion1_spot_11	0.031859815	2.1976728e-05	2.1751228e-05	0.67082435	1.1483963e-05	1.6786938e-06	0.29538324	4.5491257e-07	0.0018752782
priorregion1_spot_12	1.9032493e-06	0.015048658	0.3287823	7.456288e-07	0.6525075	1.1778868e-06	3.8331726e-07	0.0036572807	4.21435e-08
priorregion1_spot_13	0.038057923	1.8924401e-06	0.16103736	0.084337756	0.310973	5.1560405e-06	0.4055835	3.3421984e-06	1.3234926e-07
priorregion1_spot_14	5.0687856e-07	0.089757115	0.13375458	0.031275176	0.5691551	2.7303065e-07	0.17605688	2.7479203e-07	1.0940972e-07
priorregion1_spot_15	1.0407574e-06	0.11880153	8.3639625e-06	0.045470595	0.83388686	1.2755919e-06	0.0018300223	2.233341e-07	6.421073e-08
priorregion1_spot_16	1.787516e-06	2.591478e-06	0.4898747	0.21868326	0.27582353	3.75397e-07	0.01561228	1.4250548e-06	8.9356945e-08
