,q05_spot_factorsB,q05_spot_factorsCCL5.CD8T,q05_spot_factorsCCR7.CD8T,q05_spot_factorsCD14.Mono,q05_spot_factorsCD4T,q05_spot_factorsDC,q05_spot_factorsFCGR3A.Mono,q05_spot_factorsNK,q05_spot_factorsPlatelet
priorregion1_spot_1,0.0009413989551831037,0.306566022336483,0.0734539970755577,0.006811505579389632,1.0440385520458222,0.0001091036174329929,0.003816999844275415,5.497545003890991,1.5004826252607018e-06
priorregion1_spot_2,0.0016115820908453318,0.13452330306172372,0.5968838155269622,0.0002427096085739322,1.5057959139347077,2.243777316834894e-05,0.00040553574654040865,4.514811396598816,5.022992326075837e-07
priorregion1_spot_3,2.2509513655677438e-05,0.003906265052501113,0.005362417805008591,2.5864878807624336e-06,0.4669581100344658,5.353093428084321e-07,4.576601804728853e-06,1.391988843679428,2.870066113658254e-08
priorregion1_spot_4,0.0011217483785003425,0.13534133806824686,0.09045152552425861,0.15473089292645456,1.3022047579288483,6.312705154414289e-05,0.5087156534194947,5.4069725513458256,1.3288746401940442e-06
priorregion1_spot_5,0.0010027064708992839,0.3248339340090752,0.09855285063385963,0.0008363552129594609,0.8640700310468674,0.002277513826265931,0.0005748421332100407,5.901603794097901,2.980133911023586e-06
priorregion1_spot_6,0.11187828741967679,0.27326952666044235,0.08899787627160549,0.1064596340060234,1.6272177517414095,0.6659514307975769,0.0563341336324811,4.9416786432266235,1.971881238205242e-06
priorregion1_spot_7,0.0013390723965130747,0.04835706744343043,0.1578806363046169,0.19458269253373145,1.4633296132087708,0.00013097986739012412,0.6241294890642166,4.308692574501038,2.8625383379221604e-07
priorregion1_spot_8,0.008857451751828194,0.036670847423374654,0.44084420055150986,0.3196121692657471,1.3883827269077302,0.6049675345420837,0.002312660473398864,5.018034529685974,1.043083176455184e-06
priorregion1_spot_9,0.0028400063980370763,0.1534441016614437,0.06036293730139732,0.00017364213781547732,0.7261920899152756,3.0048837288632058e-05,0.0021273538703098895,6.3357421398162845,6.484218744162717e-07
priorregion1_spot_10,0.04198064710944891,0.015408457210287453,0.002768738253507763,6.478996765508782e-05,0.6474435985088348,0.629788526892662,0.0008814597182208672,1.2853545427322388,1.6684138248734828e-08
priorregion1_spot_11,0.0001618834779947065,0.07372455298900604,0.02032011216506362,0.002103476866614074,0.5932049006223679,1.6968746695056326e-05,0.0005785073881270365,4.409933567047119,1.1681648146577573e-07
priorregion1_spot_12,0.03284955080598593,0.15411565378308298,0.15491137579083444,0.21808414682745933,2.0753781080245974,0.6603171765804291,0.014381359983235599,3.6658196210861207,5.944264188428862e-07
priorregion1_spot_13,0.001713901641778648,0.12264596819877624,0.4830417290329933,0.005746565898880363,1.5552195489406586,7.851120717532467e-05,0.0002803843701258302,6.595737719535828,1.4574442445791647e-06
priorregion1_spot_14,0.000502230113488622,0.04922573585063219,0.009070776076987386,0.013646845892071725,0.5446611940860748,1.4016934710525676e-05,0.00013746723780059256,4.269932341575623,3.4271743203362354e-07
priorregion1_spot_15,1.0242714461128344e-05,0.00244515067897737,0.0023266075411811473,8.198023024306167e-05,0.11712293773889541,2.3017161439042867e-07,0.0016014674853067846,1.2211179435253143,4.366090688989744e-09
priorregion1_spot_16,6.870093602628913e-05,0.1440245695412159,0.0019538781489245594,5.532253162527922e-05,0.09089943207800388,4.217065679767984e-06,4.1442241490585735e-05,3.4444772243499755,3.067527742928178e-08
priorregion1_spot_17,0.15928919911384581,0.061492206156253816,0.22841475978493692,0.5175791293382644,1.3052408397197723,0.47511000633239747,0.023145468346774577,5.653405714035035,2.9232690621938675e-06
priorregion1_spot_18,0.0015026743698399515,0.030697938892990353,0.3255880266427994,0.5155098348855972,0.4358615309000015,0.18819114863872527,0.40205736607313153,4.024656128883362,3.8885214053152595e-06
priorregion1_spot_19,8.354905003216117e-06,0.002462357527110726,0.00036463867290876807,9.631201805859747e-07,0.12086255140602589,9.310695048725393e-07,3.7308053606466274e-06,1.1109759747982026,5.892533927465138e-09
priorregion1_spot_20,0.002269357349723578,0.1777555838227272,0.25817798674106596,0.2031083233654499,2.343981599807739,0.44401925057172775,0.010931203234940767,4.996365904808044,7.97845914348727e-06
priorregion1_spot_21,3.4842489526454304e-06,0.002966539026238024,0.10797307603061199,1.0544736767315045e-06,0.34342808127403257,2.7232782713326746e-07,6.27464950753165e-07,0.8932531476020813,1.0476344902698999e-08
priorregion1_spot_22,6.72521346132271e-05,0.07667430490255356,0.004571745824068785,0.0004956024524290115,0.21577518433332443,2.7334443984727844e-06,2.097146643791348e-05,3.382456028461456,5.564379055300606e-08
priorregion1_spot_23,0.01461543315090239,0.08286542482674122,0.005295128002762795,0.00019102777878288182,0.31607213765382763,4.420256100274856e-05,0.0028250984149053695,2.1810189962387088,3.427100416786289e-08
priorregion1_spot_24,0.0002715133392484859,0.19673271402716638,0.13065089359879495,8.75018275110051e-05,1.3533677279949188,1.0635586704665911e-05,7.606290164403617e-05,3.9738813161849973,8.218945197313589e-07
priorregion1_spot_25,0.0003589627260225825,0.4205124869942665,0.041056705825030806,0.00022227037043194288,0.43295684903860093,3.1669766212871767e-05,4.886136230197735e-05,4.3296191692352295,3.020102454343032e-07
priorregion1_spot_26,0.0030172163154929877,0.288197535276413,0.1557509325444698,0.004694720194675029,1.186104965209961,0.00012376633130770646,0.00776831666007638,6.143084621429443,1.1664417399970265e-06
priorregion1_spot_27,0.010294762393459677,0.035770650207996364,0.023397265281528235,0.004010022315196693,0.6186923056840896,0.7794518440961838,0.05936653222888708,4.626209402084351,9.399343696259166e-07
