	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	5.826635e-07	0.7580426	0.006550012	4.958239e-06	0.00031346327	4.849021e-07	1.6048344e-06	0.23508622	7.243891e-08
priorregion1_spot_2	1.0081566e-06	0.5530572	9.852768e-06	1.784371e-07	0.030076558	8.0761737e-07	3.0228315e-07	0.4168539	1.1980403e-07
priorregion1_spot_3	0.0026676347	0.7200737	0.03837379	1.7855587e-07	0.14755984	2.14011e-07	9.711077e-07	0.09120045	0.00012315
priorregion1_spot_4	8.763351e-06	0.86179215	6.0923826e-06	2.0550873e-07	3.8895236e-05	1.9415236e-06	2.050383e-07	0.13815172	8.972164e-08
priorregion1_spot_5	0.0025829622	0.8454868	0.07660281	1.4773963e-07	1.4246092e-05	5.302174e-06	3.0290994e-06	0.074104905	0.0011998233
priorregion1_spot_6	2.2026138e-06	0.8182068	4.9213606e-05	3.6995837e-07	0.0010658911	4.5097008e-07	5.1448524e-07	0.18067454	1.0699513e-07
priorregion1_spot_7	1.7062217e-06	0.9079674	3.4366905e-05	1.0295018e-06	7.88388e-06	9.309794e-07	2.8729374e-07	0.09197478	1.1698753e-05
priorregion1_spot_8	9.952201e-07	0.37384316	0.61039126	8.2352494e-07	2.584851e-05	3.9410827e-07	2.1109831e-07	0.015737252	4.7967514e-08
priorregion1_spot_9	4.4147993e-07	0.7504003	0.14878805	1.3509919e-07	0.0008225759	1.558441e-07	1.8725395e-07	0.099987954	2.8421584e-07
priorregion1_spot_10	0.03041246	0.78800386	0.097748	1.9448215e-07	0.08357278	4.3067377e-07	1.762331e-07	0.0002620238	4.6259725e-08
priorregion1_spot_11	2.8389184e-06	9.2154754e-05	0.9681543	0.0018706806	9.644584e-05	0.029777361	6.7208003e-07	5.350191e-06	6.2716715e-08
priorregion1_spot_12	5.338209e-07	0.74019766	0.17876941	1.3456109e-07	7.4983676e-05	1.7151912e-07	1.6960367e-07	0.080486864	0.00047006237
priorregion1_spot_13	7.6813876e-07	0.8115333	0.03136987	4.2598256e-07	0.110829405	8.5138913e-07	2.16574e-06	0.046263203	1.2103631e-07
priorregion1_spot_14	6.605305e-07	0.8059964	0.06294408	8.948118e-08	6.826153e-05	1.3438374e-07	2.9306946e-07	0.13099	4.1322366e-08
priorregion1_spot_15	1.3217607e-06	0.8155112	0.12106873	1.4253827e-07	0.03211943	2.3810283e-07	1.8074687e-07	0.03128458	1.4107589e-05
priorregion1_spot_16	4.1209776e-07	0.72713274	0.0030546954	4.1342983e-07	0.17014991	3.2256983e-07	2.7030404e-07	0.09953542	0.00012577073
priorregion1_spot_17	0.015482267	0.8182983	0.04454021	9.577613e-08	0.12167709	2.3320908e-07	9.9280186e-08	1.6735103e-06	6.1661964e-08
priorregion1_spot_18	5.6136037e-06	0.60595554	9.645587e-06	4.3987484e-08	0.27954143	0.008093009	9.644055e-08	0.106394544	3.015788e-08
priorregion1_spot_19	1.7039058e-06	0.4029876	0.36381057	1.2013956e-07	0.23319648	1.4274046e-07	1.3378867e-07	3.3898687e-06	2.8415425e-08
priorregion1_spot_20	3.9402175e-07	0.88329697	5.7514826e-05	1.2710437e-07	7.885186e-06	1.6352962e-07	1.3822083e-07	0.11663662	1.620475e-07
priorregion1_spot_21	9.1525555e-07	1.0580146e-05	0.88140804	2.731709e-07	0.11857875	2.706641e-07	3.6825685e-07	8.605502e-07	8.554677e-08
