	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.0152991945	0.38975197	0.022567531	3.3703708e-07	0.18304811	1.8424382e-06	5.997327e-07	0.17578499	0.21354538
priorregion1_spot_2	1.9728798e-06	0.52199775	0.02779095	2.254038e-07	0.15397422	9.419631e-07	1.0231058e-06	0.14660837	0.1496245
priorregion1_spot_3	0.010888174	0.52911955	6.4949886e-06	2.4935025e-07	0.17499395	7.8557053e-07	5.085703e-07	0.06019352	0.22479685
priorregion1_spot_4	0.03020963	0.50720274	9.1093076e-05	1.5647795e-07	0.33513185	1.3284288e-06	2.2942349e-07	0.017669208	0.10969371
priorregion1_spot_5	0.01609675	0.39406413	0.06997662	7.098472e-07	0.15313572	3.2106316e-06	8.726165e-07	0.029233558	0.33748838
priorregion1_spot_6	0.010244314	0.41379285	0.052903883	0.0013298735	0.08427439	0.0030595176	5.246023e-07	0.102874726	0.3315199
priorregion1_spot_7	0.015755374	0.52313906	2.4261737e-05	2.2892985e-07	0.15398872	4.90816e-05	8.0869097e-07	0.17198081	0.13506171
priorregion1_spot_8	0.024017971	0.30491942	0.04079069	2.7765948e-06	0.15400584	5.923347e-05	6.870243e-06	0.107163124	0.36903408
priorregion1_spot_9	0.022435514	0.33346325	0.012836158	1.3637886e-07	0.14379066	2.5267144e-07	9.968954e-07	0.093658105	0.39381483
priorregion1_spot_10	0.026148217	5.0859835e-06	3.3334217e-07	1.7579114e-05	1.3408724e-06	0.041906532	0.0031913654	0.14805305	0.7806765
priorregion1_spot_11	0.018692993	0.53868216	0.01880179	9.2381407e-07	0.063816935	0.012178267	7.482957e-07	0.23562779	0.11219833
priorregion1_spot_12	0.00026219146	1.8408334e-08	1.0611804e-08	8.875921e-07	2.3187395e-08	4.4819177e-07	2.5855534e-06	0.11845082	0.881283
priorregion1_spot_13	0.032052398	0.25084043	1.8300198e-06	3.0536583e-07	0.096906185	2.0934027e-07	2.3582509e-06	0.10171641	0.5184799
priorregion1_spot_14	0.03672305	0.017016493	7.8160895e-07	2.8459467e-06	3.603327e-06	0.007631567	0.019142283	0.2043925	0.7150868
priorregion1_spot_15	0.0006533161	4.9221306e-08	7.1691115e-09	2.2628421e-07	1.3677447e-08	3.5759715e-08	5.591353e-07	0.11019378	0.88915205
priorregion1_spot_16	0.078810714	0.31739834	0.040556815	9.2744705e-07	0.13026786	0.00051689346	2.628164e-07	0.029984592	0.4024636
priorregion1_spot_17	0.014357426	0.2788344	9.2471345e-07	1.638799e-06	1.3604953e-05	1.3953658e-06	9.193725e-07	0.24337076	0.46341893
priorregion1_spot_18	0.14878027	0.47165662	1.5293426e-06	1.3968e-07	0.05410679	1.9076636e-07	6.5894244e-07	0.06442946	0.26102433
priorregion1_spot_19	3.633787e-07	0.17317472	0.29881695	9.954987e-08	0.5265076	1.3247123e-07	3.9453275e-07	2.6677355e-07	0.0014994734
priorregion1_spot_20	0.043569557	0.35824516	4.248937e-06	4.7313227e-07	0.16325635	3.0279984e-06	4.2576195e-07	0.13397928	0.30094147
priorregion1_spot_21	0.0051467987	0.5126819	7.686041e-06	1.0621442e-07	0.17722453	7.450964e-07	1.4822768e-07	0.13862695	0.16631122
priorregion1_spot_22	2.0281897e-05	0.35958254	0.043179892	3.5765828e-07	0.105262235	0.013804997	4.91083e-07	0.09829813	0.37985107
priorregion1_spot_23	0.027059492	0.35698742	0.056934226	4.0878697e-07	0.19264485	0.0058088866	5.6704596e-07	0.06172481	0.29883936
priorregion1_spot_24	0.0014768555	0.49759725	8.076903e-05	5.8112306e-08	0.38191018	5.089193e-07	9.560329e-08	0.06546523	0.05346915
priorregion1_spot_25	2.9979124e-06	0.55678564	1.9680134e-05	1.7988265e-07	0.13610879	1.0626972e-06	4.23589e-07	0.15476918	0.15231206
priorregion1_spot_26	0.034984916	0.35169786	0.037747737	9.327135e-07	0.18351138	0.024988234	1.2565135e-06	0.050778978	0.31628874
priorregion1_spot_27	0.033783216	0.36626434	6.158789e-06	6.35919e-07	0.1766023	3.2292453e-06	8.375386e-07	0.09159705	0.3317423
priorregion1_spot_28	0.006882404	0.3830514	0.009923512	3.6652202e-07	0.17482698	5.710676e-06	7.4272424e-07	0.18397154	0.24133734
priorregion1_spot_29	0.0021087136	0.46644813	0.078704596	3.7965826e-08	0.25722474	4.782569e-08	9.0455046e-08	0.09248222	0.103031404
priorregion1_spot_30	0.042713214	0.3217677	4.627368e-06	4.3801697e-07	0.1920276	3.14e-06	6.408992e-07	0.07289407	0.3705885
priorregion1_spot_31	0.060454395	0.20733544	2.9001387e-07	1.6625146e-06	0.032028582	0.012855	0.0037653318	0.09227418	0.59128517
priorregion1_spot_32	0.02302906	0.51731986	2.0685657e-05	3.703732e-07	0.066253334	1.0601976e-06	8.0344546e-07	0.13499449	0.25838032
priorregion1_spot_33	0.08027646	0.1800053	4.2760766e-07	2.4341287e-07	0.112388715	0.001268746	2.3951944e-07	0.07442306	0.5516368
priorregion1_spot_34	2.7670128e-06	0.54692763	8.9277355e-06	1.3423171e-07	0.21314238	0.012206107	2.849694e-07	0.101976536	0.1257351
priorregion1_spot_35	1.2417316e-05	0.38247147	0.028446516	1.1912812e-06	0.08112527	0.017324245	2.0124633e-06	0.13799682	0.35262012
