	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	3.6452184e-07	0.00015596904	1.4234337e-06	0.00722439	8.0219825e-06	2.5710165e-07	1.4712947e-06	0.9926081	5.1768804e-08
priorregion1_spot_2	0.22652216	0.34390154	8.09902e-06	1.4837477e-07	1.2198263e-05	4.422078e-07	1.8571777e-07	0.42955524	6.147234e-08
priorregion1_spot_3	3.4602903e-07	0.3816068	3.6578373e-07	0.003959009	5.64949e-07	1.8734607e-07	1.8290885e-07	0.6144325	1.0622724e-08
priorregion1_spot_4	1.1557146e-06	0.35472333	0.000105049316	7.568765e-08	5.596876e-05	8.296327e-08	1.09852266e-07	0.64445466	0.0006595059
priorregion1_spot_5	5.201818e-07	0.24555609	6.671556e-07	1.3997517e-07	1.7441962e-06	0.009363744	0.013716175	0.7313609	3.2803836e-08
priorregion1_spot_6	0.57417095	0.21717407	8.575253e-07	7.5925456e-08	4.971587e-07	1.820657e-07	1.0143977e-07	0.20804873	0.00060456456
priorregion1_spot_7	0.23950489	0.5170669	7.849615e-07	3.421119e-08	9.269364e-07	6.718206e-08	5.674744e-08	0.2434264	9.315538e-09
priorregion1_spot_8	1.1153662e-06	0.45451275	2.8290202e-05	1.3518247e-07	5.3906813e-05	9.527395e-08	1.5035901e-07	0.5454036	5.354597e-08
priorregion1_spot_9	0.14151715	0.0043683033	2.125443e-06	1.1907664e-07	3.5035264e-06	5.447375e-07	2.3285051e-07	0.8541079	8.402481e-08
priorregion1_spot_10	4.4948678e-07	0.5873067	0.043898582	6.14786e-07	0.018317522	0.0051514874	0.019554967	0.32576966	1.7444226e-08
priorregion1_spot_11	7.023599e-07	0.62156576	1.4201203e-05	6.473928e-08	1.8869288e-05	9.890294e-08	6.76284e-08	0.3784001	1.9374791e-07
priorregion1_spot_12	1.0393721e-07	0.13072665	2.0425833e-07	6.8330884e-08	3.8958547e-07	2.9006603e-07	6.961901e-08	0.8692722	1.3415395e-08
priorregion1_spot_13	0.008158645	0.39984885	5.352589e-07	4.4368315e-07	8.033991e-07	1.1915474e-06	5.3338164e-07	0.5919889	4.211388e-08
priorregion1_spot_14	9.725687e-06	0.3798941	0.00022678333	1.042288e-07	0.047613524	1.3713976e-07	2.8989868e-07	0.57225525	5.3856144e-08
priorregion1_spot_15	7.52683e-07	0.23017913	2.2596018e-05	1.0809367e-07	4.2661464e-05	1.2832682e-07	2.9620824e-07	0.7697543	3.1052515e-08
priorregion1_spot_16	1.4612048e-07	0.58771884	1.0771178e-06	1.8166962e-07	4.5604274e-06	7.823286e-08	2.458849e-07	0.41227493	2.0084528e-08
priorregion1_spot_17	3.0432934e-06	0.32820702	5.4104752e-05	6.073938e-08	0.00017921964	4.5243436e-08	1.0748617e-07	0.6715565	1.4811604e-08
priorregion1_spot_18	4.600048e-06	0.3658856	5.648469e-05	4.697009e-08	0.00032035972	6.334824e-08	6.376305e-08	0.63373274	5.5242094e-08
priorregion1_spot_19	2.6426045e-07	0.32672524	7.4971246e-07	1.2723882e-07	1.029184e-06	9.248173e-08	0.006460145	0.6668123	1.7261106e-08
priorregion1_spot_20	3.5781318e-07	0.30465966	4.7928843e-06	0.015285818	9.704246e-06	9.135333e-08	1.6760212e-07	0.68003935	9.021588e-08
priorregion1_spot_21	1.106891e-07	0.3988935	5.9423155e-06	5.4807778e-08	0.010672245	6.526064e-08	6.737822e-08	0.590428	2.1127608e-08
priorregion1_spot_22	1.1035702e-07	0.43614534	0.07602475	7.852471e-07	2.2490476e-06	7.879581e-08	1.0113196e-06	0.48782563	1.9711827e-08
priorregion1_spot_23	0.36240447	0.36846277	9.919273e-07	5.049958e-08	1.1924841e-06	9.80849e-08	4.1500254e-08	0.26913035	9.017094e-09
priorregion1_spot_24	0.29999438	0.20535481	1.0001783e-06	1.3097372e-07	4.423619e-06	1.9515353e-07	2.8977254e-07	0.49427822	0.00036662156
priorregion1_spot_25	4.033742e-07	0.3544526	1.4393095e-06	2.0294976e-07	2.8189183e-06	1.0841094e-07	2.6041872e-07	0.64554214	2.1316856e-08
priorregion1_spot_26	8.872003e-08	0.13996537	4.833185e-07	0.0026482537	1.1552793e-06	9.3732396e-08	0.0013303742	0.8526321	0.003421974
priorregion1_spot_27	0.11753735	0.16821018	1.6494325e-06	7.202454e-08	2.2059864e-06	1.2986439e-07	6.156062e-08	0.7137586	0.00048975454
priorregion1_spot_28	2.7279614e-07	0.331807	2.2562484e-05	1.25393e-07	2.0786423e-05	9.959099e-08	1.7893466e-07	0.6665288	0.0016202049
priorregion1_spot_29	2.3417338e-06	0.38961878	5.448924e-05	8.136336e-08	0.00016651276	1.0532787e-07	1.1658828e-07	0.61015743	3.2781976e-08
priorregion1_spot_30	7.6978785e-07	0.2405991	1.5759933e-05	8.809356e-08	2.2305012e-05	1.0580429e-07	1.0560701e-07	0.7593617	4.9512266e-08
priorregion1_spot_31	4.731194e-07	0.43163893	3.2697974e-06	1.07911475e-07	0.00014471581	1.6734572e-07	1.6697761e-07	0.56821215	3.6590773e-08
priorregion1_spot_32	2.904525e-07	0.5431322	1.79242e-06	6.7447786e-08	2.067879e-06	1.1075142e-07	9.657325e-08	0.45436478	0.002498588
priorregion1_spot_33	0.21407904	0.43299136	6.176686e-07	8.009903e-08	1.0316758e-06	1.17899745e-07	5.451331e-07	0.3529272	8.44478e-09
priorregion1_spot_34	1.6840562e-07	0.6202216	1.036663e-06	8.115299e-08	1.1886772e-06	8.001607e-08	6.21632e-08	0.37977588	1.9766901e-08
priorregion1_spot_35	1.1853136e-07	0.18302505	1.936561e-06	5.2361788e-08	3.0372546e-06	5.5642424e-08	9.3044534e-08	0.8169696	8.6711786e-08
priorregion1_spot_36	1.7129992e-07	0.5352169	6.810122e-07	2.2724652e-07	2.0961963e-06	0.0038611507	1.300385e-07	0.4609186	2.6648172e-08
priorregion1_spot_37	8.1515054e-07	0.42684355	6.2516216e-07	2.2225777e-05	8.6554303e-07	1.4220771e-07	1.416368e-06	0.57242614	0.0007042163
priorregion1_spot_38	1.3526797e-07	0.55872154	1.938572e-06	7.211038e-08	4.9641812e-06	6.779619e-08	6.334827e-08	0.4412711	1.1973545e-07
priorregion1_spot_39	1.7083313e-07	0.34386066	2.6815636e-07	1.2528412e-07	5.211121e-07	8.1909945e-08	5.614118e-07	0.6561376	2.1006418e-08
priorregion1_spot_40	0.15213709	0.374856	0.025284382	2.0838252e-07	0.11010256	0.004366351	1.9429345e-07	0.33325323	2.9390842e-08
priorregion1_spot_41	4.1295112e-07	0.6981813	0.0051411106	1.120941e-07	0.10901934	1.515041e-07	9.388148e-08	0.18488748	0.00276989
priorregion1_spot_42	9.90356e-07	0.7338873	0.03841964	0.00805596	0.14286345	1.7289516e-07	3.3041283e-07	0.076772034	1.6296676e-07
priorregion1_spot_43	0.10803482	0.27985743	4.4696544e-06	1.9885356e-07	1.6393964e-05	3.2181921e-07	1.1683383e-07	0.6120863	1.917109e-08
priorregion1_spot_44	1.696699e-07	0.25901607	2.5158588e-06	1.5810546e-07	4.3439013e-06	8.148076e-08	0.00875375	0.73222226	5.981047e-07
priorregion1_spot_45	6.7905006e-07	0.30365208	3.291734e-05	5.1966992e-08	5.9629143e-05	6.4058206e-08	1.2885633e-07	0.69625443	1.01785204e-07
priorregion1_spot_46	2.2165677e-06	0.27937955	3.121532e-06	6.6386974e-08	7.930881e-06	1.2894647e-07	6.7518826e-08	0.7206069	1.2993512e-08
priorregion1_spot_47	0.22024518	0.15377036	1.7046861e-05	1.6070278e-07	2.1920343e-05	1.756206e-07	1.7050807e-07	0.6259449	5.5171064e-08
priorregion1_spot_48	2.2956606e-07	0.36542785	2.5950598e-05	1.0084987e-07	6.6614564e-05	7.951646e-08	1.0657929e-07	0.63447887	1.6205152e-07
priorregion1_spot_49	1.3406935e-07	0.24800648	3.408474e-07	5.7273645e-08	5.4229565e-07	5.560403e-08	8.2293695e-08	0.75199234	7.2746627e-09
priorregion1_spot_50	5.1411e-07	0.120723076	5.0012127e-06	1.8107774e-07	0.027366398	2.032931e-07	3.242487e-07	0.85183346	7.085769e-05
priorregion1_spot_51	0.13679375	0.42001614	9.717212e-07	1.4323864e-07	1.5924779e-06	2.0821439e-07	1.593987e-07	0.44318703	2.682305e-08
priorregion1_spot_52	0.7411009	0.25889122	4.742702e-06	2.785587e-07	1.5951033e-06	1.3639114e-07	3.422326e-07	7.168181e-07	9.711206e-08
priorregion1_spot_53	8.18873e-07	0.12175099	1.3976219e-05	6.394368e-08	1.2406009e-05	7.438176e-08	1.0883177e-07	0.87822145	6.0505464e-08
priorregion1_spot_54	0.069606304	0.20652944	5.1347224e-06	7.4786165e-08	1.1978765e-05	1.7498958e-07	2.6872956e-07	0.7238466	1.8051038e-08
priorregion1_spot_55	0.09091665	0.34973258	9.682813e-06	6.742938e-08	2.346932e-05	1.6987308e-07	1.299937e-07	0.5593173	2.8836226e-08
priorregion1_spot_56	3.3409472e-06	0.37039125	0.00010952153	6.4905656e-08	0.0023331267	7.969322e-08	8.820984e-08	0.6271625	2.6694902e-08
priorregion1_spot_57	1.1857039e-07	0.4954342	1.085012e-06	5.0850627e-08	1.4806106e-06	4.627196e-08	5.299795e-08	0.504563	1.1492248e-08
priorregion1_spot_58	1.1495313e-06	0.23266847	1.7825754e-05	6.305573e-08	1.7334025e-05	7.284305e-08	6.654837e-08	0.76692957	0.00036546233
priorregion1_spot_59	2.3837757e-07	0.2944653	2.0520465e-06	1.2872677e-07	0.17118034	0.0013242956	1.5948983e-07	0.5330275	2.4454666e-08
priorregion1_spot_60	3.167227e-07	0.5131247	2.0091446e-05	1.5823112e-07	4.187246e-05	7.777691e-08	1.8925853e-07	0.48681253	8.158982e-08
priorregion1_spot_61	0.18086675	0.46730492	1.1270341e-06	1.8121696e-07	2.2339682e-06	6.9875887e-07	0.0011807708	0.35064337	1.9607027e-08
priorregion1_spot_62	1.2823163e-07	0.28990805	1.5155632e-06	4.1173443e-08	2.3944701e-06	5.2025946e-08	6.409759e-08	0.7100877	2.3329646e-08
priorregion1_spot_63	3.2499153e-07	0.38535327	4.0529026e-06	6.506224e-08	1.4148406e-05	7.352166e-08	1.4182987e-07	0.61462796	1.7551198e-08
priorregion1_spot_64	0.0028670991	0.5422667	3.9756965e-06	1.2586415e-07	8.973022e-06	9.92535e-07	4.4219263e-07	0.45485163	1.7128027e-08
priorregion1_spot_65	0.2941872	0.27731523	5.267486e-07	1.8685947e-07	9.829463e-07	7.2253664e-07	3.4561307e-07	0.4284948	3.2802514e-08
priorregion1_spot_66	1.4504022e-07	0.03419289	2.9131562e-07	1.06246475e-07	5.471427e-07	1.1126444e-07	8.019644e-08	0.96580577	2.0618772e-08
priorregion1_spot_67	6.1420036e-07	0.8876226	1.6366095e-06	1.4936015e-07	0.009910645	1.4679877e-07	2.8242496e-07	0.1024639	2.0903377e-08
priorregion1_spot_68	1.299302e-07	0.10972022	1.9512761e-07	6.013774e-08	1.0652766e-06	6.873704e-08	7.989648e-08	0.89027816	3.05146e-08
priorregion1_spot_69	2.48216e-07	0.42153838	1.2430415e-06	6.4694255e-08	1.8108656e-06	9.1544e-08	8.077383e-07	0.57845736	2.244169e-08
priorregion1_spot_70	5.0819455e-07	0.52754515	2.8886122e-06	2.4423235e-07	3.717975e-05	1.4775901e-06	3.016993e-07	0.47206494	0.00034739185
priorregion1_spot_71	3.263376e-07	0.94652915	9.0731356e-07	1.4642802e-07	0.029952744	3.8455633e-07	9.235971e-08	0.023516336	1.9030267e-08
priorregion1_spot_72	9.724281e-08	0.3195515	2.6178688e-07	4.9923027e-08	3.128457e-07	5.5742834e-08	5.9904984e-08	0.6804475	8.56021e-08
priorregion1_spot_73	2.1591186e-06	0.42499968	2.0349624e-05	5.297732e-08	1.5475054e-05	3.264038e-07	5.1471915e-08	0.5749619	1.8739113e-08
priorregion1_spot_74	3.5739782e-07	0.14027925	5.6924473e-06	2.3482852e-07	8.732828e-06	7.273542e-08	1.890821e-07	0.8597055	2.1147056e-08
priorregion1_spot_75	0.10247035	0.33419043	4.9286123e-06	1.563789e-07	9.679237e-06	0.006171027	8.239332e-08	0.5571534	3.472973e-08
priorregion1_spot_76	1.8873607e-07	0.0064041037	8.8848805e-07	8.0386667e-07	1.9317133e-06	1.7887729e-07	0.011738736	0.9818531	9.709887e-08
