	B	CCL5.CD8T	CCR7.CD8T	CD14.Mono	CD4T	DC	FCGR3A.Mono	NK	Platelet
priorregion1_spot_1	0.70268315	4.922197e-07	5.4305286e-07	4.966653e-07	0.015942892	0.20709032	4.5719082e-07	0.07323721	0.0010444801
priorregion1_spot_2	0.8210157	1.8014077e-07	0.1179068	0.0010976201	0.059979286	1.9419632e-07	1.082941e-07	8.361338e-08	8.422048e-09
priorregion1_spot_3	0.8742528	8.434656e-07	0.02393344	0.0024135911	0.099394254	2.1147841e-07	1.1961401e-07	4.808497e-06	1.6526295e-08
priorregion1_spot_4	0.7664166	6.9177463e-07	0.016813414	6.968369e-08	0.21676832	5.348905e-07	5.711218e-08	3.2409756e-07	1.04039835e-08
priorregion1_spot_5	0.8161579	4.1885983e-07	3.1517854e-07	3.303078e-07	1.2294855e-06	0.13414793	2.505068e-07	0.04806153	0.0016301122
priorregion1_spot_6	0.81198984	1.5816604e-06	0.080168426	9.4144895e-08	0.10747587	2.3798941e-07	2.1727422e-07	1.314966e-06	0.0003623651
priorregion1_spot_7	0.88464123	3.166425e-07	0.11535637	1.361435e-07	1.1553083e-06	5.074419e-07	1.2781274e-07	1.5838376e-07	1.6687926e-08
priorregion1_spot_8	0.7375957	0.035430707	0.11569966	1.5527205e-07	0.04506259	0.029079886	1.0225987e-07	0.03713117	9.624118e-08
priorregion1_spot_9	0.9035536	3.4263414e-07	0.035655163	0.012109443	0.04867622	4.9220685e-06	1.9315021e-07	8.70073e-08	2.4528207e-08
priorregion1_spot_10	0.8578535	2.4480684e-07	0.09753196	1.2611508e-07	0.021612255	0.023000915	3.1638487e-07	6.616902e-07	2.6251104e-08
priorregion1_spot_11	0.4436498	0.12672034	6.045083e-05	1.476376e-07	0.13119864	0.160355	1.633691e-07	0.1369626	0.0010528596
priorregion1_spot_12	0.87762547	2.7583715e-07	0.07584477	1.4566183e-07	0.046527684	1.4874507e-06	1.158942e-07	1.13696096e-07	2.966736e-08
priorregion1_spot_13	0.934501	0.016045973	0.012592934	0.007455209	0.02940411	3.5479695e-07	7.284895e-08	3.3286653e-07	1.4441934e-08
priorregion1_spot_14	0.9038691	3.0886477e-07	0.0030216437	1.4298037e-07	0.08705686	0.0036955755	5.3849433e-08	0.0023563202	1.16394e-08
priorregion1_spot_15	0.8161677	2.4788056e-07	0.13659367	1.2889136e-07	0.047237635	3.3204626e-07	1.6080881e-07	1.4576712e-07	1.40595375e-08
priorregion1_spot_16	0.9017995	0.008996847	1.3692088e-05	7.756676e-08	0.07210298	0.014099458	0.002987192	2.2825806e-07	1.2544987e-08
priorregion1_spot_17	0.92354983	1.4133887e-07	0.0502447	7.405982e-08	5.5103254e-07	0.018434322	0.0071765417	1.2188823e-07	0.0005936327
priorregion1_spot_18	0.87469995	6.1694533e-07	0.118503265	1.2195369e-07	2.902629e-06	1.0436389e-06	5.1234184e-07	0.0067915195	9.593935e-08
priorregion1_spot_19	0.32669997	0.3471868	3.5351607e-06	5.4918655e-07	0.079607815	0.10822691	4.895208e-07	0.13827303	8.7542895e-07
