,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,0.0011329441564157606,4.957551965389939e-07,5.3795278654433786e-05,0.0005512540636118501,2.169114725347754e-06,0.3395494341850281,0.4208217903971672,0.708597132563591,6.4114237375179075e-06,0.3558585450053215,3.910941188678408e-06,9.114138129007189e-06,8.605063044342387e-07,0.00010596644133329392
priorregion1_spot_2,0.00024046460966928863,3.3608543276386627e-06,0.085333701223135,0.05401389095932246,3.533837639224658e-06,0.10920234732329845,0.2924856126308441,0.7989444494247436,2.1419705944936142e-06,0.20828686580061914,0.0013661857519764455,2.0463901182665723e-05,2.3602714918524727e-06,7.380078932328615e-05
priorregion1_spot_3,0.029571670666337015,0.0063191920984536415,4.6711451977898834e-05,9.467594900343103e-05,0.0028835445642471317,0.24375065937638285,0.28708337992429733,0.0012703495973255484,1.9359199995960807e-05,0.7800670236349107,0.0015818486746866256,9.457309124627501e-06,5.762554701504997e-05,0.048151444457471375
priorregion1_spot_4,0.000994339364115149,1.8798334895109293e-05,0.00211722906678915,0.48536640852689744,1.856117260103929e-05,0.3816928267478943,0.5623800039291381,0.27609337270259854,1.1647455403362985e-05,0.5060737431049347,7.381771429209039e-05,2.8811682841478618e-05,3.8672296977892986e-05,0.00074581521039363
priorregion1_spot_5,0.0010018282453529536,6.000587586640905e-06,0.03662464246153831,0.8277080237865447,1.1585399943214724e-05,0.20450623258948325,0.7886597156524657,0.8402128458023072,1.2267962938494748e-05,0.4363014042377472,1.8376000298303552e-05,0.00015622389910276981,1.4219779041013682e-05,0.0013040042540524155
priorregion1_spot_6,0.014067840622738003,4.589201671478804e-06,0.000907194457249716,0.005940013891085982,1.9641187918750805e-05,0.0005505048262421042,1.8793514549732209,0.012711802031844854,3.574366576231114e-06,0.5232878118753433,0.0009553381765726954,0.00011459866836958098,8.358015365956817e-05,5.830476929986617e-05
priorregion1_spot_7,0.0644327711313963,2.317076896360959e-05,0.24257503747940062,1.5614053606987,0.001187449198914692,0.00010518858616705985,0.0013084567966870964,0.9563725680112839,6.078824917494786e-05,0.0023223487311042844,0.0003685392817715183,4.008154282928444e-05,6.0357116353770834e-06,0.004394052014686168
priorregion1_spot_8,0.0014147594396490602,2.8933396606589667e-05,0.6128982126712799,1.3924669921398163,0.0005448829178931192,0.02888346612453461,1.4695407890030765e-05,1.2243339187989478e-05,2.8592255603143713e-06,0.6862495839595795,0.018392509035766124,2.6144160165131326e-05,5.484919347509277e-05,0.0009118023444898427
priorregion1_spot_9,0.0006191444175783545,4.516923718256294e-06,0.04325790628790856,0.957739844918251,2.8479966999839237e-06,0.006811410025693476,0.7450588196516037,0.5256483733654023,1.559874186796151e-06,0.010184357455000282,1.0217570797976805e-05,6.986342268646694e-05,7.990975382199394e-06,0.0005881734745344147
priorregion1_spot_10,0.003935981960967183,0.00015635975141776727,0.04593693409115076,0.6815201103687286,0.00011434402367740403,0.0014390837226528677,0.5622863739728927,0.1970553159713745,0.0004906587593723089,0.7108936101198196,0.04401643835008145,0.02232168596237898,4.513063959166175e-05,0.014167242497205735
priorregion1_spot_11,0.0007357586699072272,2.593886972590553e-06,0.3819384291768074,1.4331425368785857,0.0004384752028272488,0.28459693491458893,0.002250371652189642,0.35207369774580005,2.4062421175585773e-06,0.000861471809912473,3.1016658340377034e-06,1.988265705676895e-06,3.4902720358331862e-06,0.0003500524297123775
priorregion1_spot_12,9.225480462191627e-05,2.1570449462160472e-06,0.11898637749254704,0.5234938114881516,1.8526736948842884e-05,0.007204162934795023,0.5893187314271927,0.3580377817153931,1.2194045211799677e-06,0.006633151229470969,5.382209928939119e-06,3.827851844562247e-06,9.410242853391537e-07,3.147861707475386e-05
priorregion1_spot_13,0.0007226969901239499,4.114942330488703e-05,0.20835916474461555,0.9386680245399476,2.1756616024504184e-05,0.012629507528617977,0.7041670680046082,0.061479719914495946,1.1923079500775203e-05,0.637634363770485,0.00035837481264024975,7.194721802079584e-05,3.695242248795694e-05,0.00017394361639162524
priorregion1_spot_14,7.650595107406843e-05,3.313883013333907e-07,0.0014366840827278794,0.4122589185833931,5.710365348932101e-06,0.3205806270241737,0.17750413492321968,0.22784482017159463,5.408058314060327e-07,0.2688025668263435,1.159688258667302e-06,1.0366235073888674e-05,2.204124048148515e-05,3.994702328782296e-05
priorregion1_spot_15,0.004275102377869189,1.8265479184265135e-06,0.23809097856283187,0.5136771649122238,5.734262322221184e-05,0.359957467019558,0.06778395473957062,1.2416312098503113,2.112770862368052e-05,0.0017967323656193912,3.2482263463862184e-06,8.937471920944518e-06,1.6434695908174036e-06,0.0002736542141065002
priorregion1_spot_16,9.619250668038149e-05,2.8517473424471976e-06,0.24339503720402716,0.7393285930156708,1.9601673102442874e-06,0.1760915569961071,0.2571043446660042,0.41692996621131895,1.0524099934627884e-05,0.21358658522367477,4.9183173905476005e-05,5.2051203056180384e-05,8.286452748507147e-06,0.0008814906235784292
