	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	1.4371867e-07	2.1768844e-07	5.944356e-08	4.5415604e-08	1.12240784e-07	0.25757053	0.23961382	0.4489436	1.1146073e-07	0.053870462	2.0713934e-07	3.005186e-07	6.808679e-08	1.6106594e-07
priorregion1_spot_2	4.2020923e-07	2.5956786e-07	0.010857028	0.07512936	1.8833556e-07	0.020461477	0.37808406	0.47066233	1.9769371e-07	0.043755155	3.5406396e-07	0.0010488201	1.3749936e-07	1.967081e-07
priorregion1_spot_3	0.0059472714	3.157617e-05	8.438873e-08	6.1962794e-08	4.9138634e-07	0.18225068	0.3938119	1.3703701e-06	4.1231665e-06	0.33513823	0.011651614	1.6906249e-07	0.009016234	0.062146135
priorregion1_spot_4	3.2673608e-05	2.3670266e-06	2.6803405e-06	0.22814995	4.122185e-07	0.22008486	0.30530548	0.16639917	0.0024647748	0.07229878	5.4554835e-07	4.989795e-07	1.3473917e-06	0.005256449
priorregion1_spot_5	4.62047e-07	2.0980048e-07	2.1766096e-05	0.279066	2.183211e-07	0.041403566	0.38723445	0.28480884	1.9458521e-07	0.007462178	2.2344992e-07	8.704764e-07	1.4401962e-07	9.193646e-07
priorregion1_spot_6	0.008793022	3.035258e-07	1.2687708e-07	9.8502554e-08	2.1751323e-07	0.00015345395	0.7877831	0.12777108	1.5523523e-07	0.075495765	1.9986733e-06	2.3593121e-07	3.665988e-07	1.799622e-07
priorregion1_spot_7	0.01633687	1.08276396e-07	0.13400501	0.5117987	1.2242126e-07	1.0032094e-06	1.7541809e-06	0.33785534	2.0705781e-07	9.7011e-08	1.03673734e-07	2.4060128e-07	7.0155956e-08	2.9803687e-07
priorregion1_spot_8	9.65719e-08	0.007920694	0.25281054	0.69067043	1.6746601e-06	1.7834778e-07	5.1258205e-08	5.6492183e-08	2.895033e-06	0.047770318	0.00041346846	9.4427456e-08	0.00040948644	1.2198669e-07
priorregion1_spot_9	7.720113e-07	8.434619e-08	6.866678e-05	0.38591534	1.13257066e-07	5.676082e-05	0.40710512	0.20685191	8.6003354e-08	8.363564e-08	7.254234e-08	6.61303e-07	9.879727e-08	2.5528954e-07
priorregion1_spot_10	0.0060572736	7.3089217e-07	1.969318e-05	0.37166926	5.369921e-07	2.2219276e-06	0.38903376	0.07759071	0.0041370923	0.14741528	1.0735099e-06	1.2685674e-06	1.8733365e-07	0.0040709754
