,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,3.9731148838996884,0.00021420711927930825,8.164806204149499e-05,0.006960781081579626,4.776870446221437e-05,0.0029270003899000583,0.029705926030874255,5.20234145824361e-06,0.0036351126269437376,0.0007678151887375861,0.1421990714967251,0.005080321221612394,0.01950943488627672,0.5044797271490097
priorregion1_spot_2,5.329910469055175,0.00015702333403169177,0.0010042189329396935,0.024765453673899172,0.0002405789069598541,2.8231281612534078e-05,0.006162729067727924,3.14969015562383e-06,0.002080602152273059,0.004232703987509013,0.029213592689484355,0.053158304467797284,0.005368035123683512,0.4040340051054955
priorregion1_spot_3,5.947322773933411,3.852608369925292e-05,4.9558254613657485e-05,4.520066067925655e-05,0.00012124145250709263,9.072984994418222e-06,1.816677167880698e-05,2.055052073046682e-06,0.0001520332727523055,0.0007043319026706741,0.00011521112173795701,0.09600513949990272,0.010880335653200747,0.04889471791684627
priorregion1_spot_4,6.220551657676697,0.00045240198087412867,5.585262460954255e-05,2.1340740386222023e-05,0.02056283801794052,2.243012534108857e-06,2.7897957693312493e-06,1.920221529871924e-06,0.0002652147028129548,0.004897337383590638,0.00022599576113861984,0.03764526750892401,0.010998980887234212,0.7759261935949325
priorregion1_spot_5,2.099438953399658,7.972427411573335e-08,7.464315018523848e-07,1.3982060465878022e-06,1.272637447868874e-07,1.2992739399919632e-07,9.686723316804091e-08,1.157030009579785e-08,2.3524318066847629e-07,4.3078080125269485e-07,1.2862845437666693e-07,0.00025241244147764517,1.6951697375588996e-06,9.792856362764724e-05
priorregion1_spot_6,2.0873491406440734,1.7281478577046987e-07,1.5422584908719728e-06,7.631460618995334e-07,2.564614504763085e-07,4.183315276407029e-08,1.0144809046153115e-07,4.117456082752824e-08,1.3575137671750782e-07,1.816620573436012e-06,3.3947917330579e-07,0.021378363855183123,0.003308506403118372,0.00016544807513128035
priorregion1_spot_7,6.131494045257568,7.086853111104574e-05,1.0722470551627338e-05,5.806713693345956e-06,6.075137989682845e-05,5.380074952654468e-07,6.565943351688475e-07,8.107181287186904e-07,3.4036981924145954e-05,0.00012830585837946275,3.5944111186836376e-05,0.1590950571000576,0.00030277037440100684,0.03830852769315243
priorregion1_spot_8,5.175321698188782,0.0018238130782265217,4.7738795183249755e-05,0.004201478371396661,0.01331938412040472,0.000368995284952689,0.016050020046532155,1.192877016364946e-05,0.0009066985570825636,0.00032110969041241336,0.05475555080920458,0.01002306709997356,0.021944969426840544,0.9859106093645096
priorregion1_spot_9,5.2112428665161135,9.816772853810108e-06,2.0101576137676605e-05,4.998214240004019e-06,0.0002698998010600917,3.240702412199425e-07,1.4674206568088268e-06,6.794400491116904e-07,3.5378553320697394e-06,0.00013256185338832437,1.3290900096762926e-05,0.014934948459267617,0.0019507968157995493,0.21304543912410737
priorregion1_spot_10,4.1998659610748295,2.991654364450369e-05,7.610255602230609e-06,7.013898880359193e-06,0.0001581464362971019,9.207104812958278e-06,3.930956017939025e-06,5.120255309520872e-07,3.3207950309588345e-06,7.444637667504139e-05,0.0005842928367201239,0.002176777634304017,0.0012855437758844345,1.1638905942440032
priorregion1_spot_11,3.5728292584419252,3.673803039418999e-05,3.7219743148853014e-06,4.337986229074887e-06,0.0008431714988546446,8.284885666398623e-08,3.6162013117291286e-07,3.735923826297949e-07,3.059730454424425e-06,8.093586711765966e-06,6.159475606182241e-06,0.001187857036711648,0.0011304683983325958,1.0785633862018587
priorregion1_spot_12,5.832537984848022,0.0007313464768230916,7.768086993564793e-06,8.524126496922691e-06,0.003784283238928765,4.675502405007137e-05,0.0001669197517912835,8.64311396071571e-06,0.0031561819720081984,0.003483961138408631,0.0001581860902660992,0.10547605715692043,0.0130089923273772,0.193623074144125
priorregion1_spot_13,6.8064734697341915,0.021607798151671884,0.00104608780820854,0.0004446081118658185,0.0793820321559906,0.00013564811524702236,0.0068055389681831,1.771573861333309e-05,0.00011865029337059241,0.001808876992436126,0.038638271391391754,0.06617789380252362,0.009264631196856499,1.6474349379539488
priorregion1_spot_14,7.620137858390808,3.735230384336319e-05,1.1483888101793127e-05,1.331196490355069e-05,0.0007779487292282285,3.72888537469862e-07,1.3089049559766863e-06,1.0299963889792706e-06,0.0011838853650260716,0.0003115772065939382,4.633522021322278e-05,0.4852325767278671,0.026703932695090773,0.5061530113220215
priorregion1_spot_15,5.172168040275574,4.500290906435111e-05,4.622311553248437e-06,2.9782917636111963e-06,0.04491663239896298,2.0402640217298542e-07,1.3016860805237229e-06,6.657466684600878e-07,4.5476305558622705e-06,6.255781190702691e-05,1.832937477956875e-05,0.007099443953484297,0.04695925042033196,1.7280419886112213
priorregion1_spot_16,3.887224864959717,0.027020997367799282,2.5890079541568412e-06,1.0765295792225516e-05,0.0007813525036908686,1.2866443569237166e-06,4.672437114550121e-07,8.86805344180175e-07,1.1614920822466956e-05,0.00034842917521018537,2.7054660768044415e-05,0.004879861650988459,0.013635143777355552,0.5897993892431259
priorregion1_spot_17,7.057897925376892,0.000181033607077552,0.00015073279064381495,0.0007161758287111298,0.0014416771300602704,0.0033215520437806846,1.4613713528888183e-05,2.297233058925485e-05,0.0002988021122291684,0.002662573184352368,0.00016213498238357716,0.254131318628788,0.03227287232875824,0.2944883301854133
priorregion1_spot_18,3.7594982504844663,3.357679324835772e-05,8.69300183694577e-06,1.0586283588054357e-05,0.011040516337379814,2.6471945602679627e-06,5.071569421488676e-06,5.099747852455039e-07,6.2438733948511075e-06,0.0030311067239381373,4.8454988973389856e-05,0.008973560482263564,0.007716824626550078,0.3371367081999779
priorregion1_spot_19,4.761079478263855,3.1492305311076055e-06,4.780896574629878e-06,1.7899504655360943e-05,1.694020047580125e-05,2.0068896802172276e-07,1.7426258196451276e-07,9.068981441373581e-08,1.540025442636761e-06,3.23379357723752e-05,4.8417232392239384e-06,0.0749947614967823,0.0005097878572996706,0.3381385296583176
priorregion1_spot_20,1.1370639860630036,4.8712826128394225e-08,1.2408604277425184e-06,2.6422338805787153e-06,1.2485957867625075e-07,2.544438801876936e-08,2.5968670591680628e-08,2.7418211479002255e-09,1.1621314612852986e-07,1.8755939024117654e-07,6.083631625131147e-08,3.675654406833929e-05,4.5524859046963686e-07,7.581047502753792e-05
priorregion1_spot_21,3.4418802499771117,6.728964945068583e-06,0.0008798406634014101,0.00011905041938007343,0.063338827714324,7.254075029550222e-07,0.00039911523781483994,8.817385861448201e-07,7.411181741190376e-06,9.648075592849637e-06,6.051580726307294e-06,0.0014168051478918643,0.0005826376349432395,1.1575379848480223
priorregion1_spot_22,6.828722310066222,0.00036748194106621667,1.8122963592759333e-05,1.3173132356314455e-05,0.0020942035014741124,1.573792383169348e-06,1.6582400178322133e-06,1.0484691586043484e-06,3.290831791673554e-05,0.00010936954568023794,9.365895202790852e-05,0.015003691473975778,0.01716837268322706,1.540247905254364
priorregion1_spot_23,3.4068881988525392,8.165177814589698e-06,7.303416623472003e-06,7.858558365114732e-06,0.04636653382331133,5.225969346156489e-07,0.00034144703386118636,1.270716228418678e-06,7.836046415832243e-06,1.36611419293331e-05,3.965629662161518e-06,0.003514930955134332,0.0208037325181067,0.8226621985435486
priorregion1_spot_24,4.744378328323364,0.00034360883000772446,0.00015700908406870442,3.7521908780036035e-05,8.017126856429968e-05,5.336717658792622e-05,3.7685106008211734e-06,7.654955265934405e-06,0.00010210373584413901,0.001373065944062546,0.0032241394044831397,0.09572965539991855,0.00458180841524154,0.09947085827589036
priorregion1_spot_25,7.173954248428345,4.1234554919356016e-05,0.0004297267383662984,0.00013590746311820112,0.0004321682179579511,0.00013292593575897627,1.1516447557369247e-05,5.91488062582357e-06,7.726236208327465e-06,0.017368612438440324,0.000331250877934508,0.015607869066298009,0.004278946132399142,0.7886532664299012
priorregion1_spot_26,6.131960964202881,0.0006403970415703953,3.4043759478663565e-05,3.214566659153207e-05,0.0040899816201999785,0.00013803739493596369,0.003966009779833257,5.553168716687651e-06,0.007003952353261411,0.004311415343545378,0.021534710470587012,0.07428362555801868,0.007316819834522903,0.4594200134277344
