	B.Cell6	CD1C1	CD1C3	CLEC9A3	CLEC9A9	Epithelial0	Epithelial4	Epithelial5	LC1	MDSC7	Mac1	NK2	PDC8	Tcell2
priorregion1_spot_1	0.51516306	1.9062898e-07	8.2265933e-07	1.4933467e-07	1.5807085e-07	0.24314976	7.7704414e-07	0.23191018	2.9630476e-07	1.9962705e-07	1.3319752e-07	0.002887864	0.0068856804	8.0985893e-07
priorregion1_spot_2	0.010714235	1.4263732e-07	1.0571828e-07	7.537273e-08	1.18084856e-07	0.14011101	0.24196945	0.6066763	2.1145547e-07	1.1295381e-07	1.10790154e-07	0.00052765326	2.005411e-07	2.9173412e-07
priorregion1_spot_3	0.04112102	1.4026122e-07	3.6257603e-07	2.2802867e-07	0.0021906374	0.074876234	0.00020268947	0.8816079	1.7514994e-07	8.520144e-08	1.2026705e-07	9.088067e-08	1.3860019e-07	1.3540195e-07
priorregion1_spot_4	0.07044076	1.4371415e-07	7.65613e-07	2.820028e-07	1.4859923e-07	0.14365889	0.09853022	0.6873653	2.0081498e-07	3.2670235e-07	1.3136317e-07	2.3145786e-07	1.3793971e-06	1.1652323e-06
priorregion1_spot_5	0.07194519	5.0097107e-08	4.9414492e-08	3.7933773e-08	4.5442928e-08	0.1092909	0.10426295	0.7145003	5.0999702e-08	5.574025e-08	5.4693487e-08	1.6083652e-07	8.994291e-08	7.404381e-08
priorregion1_spot_6	0.555759	0.00012356743	9.6222e-07	1.7031409e-06	2.3511328e-05	1.3571623e-07	2.0738335e-07	1.4428879e-07	1.6620645e-06	5.941299e-07	8.8296497e-07	8.9879e-07	7.993586e-07	0.4440859
priorregion1_spot_7	0.24991578	0.03148787	5.8697765e-07	0.00693234	0.029056812	3.639257e-06	0.15607488	0.44763184	0.04930434	3.5826972e-06	0.021792278	6.2267947e-07	4.1187792e-07	0.0077950926
priorregion1_spot_8	0.21919532	4.4497793e-07	1.6593937e-06	0.00996526	4.637019e-07	0.011611219	2.2623428e-05	0.74551576	5.974942e-07	0.012055433	8.469454e-07	8.467473e-08	0.0016300258	2.6177761e-07
priorregion1_spot_9	0.28231308	3.4922152e-07	1.5036019e-06	2.7896732e-07	3.675771e-07	1.830727e-06	0.09904643	0.61488163	3.043038e-07	1.0073513e-06	8.7003974e-07	0.003750032	1.17123385e-07	2.1699454e-06
priorregion1_spot_10	0.124092236	3.2513753e-07	1.0702465e-06	2.9130106e-07	1.801137e-07	0.033983078	0.10353874	0.7383819	2.8576088e-07	7.20394e-07	3.3256538e-07	2.6392513e-07	1.3631305e-07	4.995369e-07
priorregion1_spot_11	0.04287126	1.4996071e-07	1.3448808e-07	1.1750718e-07	1.8325399e-07	0.13639085	0.21783926	0.6007026	1.6939758e-07	1.01638186e-07	9.96846e-08	1.4939631e-07	1.9244094e-07	0.0021947178
priorregion1_spot_12	0.110413544	1.4716363e-07	1.107036e-06	4.2977263e-07	0.0015496898	3.520397e-05	8.555664e-06	0.88262844	3.6461438e-07	1.7564646e-07	1.2947983e-07	0.0018562558	0.0035053727	6.004156e-07
priorregion1_spot_13	0.02622851	5.478662e-08	8.071614e-08	4.6021867e-08	2.3042658e-07	0.09677261	0.24517167	0.6318263	8.89692e-08	1.6353313e-07	5.1491774e-08	6.094484e-08	6.467707e-08	9.142435e-08
priorregion1_spot_14	0.22591867	5.872935e-07	1.8795491e-07	1.7270145e-07	0.013669998	0.15222931	0.023018086	0.5356169	0.034375284	7.368509e-07	2.1901454e-07	0.0013051896	0.0072235693	0.006641114
priorregion1_spot_15	0.022685396	6.852484e-08	1.12301784e-07	9.011811e-08	7.050593e-08	0.31411982	0.055449594	0.60400474	9.363607e-08	1.0578847e-07	4.715312e-08	0.0036873058	8.675348e-08	5.247466e-05
priorregion1_spot_16	0.22915167	0.0015517755	8.266554e-07	1.012344e-06	0.00924302	2.5465872e-06	5.4153866e-06	0.6985956	6.7244277e-06	3.730097e-07	5.174411e-07	3.357843e-07	0.00042134622	0.06101882
priorregion1_spot_17	0.045876823	0.0014904495	1.4132778e-06	3.8755044e-07	0.012012049	4.7493715e-05	0.10359234	0.82393014	1.1645878e-06	0.0059087686	2.0629273e-06	6.4651063e-06	0.00045408928	0.0066763535
priorregion1_spot_18	0.050478436	1.521958e-07	0.006864339	9.649417e-07	1.406431e-07	0.008719731	0.24568401	0.67957556	2.0384957e-07	1.7009643e-07	1.108229e-07	0.0022798195	0.006396083	3.243944e-07
priorregion1_spot_19	0.08420617	1.0364162e-07	4.489e-07	1.7542271e-07	1.11448145e-07	0.42105073	0.08845504	0.40458998	1.0646172e-07	1.09531825e-07	9.067183e-08	0.0005559157	0.001140675	3.248119e-07
priorregion1_spot_20	0.11905724	8.8931904e-07	0.011778959	9.453489e-06	4.8086713e-07	0.052791476	4.1147203e-05	0.8117452	9.687014e-07	1.1368008e-06	6.304558e-07	0.001770771	0.0027957172	5.858758e-06
priorregion1_spot_21	0.38933384	2.687367e-07	1.5129952e-07	9.047843e-08	1.314507e-07	7.5302347e-07	0.07953975	0.51635283	2.1565286e-07	1.282072e-07	1.5447146e-07	1.6275041e-07	0.0147654135	6.1197916e-06
priorregion1_spot_22	1.1734098e-06	6.497401e-08	6.715436e-08	4.839923e-08	5.568482e-08	0.14976476	0.05945732	0.78937465	5.9039213e-08	1.3241058e-07	6.924741e-08	3.6210153e-07	7.168598e-08	0.0014011306
priorregion1_spot_23	1.4304507e-07	6.0906297e-07	0.008924204	9.943673e-08	1.4603964e-07	0.15930861	0.000100942496	0.7779437	0.0463713	0.00446685	1.4648836e-07	0.002882974	1.001548e-07	1.5737356e-07
priorregion1_spot_24	0.098136745	5.9124216e-07	0.005584277	6.426183e-07	2.194033e-06	0.07269624	3.619743e-05	0.81913316	6.1784567e-07	0.0012305023	3.289212e-07	1.528576e-07	0.0031779453	3.8438122e-07
priorregion1_spot_25	1.7590237e-07	7.241312e-08	2.792963e-07	0.009047102	1.2094736e-05	0.10795192	0.04753386	0.8354539	1.7913938e-07	6.904994e-08	4.717495e-08	5.144668e-08	6.230702e-08	1.0499765e-07
priorregion1_spot_26	0.060861193	2.5236946e-07	4.7020035e-06	0.005880575	0.00026326138	2.6134565e-05	0.17724916	0.75571257	1.0773748e-06	1.005127e-07	8.236862e-08	1.073613e-07	1.8080453e-07	5.379178e-07
priorregion1_spot_27	0.12097233	1.7491367e-07	1.3894531e-07	1.0080388e-07	1.3049663e-07	0.1761901	0.124468446	0.5783672	1.73439e-07	1.3535208e-07	1.1524576e-07	9.269339e-08	3.1130187e-07	6.161764e-07
priorregion1_spot_28	0.15209441	2.8384282e-05	2.5611965e-07	0.015627729	1.0224323e-05	9.495639e-06	0.19443092	0.46229535	0.034608822	1.9772115e-07	0.073655896	3.2614764e-07	1.3205386e-05	0.067224875
priorregion1_spot_29	0.636782	2.6386317e-07	2.2856213e-07	2.191814e-07	2.2124934e-06	2.122125e-06	0.27624366	0.0732968	2.411274e-07	1.7996628e-07	1.6248049e-07	7.1953656e-07	0.008248615	0.0054224953
priorregion1_spot_30	0.07623683	0.0052032815	2.4523995e-06	0.007266611	1.1109078e-06	0.36195996	0.06929081	0.44017515	0.03031938	4.8433144e-06	3.572921e-07	6.7433075e-07	0.0025965937	0.006941859
priorregion1_spot_31	0.38656968	2.9900693e-07	0.04196082	1.3560896e-05	1.2365605e-07	0.021860272	6.1457467e-06	0.5285996	5.2371286e-07	4.580915e-07	0.011416795	0.009570933	2.2712796e-07	6.056137e-07
priorregion1_spot_32	0.0054758657	7.5300704e-08	1.05971694e-07	6.691929e-08	7.663764e-08	0.029253317	0.13707861	0.82819116	8.2613845e-08	1.01962755e-07	7.475505e-08	1.036198e-07	1.0558936e-07	2.3109227e-07
priorregion1_spot_33	0.25339743	5.0262673e-07	7.014666e-07	4.6692563e-07	0.005408264	0.23745048	0.057845954	0.44290003	6.351247e-07	4.4934296e-07	2.8670692e-07	0.002985795	1.4067024e-06	7.640106e-06
priorregion1_spot_34	6.5371632e-06	8.780723e-07	7.9404236e-07	0.0044723153	3.8284406e-07	0.118290946	0.21414599	0.64353615	0.009655584	2.846155e-07	4.8204987e-07	2.3642443e-07	0.0027147823	0.0071745585
priorregion1_spot_35	0.007484663	6.7810646e-08	4.2857886e-07	2.4233813e-07	9.428832e-08	0.2557366	0.021089502	0.7143654	7.62237e-08	7.953304e-08	5.6679372e-08	0.001321106	1.928516e-07	1.479495e-06
priorregion1_spot_36	0.02168298	0.0041088318	1.9789681e-07	2.1284943e-07	0.007634168	0.037422746	0.22138654	0.7003847	1.1403697e-05	2.4007133e-07	2.9592098e-07	2.2368823e-07	2.7370757e-07	0.007367137
priorregion1_spot_37	0.9959779	3.1344817e-07	0.004010603	1.0921848e-06	2.7552375e-07	1.1184544e-07	1.1866763e-07	1.6000463e-07	4.5747163e-07	1.1547589e-06	3.604933e-07	1.7375552e-06	1.3230422e-06	4.580944e-06
priorregion1_spot_38	0.79943246	4.876968e-07	4.1277886e-07	2.684793e-07	1.6113561e-06	2.639719e-07	1.1686847e-06	0.17288955	2.495524e-07	3.0309891e-05	0.020902762	9.589604e-07	0.0067231394	1.6330994e-05
priorregion1_spot_39	0.051533643	4.214023e-07	1.8227342e-07	3.403331e-07	0.0028329804	0.24183802	0.05745584	0.639021	9.416956e-07	1.5783e-07	1.1001825e-07	0.0020981457	0.0052171103	1.1023482e-06
priorregion1_spot_40	0.26387855	1.1549134e-07	0.0022208625	1.6408246e-07	1.1684657e-07	0.40688455	0.016204046	0.30208805	2.2573171e-07	4.2284108e-07	6.0764546e-07	6.911173e-08	0.008722031	1.236709e-07
priorregion1_spot_41	0.71896476	4.6887743e-07	3.4307877e-07	2.6967558e-07	2.7177197e-07	0.06834256	0.058295585	0.13894044	4.2522552e-07	0.0045629744	1.0799356e-06	1.2822742e-06	0.010888902	5.617127e-07
priorregion1_spot_42	0.010827029	0.006590899	1.31924e-07	1.3880504e-07	0.001357464	0.09980748	0.22072412	0.6606666	4.3933082e-07	6.268065e-07	1.0816025e-06	1.0638187e-07	2.3686745e-05	1.5058203e-07
priorregion1_spot_43	0.31109652	1.4247966e-07	0.021134892	4.2735965e-06	1.734474e-07	0.13391276	1.1003987e-05	0.53069836	2.111521e-07	1.7952303e-07	1.06238794e-07	6.157491e-07	0.0031388563	1.9918305e-06
priorregion1_spot_44	0.11033088	1.6159593e-07	2.9870216e-07	1.8880854e-07	5.44631e-07	0.06304263	0.00010687338	0.8220592	2.190882e-07	4.5009224e-07	3.8768968e-07	0.002095704	0.0023620478	4.103888e-07
priorregion1_spot_45	9.256074e-08	4.4363205e-08	6.2034914e-08	3.9602995e-08	4.8734066e-08	0.14907491	0.19196557	0.6589588	4.7883304e-08	4.5840412e-08	3.3177816e-08	5.7348004e-08	1.3479996e-07	9.815425e-08
priorregion1_spot_46	0.11899315	2.0798224e-07	1.684743e-07	9.131276e-08	1.1034919e-07	3.420109e-06	7.5426988e-06	0.8809934	6.670268e-07	3.8170182e-07	1.2778222e-07	1.7493471e-07	2.8040728e-07	2.4922687e-07
priorregion1_spot_47	0.10410598	2.7569274e-07	6.266987e-07	6.0467514e-06	1.7204235e-06	0.018688077	0.011845145	0.85980725	1.7951529e-06	1.7819855e-07	2.0132117e-07	8.1025337e-07	1.9174044e-07	0.005541725
priorregion1_spot_48	0.032566343	2.1296314e-07	1.4383633e-07	1.1305559e-07	0.00236602	0.053012803	0.12355715	0.7870146	2.5478818e-07	0.0014810555	1.389642e-07	1.2305087e-07	4.6144837e-07	6.071152e-07
priorregion1_spot_49	0.0077717328	8.227119e-08	1.0990816e-07	8.672944e-08	0.0066238455	0.2842864	0.078384854	0.6229318	1.4443413e-07	8.791587e-08	5.31638e-08	1.0512746e-07	1.2130856e-07	6.484484e-07
priorregion1_spot_50	0.009916012	9.625835e-08	7.441927e-08	1.1576724e-07	1.6797932e-07	0.026367715	0.33809435	0.6256207	1.080352e-07	1.6082683e-07	1.0964518e-07	8.06647e-08	1.4371402e-07	9.475426e-08
priorregion1_spot_51	0.25904897	5.273322e-08	0.003631733	1.0693434e-06	1.1922977e-07	8.381131e-06	2.2330105e-06	0.7307219	1.15906275e-07	5.9294557e-08	4.104208e-08	6.674456e-08	0.0065849074	2.1544709e-07
