,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,2.299198055267334,4.291245440981584e-05,0.00010801364223880227,1.0259521741318168e-05,0.00014580529459635725,0.4455543354153633,0.00022825747801107356,0.5067440390586853,0.00029849707789253443,1.8928681402030634e-05,2.9609498824356703e-06,0.006678497535176575,0.0035822561942040923,0.028804329689592123
priorregion1_spot_2,0.7266192615032195,6.379201249728794e-06,3.517492984883575e-06,3.535035716595303e-06,8.839691145112737e-06,0.27226724028587346,0.39701524227857593,2.0330888867378234,0.00012301869137445464,7.120709051378072e-06,4.601034061124665e-06,0.00767221653368324,0.00010497680450498592,0.0020919803413562478
priorregion1_spot_3,0.711059907078743,2.773179289761174e-06,1.0696746039684513e-05,5.570422672462883e-06,9.307315031037433e-06,0.12904285043478012,0.001327266450971365,1.4302594900131225,6.068596781005909e-06,2.911686158313387e-06,4.908996902486252e-06,4.098384215467377e-06,9.713592680782314e-06,3.201718154741684e-05
priorregion1_spot_4,1.6530105769634247,8.964854168880266e-06,0.004048552922904492,3.615968435042305e-05,3.230771581002045e-05,0.24485380351543426,0.12123933024704456,2.30115921497345,4.7131626706686804e-05,0.00025251890037907286,9.115950433624675e-06,8.861740898282734e-05,0.00031261452531907704,0.001989254669751972
priorregion1_spot_5,0.2693314179778099,7.203399604804872e-07,9.748671203624326e-07,1.7180203542466188e-06,1.7514105536520222e-06,0.19088275656104087,0.06882626302540303,2.062659704685211,1.061411273894919e-06,7.5677625545722556e-06,1.995019056266756e-06,2.2869257281854517e-05,9.659710531195743e-06,1.3223656105765258e-05
priorregion1_spot_6,1.6447583496570588,0.002486037812195718,5.2799866807617946e-06,5.3874975947110215e-06,0.015542550897225737,2.899687075341717e-07,1.2732179541785626e-07,3.0977312093227743e-07,2.2246185926633186e-05,6.7020552478425095e-06,3.9534867113388833e-07,1.7636974462220678e-05,0.0003100712870946155,0.6878667652606965
priorregion1_spot_7,0.8424940705299377,0.05071293953806162,7.506169495172799e-05,0.00011251735922996886,0.0009966737998183817,0.0006761781492969021,0.1010839693248272,0.3897728562355041,3.608972765505314e-05,0.00012811929918825625,0.0015494425664655865,9.298753466282506e-05,8.329870252055116e-05,0.04354511983692646
priorregion1_spot_8,0.9048931121826173,4.891871958534466e-05,0.0004124422921449878,0.028268028795719147,4.0151624853024265e-05,0.01657218262553215,0.0009577928809449077,1.3520873010158538,4.211180148558924e-05,0.034786080569028856,1.9160081592417555e-05,0.0008734685892704874,0.00023073482952895577,0.021617854293435816
priorregion1_spot_9,1.9202197194099426,4.468686511245324e-05,0.002823661570437253,4.00840321162832e-05,0.00032151564519153906,0.0006405383843230084,0.07255758233368396,0.742024627327919,9.549722335577826e-06,6.270672129176092e-05,4.86636357891257e-05,0.00036118150019319727,6.441426194214729e-05,0.006509516132064164
priorregion1_spot_10,1.943191522359848,2.107918417095789e-05,0.005505553958937526,0.00015512354511884043,5.0405757428961805e-05,0.09519406110048294,0.2120357558131218,1.3054242074489593,1.860358479461866e-05,4.208097816444934e-05,1.338350666628685e-05,1.8752476989902796e-05,5.8890146101475705e-05,0.0006184360012412072
