,q05_spot_factorsB.Cell6,q05_spot_factorsCD1C1,q05_spot_factorsCD1C3,q05_spot_factorsCLEC9A3,q05_spot_factorsCLEC9A9,q05_spot_factorsEpithelial0,q05_spot_factorsEpithelial4,q05_spot_factorsEpithelial5,q05_spot_factorsLC1,q05_spot_factorsMDSC7,q05_spot_factorsMac1,q05_spot_factorsNK2,q05_spot_factorsPDC8,q05_spot_factorsTcell2
priorregion1_spot_1,1.269173002243042,0.2249190799891949,0.0014182884711772205,0.12838981449604034,1.7314970552921296,5.792360298073618e-06,4.263799451109663e-06,2.261793417801528e-06,0.0003769531263969839,0.00042878774693235757,4.5965467506903224e-05,0.0012657265062443912,0.0011652065441012383,1.1496145606040955
priorregion1_spot_2,1.0861058294773103,0.0010924620204605163,0.01042636064812541,0.8769891738891602,1.9168382048606871,0.05416246876120567,2.0676822532550432e-05,0.0076280710054561504,0.3986758276820183,0.0012631548393983393,0.01998462891206145,0.013985172426328062,0.00027969579678028823,0.00020882644967059607
priorregion1_spot_3,1.192441987991333,8.642584907647688e-05,0.0005328906932845712,0.0018761124403681606,2.2179996848106383,1.890597911824443e-06,1.6855901606049885e-06,1.5140154289383646e-06,3.8487443634949156e-05,0.00015469970530830325,0.00018332633480895312,0.2733898162841797,0.00046174232265912,0.11040899604558946
priorregion1_spot_4,0.01872816327959299,0.00017932232512976042,5.761045576946344e-06,0.00016408519149990752,1.1830848932266236,4.362907952781825e-06,4.955019176122733e-06,3.905112441771053e-06,4.3872445348824844e-05,1.3542564784074785e-05,4.791356491296029e-06,6.723653023072984e-05,0.0003661887312773615,2.4544977784156803
priorregion1_spot_5,1.3234843194484711,0.00026544065476628024,0.0028285188134759666,0.006886676116846502,1.4319346249103546,3.6729907833432664e-06,1.0322731043288515e-06,1.9477519231259068e-06,0.00010536700319789816,1.9252652645111084,0.23161061629652976,0.3119071498513222,0.00033016019879141825,0.1944269061088562
priorregion1_spot_6,0.8015249252319336,0.006849743681959808,0.0003584140853490681,0.3987631157040596,1.7814710199832917,1.8622600236994913e-05,7.211410934360175e-06,9.245949195246795e-06,0.06582442745566369,0.0002022863794991281,0.0001834591297665611,0.0007892804744187743,0.011920685367658735,2.689233326911926
priorregion1_spot_7,1.9790439426898956,0.000957146316068247,0.02505127713084221,0.011272117588669061,1.707059419155121,0.0701453723013401,8.351229116669856e-05,0.008695099549368023,0.03812527693808079,0.6456246733665467,0.00022091567516326904,0.07377178706228733,0.002007411350496113,1.1140873610973359
priorregion1_spot_8,0.8590809673070908,0.005544511647894978,0.005092551256529986,0.09201679863035679,0.9758839815855026,1.2031305686832639e-06,1.7585112630058575e-06,9.212296617988614e-07,7.868813700042667e-05,0.0005099675472592935,0.00032065378763945773,0.004292676411569119,0.00015881501967669466,0.4391684174537659
priorregion1_spot_9,0.9600530147552491,0.13852566257119178,0.07568240128457547,0.016514403373003007,1.6290316998958587,0.04486427623778582,3.810455473285401e-05,0.00018858037146856079,0.0005061983654741198,0.8361642867326736,0.0001807935084798373,0.005902504734694958,0.011095320899039507,0.5622457176446916
priorregion1_spot_10,2.3007782816886904,0.00529969921335578,0.0008611317141912877,0.4709207653999329,0.8630932867527008,4.275371866242495e-05,0.0012378264218568802,8.026131536098546e-06,0.0007488499046303332,0.002646949386689812,0.07963612042367459,0.0010091580334119499,0.0024551626644097268,1.2031199157238006
